acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
bargain bin, 折价商品，折价商品区(在商店或超市里有一些摊位以极低的价格处理陈货或不完善的商品，这样的摊位就叫“bargain bin”
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
conception,n. 怀孕；概念；设想；开始
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
 过期；过期的；过时了"
at odds with,"adj. 相抗争于
 与…不一致；与…不和；差异"
feverish,adj. 发热的；极度兴奋的
indictment,n. 起诉书；控告
mass-market,adj. 销售量大的；畅销的
anticipate,vt. 预期，期望；占先，抢先；提前使用
precisely,adv. 精确地；恰恰
turnaround,n. 转变；转向；突然好转；回车道
inventory,n. 存货，存货清单；详细目录；财产清册
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
style-conscious, 注意打扮的；注重时尚的
disposable,adj. 可任意处理的；可自由使用的；用完即可丢弃的
wardrobe,n. 衣柜；行头；全部戏装
on-trend, 流行；衰止
dirt-cheap,"adj. 毫无价值的；贱如粪土的；非常便宜的
adv. 非常便宜地"
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
accustomed to,"un. 习惯于；适应于；对…习以为常
 习惯了；习惯於；习惯的"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
victim,n. 受害人；牺牲品；牺牲者
revolution,n. 革命；旋转；运行；循环
be limited to, 限于；局限于；限制在
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
order in volumes,找不到解释
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
massive,adj. 大量的；巨大的，厚重的；魁伟的
non-durable, 不耐用物品
give away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
 下班；停工；打落"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
impact on, 影响；对…冲击，碰撞；对…之影响
idealism,n. 唯心主义，理想主义；理念论
sustainability,n. 持续性；永续性；能维持性
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
sustainably,adv. 支撑得住；能保持住地
afford,vt. 给予，提供；买得起
an old saying,找不到解释
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
fraction,n. 分数；部分；小部分；稍微
aim ... at ...,找不到解释
behavioural,adj. 行为的；动作的
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
fine-grained,adj. 细粒的；有细密纹理的
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
explicit,adj. 明确的；清楚的；直率的；详述的
permission,n. 允许，许可
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
option,n.  选项；选择权；买卖的特权
browser,n.  浏览器；吃嫩叶的动物；浏览书本的人
be due to do ...,找不到解释
get cracking,"na. 立即行动
 开始做；快点；开始工作"
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
version,n. 版本；译文；倒转术
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
horrified,"adj. 惊骇的；带有恐怖感的
v. 惊骇（horrify的过去式和过去分词）；使…战悚"
stick with, 坚持；继续支持；坚持做
switch on,"v. 打开；接通；参见
 开启；合闸；打开开关"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
be worse off,"na. 经济情况更不好；情况恶化；更加贫困
 处境较坏；情况更差；处境更糟"
preference,n. 偏爱，倾向；优先权
targeted,"v. 把…作为目标（target的过去分词）
adj. 定向的；被定为攻击目标的"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
press on,"na. 向前挤；坚决推进；“press ahead”的变体
 加紧赶路；加紧进行；压迫"
comply with,"v. 遵守
 遵从；依从；服从"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
norm,n. 标准，规范
on that count,找不到解释
uniformly,adv. 一致地
glowingly,adv. 热心地；白热地；灼热地
fulfillment,n. 履行；实行
opportunity,n. 时机，机会
utopia,找不到解释
unfashionable,adj. 过时的；不时髦的
appreciation,n. 欣赏，鉴别；增值；感谢
the range of,找不到解释
asteroid strike,找不到解释
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
be tempted to do,找不到解释
look forward to,"na. 盼望
 期待；期望；期盼"
gloominess,n. 黑暗；沮丧
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
threatened,"v. 威胁（threaten的过去分词）
adj. 受到威胁的"
distribute,vt. 分配；散布；分开；把…分类
adaptable,adj. 适合的；能适应的；可修改的
flagship,n. 旗舰；（作定语）一流；佼佼者
hence,adv. 因此；今后
willfully,adv. 故意地；任性固执地
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
dazzlingly,adv. 耀眼地；灿烂地
fiction,n. 小说；虚构，编造；谎言
futurologist,n. 未来学家
envisage,vt. 正视，面对；想像
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
dedicate to,"v. 献给
 奉献；致力于；献身"
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
evidence-based,adj. 基于证据的
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
perspective,"n. 观点；远景；透视图
adj. 透视的"
pessimistic,adj. 悲观的，厌世的；悲观主义的
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
fad,n. 时尚；一时的爱好；一时流行的狂热
rosy,adj. 蔷薇色的，玫瑰红色的；美好的；乐观的；涨红脸的
knock out,"na. 敲出；敲空；使屈服；使无用
 击倒；击昏；打破"
immigration,n. 外来移民；移居
modest policy,找不到解释
Constitution,找不到解释
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
majority,n. 多数；成年
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
contested,"vt. 争辩；提出质疑
vi. 竞争；争辩
n. 竞赛；争夺；争论"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
controversial,adj. 有争议的；有争论的
enforce,vt. 实施，执行；强迫，强制
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
establish,"vi. 植物定植
vt. 建立；创办；安置"
naturalization,n. 归化，移入；移植
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
noncontroversial,无争议的
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
deliberately,adv. 故意地；谨慎地；慎重地
occupy,vt. 占据，占领；居住；使忙碌
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
verify,vt. 核实；查证
legal status, 法律地位；法律状态；合法地位
come in contact with,"na. 和…接触；碰见
 与…取得联系；接触到；同…接触"
envision,vt. 想象；预想
explicitly,adv. 明确地；明白地
cooperate,vi. 合作，配合；协力
colleague,n. 同事，同僚
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
conflict with,"v. 相抵触
 冲突；与…相冲突；倾轧"
federal statute,"联邦法规
联邦法例"
robust,adj. 强健的；健康的；粗野的；粗鲁的
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
assertion,n. 断言，声明；主张，要求；坚持；认定
executive power,"n. 行政权
 行政管理权；执行权；行政权力"
priority,n. 优先；优先权； 优先次序；优先考虑的事
comply with,"v. 遵守
 遵从；依从；服从"
to the letter,"na. 严格按照字句；详细知道；了如指掌
 不折不扣；不折不扣地；彻头彻尾"
invalidate,vt. 使无效；使无价值
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
citizenship,n.  公民身份，公民资格；国籍；公民权
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
prevent ... from ...,找不到解释
in essence,"na. 本质上；大体上
 实质上；在本质上；本质上地"
rightly,adv. 正确地；恰当地；公正地；合适地
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
remarkable,adj. 卓越的；非凡的；值得注意的
in order to,"na. 为了；从而；以便
 目的；为了……起见；以求"
dependency,n. 属国；从属；从属物
Chancellor of the Exchequer,找不到解释
upfront,"adj. 预付的；在前面的；正直的，坦率的
adv. 在前面；提前支付（工资）"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
jobless,"adj. 失业的，无业的；（关于）失业者的
n. 失业者"
CV,找不到解释
Curriculum Vitae,找不到解释
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
be eligible for, 有资格；对•••有资格；合格的
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
fortnightly,"n. 双周刊
adj. 隔周发行的；每两周的
adv. 隔周地；每两星期一次地"
reasonableness,n. 合理；妥当
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
look for,"v. 寻找；探索；渴望；盼望
 期待；找寻；查找"
sign on,"na. 签字聘用；签字承认；作工作记录
 登录；签约雇用；签约受雇用"
stay off,"v. 远离
 保持关闭状态；戒弃，忌；不在…处停留"
on first hearing,找不到解释
socially concerned,找不到解释
complete with,"un. 配上
 连同；包括；配有"
indulgent,adj. 放纵的；宽容的；任性的
subsidise,vt. 给…津贴或补贴，资助或补助…
laziness,n. 怠惰；无精打采
motivate,vt. 刺激；使有动机；激发…的积极性
zeal,n. 热情；热心；热诚
fundamental fairness,找不到解释
deserving,"v. 值得；应得到（deserve的现在分词）
adj. 值得的；应得的；有功的"
claimant,n. 原告； 索赔人；提出要求者
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
delighted,"adj. 高兴的；欣喜的
v. 使…兴高采烈；感到快乐（delight的过去分词）"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
terrifying,"adj. 令人恐惧的；骇人的；极大的
v. 使害怕，使恐怖（terrify的现在分词）"
psychologically,adv. 心理上地；心理学地
embarrassing,adj. 使人尴尬的；令人为难的
minimal,adj. 最低的；最小限度的
extraordinarily,adv. 非常；格外地；非凡地
be excluded from,找不到解释
crucial,adj. 重要的；决定性的；定局的；决断的
instinct,"n. 本能，直觉；天性
adj. 充满着的"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
falsehood,n. 说谎；假话；不真实；错误的信仰
ever-tougher,"比以往更艰难
比以往更严厉
比以往更坚强"
administration,n. 管理；行政；实施；行政机构
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
unconditional,adj. 无条件的；绝对的；无限制的
disaster,n. 灾难，灾祸；不幸
conditional on ...,找不到解释
entitlement,n. 权利；津贴
generate,vt. 使形成；发生；生殖；产生物理反应
hostility,n. 敌意；战争行动
profession,n. 职业，专业；声明，宣布，表白
with the exception of,"na. 除…外
 除...之外；除了；除了……之外"
client,n.  客户；顾客；委托人
have grounds for ...,找不到解释
economic crisis,"na. 经济危机
 金融危机；全球经济危机；经济危急"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
pile into,"v. 蜂拥而入
 挤入；进入；开始大干"
nuisance-lawsuit,找不到解释
filer,n. 锉磨工人；文件编档员；文件装钉员
tort,n. 侵权行为
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
excessive,adj. 过多的，极度的；过分的
unrelated,adj. 无关的，不相干的
authorize,vt. 批准，认可；授权给；委托代替
Bar Association,找不到解释
on top of ...,找不到解释
debt,n. 债务；借款；罪过
fearsomely,adv. fearsome（可怕的）的变形
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
state-level body,找不到解释
profession,n. 职业，专业；声明，宣布，表白
conservative,找不到解释
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
sit for,"na. 参加(学位,奖学金等)考试；作…候选人；坐着
 参加考试；参与；为……而坐下来谈谈"
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
would-be lawyer,找不到解释
restrictive,"n. 限制词
adj. 限制的；限制性的；约束的"
guild,n. 协会，行会；同业公会
ownership,n. 所有权；物主身份
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
innovation,n. 创新，革新；新方法
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
isolate ... from ...,找不到解释
ethically,adv. 伦理上
encourage,vt. 鼓励，怂恿；激励；支持
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
efficiency,n. 效率；效能；功效
liberalize,"vt. 使自由化；宽大
vi. 自由化"
far from,"na. 远离；决不
 远非；完全不；远远不是"
a string of,"det. 一串；一系列
 一连串；串子；一连串的"
lucrative,adj. 有利可图的，赚钱的；合算的
be funded from,找不到解释
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
entrepreneur,n. 企业家；承包人；主办者
benefactor,n. 恩人；捐助者；施主
draw attention to,"un. 促使…注意
 对……表示注意；吸引对……的注意；吸引注意力"
a handful of,"det. 一把；一小撮；少数
 少量的；少数的；少数几位"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
upstart,"n. 暴发户；自命不凡的人；傲慢自负的人
adj. 暴富的；自命不凡的
vt. 使…突然跳起；使…崛起
vi. 突然跳起；崛起"
prestige,n. 威望，声望；声誉
self-promotion,n. 自我推销；自促作用
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
peer-review-led,找不到解释
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
status quo,"n. 现状；原来的状况
 维持现状；现状乐团；改变现状"
perpetuate,"vt. 使不朽；保持
adj. 长存的"
myth,n. 神话；虚构的人，虚构的事
scattered,adj. 分散的；散乱的
criticism,n. 批评；考证；苛求
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
distribute,vt. 分配；散布；分开；把…分类
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
unrepresentative,adj. 非代表性的，不典型的
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
outgrow,vt. 过大而不适于；出生；长大成熟而不再
collaborative,adj. 合作的，协作的
demonstrate,"vt. 证明；展示；论证
vi. 示威"
inevitable,adj. 必然的，不可避免的
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
acknowledge,vt. 承认；答谢；报偿；告知已收到
Higgs boson,"n. 希格斯玻色子
 希格斯粒子；上帝粒子；希格斯波色子"
intention,n. 意图；目的；意向；愈合
legitimacy,n. 合法；合理；正统
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
gratitude,n. 感谢（的心情）；感激
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
deserve,"vi. 应受，应得
vt. 应受，应得"
affirm,"vt. 肯定；断言
vi. 确认；断言"
humanity,n. 人类；人道；仁慈；人文学科
prosperity,n. 繁荣，成功
liberal democracy, 自由民主；自由民主制；自由主义民主
regrettably,adv. 遗憾地；抱歉地；可悲地
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
congressional,adj. 国会的；会议的；议会的
Democrat and Republican,找不到解释
top-tier,顶层；高层
president,n. 总统；董事长；校长；主席
prominent,adj. 突出的，显著的；杰出的；卓越的
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
diplomacy,n. 外交；外交手腕；交际手段
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
admirable,adj. 令人钦佩的；极好的；值得赞扬的
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
presuppose,vt. 假定；预料；以…为先决条件
citizenry,n. 市民；公民
full literacy,找不到解释
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
innovation,n. 创新，革新；新方法
competition,n. 竞争；比赛，竞赛
crafting,"n. 工艺；手工艺
v. 精巧地制作；加工制作（craft的ing形式）"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
curricula,n. 课程（curriculum的复数形式）
bear on,"na. 瞄准；压迫；倚恃；与…有关系
 对…产生影响；涉及；对…有影响"
expansion,n. 膨胀；阐述；扩张物
illiberal,adj. 偏执的；吝啬的；粗鄙的；狭隘的；缺乏文化素养的
liberal education,"na. 文科教育
 博雅教育；自由教育；通识教育"
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
deprive of,"un. 剥夺
 剥夺某人的；使失去；使丧失"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
inquiry,n. 探究；调查；质询
at home,"na. 在家；安适；在家接待客人；在本国 (opp. abroad)
 在家里；在国内；自在"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
publicize,vt. 宣传；公布
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
left-liberal, 左翼自由主义；自由左翼；左翼自由派
propaganda,n. 宣传；传道总会
routinely,adv. 例行公事地；老一套地
interpretation,n. 解释；翻译；演出
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
portray,vt. 描绘；扮演
conservative,找不到解释
self-reliance,n. 自力更生，依靠自己；自恃
boundary,n. 边界；范围；分界线
investigation,n. 调查；调查研究
enthusiasm,n. 热心，热忱，热情
set back,"na. 阻碍；延迟；花费
 推迟；推迟，延缓；使退步"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
breadth,n. 宽度，幅度；宽宏
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
insist,"vi. 坚持，强调
vt. 坚持，强调"
abdicate,"vt. 退位；放弃
vi. 退位；放弃"
embarrassing,adj. 使人尴尬的；令人为难的
scandal,n. 丑闻；流言蜚语；诽谤；公愤
republican,"n. 共和党人
adj. 共和党的
共和的"
force sb. to do sth.,找不到解释
eat one's words,"na. 食言；收回自己说过的话；为自己说过的话道歉
 收回前言；承认说错话；承认错误"
stand down,"na. 退出证人席位；暂时辞退；不在值勤中
 退下；下台；退出竞选"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
monarchy,n. 君主政体；君主国；君主政治
the writing is on the wall, 不祥之兆；不祥预兆；结果已经可以预知
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
majestic,adj. 庄严的；宏伟的
polarise,vt. 极化（等于polarize）
regime,n. 政权，政体；社会制度；管理体制
rise above,"na. 凌驾…之上；超越…；摆脱
 克服；不受……的影响；超然"
embody,vt. 体现，使具体化；具体表达
transcendence,n. 超越；卓越；超然存在
infest,vt. 骚扰；寄生于；大批出没；大批滋生
kingdom,n. 王国；界；领域
absolutist,n. 绝对论者；专制主义者
counterpart,n. 副本；配对物；极相似的人或物
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
voter,n. 选举人，投票人；有投票权者
non-controversial,无争议的
public figure, 公众人物；公共人物；知名人士
undoubtedly,adv. 确实地，毋庸置疑的
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
symbolic,adj. 象征的；符号的；使用符号的
embody,vt. 体现，使具体化；具体表达
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
indefensible,adj. 站不住脚的；不能防卫的；无辩护余地的
privilege,"n. 特权；优待
vt. 给与…特权；特免"
inequality,n. 不平等；不同；不平均
inherited,"v. 继承；经遗传而得（inherit的过去分词）
adj. 遗传的；继承权的；通过继承得到的"
bizarre,adj. 奇异的（指态度，容貌，款式等）
aristocratic,adj. 贵族的；贵族政治的；有贵族气派的
democratic state, 民主国家；民主的国家；民主政体
strive to,"v. 争取；努力
 力图；力求；努力做某事"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
intrusiveness,n. 干涉性；侵扰性；侵入性
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
to come,"n. 将来
 来到；未来的；未来地"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
well-heeled,adj. 富有的；穿着考究的
granny,n. 奶奶；外婆；婆婆妈妈的人
hierarchical,adj. 分层的；等级体系的
Constitution,找不到解释
digital data,"un. 数字资料；数字数据
 数位资料；数码数据；数字量"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
sweeping,"n. 扫除；垃圾
adj. 彻底的；广泛的；扫荡的
v. 打扫；扫除（sweep的现在分词形式）"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
assumption,n. 假定；设想；担任；采取
possession,n. 拥有；财产；领地；自制；着迷
assess,vt. 评定；估价；对…征税
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
rapidly,adv. 迅速地；很快地；立即
recklessly,adv. 鲁莽地；不顾一切地
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
discernable,adj. 可辨别的；可认识的
guideline,"n. 指导方针
参考"
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
violate,vt. 违反；侵犯，妨碍；亵渎
arrestee,n. 被捕者
correspondence,n. 通信；一致；相当
cloud computing,n. 云计算(Cloud Computing)是一种新兴的商业计算模型。它将计算任务分布在大量计算机构成的资源池上，使各种应用系统能够根据需要获取计算力、存储空间和各种软件服务。
take steps to ...,找不到解释
privacy,n. 隐私；秘密；隐居；隐居处
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
line-drawing,素描；线条画
burdensome,adj. 繁重的；累赘的；恼人的
obtain,"vi. 获得；流行
vt. 获得"
invalidate,vt. 使无效；使无价值
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
urgent,adj. 紧急的；急迫的
circumstance,n. 环境，情况；事件；境遇
alter,"vt. 改变，更改
vi. 改变；修改"
cite,vt. 引用；传讯；想起；表彰
entitle,vt. 称做…；定名为…；给…称号；使…有权利
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
disruptive,adj. 破坏的；分裂性的；制造混乱的
novel,"adj. 新奇的；异常的
n. 小说"
explosion,n. 爆炸；爆发；激增
accessibility,n. 易接近；可亲；可以得到
establishment,n. 确立，制定；公司；设施
automobile,"n. 汽车
vt. 驾驶汽车
"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
necessity,n. 需要；必然性；必需品
domain,n. 领域；域名；产业；地产
sort out,vt.& vi. 把…安排妥当; （从…中）区分出来，辨别出来; 分类; 整理; 整顿; 解决
statistical,adj. 统计的；统计学的
peer-review,n. 各领域专家互相评阅；同行评审；同业监督小组；同业互查组织
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
irreproducibility,非再生性
editorial,"n. 社论
adj. 编辑的；社论的"
manuscript,"n.  手稿；原稿
adj. 手写的"
flag up, 举旗
scrutiny,n. 详细审查；监视；细看；选票复查
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
statistician,n. 统计学家，统计员
impel,vt. 推动；驱使；激励
motivate,vt. 刺激；使有动机；激发…的积极性
reproducibility,n.  再现性
biostatistician,n. 生物统计学家
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
primarily,adv. 首先；主要地，根本上
advisory,"n. 报告；公告
adj. 咨询的；顾问的；劝告的"
foresight,n. 先见，远见；预见；深谋远虑
