textbook,n. 教科书，课本
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
moving,"adj. 移动的；动人的；活动的
v. 移动（move的ing形式）"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
lifetime,"n. 一生；寿命；终生；使用期
adj. 一生的；终身的"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
in total,"adv. 全部；完全
 总共；总计；一共"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
painful,adj. 痛苦的；疼痛的；令人不快的
World War II,"na. 第二次世界大战(1939-1945)
 二战；二次大战；年，二战期间"
Men in Black, 黑衣人；黑超特警组；星际战警
Kung Fu Panda,找不到解释
Titanic,"adj. 巨大的；四价钛的
n. 泰坦尼克号"
March of the Penguins,找不到解释
Spider-Man, 蜘蛛侠
Carmen,找不到解释
Dan Dervish,找不到解释
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
kiss,"vt. 吻；（风等）轻拂
vi. 接吻；（风等）轻触
n. 吻；轻拂"
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
relaxed,"v. relax的过去式和过去分词
adj. 松懈的，放松的；悠闲的，自在的；不严格的，不拘束的"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
drop by,"na. 随便访问一下
 顺便拜访；顺道拜访；非正式访问"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
after all,"na. 毕竟；终究；最后
 究竟；到底；终于"
noon,n. 中午；正午；全盛期
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒"
get mad,"v. 发怒
 发疯；变疯；生气"
effort,n. 努力；成就
make an effort,"na. 努力作出
 作出努力；做出努力；尽一番努力"
passport,n. 护照，通行证；手段
clean ... off,找不到解释
chalk,"n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的
vt. 用粉笔写；用白垩粉擦；记录；规划
vi. 变成白垩状"
blackboard,n. 黑板
northern,"adj. 北部的；北方的
n. 北部方言"
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
season,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥"
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
eastern,"n. 东方人；（美国）东部地区的人
adj. 东方的；朝东的；东洋的"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
worth,"n. 价值；财产
adj. 值…的"
manner,n. 方式；习惯；种类；规矩；风俗
empty,"n. 空车；空的东西
adj. 空的；无意义的；无知的；徒劳的
vt. 使失去；使…成为空的
vi. 成为空的；流空"
basic,"n. 基础；要素
adj. 基本的；基础的"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
go out of one's way,"na. 绕弯儿走；不怕麻烦；特地；故意
 特别费心；特地做；想尽办法"
make ... feel at home,找不到解释
teenage,"n. 青少年时期
adj. 青少年的；十几岁的"
granddaughter,n. 孙女；外孙女
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
elbow,"n. 肘部；弯头；扶手
vt. 推挤；用手肘推开"
gradually,adv. 逐步地；渐渐地
get used to,"na. 变得习惯于
 习惯於；适应；习惯一件事情的过程"
suggestion,n. 建议；示意；微量，细微的迹象
Brazil,n. 巴西（拉丁美洲国家）
Mexico,n. 墨西哥
Cali,找不到解释
Colombia,n. 哥伦比亚（拉丁美洲国家）
Lausanne,n. 洛桑市（瑞士一城市名）
Norway,n. 挪威（北欧国家名）
Maria,"n. 母驴；母马
海(指月亮、火星表面的阴暗部分)"
Katie,找不到解释
Sato,找不到解释
Marie,找不到解释
Teresa Lopez,找不到解释
Marc LeBlanc,找不到解释
rather,"adv. 宁可，宁愿；相当
int. 当然啦（回答问题时用）"
would rather,"na. 宁愿
 宁可；宁可…也不；宁肯"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
drive sb. crazy, 受不了；使…发疯；怒火狂飙
drive sb. mad,un. 变疯
the more ... the more ...,找不到解释
lately,adv. 近来，不久前
be friends with sb.,找不到解释
leave out,"na. 遗漏；忽略；(告诉某人)停下来
 省去；省略；不考虑"
friendship,n. 友谊；友爱；友善
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
prime minister,"n. 首相；总理
 丞相；宰相；英国首相"
banker,n. 银行家；银行业者；掘土工
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
queen,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
vt. 使…成为女王或王后
vi. 做女王"
call in,"na. 招；叫进；引入；调入
 召来；来访；收回"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
nor,"conj. 也不；也不是
adv. 也不；也没有"
neither ... nor ...,找不到解释
palace,n. 宫殿；宅邸；豪华住宅
wealth,n. 财富；大量；富有
to start with,"na. 首先
 第一；作为开始；一开始"
grey,"n. 灰色
adj. 灰色的；灰白的
vt. 使变成灰色；使变老
vi. 变成灰色；老化"
lemon,"adj. 柠檬色的
n. 柠檬"
uncomfortable,adj. 不舒服的；不安的
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
let ... down,"na. 使失望；放下；丢面子
 失望沮丧；辜负；松劲"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
kick sb. off,找不到解释
be hard on sb.,找不到解释
besides,"prep. 除…之外
adv. 此外；而且"
teammate,n. 队友，同队队员
courage,n. 勇气；胆量
rather than,"na. 而不
 而不是；宁愿；与其"
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
pull together,"na. 通力合作；拼凑
 齐心协力；团结起来；同心协力"
relief,n. 救济；减轻，解除；安慰；浮雕
nod,"n. 点头；打盹；摆动
vt. 点头；点头表示
vi. 点头；打盹；摆动"
agreement,n. 协议；同意，一致
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
disappoint,vt. 使失望
Bert,找不到解释
Holly,找不到解释
unexpected,adj. 意外的，想不到的
by the time ...,找不到解释
backpack,"n. 双肩背包，背包；远足用的背包
vt. 挑运；把…放入背包
vi. 背负简便行李旅行；挑运"
oversleep,"vt. 使睡过头
vi. 睡过头"
give ... a lift, 让…搭车；搭便车
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
in line with,"na. 和…成一直线；和…一致
 符合；按照；跟…一致"
worker,n. 工人；劳动者；职蚁
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
disbelief,n. 怀疑，不信
above,"prep. 超过；在……上面；在……之上
n. 上文
adj. 上文的
adv. 在上面；在上文"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
burning,"n. 燃烧
adj. 燃烧的；强烈的；发热的
vi. 燃烧（burn的现在分词）"
alive,adj. 活着的；活泼的；有生气的
airport,n. 机场；航空站
till,"prep. 直到
conj. 直到...为止
n.  冰碛；放钱的抽屉；备用现金
vt. 耕种；犁
vi. 耕种；耕耘"
west,"n. 西；西方；西部
adj. 西方的；朝西的
adv. 在西方；向西方；自西方"
cream,n. 奶油，乳脂；精华；面霜；乳酪
workday,"n. 工作日
adj. 日常的，工作日的；平凡的"
pie,"n. 馅饼；饼图；爱说话的人
vt. 使杂乱"
show up,"na. 显眼；揭发；嘲笑；露面
 出现；出席；揭露"
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
by the end of,"prep. 在…尽头
 到……为止；到……末为止；到……底为止"
fool,"n. 傻瓜；愚人；受骗者
vt. 欺骗，愚弄
adj. 傻的
vi. 欺骗；开玩笑；戏弄"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
costume party,"n. 化装舞会
 化妆舞会；化装聚会；变装派对"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
spaghetti,n. 意大利式细面条
hoax,"n. 骗局；恶作剧
vt. 愚弄；欺骗"
sell out,"na. 卖完；脱销；背叛；欺骗
 售完；卖光；出卖"
discovery,n. 发现，发觉；被发现的事物
lady,n. 女士，夫人；小姐；妻子
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
officer,"n. 军官，警官；公务员，政府官员；船长
vt. 指挥"
believable,adj. 可信的
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
embarrassing,adj. 使人尴尬的；令人为难的
New Zealand,"n. 新西兰
 纽西兰；奥克兰；区新西兰"
Italy,n. 意大利（欧洲南部国家）
Mars,n. 战神； 火星
Matt,找不到解释
Kevin,找不到解释
Carl,n. 粗野之人；村夫
Orson Welles, 奥逊·威尔斯；奥森威尔斯；韦尔斯
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
fisherman,n. 渔夫；渔人
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
ugly,adj. 丑陋的；邪恶的；令人厌恶的
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
wooden,adj. 木制的；僵硬的，呆板的
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
takeaway,"n. 外卖食品；外卖餐馆
adj. 外卖的；外吃的"
bin,"n. 箱子，容器；二进制
vt. 把…放入箱中"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
fin,"n. 鳍；鱼翅；鳍状物
vt. 切除鳍；装上翅
vi. 猛挥鳍；潜泳"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
harmful,adj. 有害的；能造成损害的
be harmful to, 对…有害；对…有危害；对……是有害的
at the top of,"na. 在…最高地位；用最高的(速度,声音等)
 在……顶部；在……顶端；顶上"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
the food chain, 有趣的食物链；烦个屁呀；例句
ecosystem,n. 生态系统
industry,n. 产业；工业；勤勉
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
scientific,adj. 科学的，系统的
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
afford,vt. 给予，提供；买得起
turn off,"v. 关掉
 关上；关闭；解雇"
reusable,adj. 可以再度使用的，可重复使用的
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
 付款；付钱；支付"
take action,"na. 动手；采取行动；采取(快速)措施；提起诉讼
 行动起来；采取措施；实施行动"
transportation,n. 运输；运输系统；运输工具；流放
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
napkin,n. 餐巾；餐巾纸；尿布
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
 扔掉；丢弃；丢掉"
put sth. to good use, 施展；发挥；充分加以利用
pull ... down,"na. 挣钱；压低；拆坏(房子等)；(疾病使人)衰弱
 拆毁；推翻；拉下，降低"
upside down,"adv. 颠倒；倒转；翻转
 颠倒世界；逆世界；上下颠倒"
gate,"n. 大门；出入口；门道
vt. 给…装大门"
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币"
president,n. 总统；董事长；校长；主席
inspiration,n. 灵感；鼓舞；吸气；妙计
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
bring back,"na. 送回；使恢复；使回忆起
 拿回来；带回；带回来"
creativity,n. 创造力；创造性
WildAid,找不到解释
WWF,找不到解释
World Wide Fund for Nature, 世界自然基金会；世界野生动物基金会；全球自然基金
Jason,找不到解释
Hayes,找不到解释
Jessica,找不到解释
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
in a row,"na. 成一排；连续
 连续的；一连串；接连"
keyboard,"n. 键盘
vt. 键入；用键盘式排字机排字
vi. 用键盘进行操作；作键盘式排字机排字"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
instruction,n. 指令，命令；指示；教导；用法说明
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
shall,aux. 应；会；将；必须
look back at,找不到解释
overcome,"vt. 克服；胜过
vi. 克服；得胜"
make a mess, 弄乱；搞成一团糟；搞得乱七八糟
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
keep one's cool,"un. 保持冷静
 发脾气；某日"
caring,"v. 关心；照顾（care的现在分词）
adj. 有同情心的；表示或感到关怀或关心的"
ours,pron. 我们的
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
senior high,"na. 高级中学(10--12年级)
 高中；高中部；高中以上"
senior high school,"n. （美国）高中
 高级中学；卢登高中；高中生"
text,"n.  文本；课文；主题
vt. 发短信"
go by,"na. 走过；以…为根据(作判断)；顺道访问；受…所控制
 过去；经过；依照"
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
degree,n. 程度，等级；度；学位；阶层
manager,n. 经理；管理人员
believe in,"v. 相信
 信任；信仰；信奉"
gentleman,n. 先生；绅士；有身份的人
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
first of all,"na. 第一
 首先；首要；是首先的意思"
congratulate,vt. 祝贺；恭喜；庆贺
thirsty,adj. 口渴的，口干的；渴望的，热望的
be thirsty for, 渴望；渴求；渴望得到
thankful,adj. 感谢的；欣慰的
be thankful to sb.,找不到解释
lastly,adv. 最后，终于
task,"n. 工作，作业；任务
vt. 分派任务"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
ahead of,"prep. （时间、空间）在…前面；早于；领先
 先于；在……的前面；优于"
along with,"na. 与…一道；以外
 与……一起；伴随；和…一起"
responsible,adj. 负责的，可靠的；有责任的
be responsible for,"v. 负责；担负
 对…负责；为…负责；对……负责任"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
set out,"n. 开始；出发；动身；准备
 陈列；着手；陈述"
separate from,"把...和...分开, 把...和...区分开, 使...从...离析"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
Luke,找不到解释
Brian,找不到解释
Griffin,找不到解释
Trent,找不到解释
