symptom,n.  症状；征兆
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
path,n. 道路；小路；轨道
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
subway,"n. 地铁；地道
vi. 乘地铁"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
journey,"n. 旅行；行程
vi. 旅行"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
vessel,n. 船，舰； 脉管，血管；容器，器皿
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
navigation,n. 航行；航海
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
extinguish,vt. 熄灭；压制；偿清
shipment,n. 装货；装载的货物
navy,"n. 海军
深蓝色的"
naval,adj. 海军的；军舰的
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
fisherman,n. 渔夫；渔人
tanker,n. 油轮；运油飞机；油槽车；坦克手
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
fountain,n. 喷泉，泉水；源泉
universe,n. 宇宙；世界；领域
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
astronomy,n. 天文学
astronaut,n. 宇航员，航天员；太空旅行者
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
parachute,"n. 降落伞
vi. 跳伞
空投"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
planet,n. 行星
aviation,n. 航空；飞行术；飞机制造业
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
satellite,n. 卫星；人造卫星；随从；卫星国家
spaceship,n.  宇宙飞船
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
airline,"n. 航空公司；航线
adj. 航线的"
passport,n. 护照，通行证；手段
species,"n.  物种；种类
adj. 物种上的"
creature,n. 动物，生物；人；创造物
predator,n.  捕食者； 食肉动物；掠夺者
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
insect,n. 昆虫；卑鄙的人
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
organic,adj.  有机的；组织的；器官的；根本的
organism,n. 有机体；生物体；微生物
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
synthesis,n. 综合， 合成；综合体
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
survival,n. 幸存，残存；幸存者，残存物
exist,vi. 存在；生存；生活；继续存在
existence,n. 存在，实在；生存，生活；存在物，实在物
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
evolution,n. 演变；进化论；进展
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
extinguish,vt. 熄灭；压制；偿清
mammal,n.  哺乳动物
mankind,n. 人类；男性
humanity,n. 人类；人道；仁慈；人文学科
origin,n. 起源；原点；出身；开端
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
offspring,n. 后代，子孙；产物
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
category,n. 种类，分类； 范畴
ecology,n. 生态学；社会生态学
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
enterprise,n. 企业；事业；进取心；事业心
entrepreneur,n. 企业家；承包人；主办者
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
agency,n. 代理，中介；代理处，经销处
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
business,n. 商业； 生意； 交易；事情
headquarter,"vt. 在…设总部
vi. 设立总部"
division,n.  除法；部门；分配；分割；师（军队）；赛区
mill,"vi. 乱转；被碾磨
n. 工厂；磨坊；磨粉机；制造厂；压榨机
vt. 搅拌；碾磨；磨细；使乱转"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
product,n. 产品；结果； 乘积；作品
production,n. 成果；产品；生产；作品
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
productivity,n. 生产力；生产率；生产能力
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
association,n. 协会，联盟，社团；联合；联想
union,n. 联盟，协会；工会；联合
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
foundation,n. 基础；地基；基金会；根据；创立
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
establish,"vi. 植物定植
vt. 建立；创办；安置"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
booth,n. 货摊；公用电话亭
grocer,n. 杂货店；食品商
guild,n. 协会，行会；同业公会
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
membership,n. 资格；成员资格；会员身份
entity,n. 实体；存在；本质
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
occupy,vt. 占据，占领；居住；使忙碌
occupation,n. 职业；占有；消遣；占有期
vocation,n. 职业；天职；天命；神召
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
counterpart,n. 副本；配对物；极相似的人或物
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
superiority,n. 优越，优势；优越性
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
colleague,n. 同事，同僚
manager,n. 经理；管理人员
dean,n. 院长；系主任；教务长；主持牧师
director,n. 主任，主管；导演；人事助理
premier,"n. 总理，首相
adj. 第一的；最初的"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
deputy,"n. 代理人，代表
adj. 副的；代理的"
secretary,n. 秘书；书记；部长；大臣
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
pursuit,n. 追赶，追求；职业，工作
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
accountant,n. 会计师；会计人员
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
predecessor,n. 前任，前辈
preside,"vi. 主持，担任会议主席
vt. 管理"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
elite,n. 精英；精华；中坚分子
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
consultant,n. 顾问；咨询者；会诊医生
editor,n. 编者，编辑；社论撰写人；编辑装置
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
spokesman,n. 发言人；代言人
butcher,"n. 屠夫
vt. 屠杀"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
appointment,n. 任命；约定；任命的职位
candidate,n. 候选人，候补者；应试者
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
departure,n. 离开；出发；违背
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
exit,"n. 出口，通道；退场
vi. 退出；离去"
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
employer,n. 雇主，老板
employee,n. 雇员；从业员工
employment,n. 使用；职业；雇用
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
paycheck,n. 付薪水的支票，薪水
revenue,n. 税收，国家的收入；收益
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
beneficial,adj. 有益的，有利的；可享利益的
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
profitable,adj. 有利可图的；赚钱的；有益的
lucrative,adj. 有利可图的，赚钱的；合算的
income,n. 收入，收益；所得
salary,"n. 薪水
vt. 给...加薪；给...薪水"
dividend,n. 红利；股息； 被除数；奖金
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
subsidy,n. 补贴；津贴；补助金
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
bonus,n. 奖金；红利；额外津贴
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
marginal,adj. 边缘的；临界的；末端的
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
wealth,n. 财富；大量；富有
rake,"n. 耙子；斜度；钱耙；放荡的人，浪子
vt. 倾斜；搜索；掠过；用耙子耙
vi. 搜索；用耙子耙；掠过，擦过"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
coupon,n. 息票；赠券；联票； 配给券
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
fee,"n. 费用；酬金；小费
vt. 付费给……"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
expenditure,n. 支出，花费；经费，消费额
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
patron,n. 赞助人；保护人；主顾
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
consumption,n. 消费；消耗；肺痨
expend,vt. 花费；消耗；用光；耗尽
afford,vt. 给予，提供；买得起
packer,n. 包装机；包装工人；罐头食品工人，赶牲口运货的人
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
contribution,n. 贡献；捐献；投稿
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
debt,n. 债务；借款；罪过
lend,"vt. 贷；增添，提供；把……借给
vi. 贷款"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
donation,n. 捐款，捐赠物；捐赠
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
fund,"n. 基金；资金；存款
vt. 投资；资助"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
financial,adj. 金融的；财政的，财务的
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
fiscal,adj. 会计的，财政的；国库的
monetary,adj. 货币的；财政的
emerge,vi. 浮现；摆脱；暴露
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
economy,n. 经济；节约；理财
economic,adj. 经济的，经济上的；经济学的
economical,adj. 经济的；节约的；合算的
economics,n. 经济学；国家的经济状况
prudent,adj. 谨慎的；精明的；节俭的
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
growth,n. 增长；发展；生长；种植
currency,n. 货币；通货
manipulate,vt. 操纵；操作；巧妙地处理；篡改
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
mutual,adj. 共同的；相互的，彼此的
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
prosperity,n. 繁荣，成功
prosperous,adj. 繁荣的；兴旺的
thrive,vi. 繁荣，兴旺；茁壮成长
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
recovery,n. 恢复，复原；痊愈；重获
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
holder,n. 持有人；所有人；固定器；（台、架等）支持物
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
stability,n. 稳定性；坚定，恒心
uncertainty,n. 不确定，不可靠
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
recession,n. 衰退；不景气；后退；凹处
depress,vt. 压抑；使沮丧；使萧条
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
setback,n. 挫折；退步；逆流
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
reduction,n. 减少；下降；缩小；还原反应
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
downward,"adj. 向下的，下降的
adv. 向下"
stagnant,adj. 停滞的；不景气的；污浊的；迟钝的
downturn,n. 衰退（经济方面）；低迷时期
slowdown,n. 减速；怠工；降低速度
meltdown,n. 灾难；彻底垮台；熔化；暴跌
agenda,n. 议程；日常工作事项；日程表
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
transaction,n. 交易；事务；办理；会报，学报
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
acquire,vt. 获得；取得；学到；捕获
acquisition,n. 获得物，获得；收购
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
monopoly,n. 垄断；垄断者；专卖权
industry,n. 产业；工业；勤勉
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
dealer,"n. 经销商；商人
n. 发牌员
n. 毒品贩子，贩毒者"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
management,n. 管理；管理人员；管理部门；操纵；经营手段
treaty,n. 条约，协议；谈判
meeting,"n. 会议；会见；集会；汇合点
v. 会面；会合（meet的ing形式）"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
investment,n. 投资；投入；封锁
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
compete,vi. 竞争；比赛；对抗
competition,n. 竞争；比赛，竞赛
competitive,adj. 竞争的；比赛的；求胜心切的
competent,adj. 胜任的；有能力的；能干的；足够的
commerce,n. 贸易；商业；商务
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
commodity,n. 商品，货物；日用品
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
inventory,n. 存货，存货清单；详细目录；财产清册
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
distribute,vt. 分配；散布；分开；把…分类
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
goods,n. 商品；动产；合意的人；真本领
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
output,"n. 输出，输出量；产量；出产
vt. 输出"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
quota,n. 配额；定额；限额
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
percentage,n. 百分比；百分率，百分数
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
collaborate,vi. 合作；勾结，通敌
cooperate,vi. 合作，配合；协力
cooperative,"n. 合作社
adj. 合作的；合作社的"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
assess,vt. 评定；估价；对…征税
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
auction,"n. 拍卖
vt. 拍卖；竞卖"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
