aberrant,adj. 异常的；畸变的；脱离常轨的；迷乱的
hector,"n. 虚张声势的人；威吓者；恃强凌弱的人
vt. 威吓；欺凌
vi. 威吓；愚弄"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
hegemony,n. 霸权；领导权；盟主权
heretic,"adj. 异端的；异教的
n. 异教徒，异端者"
heyday,"n. 全盛期
int. 嘿！（表喜悦或惊奇等）"
histrionic,"n. 演员
adj. 戏剧的；演员的，表演的"
hoary,adj. 久远的，古老的；灰白的
hobble,"n. 跛行步态
vt. 使跛行
vi. 蹒跚；跛行"
hodgepodge,"n. 大杂烩；混煮；一团糟
vt. 使混乱"
hoodwink,vt. 蒙蔽；欺骗；遮眼
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
hubris,n. 傲慢；狂妄自大
humdrum,"n. 单调；乏味
adj. 单调的；无聊的
vi. 单调乏味地进行"
iconoclast,n. 偶像破坏者；提倡打破旧习的人
iconoclastic,adj. 打破旧习的；偶像破坏的
idiosyncrasy,n. （个人独有的）气质，性格，习惯，癖好
ignoble,adj. 不光彩的；卑鄙的；卑贱的
ignominious,adj. 可耻的；下流的
illicit,adj. 违法的；不正当的
illustrious,adj. 著名的，杰出的；辉煌的
imbibe,vt. 吸收，接受；喝；吸入
imbroglio,n. 纠葛；纷乱；纷扰
immaterial,adj. 非物质的；无形的；不重要的；非实质的
immure,vt. 把…嵌在墙上；监禁，禁闭
immutable,adj. 不变的；不可变的；不能变的
impartial,adj. 公平的，公正的；不偏不倚的
impeccable,adj. 无瑕疵的；没有缺点的
impecunious,adj. 没有钱的；贫穷的
impede,vt. 阻碍；妨碍；阻止
impending,"adj. 即将发生的；迫切的；悬挂的
v. 迫近；悬空（impend的现在分词）"
imperious,adj. 专横的；迫切的；傲慢的
impermeable,adj. 不渗透性的；（对水等）不能渗透的
impertinent,adj. 不恰当的；无礼的；粗鲁的；不相干的
impervious,adj. 不受影响的，无动于衷的；不能渗透的
impetuous,adj. 冲动的；鲁莽的；猛烈的
implacable,adj. 不能安抚的；难和解的；不能缓和的
implausible,adj. 难以置信的，不像真实的
implicate,vt. 使卷入；涉及；暗指；影响
hamstring,"n. 腿筋
vt. 切断腿筋使成跛腿；使残废"
harry,vt. 折磨；掠夺；骚扰；使苦恼
imponderable,"adj. 无重量的；无法计算的
n. 无法衡量的事物"
impregnable,adj. 无法攻取的；不受影响的；要塞坚固的；不可受孕的
improvident,adj. 浪费的；无远见的；无先见之明的
imprudent,adj. 轻率的，鲁莽的；不小心的
impudent,adj. 无耻的；鲁莽的；放肆无礼的
impugn,vt. 指责，非难；抨击；反驳；对…表示怀疑
impute,vt. 归罪于，归咎于；嫁祸于
inadvertent,adj. 疏忽的；不注意的（副词inadvertently）；无意中做的
inanity,n. 空虚；愚蠢；浅薄
inarticulate,adj. 口齿不清的；说不出话的； 无关节的
incense,"n. 香；奉承
vt. 向…焚香；使…发怒
vi. 焚香"
incessant,adj. 不断的；不停的；连续的
inchoate,"adj. 早期的；刚开始的；未充分发展的
vt. 开始
vi. 开始"
incisive,adj. 深刻的；敏锐的；锋利的
inclement,adj. 险恶的；气候严酷的；狂风暴雨的
incongruous,adj. 不协调的；不一致的；不和谐的
incontrovertible,adj. 无可争议的；无疑的；明白的
incorrigible,"n. 不可救药的人
adj. 不可救药的；积习难改的"
incumbent,"n. 在职者；现任者；领圣俸者
adj. 现任的；依靠的；负有职责的"
indecorous,adj. 不合礼节的，不得体的
indict,vt. 控告，起诉； 揭发
indifference,n. 漠不关心；冷淡；不重视；中立
indigenous,adj. 本土的；土著的；国产的；固有的
indigent,adj. 贫困的；贫穷的（副词indigently）
indignant,adj. 愤愤不平的；义愤的
industrious,adj. 勤勉的
ineffable,adj. 不可言喻的；不应说出的；难以形容的
ineluctable,adj. 不可避免的；无法逃避的
inequity,n. 不公平，不公正
inexorable,adj. 无情的；不屈不挠的；不可阻挡的；无法改变的
infelicitous,adj. 不幸的；不适当的；不吉利的
inflammatory,adj. 炎症性的；煽动性的；激动的
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
ingenuous,adj. 天真的；坦白的；正直的；朴实的
inimical,adj. 敌意的；有害的
inimitable,adj. 独特的；无比的；无法仿效的
inkling,"n. 暗示；略知；模糊概念
v. 暗示 （inkle的ing形式）；略知；低声说出"
innocuous,adj. 无害的；无伤大雅的
inscrutable,adj. 神秘的；不可理解的；不能预测的；不可思议的
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
insipid,adj. 清淡的；无趣的
insolent,adj. 无礼的；傲慢的；粗野的；无耻的
insolvent,"n. 破产者；无力偿还者
adj. 破产的；无力偿还的"
insouciance,n. 无忧无虑；漫不经心；满不在乎
insufferable,adj. 难以忍受的；不可忍受的；令人厌恶的
intermittent,adj. 间歇的；断断续续的；间歇性
internecine,adj. 两败俱伤的；互相残杀的；致命的
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
intimation,n. 暗示；告知；讽示
intransigent,"n. 不妥协的人
adj. 不妥协的；不让步的"
intrepid,adj. 无畏的；勇敢的；勇猛的
inundate,vt. 淹没；泛滥；浸水；（洪水般的）扑来
inure,"vt. 使…习惯；使…适应
vi. 适用；起作用；有助于"
invective,"n. 恶言漫骂
adj. 谩骂的；恶言的"
inveterate,adj. 根深的；积习的；成癖的
invidious,adj. 诽谤的；不公平的；引起反感的；易招嫉妒的
inviolable,adj. 不可侵犯的；神圣的；不可亵渎的
inviolate,adj. 无污点的；未亵渎的，未受侵犯的
involved,"v. 涉及；使参与；包含（involve的过去式和过去分词）
adj. 有关的；卷入的；复杂的"
irascible,adj. 易怒的
irk,vt. 使烦恼；使厌倦
irrefutable,adj. 不能驳倒的；不能回答的
irresolute,adj. 优柔寡断的；踌躇不定的；无决断的
irrevocable,adj. 不可改变的；不能取消的；不能挽回的
itinerant,"n. 巡回者；行商
adj. 巡回的；流动的"
jargon,n. 行话，术语；黄锆石
jaundice,"n. 黄疸；偏见；乖僻
vt. 使怀偏见；使患黄疸"
jejune,adj. 枯燥无味的；幼稚的；缺乏营养的
jingoism,n. 侵略主义；沙文主义；武力外交政策
jingoist,"n. 沙文主义者；侵略主义者
adj. 侵略主义的；沙文主义的"
jocular,adj. 爱开玩笑的；打趣的；滑稽的
jovial,adj. 天性快活的；主神朱庇特的
jubilant,adj. 欢呼的；喜洋洋的
juggernaut,n. 世界主宰；强大的破坏力
junta,n. 团体，派别
juxtapose,vt. 并列；并置
kowtow,"vi. 叩头；卑躬屈膝
n. 叩头"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
laborious,adj. 勤劳的；艰苦的；费劲的
lacerate,"vt. 伤害，使…痛心；割裂；撕碎
adj. 受折磨的；撕碎的"
lachrymose,adj. 爱哭的，易流泪的；悲哀的
laconic,adj. 简洁的，简明的
lambast,"vt. 鞭打, 狠打, 严厉责骂"
lampoon,"vt. 讽刺
n. 讽刺文章"
languid,adj. 倦怠的；呆滞的；软弱无力的
languish,vi. 憔悴；凋萎；失去活力；苦思
largess,n. 慷慨的赠予；赠品
lascivious,adj. 好色的；淫荡的；挑动情欲的
laudable,adj. 值得赞赏的
leery,adj. 机敏的；狡猾的；猜疑的；送秋波的
lethargic,adj. 昏睡的；无生气的
limpid,adj. 透明的；平静的，无忧虑的
lionize,"vt. 把……奉为名人；游览名胜
vi. 游览名胜"
litany,n. 冗长而枯燥的陈述；连祷
loath,adj. 勉强的；不情愿的（等于loth）
lucid,adj. 明晰的；透明的；易懂的；头脑清楚的
lugubrious,adj. 悲哀的，悲惨的
macabre,adj. 可怕的；以死亡为主题的；令人毛骨悚然的（等于macaber）
machinate,"vi. 策划；图谋不轨
vt. 策划；图谋"
importune,"vt. 强求；一再向某人要求
vi. 强求；胡搅蛮缠"
magisterial,adj. 有权威的；专横的；官吏的
magnanimous,adj. 宽宏大量的；有雅量的；宽大的
maintain,vt. 维持；继续；维修；主张；供养
maladroit,adj. 笨拙的；不灵巧的；愚钝的
malady,n. 弊病；疾病；腐败
malapropism,n. 文字误用；词语荒唐误用
malevolent,adj. 恶毒的；有恶意的；坏心肠的
malfeasance,n. 渎职，违法行为；不正当，坏事
malingerer,n. 装病逃差者
malleable,adj. 可锻的；可塑的；有延展性的；易适应的
malodorous,adj. 有恶臭的；令人极为反感的；不合法的
martial,adj. 军事的；战争的；尚武的
martinet,n. 严格执行纪律的人
maudlin,"adj. 感情脆弱的；容易流泪的；酒后伤感的
n. 伤感；易流泪"
maunder,vi. 徘徊；唠叨地讲；胡扯
maverick,"n. 没打烙印的动物；持不同意见的人
vt. 用不正当手段获取
vi. 迷途；背离
adj. 未打烙印的；行为不合常规的；特立独行的"
mawkish,adj. 令人作呕的，令人厌恶的；自作多情的；淡而无味的
maxim,找不到解释
meander,"n. 漫步；曲流（常用复数）
vt. 漫步；蜿蜒缓慢流动
vi. 漫步；漫谈"
melancholy,"adj. 忧郁的；使人悲伤的
n. 忧郁；悲哀；愁思"
melee,n. 混战，格斗；互殴
mellifluous,adj. 流畅的；如蜜般的
mendacity,n. 谎言；虚伪；撒谎癖
mendicant,"adj. 行乞的；托钵修道会的
n. 乞丐；托钵僧"
mercurial,"adj. 水银的；水星的；墨丘利神的；雄辩机智的；活泼善变的
n. 汞剂；水银剂"
mesmerize,vt. 施催眠术；迷住；以魅力迫使
meteoric,adj. 大气的；流星的；疾速的
meticulous,adj. 一丝不苟的；小心翼翼的；拘泥小节的
mettlesome,adj. 勇敢的；精神饱满的
misanthrope,n. 不愿与人来往者；厌恶人类的人
misconstrue,vt. 误解，曲解；误会
miscreant,"adj. 异端的；邪道的；极恶的
n. 异端；恶棍；罪大恶极之人"
miser,n. 守财奴；吝啬鬼；（石油工程上用的）凿井机
misogynist,n. 厌恶女人的人
mitigate,"vt. 使缓和，使减轻
vi. 减轻，缓和下来"
modicum,n. 少量，一点点
mollify,vt. 平息，缓和；使…平静；使…变软
moment,n. 片刻，瞬间，时刻；重要，契机
moot,"adj. 无实际意义的；未决议的
vt. 提出…供讨论
n. 大会；辩论会；假设案件"
mordant,"adj. 有腐蚀性的；尖酸的；辛辣的
n.  媒染剂；金属腐蚀剂；金属箔粘着剂
vt. 媒染；用媒染剂处理"
moribund,"adj. 垂死的；停滞不前的
n. 垂死的人"
morose,adj. 郁闷的；孤僻的
morph,"n. 词态；语素
vt. 在屏幕上变换图像；改变"
mulct,"vt. 抢夺，诈取；处以罚金
n. 罚金"
mundane,adj. 世俗的，平凡的；世界的，宇宙的
munificent,adj. 慷慨的；丰厚的；宽宏的
muted,"adj. 柔和的；无言的；趋缓的
v. 使柔和（mute的过去式和过去分词）；消除声音"
myopic,adj. 近视的；目光短浅的
myriad,"adj. 无数的；种种的
n. 无数，极大数量；无数的人或物"
nadir,n. 最低点，最底点； 天底
negligible,adj. 微不足道的，可以忽略的
nettlesome,adj. 令人激恼的；易怒的；烦人的
noisome,adj. 恶臭的；有害的
nonchalant,adj. 冷淡的，漠不关心的
nuance,n. 细微差别
obdurate,adj. 顽固的，执拗的；冷酷无情的
objurgate,vt. 申斥，非难
obliging,"adj. 乐于助人的；有礼貌的；体贴的；亲切的
v. 迫使；约束（oblige的现在分词）"
oblique,"adj. 斜的；不光明正大的
n. 倾斜物
vi. 倾斜"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
obsequious,adj. 谄媚的；奉承的；顺从的
obstinate,adj. 顽固的；倔强的；难以控制的
obstreperous,adj. 吵闹的，喧嚣的；难驾驭的
obtain,"vi. 获得；流行
vt. 获得"
obtuse,adj. 迟钝的；圆头的；不锋利的
officious,adj. 多管闲事的；非官方的
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
opulence,n. 富裕；丰富
ornate,adj. 华丽的；装饰的；（文体）绚丽的
ossify,"vi. 骨化；硬化；僵化
vt. 使硬化；使骨化；使僵化"
ostentatious,adj. 招摇的；卖弄的；夸耀的；铺张的；惹人注目的
ostracize,vt. 放逐；排斥；按贝壳流放法放逐
overweening,adj. 自负的，过于自信的；过分的
palatable,adj. 美味的，可口的；愉快的
palaver,"n. 谈判，交涉；奉承
vt. 奉承
vi. 唠叨；空谈；奉承，拍马"
palimpsest,"n. 重写本
写在重写本上的"
panacea,n. 灵丹妙药；万能药
panache,n. 羽饰；灿烂；耍派头
panegyric,n. 颂词，赞颂
paradoxical,adj. 矛盾的；诡论的；似非而是的
paragon,"n. 模范；完美之物；优秀之人
adj. 完美的"
pariah,n. 贱民（印度的最下阶级）
parochial,adj. 教区的；狭小的；地方范围的
parsimonious,adj. 吝啬的；过于节俭的；质量差的
parvenu,"n. 暴发户，新贵
adj. 暴发户的"
pastoral,"n. 牧歌；田园诗；田园景色
adj. 牧师的；牧人的；田园生活的；乡村的"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
patronize,vt. 以高人一等的态度对待；经常光顾，惠顾；资助；保护
paucity,n. 缺乏；少数；少量
pecuniary,adj. 金钱的；应罚款的
pedantic,adj. 迂腐的；学究式的；卖弄学问的；假装学者的
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
peevish,adj. 易怒的，暴躁的；带怒气的；撒娇的
pejorative,"n. 轻蔑语
adj. 轻蔑的； 恶化的，变坏的"
pellucid,adj. 透明的；清晰的；明了的
penurious,adj. 吝啬的；缺乏的；贫困的
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
percipient,"n. 有感知力的人
adj. 目光敏锐的；有洞察力的"
nonplus,"n. 迷惑；困惑
vt. 使困惑"
peremptory,adj. 强制的；绝对的；断然的；专横的
perennial,"n. 多年生植物
adj. 多年生的；常年的；四季不断的；常在的；反复的"
perfidy,n. 不诚实；背信弃义
perfunctory,adj. 敷衍的；马虎的；得过且过的
peripatetic,"n. 走来走去的人；逍遥学派的人
adj. 漫游的；逍遥学派的"
pernicious,adj. 有害的；恶性的；致命的；险恶的
perpetuate,"vt. 使不朽；保持
adj. 长存的"
perquisite,n. 额外补贴；临时津贴；特权
perspicacious,adj. 有洞察力的；聪颖的；敏锐的
pertinent,adj. 相关的，相干的；中肯的；切题的
perturb,vt. 扰乱；使…混乱；使…心绪不宁
peruse,vt. 详细考察；精读
petulant,adj. 暴躁的；任性的；难以取悦的
phantasmagorical,adj. 幻影似的；变幻无常的
philistine,"n. 俗气的人；-仇敌；门外汉
adj. 俗气的；无教养的；腓力斯人的"
phlegmatic,adj. 冷淡的；迟钝的；冷漠的
picayune,"n. 无价值之物；西班牙小币
adj. 不值钱的；眼光狭小的；微不足道的"
pillory,"n. 示众；颈手枷；使惹人嘲笑
vt. 给…上颈手枷；使…惹人嘲笑"
pine,"n.  松树；凤梨，菠萝
adj. 松木的；似松的
vt. 为…悲哀；哀悼
vi. 渴望，痛苦；憔悴"
pinnacle,"n. 高峰；小尖塔；尖峰；极点
vt. 造小尖塔；置于尖顶上；置于高处"
piquant,adj. 辛辣的；活泼的；痛快的；顽皮的；刺激的
pith,"n. 精髓；核心；骨髓；要旨
vt. 杀死；使瘫痪；除去…中的髓"
pithy,adj. 有髓的，多髓的；精练的；简洁有力的
pittance,n. 少量；小额施舍；少量津贴
placate,vt. 抚慰；怀柔；使和解
placid,adj. 平静的；温和的；沉着的
platitude,n. 陈词滥调；平凡；陈腐
plodding,"adj. 单调乏味的；沉重缓慢的
v. 沉重地走；辛勤工作（plod的ing形式）"
ploy,"n. 策略；活动；工作
vt. 使部队由横队变为纵队
vi. 由横队变为纵队"
plucky,adj. 有勇气的，大胆的
poignant,adj. 尖锐的；辛酸的；深刻的；切中要害的
polemic,"n. 争论；辩论者
adj. 好争论的"
ponderous,"adj. 笨重的；沉闷的；呆板的
比较级more ponderous 最高级most ponderous"
pontificate,"vi. 执行教皇职务；武断地表示意见
n. 教皇的职位"
portentous,adj. 不祥的；预兆的；令人惊讶的
posit,"n. 假设；设想
vt. 安置；假定"
powwow,"n. 仪式；巫师；医师
vt. 用巫术医治
vi. 商谈；举行祈祷仪式"
pragmatic,adj. 实际的；实用主义的；国事的
precarious,adj. 危险的；不确定的
precedent,"n. 先例；前例
adj. 在前的；在先的"
precipitate,"n.  沉淀物
vt. 使沉淀；促成；猛抛；使陷入
adj. 突如其来的；猛地落下的；急促的
vi.  沉淀；猛地落下；冷凝成为雨或雪等"
precipitous,adj. 险峻的；急躁的，鲁莽的
preclude,vt. 排除；妨碍；阻止
precocious,adj. 早熟的；过早发育的
predilection,n. 偏爱，嗜好
preempt,vt. 先占；先取；以先买权获得
preemptive,adj. 优先购买的；先发制人的；有先买权的
prescience,n. 先见；预知
presentiment,n. 预感
presumption,n. 放肆，傲慢；推测
presumptuous,adj. 专横的；放肆的；冒昧的
prevail,vi. 盛行，流行；战胜，获胜
prevaricate,vi. 搪塞；支吾其辞，闪烁其辞
primacy,n. 首位；卓越；大主教的职位
pristine,adj. 原始的，古时的；纯朴的
probity,n. 廉洁；正直
prodigal,"n. 浪子；挥霍者
adj. 挥霍的；十分慷慨的"
prodigious,adj. 惊人的，异常的，奇妙的；巨大的
profligate,"n. 放荡者；享乐者
adj. 放荡的，不检点的；恣意挥霍的"
profuse,adj. 丰富的；很多的；慷慨的；浪费的
profusion,n. 丰富，充沛；慷慨
prognostication,n. 预测；预言；预兆
prolific,adj. 多产的；丰富的
prolixity,n. 冗长；罗嗦
promulgate,vt. 公布；传播；发表
propitiate,vt. 抚慰，安抚；与…和解
propitious,adj. 适合的；吉利的；顺利的
proponent,n. 支持者；建议者；提出认证遗嘱者
prosaic,adj. 平凡的，乏味的；散文体的
proscribe,vt. 剥夺……的公权；禁止
proselytize,"vt. 使改宗
vi. 劝诱改宗"
protean,adj. 千变万化的；一人演几个角色的；变形虫的
provident,adj. 节俭的；有先见之明的；顾及未来的
provincial,"n. 粗野的人；乡下人；外地人
adj. 省的；地方性的；偏狭的"
provisional,"adj. 临时的，暂时的；暂定的
n. 临时邮票"
puerile,adj. 幼稚的；孩子气的；未成熟的；天真的
pugnacious,adj. 好斗的，好战的
puissant,adj. 强大的，强盛的；有势力的，有权力的
punctilious,adj. 一丝不苟的；精密细心的；拘泥形式的
pundit,n. 专家；博学者；梵文学者
pyrrhic,"n. 抑抑格；出征舞
adj. 抑抑格的；出征舞的；付出极大代价而获得的"
quail,"n. 鹌鹑
vi. 畏缩，胆怯；感到恐惧"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
qualm,n. 疑虑；不安
quandary,n. 困惑；窘境；为难
querulous,adj. 易怒的，暴躁的；爱发牢骚的，抱怨的；爱挑剔的
quip,"n. 妙语；嘲弄；讽刺语
vi. 嘲弄；讥讽
vt. 嘲弄"
quisling,"n. 卖国贼；内奸
v. 卖国；叛国（quisle的ing形式）"
quixotic,adj. 唐吉诃德式的；狂想家的；愚侠的
quotidian,"n. 每天发生的事；日发疟
adj. 每日的；平凡的；每日发作的"
raconteur,n. 健谈者；善谈者；擅长讲故事的人
raffish,adj. 名誉不好的；卑鄙的；无赖的
raft,"n. 筏；救生艇；（美）大量
vt. 筏运；制成筏
vi. 乘筏"
raillery,n. 逗趣；开玩笑
rakish,adj. 潇洒的；放荡的；轻快的；俏皮的
rankle,"vt. 使怨恨；使疼痛；使痛苦
vi. 化脓；怨恨；发炎"
rapprochement,n. 友好；恢复邦交；友善关系的建立
rarefied,adj. 稀薄的；纯化的
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
ravenous,adj. 贪婪的；渴望的；狼吞虎咽的
rebuke,"n. 非难，指责；谴责，鞭策
vt. 指责，非难；制止；使相形见绌"
recapitulation,n. 概括；重述要点；再现部
reconcile,vt. 使一致；使和解；调停，调解；使顺从
recondite,adj. 深奥的；隐藏的；默默无闻的
recrimination,n. 反责，反控；揭丑
recrudesce,vi. 复发，再起；再发作
redoubtable,adj. 可怕的；令人敬畏的
redress,"n. 救济；赔偿；矫正
vt. 救济；赔偿；纠正；重新调整"
refractory,"n. 倔强的人；耐火物质
adj. 难治的；难熔的；不听话的"
refute,vt. 反驳，驳斥；驳倒
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
relegate,vt. 把降低到；归入；提交
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
remiss,adj. 怠慢的；迟缓的；不小心的
remonstrate,"vt. 责备，告诫；抗议；表示异议
vi. 抗议，反对；进谏；告诫"
renege,"n. 出牌违例
vi. 食言；违例出牌
vt. 否认"
replete,"n.  贮蜜蚁
adj. 充满的；装满的"
reprisal,n. 报复（行为）；报复性劫掠
reproach,"n. 责备；耻辱
vt. 责备；申斥"
reprobate,"n. 恶棍，无赖
adj. 邪恶的；堕落的
v. 非难；拒绝；斥责"
repudiate,vt. 拒绝；否定；批判；与…断绝关系；拒付
rescind,vi. 解除；废除；撤回
reservation,n. 预约，预订；保留
resignation,n. 辞职；放弃；辞职书；顺从
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
resource,n. 资源，财力；办法；智谋
respite,"n. 缓解；暂缓；暂时的休息；缓期执行
vt. 使缓解；使暂缓；使延期；缓期执行"
restive,adj. 倔强的；难驾御的；不安宁的
resurgent,"n. 复活者
adj. 复活的；复苏的"
reticent,adj. 沉默的；有保留的；谨慎的
retiring,"v. 退休（retire的ing形式）
adj. 退休的；不善社交的；过隐居生活的"
retract,"n. 收缩核
vt. 缩回；缩进；取消
vi. 缩回；缩进；撤消"
reverent,adj. 虔诚的；恭敬的；尊敬的
ribald,"n. 言谈粗俗的人；说下流话的人
adj. 下流的；言谈粗俗的"
rile,vt. 激怒；搅浑；惹怒
robust,adj. 强健的；健康的；粗野的；粗鲁的
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
rudimentary,adj. 基本的；初步的；退化的；残遗的；未发展的
rustic,"adj. 乡村的；纯朴的；粗野的；手工粗糙的
n. 乡下人；乡巴佬"
sagacious,adj. 睿智的，聪慧的；有远见的，聪慧的
sanctimonious,adj. 假装虔诚的；假装圣洁的；假装诚实的
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
sangfroid,n. 沉着；冷静
sanguine,"n. 血红色
adj. 乐观的；满怀希望的；面色红润的
vt. 血染；以血沾污"
sardonic,adj. 讽刺的；嘲笑的，冷笑的
sartorial,adj. 裁缝的；缝纫的；裁缝匠的
saturnine,adj. 忧郁的；阴沉的；铅中毒的；沉默寡言的
savvy,"n. 悟性；理解能力；懂行（的人）
vt. 理解；懂
vi. 理解；知道"
Schadenfreude,找不到解释
scintillating,"adj. 闪烁的；才气横溢的
v. 闪耀（scintillate的ing形式）"
screed,n. 冗长的文章； 砂浆层
scrupulous,adj. 细心的；小心谨慎的；一丝不苟的
sedulous,adj. 聚精会神的；勤勉的；勤苦工作的
self-effacing,adj. 谦让的；谦逊的；不出风头的
semblance,n. 外貌；假装；类似
sententious,adj. 简洁精炼的；警句的，富于格言的
sentimental,adj. 伤感的；多愁善感的；感情用事的；寓有情感的
serendipity,n. 意外发现珍奇事物的本领；有意外发现珍宝的运气
serene,"n. 平静；晴朗
adj. 平静的；安详的；清澈的；晴朗的
vt. 使平静"
simulacrum,n. 像；幻影；影
sinecure,n. 闲职；挂名职务
slapdash,adj. 匆促的；草率的；粗心的，马虎的
smattering,"n. 一知半解；少数；略知
adj. 肤浅的；些许的；点滴的
v. 略知；肤浅地学习；粉碎（smatter的ing形式）"
smug,"n. 书呆子；自命不凡的家伙
adj. 自鸣得意的；自以为是的；整洁的"
snide,"n. 赝品；骗子
adj. 伪造的；卑鄙的；暗讽的"
snub,"n. 冷落；斥责；突然的停止
vt. 冷落；严厉斥责；掐灭
adj. 制动用的；短扁上翘的"
solecism,n. 语法错误，文理不通；谬误，失礼
solicitous,adj. 热切期望的；热心的；挂念的
solicitude,n. 焦虑；渴望；担心
soporific,"n. 催眠剂；安眠药
adj. 催眠的；想睡的"
sordid,adj. 肮脏的；卑鄙的；利欲熏心的；色彩暗淡的
spartan,找不到解释
specious,adj. 似是而非的；外表美观的；华而不实的；徒有其表的
spendthrift,"n. 挥霍无度的人；浪费的人
adj. 挥霍无度的；浪费的"
splenetic,"n. 脾气坏的人
adj. 坏心眼的；脾脏的；容易发怒的"
sporadic,adj. 零星的；分散的；不定时发生的
spurious,adj. 假的；伪造的；欺骗的
spurn,"n. 藐视，摒弃；踢开
vi. 摒弃；藐视
vt. 唾弃；冷落；一脚踢开"
squander,"n. 浪费
vt. 浪费
vi. 浪费；漂泊"
squelch,"n. 噪声控制；嘎吱声；压倒对方的反驳；压碎的一堆
vi. 嘎吱作响
vt. 消除；镇压；压碎；使…咯吱咯吱的响"
staid,adj. 固定的；沉着的；沉静的；古板的，保守的
stalwart,"n. 坚定分子
adj. 坚定的；健壮的"
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
staunch,"adj. 坚定的；忠诚的；坚固的
vt. 止住；止血"
steadfast,adj. 坚定的；不变的
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
stipend,n. 奖学金；固定薪金；定期津贴；养老金
stolid,adj. 迟钝的；缺乏热情的；冷漠的
stringent,adj. 严格的；严厉的；紧缩的；短缺的
stultify,vt. 使变无效；使显得愚笨；使无价值
stymie,"n. 妨碍球
vt. 从中作梗，阻挠；妨碍"
subsume,vt. 把……归入；把……包括在内
subterfuge,n. 托词；借口；诡计
subversive,"n. 危险分子；颠覆分子
adj. 破坏性的；从事颠覆的"
sullen,adj. 愠怒的，不高兴的；（天气）阴沉的；沉闷的
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
supercilious,adj. 目空一切的，高傲的；傲慢的，自大的
superfluous,adj. 多余的；不必要的；奢侈的
supplant,vt. 代替；排挤掉
surfeit,"n. 过度；饮食过度；恶心（由于饮食过度所引起）
vt. 使饮食过度；使厌腻；使过度沉溺于
vi. 饮食过度；过分放纵"
surly,adj. 乖戾的；板面孔的，无礼的；阴沉的
surreptitious,adj. 秘密的；鬼鬼祟祟的；暗中的
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
staunch,"adj. 坚定的；忠诚的；坚固的
vt. 止住；止血"
steadfast,adj. 坚定的；不变的
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
stipend,n. 奖学金；固定薪金；定期津贴；养老金
stolid,adj. 迟钝的；缺乏热情的；冷漠的
stringent,adj. 严格的；严厉的；紧缩的；短缺的
stultify,vt. 使变无效；使显得愚笨；使无价值
stymie,"n. 妨碍球
vt. 从中作梗，阻挠；妨碍"
subsume,vt. 把……归入；把……包括在内
subterfuge,n. 托词；借口；诡计
subversive,"n. 危险分子；颠覆分子
adj. 破坏性的；从事颠覆的"
sullen,adj. 愠怒的，不高兴的；（天气）阴沉的；沉闷的
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
supercilious,adj. 目空一切的，高傲的；傲慢的，自大的
superfluous,adj. 多余的；不必要的；奢侈的
supplant,vt. 代替；排挤掉
surfeit,"n. 过度；饮食过度；恶心（由于饮食过度所引起）
vt. 使饮食过度；使厌腻；使过度沉溺于
vi. 饮食过度；过分放纵"
