potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
make up for,"v. 偿还；赔偿
 弥补；补偿；补偿，弥补"
sweat,"n. 汗；水珠；焦急；苦差使
vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待
vi. 出汗；辛苦工作；懊恼；结水珠"
injury,n. 伤害，损害；受伤处
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
equipment,n. 设备，装备；器材
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
maintain,vt. 维持；继续；维修；主张；供养
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
put the finishing touches to,vt. 逡最后的修饰(完成最后的细节)
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
in response to,"na. 应…而
 响应；回答；对…做出反应"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
athlete,n. 运动员，体育家；身强力壮的人
boxing,"n. 拳击；装箱；围模；做箱的材料
v. 将…装入盒中（box的ing形式）"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
under the weather,"na. 身体不适；不太舒服
 身体不舒服；生病；有病"
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
gym,n. 健身房；体育；体育馆
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
rooster,n. 公鸡；狂妄自负的人
inspiration,n. 灵感；鼓舞；吸气；妙计
nowadays,"adv. 现今；时下
n. 当今"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
no wonder, 难怪；怪不得；不足为奇
imitate,vt. 模仿，仿效；仿造，仿制
ache,"n. 疼痛
vi. 疼痛；渴望"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
be rooted in, 扎根于；植根于；根源在于
philosophy,n. 哲学；哲理；人生观
unity,n. 团结；一致；联合；个体
exist,vi. 存在；生存；生活；继续存在
backwards,adv. 倒；向后；逆
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
diagram,"n. 图表；图解
vt. 用图解法表示"
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
tradition,n. 惯例，传统；传说
bride,n. 新娘；姑娘，女朋友
eye-catching,adj. 引人注目的；耀眼的；显著的
sari,n. （印）纱丽（等于saree）；卷布
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
bridegroom,n. 新郎
entrance,"n. 入口；进入
vt. 使出神，使入迷"
anything but,"na. 决不是；除…外什么都
 除…以外任何事；一点也不；绝不"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
in the air,"na. (计划等)悬着；在空中；(谣言等)流传；无掩护的
 在流行中；在传播中；悬而未决"
merry,"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
samba,"n. 桑巴舞（巴西交谊舞）
vi. 跳桑巴舞"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
march,n. 三月
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
beer,"n. 啤酒
vi. 喝啤酒"
roast,"n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖
vi. 烤；烘"
be caught up in, 对…特别感兴趣；被卷入；被卷入某事
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
engine,n. 引擎，发动机；机车，火车头；工具
fire engine,"n. 消防车；救火车
 灭火车；消防泵；救火车图片"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
earn,vt. 赚，赚得；获得，挣得；使得到；博得
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
apartment,n. 公寓；房间
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
pass down,"un. 过；一闪即逝；下达
 传递；传下去；传下来"
income,n. 收入，收益；所得
per,prep. 每；经；按照；每一
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
fall on,"na. 开始(行动)；袭击；适逢；忽然看出来
 落到；落在……上面；叠印"
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
nation,n. 国家；民族；国民
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
in honour of,"na. 向…表示敬意
 为纪念；为了纪念；向……表示敬意"
generation,n. 一代；产生；一代人；生殖
source,n. 来源；水源；原始资料
identity,n. 身份；同一性，一致；特性；恒等式
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
duty,n. 责任； 关税；职务
precious,adj. 宝贵的；珍贵的；矫揉造作的
eve,n. 前夕；傍晚；重大事件关头
china,找不到解释
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
pork,"n. 猪肉
vt. 与女子性交"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
convenient,adj. 方便的；适当的；近便的；实用的
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
couplet,n. 对联；对句
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
midnight,"n. 午夜，半夜12点钟
adj. 半夜的；漆黑的"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
firecracker,n. 鞭炮，爆竹
firework,n. 烟火；激烈情绪
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
lantern,n. 灯笼；提灯；灯笼式天窗
riddle,"n. 谜语；粗筛；谜一般的人、东西、事情等
vt. 解谜；给...出谜；充满于
vi. 出谜"
willow,"n.  柳树； 柳木制品
adj. 柳木制的"
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
devote oneself to,"na. 专心从事(研究)；一味贪玩
 献身于；致力于；致力于，献身于"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
literature,n. 文学；文献；文艺；著作
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
in store,"na. 准备着
 贮藏着；必将发生；储藏着"
in store for sb.,找不到解释
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
description,n. 描述，描写；类型；说明书
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
capable,adj. 能干的，能胜任的；有才华的
awaken,"vt. 唤醒；唤起；使…意识到
vi. 觉醒；醒来；意识到"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
permanence,n. 持久；永久
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
element,n. 元素；要素；原理；成分；自然环境
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
in summary,"adv. 扼要
 总之；总结；总的来说"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
author,"n. 作者；作家；创始人
vt. 创作出版"
therefore,adv. 因此；所以
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
novel,"adj. 新奇的；异常的
n. 小说"
draw on,"na. 穿；依赖；靠；吸收
 利用；戴上；动用"
upper,adj. 上面的，上部的；较高的
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
context,n. 环境；上下文；来龙去脉
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
ought to,"modalv. 应该；应当；（表示期望或可能发生的事）应该；（表示劝告或建议）应该
v. 应该
 理应；应然；应该要"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
in particular,"na. 特别；一一
 尤其；特别地；特别是"
topic,n. 主题（等于theme）；题目；一般规则；总论
collection,n. 采集，聚集； 征收；收藏品；募捐
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
turkey,n. 土耳其（横跨欧亚两洲的国家）
generosity,n. 慷慨，大方；宽宏大量
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
poetry,n. 诗；诗意，诗情；诗歌艺术
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
autobiography,n. 自传；自传文学
biography,n. 传记；档案；个人简介
extremely,adv. 非常，极其；极端地
destroy,vt. 破坏；消灭；毁坏
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
straighten,"vt. 整顿；使…改正；使…挺直；使…好转
vi. 变直；好转"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
alongside,"prep. 在……旁边
adv. 在旁边"
accomplish,vt. 完成；实现；达到
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
confused,"v. 困惑（confuse的过去式）
adj. 困惑的；混乱的；糊涂的"
clear up,"na. 整顿；说明；(天气)转晴
 放晴；整理；清理"
be on the point of doing sth.,找不到解释
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
mushy,adj. 糊状的；感伤的，多愁善感的
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
ecosystem,n. 生态系统
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
region,n. 地区；范围；部位
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
length,n. 长度，长；时间的长短；（语）音长
biodiversity,n. 生物多样性
species,"n.  物种；种类
adj. 物种上的"
nut,"n. 螺母，螺帽；坚果；难对付的人，难解的问题
vi. 采坚果"
brazil nut,找不到解释
lily,"n. 百合花，百合；类似百合花的植物；洁白之物
adj. 洁白的，纯洁的"
water lily,"n. 睡莲
 荷花；水百合；水莲"
variety,n. 多样；种类；杂耍；变化，多样化
wildlife,"n. 野生动植物
adj. 野生动植物的"
beneath,"prep. 在…之下
adv. 在下方"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
towering,"adj. 高耸的；卓越的；激烈的
v. 高翔（tower的ing形式）"
hardwood,n. 硬木，硬木材； 阔叶树
living,"adj. 活的；现存的；活跃的；逼真的
n. 生活；生存；生计
v. 生活；居住（live的ing形式）；度过"
mammal,n.  哺乳动物
jaguar,n. 捷豹（汽车品牌）
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
in turn,"na. 挨次
 依次；轮流；反过来"
insect,n. 昆虫；卑鄙的人
microorganism,n.  微生物；微小动植物
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
breathe life into, 送出生命进入我的心灵；为某事物注入生命；活力
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
oxygen,n.  氧气， 氧
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
due to,"un. 由于；预定；因为；亏
 应归于；由於；由…引起"
agriculture,n. 农业；农耕；农业生产；农艺，农学
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
extinction,n. 灭绝；消失；消灭；废止
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
climate,n. 气候；风气；思潮；风土
build up,"na. 同“build”；建立；复兴；集结(部队)
 逐步建立；增进；积累"
global,adj. 全球的；总体的；球形的
greenhouse,"n. 温室
造成温室效应的"
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
drought,n. 干旱；缺乏
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
call for,"na. 呼吁；主张；需要；接(某人)
 要求；提倡；号召"
application,n. 应用；申请；应用程序；敷用
brochure,n. 手册，小册子
organization,n. 组织；机构；体制；团体
absolutely,adv. 绝对地；完全地
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
medal,n. 勋章，奖章；纪念章
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
spring to mind,"v. 突然想起
 突然想到；浮现在脑海；脑中突然浮现"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
deer,n. 鹿
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
habitat,n.  栖息地，产地
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
dolphin,n. 海豚
resident,"n. 居民；住院医生
adj. 居住的；定居的"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
committee,n. 委员会
entirely,adv. 完全地，彻底地
smog,n. 烟雾
get rid of,"na. 除掉；摆脱；撵走
 除去；去掉；处理掉"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
defence,n. 防御；防卫；答辩；防卫设备
various,adj. 各种各样的；多方面的
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
economic,adj. 经济的，经济上的；经济学的
policy,n. 政策，方针；保险单
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
strategy,n. 战略，策略
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
subway,"n. 地铁；地道
vi. 乘地铁"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
poverty,n. 贫困；困难；缺少；低劣
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
chemical,"n. 化学制品，化学药品
adj. 化学的"
consequence,n. 结果；重要性；推论
give rise to,"na. 惹起
 引起；导致；使发生"
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
county,n. 郡，县
injure,vt. 伤害，损害
disaster,n. 灾难，灾祸；不幸
at large,"na. 随便；拉杂地
 逍遥法外；在逃；未被捕获的"
reaction,n. 反应，感应；反动，复古；反作用
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
exit,"n. 出口，通道；退场
vi. 退出；离去"
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
stair,n. 楼梯，阶梯；梯级
roll,"n. 卷，卷形物；名单；摇晃
vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃"
roll call,"n. 点名
 列队点名；号角报；点名时间"
confirm,vt. 确认；确定；证实；批准；使巩固
safe and sound,"na. 平安无恙
 安然无恙；平安无事；安全"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
procedure,n. 程序，手续；步骤
tsunami,n. 海啸
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
occur,vi. 发生；出现；存在
occur to, 想到；被想起；被想到
keep one's head,"na. 不慌不忙
 镇定；保持镇定；保持镇静"
relief,n. 救济；减轻，解除；安慰；浮雕
typhoon,n.  台风
destructive,adj. 破坏的；毁灭性的；有害的，消极的
pole,找不到解释
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
hurricane,n. 飓风，暴风
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
run out of,"na. 用光…
 用完；用尽；耗尽"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
fund,"n. 基金；资金；存款
vt. 投资；资助"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
downstairs,"n. 楼下
adj. 楼下的
adv. 在楼下"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
Roman,"n. 罗马人；古罗马语
adj. 罗马的；罗马人的"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
unearth,vt. 发掘；揭露，发现；从洞中赶出
destination,n. 目的地，终点
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
cloud-capped,adj. 高耸入云的；白云笼罩著的
ashy,adj. 像灰的；灰色的；覆盖着灰的
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
volcano,n. 火山
take the form of,"na. 表现为
 采取……的形式；采取……样的形式；以……形式"
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
unbearable,adj. 难以忍受的；承受不住的
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；起(锚)
 爆发；突然发生；逃出"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
far and wide,"na. 遍；到处
 广泛地；四面八方；普遍"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
column,n. 纵队，列；专栏；圆柱，柱形物
rescue,"n. 营救；援救；解救
vt. 营救；援救"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
webcam,n. 网络摄像头
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
emoji, 表情符号，来自日语词汇“絵文字”（假名为“えもじ”，读音即emoji）
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
obviously,"adv. 明显地
显然地"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
extent,n. 程度；范围；长度
to a certain extent,"na. “to a certain degree”的变体
 在一定程度上；在某种程度上；达到某种程度"
at one's fingertips, （尤指信息）近在手边的，唾手可得的
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
recipe,n. 食谱； 处方；秘诀；烹饪法
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
bring up,"na. 抚养；教导；教育；在…长大
 培养；提出；养育"
majority,n. 多数；成年
goods,n. 商品；动产；合意的人；真本领
commerce,n. 贸易；商业；商务
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
arrangement,n. 布置；整理；准备
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
above all else, 在一切之上；高於其它一切；要的
establish,"vi. 植物定植
vt. 建立；创办；安置"
software,n. 软件
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
guideline,"n. 指导方针
参考"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
belong,vi. 属于，应归入；居住；适宜；应被放置
belong to,"v. 属于；附属
 归于；归属；属於"
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
request,"n. 请求；需要
vt. 要求，请求"
technical,adj. 工艺的，科技的；技术上的；专门的
upload,vt. 上传
download,vt.  下载
percentage,n. 百分比；百分率，百分数
entertainment,n. 娱乐；消遣；款待
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
device,n. 装置；策略；图案
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
