abnormal,adj. 反常的，不规则的；变态的
novel,"adj. 新奇的；异常的
n. 小说"
novation,n. 以新的代替；更新；债券更新
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
cooperate,vi. 合作，配合；协力
operable,adj. 可操作的；可动手术的
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
optic,"adj. 光学的；视觉的；眼睛的
n. 眼睛；镜片"
option,n.  选项；选择权；买卖的特权
optics,n.  光学
apartment,n. 公寓；房间
impart,vt. 给予（尤指抽象事物），传授；告知，透露
counterpart,n. 副本；配对物；极相似的人或物
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
passage,n. 一段（文章）；走廊；通路
surpass,vt. 超越；胜过，优于；非…所能办到或理解
appear,vi. 出现；显得；似乎；出庭；登场
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
reappear,vi. 再出现
compel,vt. 强迫，迫使；强使发生
expulsion,n. 驱逐；开除
propel,vt. 推进；驱使；激励；驱策
impulsive,adj. 冲动的；受感情驱使的；任性的
telephone,"n. （美）电话；电话机；电话耳机
vt. 打电话给…
vi. 打电话"
microphone,n. 扩音器，麦克风
symphony,n. 交响乐；谐声，和声
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
physician,n.  医师；内科医师
physicist,n. 物理学家；唯物论者
depict,vt. 描述；描画
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
pictorial,"n. 画报；画刊
adj. 绘画的；形象化的"
birthplace,"n. 出生地
发源地"
displace,vt. 取代；置换；转移；把…免职；排水
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
implant,"n.  植入物；植入管
vt. 种植；灌输；嵌入
vi. 被移植"
supplant,vt. 代替；排挤掉
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
complement,"n. 补语；余角；补足物
vt. 补足，补助"
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
replete,"n.  贮蜜蚁
adj. 充满的；装满的"
deport,vt. 驱逐出境；举止；放逐
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
apprehend,"vt. 理解；逮捕；忧虑
vi. 理解；担心"
prehension,n. 理解；抓住
comprehend,vt. 理解；包含；由…组成
apprehension,n. 理解；恐惧；逮捕；忧惧
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
depress,vt. 压抑；使沮丧；使萧条
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
premier,"n. 总理，首相
adj. 第一的；最初的"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
prince,n. 王子，国君；亲王；贵族
deprive,vt. 使丧失，剥夺
privacy,n. 隐私；秘密；隐居；隐居处
privilege,"n. 特权；优待
vt. 给与…特权；特免"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
proximity,n. 接近，邻近；接近；接近度，距离；亲近
reproach,"n. 责备；耻辱
vt. 责备；申斥"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
disprove,vt. 反驳，证明…是虚假的
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
approval,n. 批准；认可；赞成
psychic,"n. 灵媒；巫师
adj. 精神的；心灵的；灵魂的；超自然的"
psychal,"a. 精神的,心理的"
psychology,n. 心理学；心理状态
acquaint,vt. 使熟悉；使认识
acquaintance,n. 熟人；相识；了解；知道
quaintness,n. 离奇有趣；古怪之事物
request,"n. 请求；需要
vt. 要求，请求"
acquire,vt. 获得；取得；学到；捕获
requisite,"n. 必需品
adj. 必备的，必不可少的；需要的"
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
require,vt. 需要；要求；命令
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
misquote,"vt. 错误地引用
vi. 错误引证
n. 引用错误"
quota,n. 配额；定额；限额
quotative,adj. 引证的
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
radial,"n. 射线，光线
adj. 半径的；放射状的；光线的；光线状的"
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
radiation,n. 辐射；发光；放射物
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
rearrange,vt. 重新排列；重新整理
arrangement,n. 布置；整理；准备
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
restless,adj. 焦躁不安的；不安宁的；得不到满足的
restlessly,adv. 不安地；慌张地
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
rudiment,n. 雏形；基本原理
erudite,"n. 饱学之士
adj. 博学的；有学问的"
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
insane,adj. 疯狂的；精神病的；极愚蠢的
sanitation,n.  环境卫生；卫生设备；下水道设施
sanity,n. 明智；头脑清楚；精神健全；通情达理
sanitary,"n. 公共厕所
adj. 卫生的，清洁的"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
horoscope,n. 占星术；星象；十二宫图
microscope,n. 显微镜
describe,vt. 描述，形容；描绘
manuscript,"n.  手稿；原稿
adj. 手写的"
inscribe,vt. 题写；题献；铭记；雕
postscript,n. 附言；又及
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
segment,"n. 段；部分
vt. 分割
vi. 分割"
intersect,"vt. 横断，横切；贯穿
vi. 相交，交叉"
segmentation,n. 分割；割断；细胞分裂
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
resent,vt. 怨恨；愤恨；厌恶
servant,n. 仆人，佣人；公务员；雇工
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
inset,"n. 插图，插页；插入物
vt. 嵌入；插入"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
similar,"n. 类似物
adj. 相似的"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
resemble,vt. 类似，像
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
insist,"vi. 坚持，强调
vt. 坚持，强调"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
society,n. 社会；交往；社团；社交界
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
parasol,n. 阳伞
specious,adj. 似是而非的；外表美观的；华而不实的；徒有其表的
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
species,"n.  物种；种类
adj. 物种上的"
specimen,n. 样品，样本；标本
aspect,n. 方面；方向；形势；外貌
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
speculate,"vi. 推测；投机；思索
vt. 推断"
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
despicable,adj. 卑劣的；可鄙的
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
atmosphere,n. 气氛；大气；空气
biosphere,n. 生物圈
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
aspire,vi. 渴望；立志；追求
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
responsible,adj. 负责的，可靠的；有责任的
despond,"n. 失去勇气；失望
vi. 失去勇气；沮丧"
response,n. 响应；反应；回答
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
instance,"n. 实例；情况；建议
vt. 举...为例"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
circumstance,n. 环境，情况；事件；境遇
status,n. 地位；状态；情形；重要身份
install,vt. 安装；任命；安顿
forestall,vt. 先发制人，预先阻止；垄断，屯积；领先；占先一步
installment,n. 安装；分期付款；部分；就职
constrain,vt. 驱使；强迫；束缚
constrict,vt. 压缩；束紧
stringent,adj. 严格的；严厉的；紧缩的；短缺的
distrain,n. 为抵债而扣押
restrict,vt. 限制；约束；限定
construct,"n. 构想，概念
vt. 建造，构造；创立"
instruct,vt. 指导；通知；命令；教授
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
assumption,n. 假定；设想；担任；采取
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
resumption,n. 恢复；重新开始；取回；重获；恢复硬币支付
summarise,vt. 总结，概述
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
consummate,"adj. 至上的；完美的；圆满的
vt. 完成；作成；使达到极点"
assure,vt. 保证；担保；使确信；弄清楚
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
reassure,vt. 使…安心，使消除疑虑
surety,n. 担保；保证；保证人
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
curtail,vt. 缩减；剪短；剥夺…特权等
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
tenure,"n. 任期；占有
vt. 授予…终身职位"
technical,adj. 工艺的，科技的；技术上的；专门的
technique,n. 技巧，技术；手法
technician,n. 技师，技术员；技巧纯熟的人
protect,vt. 保护，防卫；警戒
detect,vt. 察觉；发现；探测
protection,n. 保护；防卫；护照
telegram,"n. 电报
vt. 用电报发送
vi. 发电报"
telephone,"n. （美）电话；电话机；电话耳机
vt. 打电话给…
vi. 打电话"
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
temperament,n. 气质，性情，性格；急躁
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
testify,"vi. 作证；证明
vt. 证明，证实；作证"
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
thermos,n. 热水瓶
thermometer,n. 温度计；体温计
tolerant,adj. 宽容的；容忍的；有耐药力的
tolerable,adj. 可以的；可容忍的
intolerant,adj. 无法忍受的；偏狭的
touching,"prep. 至于，关于
v. 接触；感动（touch的ing形式）
adj. 动人的，令人同情的"
touched,"v. 触摸（touch的过去式和过去分词）
adj. 受感动的；精神失常的"
retouch,"n. 润饰；修整部分
vt. 润饰；修整
vi. 润饰；修整"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
treaty,n. 条约，协议；谈判
treatment,n. 治疗，疗法；处理；对待
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
suburb,n. 郊区；边缘
urban,adj. 城市的；住在都市的
exurban,adj. 城市远郊的
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
valour,n. 勇猛
valid,adj. 有效的；有根据的；合法的；正当的
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
inverse,"n. 相反；倒转
adj. 相反的；倒转的
vt. 使倒转；使颠倒"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
diversify,vt. 使多样化，使变化；增加产品种类以扩大
avert,vt. 避免，防止；转移
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
evident,adj. 明显的；明白的
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
vital,adj. 至关重要的；生死攸关的；有活力的
vigour,n. 活力；气势
vivid,adj. 生动的；鲜明的；鲜艳的
vitamin,n.  维生素； 维他命
benevolence,n. 仁慈；善行
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
volition,n. 意志，意志力；决断力
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
