absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
conclusion,n. 结论；结局；推论
degree,n. 程度，等级；度；学位；阶层
equipment,n. 设备，装备；器材
corridor,走廊
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
department store,"n. 百货公司；大百货商店
 百货商场；百货店；百货大楼"
biscuit,n. 小点心，饼干
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
driving licence,"n. 驾照；驾驶执照
 驾驶许可证；驾驶证；汽车驾驶执照"
curriculum,"n. 课程
总课程"
cookie,n. 饼干；小甜点
mineral water,"n. 矿泉水；一杯（或一瓶）矿泉水
 矿水；矿质水；矿物水"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
check in,"v. 报到；(旅馆)登记
 入住；办理登记手续；签到"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
depend,vi. 依赖，依靠；取决于；相信，信赖
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
delighted,"adj. 高兴的；欣喜的
v. 使…兴高采烈；感到快乐（delight的过去分词）"
complicated,adj. 难懂的，复杂的
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
digital,"n. 数字；键
adj. 数字的；手指的"
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
electronic,"adj. 电子的
n. 电子电路；电子器件"
convenient,adj. 方便的；适当的；近便的；实用的
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
chemistry,n. 化学；化学过程
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
geography,n. 地理；地形
information technology,"n. 信息技术
 资讯科技；信息科技；资讯技术"
language,n. 语言；语言文字；表达能力
entrance,"n. 入口；进入
vt. 使出神，使入迷"
literature,n. 文学；文献；文艺；著作
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
customs,n. 海关；风俗（custom的复数）；习惯；关税
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
departure,n. 离开；出发；违背
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
destination,n. 目的地，终点
failure,n. 失败；故障；失败者；破产
instructor,n. 指导书；教员；指导者
laboratory,n. 实验室，研究室
gymnastics,n. 体操；体育；体操运动
photography,n. 摄影；摄影术
sewing,"n. 缝纫；缝纫业
v. 缝（sew的ing形式）"
climate,n. 气候；风气；思潮；风土
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
membership,n. 资格；成员资格；会员身份
society,n. 社会；交往；社团；社交界
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
immigration,n. 外来移民；移居
timetable,n. 时间表；时刻表；课程表
customer,n. 顾客；家伙
comedian,n. 喜剧演员；滑稽人物
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
consist,vi. 由…组成；在于；符合
consist of,"v. 由…合成
 由……组成；由…构成；包括"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
entertaining,"v. 款待（entertain的ing形式）
adj. 令人愉快的"
efficient,adj. 有效率的；有能力的；生效的
useless,adj. 无用的；无效的
pointless,adj. 无意义的；钝的；不尖的；不得要领的
useful,adj. 有用的，有益的；有帮助的
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
soft drink,"n. 软饮料（不含酒精）
 汽水；软性饮料；清凉饮料"
enquiry,n.  询问， 询盘
lost property,"n. （丢弃在公共场所的）失物；失物招领处
 遗失物；招领之失物；招领的失物"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
platform,n. 平台；月台，站台；坛；讲台
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
omelet,"n. 煎蛋卷, 煎蛋饼, 炒蛋"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
diagram,"n. 图表；图解
vt. 用图解法表示"
sausage,n. 香肠；腊肠；装香肠的碎肉
fee,"n. 费用；酬金；小费
vt. 付费给……"
degree,n. 程度，等级；度；学位；阶层
collection,n. 采集，聚集； 征收；收藏品；募捐
college,n. 大学；学院；学会
invitation,n. 邀请；引诱；请帖；邀请函
instruction,n. 指令，命令；指示；教导；用法说明
recipe,n. 食谱； 处方；秘诀；烹饪法
professor,n. 教授；教师；公开表示信仰的人
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
hitchhiker,n. 搭便车的旅行者；顺便插入的广告
translator,n. 译者；翻译器
escalator,n. （美）自动扶梯；电动扶梯
loaf,"n. 条，一条面包；块；游荡
vt. 游荡；游手好闲；虚度光阴
vi. 游荡；游手好闲；虚度光阴"
pan,"n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘
vi. 淘金；在淘洗中收获金子
vt. 淘金；在浅锅中烹调（食物）；严厉的批评"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
camping,"n. 露营；野营
v. 露营；扎营；临时安顿（camp的ing形式）"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
fasten your safety belt,找不到解释
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
keep fit,"na. 保持健康
 保持身体健康；健身；保持身材"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
take-away,"n. 熟食
adj. 供应外带的；可带走的"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
vocabulary,n. 词汇；词表；词汇量
ankle,n. 踝关节，踝
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
backache,n. 背痛；腰痛
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
flu,n. 流感
accident,n. 事故；意外； 意外事件；机遇
appointment,n. 任命；约定；任命的职位
bandage,"n. 绷带
vt. 用绷带包扎"
chemist,n. 化学家；化学工作者；药剂师；炼金术士
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
gym,n. 健身房；体育；体育馆
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
lifestyle,"n. 生活方式
保健的"
equipment,n. 设备，装备；器材
escalator,n. （美）自动扶梯；电动扶梯
exhibition,n. 展览，显示；展览会；展览品
exit,"n. 出口，通道；退场
vi. 退出；离去"
nationality,n. 国籍，国家；民族；部落
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
event,n. 事件，大事；项目；结果
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
science fiction,"n. 科幻小说；科幻电影
 科幻机械类的作品；科幻片；科学幻想"
make progress,"na. 前进；进展
 取得进步；取得进展；有进步"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
interpret,"vi. 解释；翻译
vt. 说明；口译"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
explain,v. 说明；解释
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
exist,vi. 存在；生存；生活；继续存在
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
reasonable,adj. 合理的，公道的；通情达理的
strict,adj. 严格的；绝对的；精确的；详细的
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
excellent,adj. 卓越的；极好的；杰出的
intelligent,adj. 智能的；聪明的；理解力强的
especially,adv. 特别；尤其；格外
seldom,adv. 很少，不常
fortnight,n. 两星期
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
fountain,n. 喷泉，泉水；源泉
weightlifting,n. 举重
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
locker,n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜
dolphin,n. 海豚
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
wild animal,"n. 野兽
 野生动物；口野兽；野生动物们"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
fee,"n. 费用；酬金；小费
vt. 付费给……"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
pronunciation,n. 发音；读法
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
cliff,n. 悬崖；绝壁
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
insect,n. 昆虫；卑鄙的人
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
ocean,n. 海洋；大量；广阔
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
handkerchief,n. 手帕；头巾，围巾
track suit,"un. 田径运动员服装
 田径服；运动套装；运动外套"
sea creature,"un. 海洋生物
 海怪；海底生物；海生物"
step machine, 散步机；台阶机
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
journalism,n. 新闻业，新闻工作；报章杂志
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
roast,"n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖
vi. 烤；烘"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
hand in,"na. 交进
 上交；交上；递交"
hand out,"na. 分；拿出来；施舍
 分发；散发；分给"
feel like,"na. 想要…；愿意…；感觉像是…
 觉得；感到想要做；想做"
confident,adj. 自信的；确信的
amusing,"adj. 有趣的，好玩的；引人发笑的
v. 逗乐；打发；使…高兴（amuse的ing形式）"
dangerous,"adj. 危险的
危险地"
frightening,adj. 令人恐惧的；引起突然惊恐的
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
fortnightly,"n. 双周刊
adj. 隔周发行的；每两周的
adv. 隔周地；每两星期一次地"
hardly,adv. 几乎不，简直不；刚刚
smoothly,adv. 平稳地，平滑地；流畅地，流利地
gale,n.  大风，狂风；（突发的）一阵
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
instance,"n. 实例；情况；建议
vt. 举...为例"
thriller,n. 惊险小说；使人毛骨悚然的东西；使人毛骨悚然的小说
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
presenter,n. 提出者；推荐者；赠送者；任命者；主持人
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
thermometer,n. 温度计；体温计
fiction,n. 小说；虚构，编造；谎言
degree centigrade,"un. 摄氏度数
 摄氏温度度数；百分度；百分度参考例句"
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
lightening,"v. 减轻（lighten的ing形式）；发光
n. 孕腹轻松"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
current affairs,"n. 时事
 时政；时事新闻；时事政治"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
instrument,n. 仪器；工具；乐器；手段；器械
insurance,n. 保险；保险费；保险契约；赔偿金
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
temperature,n. 温度；体温；气温；发烧
instruction,n. 指令，命令；指示；教导；用法说明
instructions,n. 指令；说明（instruction的复数形式）
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
insist,"vi. 坚持，强调
vt. 坚持，强调"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
go with,"na. 同…一致；跟…谈恋爱；带有；领会
 伴随；与…相配；跟…相配"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
give in,"na. 让步；屈服；投降；上交
 交上；认输；放弃"
give out,"na. 发表；放出；分发
 发出；用完；用尽"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
give way,"na. 倒塌；忍不住…了出来；划起来；(价格)跌落
 让路；让步；屈服"
get rid of,"na. 除掉；摆脱；撵走
 除去；去掉；处理掉"
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
financial,adj. 金融的；财政的，财务的
typical,adj. 典型的；特有的；象征性的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
soft,"n. 柔性；柔软的东西；柔软部分
adj. 软的，柔软的；温柔的，温和的；软弱的；笨的
adv. 柔软地；温和地"
in advance,"na. 预先；在先头
 事先；提前；事前"
in fact,"na. 事实上；总之
 实际上；其实；实则"
in case of,"na. 要是
 万一；假使；如果"
mosque,n. 清真寺
pollution,"n. 污染
污染物"
scenery,n. 风景；景色；舞台布景
stadium,n. 体育场；露天大型运动场
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
cathedral,n. 大教堂
cottage,n. 小屋；村舍；（农舍式的）小别墅
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞"
atmosphere,n. 气氛；大气；空气
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
biography,n. 传记；档案；个人简介
series,n. 系列，连续； 串联；级数；丛书
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
handlebar,n. 手把；（美）八字胡（等于handlebar mustache）
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
industry,n. 产业；工业；勤勉
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
majority,n. 多数；成年
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
sitcom,abbr. 情景喜剧（situation comedy）
guesthouse,n. 宾馆；小型家庭旅馆
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
global warming,"n. 全球（气候）变暖；地球大气层变暖
 全球变暖；全球暖化；警惕全球变暖"
poverty,n. 贫困；困难；缺少；低劣
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
forbid,vt. 禁止；不准；不允许；严禁
hitchhike,"n. 搭便车（旅行）
vt. 要求（搭便车）
vi. 搭便车"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
peaceful and quiet,找不到解释
convenient,adj. 方便的；适当的；近便的；实用的
crowded,"adj. 拥挤的；塞满的
v. 拥挤（crowd的过去分词）"
lively,adj. 活泼的；生动的；真实的；生气勃勃的
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
historical,adj. 历史的；史学的；基于史实的
honest,adj. 诚实的，实在的；可靠的；坦率的
horrible,adj. 可怕的；极讨厌的
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
jogging,"n. 慢跑
v. 慢跑（jog的ing形式）；轻推；唤起"
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
height,n. 高地；高度；身高；顶点
facility,n. 设施；设备；容易；灵巧
helmet,n. 钢盔，头盔
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
sailing,"n. 航行，航海；启航；航海术
v. 航行，起航（sail的现在分词形式）
adj. 航行的"
ingredients,n. 材料；佐料
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
inhabitant,n. 居民；居住者
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
inquiry,n. 探究；调查；质询
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
universe,n. 宇宙；世界；领域
valley,n. 山谷；流域；溪谷
government,n. 政府；政体；管辖
furniture,n. 家具；设备；储藏物
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
volleyball,n. 排球
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
inhabitant,n. 居民；居住者
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
income,n. 收入，收益；所得
guidebook,n. 旅行指南；指导手册
hydrofoil,n. 水翼；水翼船
exhibition,n. 展览，显示；展览会；展览品
generation,n. 一代；产生；一代人；生殖
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
prove,"vi. 证明是
vt. 证明；检验；显示"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
furnished,"v. 供应；装备（furnish的过去分词）
adj. 家具，有家具的"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
grateful,adj. 感谢的；令人愉快的，宜人的
