acrobatics,n. 杂技；巧妙手法
life is in danger,找不到解释
lose freedom,找不到解释
lose privacy,找不到解释
have a lot of pressure,找不到解释
care about your public image,找不到解释
mislead the consumers,找不到解释
ruin their image,找不到解释
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
developed technology,找不到解释
share the feeling,找不到解释
share the beauty,找不到解释
be beneficial to,"v. 有益于
 对…有益；有利于；对…有利"
mobile phones,n. 移动电话( mobile phone的名词复数 )
make a telephone call, 打电话；打一个电话；打个电话
send SMS,找不到解释
leave message at the blog,找不到解释
send emails,找不到解释
write letters,找不到解释
celebration,n. 庆典，庆祝会；庆祝；颂扬
firecracker,n. 鞭炮，爆竹
firework,n. 烟火；激烈情绪
kowtow,"vi. 叩头；卑躬屈膝
n. 叩头"
lantern,n. 灯笼；提灯；灯笼式天窗
legend,n. 传奇；说明；图例；刻印文字
celebration,n. 庆典，庆祝会；庆祝；颂扬
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
passion,n. 激情；热情；酷爱；盛怒
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
maturity,n. 成熟；到期；完备
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
waterfall,n. 瀑布；瀑布似的东西
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
refreshed,"adj. 恢复精神的
v. 使清凉；使重新提起精神；得到补充给养（refresh的过去分词）"
holidays and festivals,找不到解释
New Year's Day,找不到解释
Spring Festival,找不到解释
celebrate the New Year,找不到解释
New Year's Eve,找不到解释
stay up all night on Lunar New Year's Eve,找不到解释
feast on the Eve of the Spring Festival,找不到解释
pay a New Year call,找不到解释
have jiao-zi,找不到解释
family reunion, 家庭团聚；团圆；家人团聚
New Year cake,找不到解释
spring roll,"n. 春卷
 炸春卷；豆沙春卷；弹簧辊"
hold a memorial ceremony for ancestors,找不到解释
memorial tablet,"un. 纪念碑
 牌位；死人的牌位；灵位"
food for the Spring Festival,找不到解释
Spring Festival couplets,找不到解释
evening party celebrating the Spring Festival,找不到解释
gala celebration for the Spring Festival,找不到解释
lucky money, 压岁钱；红包；吉利钱
Lantern Festival,"n. 元宵节
 农历正月十五元宵节；灯节；元霄节"
traditional festivals, 传统节日；为节日做准备；春节是我们的传统节日
family reunion, 家庭团聚；团圆；家人团聚
strong family ties,找不到解释
Chinese lunar calendar,找不到解释
have dinner together,找不到解释
have fresh fruit,找不到解释
celebrate festival,找不到解释
eternal life,"na. 永生
 永恒的生命；永恒生命；永生之道答问"
in honor of,"na. 向…表示敬意
 为纪念；为庆祝；为祝贺"
Dragon Boat Festival,找不到解释
living standard,"n. 生活水平
 生活标准；生活水准；生活质素"
celebrate happy events,找不到解释
good health, 好健康；身体健康；良好的健康
delicious food, 美食；美味的食物；美味的食品
successful career,找不到解释
charm of personality,找不到解释
spirit of devotion,找不到解释
rational sense, 理性精神；理性内涵
standard of happiness,找不到解释
perfect holiday,找不到解释
tour guide,"un. 导游
 导游人员；导游员；观光导游"
magic of nature,找不到解释
roar of the water,找不到解释
go to cinemas,找不到解释
have tea,找不到解释
delicious meals,找不到解释
take photos, 照相；拍照；拍照片
have some talk,找不到解释
attend the birthday celebrations,找不到解释
luxurious celebration,找不到解释
show off,"na. 卖弄；自以为是；趾高气扬；炫耀
 出风头；摆谱儿；使显眼"
festive lantern,找不到解释
walk on stilts,找不到解释
go to the fair,找不到解释
pay a visit to a tomb,找不到解释
sacrificial offerings,找不到解释
pyramid-shaped dumpling,找不到解释
lion dance,"n. 舞狮；表演者装扮成狮子的样子；每逢节日庆典都会舞狮助兴
 狮子舞；舞狮子；狮舞"
dragon-boat racing,找不到解释
Mid-Autumn Festival,找不到解释
moon cake,"n. 月饼
 中国中秋节应时的食品；中秋月饼；闷极"
enjoy the full moon,找不到解释
National Day,找不到解释
evening party celebrating National Day,找不到解释
grand ceremony on National Day,找不到解释
Christmas gift,"na. 圣诞节礼品
 圣诞礼物；圣诞礼品；圣诞节礼物"
Christmas card,"n. 圣诞贺卡
 圣诞卡；圣诞卡片；耶诞卡"
New Year's gift,找不到解释
national holiday,"na. 国定假日；国庆日
 国庆节；国家假日；全国性假日"
religious festival, 宗教节日；拜拜；庙会拜拜
birthday cake,"n. 生日蛋糕
 生日蛋糕图片；华诞蛋糕；水果忌廉蛋糕"
birthday candle,"n. 生日蜡烛；寿烛
 大号生日蜡烛；小号生日蜡烛"
single's day,找不到解释
panorama,n. 全景，全貌；全景画；概论
Western,找不到解释
thriller,n. 惊险小说；使人毛骨悚然的东西；使人毛骨悚然的小说
musical,"adj. 音乐的；悦耳的
n. 音乐片"
newsreel,n. 新闻影片
travelogue,n. 旅行见闻讲演
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
destructive,adj. 破坏的；毁灭性的；有害的，消极的
director,n. 主任，主管；导演；人事助理
film festival,"n. 影展
 电影节；音乐电影节；在线影展"
instructive,adj. 有益的；教育性的
silent film,"n. 无声电影
 无声片；默片；默片无声片"
black-and-white film,黑白片
wide screen film,找不到解释
3-D movie,找不到解释
animated cartoon,"n. 卡通影片
 动画片；卡通片；动画卡通"
art film,"un. 美术影片
 艺术电影；艺术片；艺术电影功能"
war film,"un. 战争片
 斗争片；战斗片；第三类接触"
historical film, 历史片；历史电影；历史影片
instructional film,"教育片,指导片"
science-fiction movie,找不到解释
disaster film,灾难片
feature film,"n. 故事片
 剧情片；电影；长片"
action film,"na. (电影的)动作片
 情节电影；惊险动作片；动作电影"
underground film,"地下影片,黄色影片"
porn film,找不到解释
blue film,"n. 蓝电影,性电影;黄色电影"
adult movie, 几部影片；成人影片；成人视频
dubbed foreign film,找不到解释
rerun film,找不到解释
special effect,"un. 特殊效果
 特技；特效；特殊效果类"
big scenes,找不到解释
special occasions,找不到解释
Cannes International Film Festival,找不到解释
Venice International Movie Festival,找不到解释
Berlin International Film Festival,找不到解释
Tokyo International Film Festival,找不到解释
Taipei Golden Horse Film Festival,找不到解释
Hong Kong International Film Festival,找不到解释
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
restricted,"v. 限制（restrict的过去式和过去分词）
adj. 受限制的；保密的"
nomination,n. 任命，提名；提名权
film rating,n.薄膜等级
X-rated,adj. X 级的，禁止儿童观看的
parental guidance, 家长指导；长辈有交代；奉子成婚
special award, 特别奖；获奖特别奖；特别奖项
honorary award,找不到解释
best film award,找不到解释
standard screen,标准筛
wide screen,"na. 宽银幕
 宽银幕电影；宽屏；宽萤幕"
running time,"n. （电影）片长；（旅程等的）持续时间
 运行时间；运转时间；行驶时间"
morning show,找不到解释
day show,找不到解释
evening show, 夜场；晚场；驴友狂欢晚会
late show,"un. 预订到达时间过后来的客人
 深夜秀；午夜场；晚间秀"
movie advertisement,找不到解释
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
misunderstanding,n. 误解；误会；不和
trustworthy,adj. 可靠的；可信赖的
considerate,adj. 体贴的；体谅的；考虑周到的
community,n. 社区； 群落；共同体；团体
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
recognition,n. 识别；承认，认出；重视；赞誉；公认
opportunity,n. 时机，机会
perseverance,"n. 坚持不懈；不屈不挠
n. 耐性；毅力"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
relationship,n. 关系；关联
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
hospitable,adj. 热情友好的；（环境）舒适的
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
intelligent,adj. 智能的；聪明的；理解力强的
versatile,adj. 多才多艺的；通用的，万能的；多面手的
extrovert,n. 外向；外倾者；性格外向者（等于extravert）
introvert,"n. 内向的人；内翻的东西
vi. 成为内弯；成为性格内向的人
vt. 使内向；使内倾；使内弯"
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来"
talkative,adj. 饶舌的；多话的；多嘴的；爱说话的
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
persistent,adj. 固执的，坚持的；持久稳固的
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
generation,n. 一代；产生；一代人；生殖
optimistic,adj. 乐观的；乐观主义的
successful,adj. 成功的；一帆风顺的
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
sing karaoke,找不到解释
share happiness and sadness,找不到解释
in trouble,"na. 为难；被捕；未婚怀孕
 有麻烦；处于困境中；遇到麻烦"
go to restaurants,找不到解释
go fishing, 去钓鱼；垂钓；我以前常去钓鱼
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
 分手；结束；分解"
mutual interest, 共同利益；相互利益；共同兴趣
energetic and active,找不到解释
generous and humorous,找不到解释
send emails or short messages,找不到解释
celebrate birthdays,找不到解释
feel lonely, 感到孤独；感到寂寞；感到孤单
tell them secrets,找不到解释
be hurt, 受伤；我从没想过要伤害你；受伤害
change of friends in personality,找不到解释
move to another place,找不到解释
do not have anything in common,找不到解释
no same interest,找不到解释
good listener,善于倾听别人意见的人；留神听别人说话的人；听觉灵敏的人
go to the mountains,找不到解释
circle of friends, 朋友圈；缘来是你；友谊圈的建立
feel proud,找不到解释
enjoy luxurious life,找不到解释
indicators of success,找不到解释
social status,"na. 社会地位
 身价；社会身份；社会位置"
the public, 公众，民众; 人们
talent and intelligence,才智
satisfy the basic demand,找不到解释
real estate,"n. 房地产；不动产；房产
 房地产业；房地产专业；房地产学"
achieve success,"un. 取得成功
 获得成功；取得功效；奏功"
friendly atmosphere,找不到解释
warm-hearted,adj. 热心的（等于warmhearted）；热诚的
sense of distrust,找不到解释
be responsible for,"v. 负责；担负
 对…负责；为…负责；对……负责任"
crime rate,"un. 犯罪率
 犯罪人口率；罪案率；暴力犯罪出现"
leisure life, 休闲生活；度假生活；生活休闲
rock-climbing, 攀岩
easy-going,adj. 随和的，容易相处的
personal value, 个人价值；价值观；个人性价值
furniture,n. 家具；设备；储藏物
wardrobe,n. 衣柜；行头；全部戏装
bookcase,n.  书柜，书架
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
armchair,"n. 扶手椅，单人沙发
adj. 不切实际的"
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
rock,"n. 岩石；摇滚乐；暗礁
vt. 摇动；使摇晃
vi. 摇动；摇晃"
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
fabric,n. 织物；布；组织；构造；建筑物
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
rosewood,n. 红木；紫檀；花梨木；黄檀木
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
wood,"n. 木材；木制品；树林
vt. 植林于；给…添加木柴
vi. 收集木材"
cloth,"n. 布；织物；桌布
adj. 布制的"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
durable,"n. 耐用品
adj. 耐用的，持久的"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
bedside table,"n. 床头小几；床头柜
 床头桌；多功能床头柜；床边桌台"
night table,"un. 床头柜
 床头桌；床边桌；桌子"
rocking chair,"n. 摇椅
 摇摆椅；化妆盒摇椅；摇摇椅"
tea-table,茶几；茶桌
living room,"n. 客厅；起居室
 客厅系列；起居定；小客厅"
feel the rhythm of rocking,找不到解释
environmental,adj. 环境的，周围的；有关环境的
according to my requirement,找不到解释
get total relaxation,找不到解释
furniture shop, 家具店；家俱店；家具专业店
make the final decision,找不到解释
western countries, 西方国家；西域；陪审团
choose furniture,找不到解释
striking colors,找不到解释
oriental countries,找不到解释
traditional styles,找不到解释
be creative and full of inspiration,找不到解释
be full of imagination,找不到解释
the sense of art,找不到解释
change the furniture,找不到解释
solid wood, 实木；实木地板；实木板
buy furniture,找不到解释
bright color,"un. 彩色
 明亮的颜色；亮色；鲜亮色"
have the feeling,找不到解释
cheer up,"v. 鼓舞；振作一点
 振作起来；高兴起来；使高兴起来"
feel cozy,找不到解释
material of the furniture,找不到解释
dining table,"n. 餐桌
 饭桌；餐桌椅；张餐桌"
sofa,n. 沙发；长椅
be in harmony,找不到解释
room decoration,找不到解释
office furniture,"un. 办公器具
 办公家具；办公室家俬；办公室家具"
luxurious,adj. 奢侈的；丰富的；放纵的；特级的
from generation to generation,"na. 世世代代
 一代一代；祖祖辈辈；世代相传"
lifestyle of predecessors,找不到解释
root or trace in history,找不到解释
best witnesses,找不到解释
symbol of historical events,找不到解释
evolution of human society,找不到解释
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
quilt,"n. 被子；棉被
vt. 东拼西凑地编；加软衬料后缝制
vi. 缝被子"
rug,n. 小地毯；毛皮地毯；男子假发
ventilator,n. 通风设备；换气扇；呼吸机
vase,n. 瓶；花瓶
tableware,n. 餐具
saucer,n. 茶托，浅碟；浅碟形物；眼睛
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
teaspoon,n. 茶匙；一茶匙的量
tablespoon,n. 大调羹，大汤匙；一餐匙的量
chopsticks,n. 筷子
teapot,"n. 茶壶
小题大做"
napkin,n. 餐巾；餐巾纸；尿布
toothpick,n. 牙签
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
receipt,"n. 收到；收据；收入
vt. 收到"
thermos flask,"n. 热水瓶
 保温瓶；暖瓶；暖水瓶"
central heating system,"un. 供暖系统；集中加热系统
 中央暖气系统；集中供暖系统；中央供暖系统"
floor lamp,"n. 落地灯
 立灯；座地灯；落地灯系列"
lamp shade,"n. 灯罩
 床头灯罩；灯罩材质；灯罩图片"
flower arrangement,"na. 插花术
 插花艺术；花道；插花班"
tea cup,"un. 茶杯
 茶杯图片；红茶杯组；细瓷茶杯"
soup plate,"na. 汤盘
 汤盆；荷口汤盘；圆浅汤盘"
coffee-pot,咖啡壶
table cloth,"n. 一块桌布
 台布；桌巾；桌布桌布云"
fierce,adj. 凶猛的；猛烈的；暴躁的
require intelligence,找不到解释
physical health,"un. 身体健康
 生理健康；身体的健康；躯体健康"
make people stronger,找不到解释
cooperate with each other,找不到解释
follow rules of games,找不到解释
childish and ridiculous,找不到解释
have their game time,找不到解释
have strong competition,找不到解释
play marbles,"打弹子,玩弹子球游戏"
computer games,"un. 计算机游戏
 电脑游戏；电子游戏；打电玩"
leave deep traces,找不到解释
conduct their behaviors,找不到解释
jumping rope, 跳绳；正在跳绳；跳跳绳
play hopscotch,找不到解释
Bungee jumping,找不到解释
play tag, 捉迷藏；玩捉人游戏；鬼抓人
play with dibs,找不到解释
play with doll's house,找不到解释
play marbles,"打弹子,玩弹子球游戏"
play with magic cubes,找不到解释
play with plasticene,找不到解释
spin top,找不到解释
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
lighter,"n. 打火机；驳船；点火者
vt. 驳运
adj. 明亮的；光明的；照明好的；光线充足的"
magazine,n. 杂志；弹药库；胶卷盒
appliance,n. 器具；器械；装置
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
razor,"n. 剃刀
vt. 剃，用剃刀刮"
sports-wear,找不到解释
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
cosmetics,"n.  化妆品（cosmetic的复数）；装饰品
v. 用化妆品打扮（cosmetic的三单形式）"
jewelry,n. 珠宝；珠宝类
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
advice,n. 建议；忠告；劝告；通知
beggar,"n. 乞丐；穷人；家伙
vt. 使贫穷；使沦为乞丐"
help the poor,找不到解释
government grants,政府补助（government grant的复数）
satisfy basic needs,找不到解释
working opportunities,找不到解释
minimum income,找不到解释
Red Cross,"n. 红十字会
 国际红十字会；红十字标志；美国红十字"
charity organization, 慈善组织；慈善机构；慈善团体
receive donations,找不到解释
be distributed to those in need,找不到解释
entertainment activities,找不到解释
lack information,找不到解释
support themselves,找不到解释
relaxed and peaceful,找不到解释
fall sick,"na. 生病
 患病；得病；有病也不呻吟"
financial support,"un. 财政支援
 财政支持；财务支持；资金证明"
donate money, 捐款；捐钱；捐款方式
natural disaster,"n. 灾难
 自然灾害；天灾；天然灾害"
pagoda,n. （东方寺院的）宝塔；印度的旧金币
temple,n. 庙宇；寺院；神殿；太阳穴
storey,n.  楼层；叠架的一层
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
preservation,n. 保存，保留
tripod,n.  三脚架；三脚桌
interesting building,找不到解释
Buddha statue,找不到解释
white marble,"n. 汉白玉
 白色大理石；白大理石Marble；汉白玉雕刻壁炉架"
different shape,找不到解释
elegant and stately,找不到解释
ethnic style,找不到解释
tourism facilities,找不到解释
witnesses of history,找不到解释
increase the tourism,找不到解释
local economy, 当地经济；地方经济；地区经济
increase income, 增收；增加收入；开源节流
scribble names,找不到解释
national treasure,"n. 国宝
 国家宝藏；惊天夺宝；国家财宝"
singing,"n. 歌唱；歌声；耳鸣；振鸣
v. 唱歌（sing的ing形式）
adj. 唱歌的；音乐般的"
drawing,"n. 图画；牵引；素描术
v. 绘画；吸引（draw的ing形式）；拖曳"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
physical exercise,"na. 运动
 体育锻炼；体育运动；锻炼身体"
broaden our eyesight,找不到解释
spare time,"un. 业余时间；业余的
 空闲时间；余暇；空余时间"
release stress,找不到解释
enrich spare time,找不到解释
happiness,n. 幸福
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
destination,n. 目的地，终点
journey,"n. 旅行；行程
vi. 旅行"
coastline,n. 海岸线
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
drizzle,"n. 细雨，毛毛雨
vt. 下毛毛雨
vi. 下毛毛雨"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
birdcage,n. 鸟笼；鸟笼状物；信号灯；宿舍
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊"
local people, 当地人；本地人；当地居民
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
protection,n. 保护；防卫；护照
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
facility,n. 设施；设备；容易；灵巧
survival,n. 幸存，残存；幸存者，残存物
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
efficiency,n. 效率；效能；功效
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
motivate,vt. 刺激；使有动机；激发…的积极性
accident,n. 事故；意外； 意外事件；机遇
enlighten,vt. 启发，启蒙；教导，开导；照耀
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
creativity,n. 创造力；创造性
opportunity,n. 时机，机会
ability,n. 能力，能耐；才能
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
bossy,"n. 母牛；牛犊
adj. 专横的；浮雕装饰的；爱指挥他人的"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
freedom,n. 自由，自主；直率
naive,"adj. 天真的,幼稚的"
successful,adj. 成功的；一帆风顺的
nostalgic,adj. 怀旧的；乡愁的
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
deep impression,找不到解释
feel tired and reluctant,找不到解释
overcome difficulty,找不到解释
feel exhausted, 感到疲劳；感到筋疲力尽；感到疲惫
prolong time of holidays,找不到解释
stimulate development of economy,找不到解释
scenic spots, 景点；旅游景点；风景名胜
local economy, 当地经济；地方经济；地区经济
take measures to, 采取措施；采取措施来；采取措施减少污染
tertiary industry,"n. 第三产业；服务业
 三级产业；第三次产业；第三产业三级产业"
prosperity of local economy,找不到解释
cause environmental pollution,找不到解释
spoil natural scenery,找不到解释
visit from others,找不到解释
wander around, 徘徊；游荡；到处闲逛
explore the city,找不到解释
go boating,"na. 乘船游玩
 去划船；泛舟；去滑船"
see sculptures and lanterns,找不到解释
bring tea,找不到解释
cultural shock, 文化冲击；文化休克；文化震撼
misunderstanding,n. 误解；误会；不和
feel uncomfortable,找不到解释
western style,"un. 芝加哥牛胴分割法
 西式；西方式；西部风格"
show ... around the city,找不到解释
taste traditional food,找不到解释
inland people,找不到解释
sigh of relief, 松了一口气
dangerous adventure activities,找不到解释
mountain climbing,"n. 爬山；登山；攀岩
 登山用具；登山运动；登山英语翻译"
extreme games,找不到解释
excitement of life,找不到解释
professional skill,"na. 专业技术
 专业技能；职业技能；专业能力"
enjoy crazy games,找不到解释
go bungee jumping,找不到解释
killing game,找不到解释
perseverance,"n. 坚持不懈；不屈不挠
n. 耐性；毅力"
lose confidence, 失去信心；丧失信心；失掉信心
analyze situation,找不到解释
solve the problem, 解决问题；解决问题难者；解决难题
gain experience, 获得经验；长见识；取得经验
feel bored, 感到无聊；觉得无聊；感到厌倦
influence on adults,找不到解释
ups and downs,"na. 盛衰；(人生等的)盛衰；(土地等的)高低
 沉浮；浮沉；起伏"
complex world,找不到解释
have high expectations,找不到解释
cause psychological problems,找不到解释
make greater achievement,找不到解释
safety and security, 安全和安保；安全和保安；安全与防护
crime rate,"un. 犯罪率
 犯罪人口率；罪案率；暴力犯罪出现"
peaceful world,找不到解释
positive ideas,找不到解释
do morning exercise, 做早操；晨练；做早练习题
environmental pollution,"na. 环境污染
 公害；污染环境；环境的污染"
equal working opportunities,找不到解释
burden of housework,找不到解释
domestic violence,"n. 家庭暴力
 家暴；家庭内暴力；家庭暴力罪"
protect rights of women,找不到解释
people's value,找不到解释
extended families, 大家庭；家族；大家族
nuclear families,"na. 核心家庭
 核心家系；小家庭；三口之家"
DINK families,找不到解释
win scholarship,找不到解释
fulfill a design,找不到解释
devote to,"v. 把…贡献给
 致力于；献身于；把……献给"
great success, 巨大成功；非常成功；巨大的成功
be rewarded scholarship,找不到解释
necessities of success,找不到解释
hard working,"adj. 勤劳的
 勤奋的；努力工作；吃苦耐劳"
feel satisfied,找不到解释
recent success,找不到解释
make the decision,"v. 下决心
 做决定；作出决定；做个决定"
analyze the advantages and disadvantages,找不到解释
interfere with,干扰，干涉；妨碍；触动或弄坏；乱动；与……抵触
leaves a trace,找不到解释
happy childhood, 快乐童年；欢乐童年；快乐的童年
healthy lifestyle, 健康的生活方式；健康生活；健康生活方式
mental ability,"un. 心理能力
 心智能力；智力；学习能力，心智能力"
learn musical instruments,找不到解释
sauna,"n. 桑拿浴
vi. 洗桑拿浴"
furnishing,"n. 供给；装备；服饰；家俱
v. 供给；装备；陈设（furnish的ing形式）"
receptionist,n. 接待员；传达员
suitcase,n.  手提箱；衣箱
entrance,"n. 入口；进入
vt. 使出神，使入迷"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
corridor,走廊
verandah,"阳台
游廊
露台"
staircase,n. 楼梯
elevator,n. 电梯；升降机；升降舵；起卸机
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
fountain,n. 喷泉，泉水；源泉
courtyard,n. 庭院，院子；天井
penthouse,n. 阁楼；顶层公寓，屋顶房间
presidential suite, 总统套房；总统套间；总统客房
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
standard room, 标准房；标准间；标准客房
bathtub,n. 浴缸
basin,n. 水池；流域；盆地；盆
bathrobe,n. 浴衣；睡衣
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
5-star hotel,找不到解释
fitness center,"n. 健身中心
 健身房；健康中心；体适能中心"
business center,"un. 营业中心
 商务中心；业务中心；经营中心"
beauty salon,"n. 美容院
 美容室；美容沙龙；美容美发"
health club,"n. 健身俱乐部
 健康俱乐部；健身房；健身中心"
conference room,"un. 会议室
 会议厅；会议场所及教室会议室；大会议室"
massage service,找不到解释
taxi service, 叫车服务；出租汽车服务；出租车服务
gift shop,"n. 礼品店
 礼品商店；礼物店；售纪念品处"
indoor swimming pool,"un. 室内游泳池
 室外泳池；室内泳池；室内恒温泳池"
steam bath,"na. 蒸汽浴
 蒸气浴；蒸汽浴缸；蒸气浴室"
banquet hall,"n. 宴会厅
 楼宴会厅；国际宴会厅；楼大宴会厅"
information desk,"na. 问讯处
 服务台；问询处；问讯台"
hotel register, 旅客登记簿；旅馆登记薄；宾馆住宿登记簿
cloak room,"n. (戏院等的)寄物处；议员休息室；(车站的)随身物品寄存处
 衣帽间；寄存室；行李寄放处"
news-stand, 书报亭; 报摊
