disastrous,adj. 灾难性的；损失惨重的；悲伤的
parliament,n. 议会，国会
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
boundary,n. 边界；范围；分界线
carrier,n.  载体；运送者；带菌者；货架
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
invitation,n. 邀请；引诱；请帖；邀请函
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
subtract,vt. 减去；扣掉
fable,"n. 寓言；无稽之谈
vt. 煞有介事地讲述；虚构
vi. 编寓言；虚构"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
verify,vt. 核实；查证
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
quantity,n. 量，数量；大量；总量
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
require,vt. 需要；要求；命令
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
functional,adj. 功能的
aspiration,n. 渴望；抱负；送气；吸气；吸引术
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
equation,n. 方程式，等式；相等； 反应式
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
instance,"n. 实例；情况；建议
vt. 举...为例"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
analysis,n. 分析；分解；验定
parameter,n. 参数；系数；参量
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
moisture,n. 水分；湿度；潮湿；降雨量
confusion,n. 混淆，混乱；困惑
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
speculate,"vi. 推测；投机；思索
vt. 推断"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
resemblance,n. 相似；相似之处；相似物；肖像
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
controversial,adj. 有争议的；有争论的
entity,n. 实体；存在；本质
facility,n. 设施；设备；容易；灵巧
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
guilty,adj. 有罪的；内疚的
plentiful,adj. 丰富的；许多的；丰饶的；众多的
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
literal,adj. 文字的；逐字的；无夸张的
thrive,vi. 繁荣，兴旺；茁壮成长
series,n. 系列，连续； 串联；级数；丛书
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
receptor,n.  受体；接受器；感觉器官
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
merger,n. （企业等的）合并；并购；吸收（如刑法中重罪吸收轻罪）
dismissal,n. 解雇；免职
humane,adj. 仁慈的，人道的；高尚的
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
fixture,n. 设备；固定装置；固定于某处不大可能移动之物
rotary,"n. 旋转式机器； 转缸式发动机
adj. 旋转的，转动的；轮流的"
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
ulcer,n.  溃疡；腐烂物；道德败坏
subsistence,n. 生活；生存；存在
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
rigorous,adj. 严格的，严厉的；严密的；严酷的
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
venerable,adj. 庄严的，值得尊敬的；珍贵的
quench,"vt. 熄灭， 淬火；解渴；结束；冷浸
vi. 熄灭；平息"
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
cholesterol,n.  胆固醇
ruthless,adj. 无情的，残忍的
cardboard,"n.  硬纸板；纸板箱；卡纸板
adj. 不真实的；硬纸板制的"
ridicule,"n. 嘲笑；笑柄；愚弄
vt. 嘲笑；嘲弄；愚弄"
stammer,"n. 口吃；结巴
vt. 口吃；结巴着说出
vi. 口吃；结结巴巴地说"
lass,n. 小姑娘；情侣；（苏格兰）女佣
longevity,n. 长寿，长命；寿命
stewardess,n. 女管家；女干事；女服务员
necklace,n. 项链
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
satire,n. 讽刺；讽刺文学，讽刺作品
pessimism,n. 悲观，悲观情绪；厌世主义
hockey,n. 曲棍球；冰球
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
tact,n. 机智；老练；圆滑；鉴赏力
cub,"n. 幼兽；不懂规矩的年轻人
vi. 生育幼兽"
emulate,"n. 仿真；仿效
vt. 仿真；模仿；尽力赶上；同…竞争"
renown,"n. 声誉；名望
vt. 使有声望"
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
berry,"n. 浆果（葡萄，番茄等）
vi. 采集浆果"
shrimp,"n. 虾；小虾；矮小的人
adj. 有虾的；虾制的
vi. 捕虾"
errand,n. 使命；差事；差使
sinister,adj. 阴险的；凶兆的；灾难性的；左边的
negligent,adj. 疏忽的；粗心大意的
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
envoy,n. 使者；全权公使
brandy,n. 白兰地酒
payroll,n. 工资单；在册职工人数；工资名单
trauma,n.  创伤（由心理创伤造成精神上的异常）；外伤
prince,n. 王子，国君；亲王；贵族
accordance,n. 一致；和谐
commodity,n. 商品，货物；日用品
apparently,adv. 显然地；似乎，表面上
belief,n. 相信，信赖；信仰；教义
downfall,n. 垮台；衰败；落下；大雨
timber,n. 木材；木料
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
ridiculous,adj. 可笑的；荒谬的
source,n. 来源；水源；原始资料
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
textile,"n. 纺织品，织物
adj. 纺织的"
consumption,n. 消费；消耗；肺痨
composition,n. 作文，作曲，作品； 构成；合成物；成分
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
conclusion,n. 结论；结局；推论
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
treaty,n. 条约，协议；谈判
archive,"n. 档案馆；档案文件
vt. 把…存档"
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
harmony,n. 协调；和睦；融洽；调和
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
oppose,"vt. 反对；对抗，抗争
vi. 反对"
resemble,vt. 类似，像
genuine,adj. 真实的，真正的；诚恳的
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
responsible,adj. 负责的，可靠的；有责任的
absence,n. 没有；缺乏；缺席；不注意
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
chronic,adj. 慢性的；长期的；习惯性的
mostly,adv. 主要地；通常；多半地
behalf,n. 代表；利益
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
agency,n. 代理，中介；代理处，经销处
occupancy,n. 居住；占有；占用
enforce,vt. 实施，执行；强迫，强制
impatient,adj. 焦躁的；不耐心的
convince,vt. 说服；使确信，使信服
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
immerse,vt. 沉浸；使陷入
favourable,"n. 有利
adj. 有利的，顺利的；赞成的"
spacecraft,n.  宇宙飞船，航天器
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
analogy,n. 类比；类推；类似
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
inevitable,adj. 必然的，不可避免的
impart,vt. 给予（尤指抽象事物），传授；告知，透露
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
tribunal,n. 法庭；裁决；法官席
facet,"n. 面；方面；小平面
vt. 在…上琢面"
patron,n. 赞助人；保护人；主顾
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
defection,n. 背叛；缺点；变节；脱党
hierarchical,adj. 分层的；等级体系的
derail,"n. 脱轨； 脱轨器
vt. 使出轨
vi. 出轨"
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
partition,"n. 划分，分开； 分割；隔墙；隔离物
vt.  分割；分隔；区分"
temporal,"n. 世间万物；暂存的事物
adj. 暂时的；当时的；现世的"
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
instantaneous,adj. 瞬间的；即时的；猝发的
prototype,n. 原型；标准，模范
sieve,"vt. 筛；滤
n.  筛子；滤网；不能保守秘密的人
vi. 筛；滤"
deteriorate,"vi. 恶化，变坏
vt. 恶化"
deficient,adj. 不足的；有缺陷的；不充分的
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
binder,n.  粘合剂；活页夹；装订工；捆缚者；用以绑缚之物
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
induction,n.  感应；归纳法；感应现象；入门培训，入职仪式，就职；诱导
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
transcript,n. 成绩单；抄本，副本；文字记录
jockey,"vt. 驾驶；欺骗；移动
n. 操作工；驾驶员；赛马的骑师
vi. 当赛马的骑师；耍手段图谋；搞欺骗"
indigenous,adj. 本土的；土著的；国产的；固有的
rattle,"vt. 使发出咯咯声；喋喋不休；使慌乱，使惊慌
vi. 喋喋不休地讲话；发出卡嗒卡嗒声
n. 喋喋不休的人；吓吱声，格格声"
soothe,"vt. 安慰；使平静；缓和
vi. 起抚慰作用"
oar,"n. 桨；橹；桨手
vt. 划（船）
vi. 划行"
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
outing,"n. 远足；短途旅游；体育比赛
adj. 远足适用的
v. 出来；暴露（out的ing形式）"
crab,"n. 螃蟹；蟹肉；脾气乖戾的人；起重机
vt. 抱怨；破坏；使偏航
vi. 捕蟹；发牢骚；抱怨"
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
brand-new,adj. 崭新的；最近获得的
incumbent,"n. 在职者；现任者；领圣俸者
adj. 现任的；依靠的；负有职责的"
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
seduce,vt. 引诱；诱惑；诱奸；怂恿
retarded,adj. 智力迟钝的；发展迟缓的
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
strait,"n. 海峡；困境
adj. 狭窄的；苦恼的"
viable,adj. 可行的；能养活的；能生育的
enact,vt. 颁布；制定法律；扮演；发生
coexist,vi. 共存；和平共处
tribune,n. 护民官；讲坛；看台；公民权利保护者
showcase,"n. 陈列橱， 陈列柜；显示优点的东西
vt. 使展现；在玻璃橱窗陈列"
colonel,n. 陆军上校
amiable,adj. 和蔼可亲的，亲切的
proverb,n. 谚语，格言；众所周知的人或事
snail,"n. 蜗牛；迟钝的人
vt. 缓慢移动
vi. 缓慢移动"
referendum,n. 公民投票权；外交官请示书
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
reliance,n. 信赖；信心；受信赖的人或物
repel,vt. 击退；抵制；使厌恶；使不愉快
deviate,"vi. 脱离；越轨
vt. 使偏离"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
context,n. 环境；上下文；来龙去脉
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
odour,n. 气味；声誉
tropical,adj. 热带的；热情的；酷热的
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
philosophy,n. 哲学；哲理；人生观
plural,"n. 复数
adj. 复数的"
presence,n. 存在；出席；参加；风度；仪态
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
wireless,"n. 无线电
adj. 无线的；无线电的
vt. 用无线电报与…联系；用无线电报发送
vi. 打无线电报；打无线电话"
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
disagree,vi. 不同意；不一致；争执；不适宜
furniture,n. 家具；设备；储藏物
entrance,"n. 入口；进入
vt. 使出神，使入迷"
compel,vt. 强迫，迫使；强使发生
wheat,n. 小麦；小麦色
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
applicant,n. 申请人，申请者；请求者
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
outset,n. 开始；开端
comedy,n. 喜剧；喜剧性；有趣的事情
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
skate,"n. 溜冰；冰鞋
vi. 滑冰；滑过"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
hospitality,n. 好客；殷勤
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
fertiliser,n. 化肥（等于fertilizer）
innate,adj. 先天的；固有的；与生俱来的
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
electrical,adj. 有关电的；电气科学的
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
cheerful,adj. 快乐的；愉快的；高兴的
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
democratic,adj. 民主的；民主政治的；大众的
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
gleam,"n. 微光；闪光；瞬息的一现
vt. 使闪烁；使发微光
vi. 闪烁；隐约地闪现"
emotion,n. 情感；情绪
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
procedure,n. 程序，手续；步骤
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
intelligent,adj. 智能的；聪明的；理解力强的
poetry,n. 诗；诗意，诗情；诗歌艺术
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
allergic,adj. 对…过敏的；对…极讨厌的
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
relief,n. 救济；减轻，解除；安慰；浮雕
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
emphasis,n. 重点；强调；加强语气
harmonious,adj. 和谐的，和睦的；协调的；悦耳的
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
hive,"n. 蜂房，蜂巢；热闹的场所；熙攘喧闹的人群
vi. 群居；入蜂房；生活在蜂房中
vt. 入蜂箱；贮备"
inject,vt. 注入；注射
prophet,n. 先知；预言者；提倡者
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
solemnity,n. 严肃；庄严；一本正经
substantive,"n. 名词性实词；独立存在的实体
adj. 有实质的；大量的；真实的；独立存在的"
indefinite,adj. 不确定的；无限的；模糊的
oracle,n. 神谕；预言；神谕处；圣人
chord,n. 弦；和弦；香水的基调
boastful,adj. 自夸的；自负的；喜夸耀的
fascist,"n. 法西斯主义者；法西斯党员
adj. 法西斯主义的，法西斯党的"
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
fusion,n. 融合；熔化；熔接；融合物； 核聚变
dividend,n. 红利；股息； 被除数；奖金
gruel,"n. 稀粥
vt. 使极度疲劳；累垮"
inventory,n. 存货，存货清单；详细目录；财产清册
reactionary,"n. 反动分子；反动派；保守派
adj. 保守的，反动的；反动主义的；反对改革的"
accession,"n. 增加；就职；到达
vt. 登记入册"
shrub,n. 灌木；灌木丛
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
reminiscence,n. 回忆；怀旧；引起联想的相似事物
vocation,n. 职业；天职；天命；神召
canoe,"n. 独木舟；轻舟
vi. 乘独木舟
vt. 用独木舟运"
warranty,n. 保证；担保；授权；（正当）理由
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
outlaw,"n. 歹徒；罪犯；亡命之徒；被剥夺法律保护者
vt. 宣布…为不合法；将…放逐；剥夺…的法律保护"
parish,"n. 教区
地方行政区"
connotation,n. 内涵；含蓄；暗示，隐含意义；储蓄的东西（词、语等）
customs,n. 海关；风俗（custom的复数）；习惯；关税
contingent,"n. 分遣队；偶然事件；分得部分；代表团
adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；有条件的"
demographic,adj. 人口统计学的；人口学的
knight,"n. 骑士，武士；爵士
vt. 授以爵位"
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
unleash,"vt. 发动；解开…的皮带；解除…的束缚
vi. 不受约束；自由自在；放荡不羁"
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
vogue,"n. 时尚；流行，时髦
adj. 时髦的，流行的"
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
depreciate,"vi. 贬值；轻视；贬低
vt. 使贬值；贬低；轻视"
livestock,n. 牲畜；家畜
algebra,n. 代数学
benevolent,adj. 仁慈的；慈善的；亲切的
credential,n. 证书；凭据；国书
buffalo,n.  水牛； 野牛（产于北美）；水陆两用坦克
autobiography,n. 自传；自传文学
imminent,adj. 即将来临的；迫近的
rehabilitate,"vt. 使康复；使恢复名誉；使恢复原状
vi. 复兴；复权；恢复正常生活"
cracker,n. 爆竹；饼干；胡桃钳；解密高手
massage,"vt. 按摩；揉
n. 按摩；揉"
brigade,"n. 旅；大部队；队列
vt. 把…编成旅；把…编成队"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
ecology,n. 生态学；社会生态学
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
vicinity,n. 邻近，附近；近处
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
threat,n. 威胁，恐吓；凶兆
prohibit,vt. 阻止，禁止
excellent,adj. 卓越的；极好的；杰出的
district,n. 区域；地方；行政区
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
climate,n. 气候；风气；思潮；风土
theory,n. 理论；原理；学说；推测
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
resent,vt. 怨恨；愤恨；厌恶
ministry,n. （政府的）部门
specimen,n. 样品，样本；标本
flexible,adj. 灵活的；柔韧的；易弯曲的
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
