enjoyable,adj. 快乐的；有乐趣的；令人愉快的
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
philosophy,n. 哲学；哲理；人生观
salary,"n. 薪水
vt. 给...加薪；给...薪水"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
basis,n. 基础；底部；主要成分；基本原则或原理
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
god,找不到解释
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
advertising,"n. 广告；广告业；登广告
adj. 广告的；广告业的
v. 公告；为…做广告（advertise的ing形式）"
airline,"n. 航空公司；航线
adj. 航线的"
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计"
shampoo,"n. 洗发；洗发精
vt. 洗发"
advertisement,n. 广告，宣传
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
be meant to, 有意要；应该是；打算
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
skilful,adj. 灵巧的; 熟练的; 技术好的
even if,"na. 即使…也
 纵然；就算；甚至"
even though,"na. “even if”的变体
 即使；尽管；虽然"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
bad breath,"n. 口臭；难闻的呼气
 口气；难闻的气味；口腔异味"
fool,"n. 傻瓜；愚人；受骗者
vt. 欺骗，愚弄
adj. 傻的
vi. 欺骗；开玩笑；戏弄"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
grocery,"n. 食品杂货店
食品杂货"
pleased,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
fall for,"v. 爱慕(某人)；赞赏(某事)；上当；受骗
 爱上；爱上，迷恋；信以为真"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
motto,n. 座右铭，格言；箴言
cigarette,n. 香烟；纸烟
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
comprehension,n. 理解；包含
latest,"adv. 最迟地；最后地
n. 最新的事物
adj. 最新的，最近的；最迟的，最后的"
best-seller,n. 畅销书；畅销唱片
amazed,"v. 使…吃惊；把…弄糊涂（amaze的过去分词）
adj. 惊奇的，吃惊的"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
publisher,n. 出版者，出版商；发行人
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
designer,"n. 设计师；谋划者
adj. 由设计师专门设计的；享有盛名的；赶时髦的"
software,n. 软件
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
eye-catching,adj. 引人注目的；耀眼的；显著的
logo,n. 商标，徽标；标识语
slogan,n. 标语；呐喊声
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
youth,n. 青年；青春；年轻；青少年时期
aspect,n. 方面；方向；形势；外貌
CD,abbr. 光盘，激光唱片（Compact Disc）；呼叫设备（Calling Device）；中央地区（Central District）；商务部（Commerce Department）
recipe,n. 食谱； 处方；秘诀；烹饪法
yummy,"n. 美味的东西；令人喜爱的东西
adj. 好吃的；美味的；愉快的"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
bonus,n. 奖金；红利；额外津贴
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
poster,n. 海报，广告；招贴
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
analysis,n. 分析；分解；验定
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
personally,adv. 亲自地；当面；个别地；就自己而言
get something across, 把意思说清楚，使想法被理解
anti-smoking,"n. 反对吸烟；禁止吸烟
adj. 反对吸烟的
v. 反对吸烟（antismoke的现在分词）"
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
poisonous,adj. 有毒的；恶毒的；讨厌的
lung,n. 肺；呼吸器
cancer, 巨蟹座
smoker,n. 吸烟者；薰制工
fingernail,n. 手指甲
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
tobacco,n. 烟草，烟叶；烟草制品；抽烟
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
die from,"na. 因伤致死
 死于；由于…而死；因某事而死"
committee,n. 委员会
delighted,"adj. 高兴的；欣喜的
v. 使…兴高采烈；感到快乐（delight的过去分词）"
significance,n. 意义；重要性；意思
Olympia,n. 奥林匹亚
Greece,希腊（欧洲南部国家）
wrestling,"n. 摔跤；扭斗
v. 摔跤；格斗（wrestle的ing形式）；与…摔跤；使劲移动"
tradition,n. 惯例，传统；传说
compete,vi. 竞争；比赛；对抗
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
nation,n. 国家；民族；国民
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
well-known,adj. 著名的；众所周知的；清楚明白的
boxer,n. 拳师，拳击手
medal,n. 勋章，奖章；纪念章
heavyweight,"n. 重量级拳击手；有影响的人物；聪明绝顶的人
adj. 重量级的；特别厚重的"
boxing,"n. 拳击；装箱；围模；做箱的材料
v. 将…装入盒中（box的ing形式）"
championship,n. 锦标赛；冠军称号；冠军的地位
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
absence,n. 没有；缺乏；缺席；不注意
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
lead the way,"na. 领路
 带路；引路；引路，带路"
gymnastics,n. 体操；体育；体操运动
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
hang on,"v. 坚守；守住；坚持；支撑着
 坚持下去；抓紧不放；等一下"
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
boundary,n. 边界；范围；分界线
movement,n. 运动；活动；运转；乐章
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
torch,"n. 火把，火炬；手电筒；启发之物
vt. 用火炬点燃
vi. 像火炬一样燃烧"
stadium,n. 体育场；露天大型运动场
pass something on,找不到解释
pass something on to somebody,找不到解释
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
citizen,n. 公民；市民；老百姓
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
underwear,n. 内衣物
kettle,n. 壶； 釜；罐；鼓
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
per,prep. 每；经；按照；每一
association,n. 协会，联盟，社团；联合；联想
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
Coke,找不到解释
lemonade,n. 柠檬水
ping-pong,n. 乒乓球；桌球
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
origin,n. 起源；原点；出身；开端
outdoors,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
technique,n. 技巧，技术；手法
bowling,"n. 滚木球戏；保龄球戏
v. 打保龄球（bowl的现在分词）"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
unusual,adj. 不寻常的；与众不同的；不平常的
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
power boating,找不到解释
make way for,"v. 让路
 给……让路；让路给；让路于"
tae kwon do,"n. 跆拳道
 台拳道；跆拳道训练；跆拳道运动健身"
rugby,n. 英式橄榄球；拉格比（英格兰中部的城市）
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
eagle,n. 鹰；鹰状标饰
teammate,n. 队友，同队队员
kangaroo,n. 袋鼠
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛"
reporter,n. 记者
unfair,adj. 不公平的，不公正的
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
meanwhile,"adv. 同时，其间
n. 其间，其时"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
precious,adj. 宝贵的；珍贵的；矫揉造作的
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
reality,n. 现实；实际；真实
presentation,n. 展示；描述，陈述；介绍；赠送
amaze,vt. 使吃惊
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
user,"n. 用户
n. 使用者"
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
happiness,n. 幸福
headset,n. 耳机；头戴式受话器
3-D,abbr. 三维的（three dimensional）
add to,"na. 增加
 增添；增进；添加"
network,n. 网络；广播网；网状物
studio,n. 工作室； 演播室；画室；电影制片厂
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
Brazilian,"n. 巴西人
adj. 巴西的；巴西人的"
winning,"n. 胜利；获得；成功
v. 获胜（win的ing形式）
adj. 胜利的；获胜的"
confident,adj. 自信的；确信的
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
 提前；推荐；表提出"
disappointed,adj. 失望的，沮丧的；受挫折的
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
convenience,n. 便利；厕所；便利的事物
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
firefighter,n. 消防队员
injure,vt. 伤害，损害
biology,n. （一个地区全部的）生物；生物学
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
urban,adj. 城市的；住在都市的
planning,"n. 规划；计划编制
v. 计划；设计；预期（plan的ing形式）"
neighbourhood,n. 邻近；周围；邻居关系；附近一带
as to,"na. 至于；说到
 关于；如此……以便；关于至于"
operation,n. 操作；经营； 手术； 运算
fee,"n. 费用；酬金；小费
vt. 付费给……"
disadvantage,n. 缺点；不利条件；损失
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
built-in,"n. 内置
adj. 嵌入的；固定的"
power-free,无功率
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
powder-free, 无需洗衣粉的；无粉末；无粉
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
powder,"n. 粉；粉末； 火药；尘土
vt. 使成粉末；撒粉；搽粉于
vi. 搽粉；变成粉末"
last but not least,"na. 最后但不是最不重要的一点
 最后但并非最不重要的；最后但同样重要的；最后但并不是最不重要的"
programming,n. 设计，规划；编制程序， 程序编制
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
piracy,n. 海盗行为；剽窃；著作权侵害；非法翻印
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
editor,n. 编者，编辑；社论撰写人；编辑装置
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
modem,n. 调制解调器（等于modulator-demodulator）
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
PC,abbr. 个人电脑（Personal Computer）；巡逻车（Patrol Car）
printer,n.  打印机；印刷工；印花工
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
importance,n. 价值；重要；重大；傲慢
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
nephew,n. 侄子；外甥
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
dinosaur,n. 恐龙；过时、落伍的人或事物
exit,"n. 出口，通道；退场
vi. 退出；离去"
ceiling,n. 天花板；上限
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
upwards,adv. 向上；在上部；向上游
sunlight,n. 日光
zip,"n. 拉链; 精力，活力; 尖啸声; 一种程序压缩格式
vt. 给予…速度; 用拉链拉上或扣上
vt.& vi. 尖啸而过; （使沿某方向）快速移动"
worn,"v. 穿；磨损（wear的过去分词）；佩戴
adj. 疲倦的；用旧的"
mankind,n. 人类；男性
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
beast,n. 野兽；畜生，人面兽心的人
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
cheerful,adj. 快乐的；愉快的；高兴的
washroom,n. 洗手间；盥洗室；厕所
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
truly,adv. 真实地，不假；真诚地
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
sincerely,adv. 真诚地；由衷地，诚恳地
childhood,n. 童年时期；幼年时代
superb,adj. 极好的；华丽的；宏伟的
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
manner,n. 方式；习惯；种类；规矩；风俗
horrible,adj. 可怕的；极讨厌的
guilty,adj. 有罪的；内疚的
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
athletic,adj. 运动的，运动员的；体格健壮的
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
disagreement,n. 不一致；争论；意见不同
before long,"na. 不久；不(需很)久
 不久以后；很快；不久之后"
mailbox,n. 邮箱；邮筒
algebra,n. 代数学
arithmetic,n. 算术，算法
Easter,n. 复活节
amusement,n. 消遣，娱乐；乐趣
circus,n. 马戏；马戏团
online,"adj. 联机的；在线的
adv. 在线地"
identity,n. 身份；同一性，一致；特性；恒等式
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
hopeless,adj. 绝望的；不可救药的
overcome,"vt. 克服；胜过
vi. 克服；得胜"
get through,"na. 花光；了结；(使)通过(议案)；及格
 到达；度过；接通"
acquaintance,n. 熟人；相识；了解；知道
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
apartment,n. 公寓；房间
topic,n. 主题（等于theme）；题目；一般规则；总论
attitude,n. 态度；看法；意见；姿势
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
be based on,"v. 以…为基础
 根据；基于；以……为根据"
cautious,adj. 谨慎的；十分小心的
eager,adj. 渴望的；热切的；热心的
worldwide,"adj. 全世界的
adv. 在世界各地"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
end up,"na. 结束；完事；死；直立着
 告终；竖着；最终成为"
waiting room,"n. 候诊室；等候室；候车室
 候机室；等待室；侯诊室"
rely,vi. 依靠；信赖
trolleybus,n. 无轨电车
revision,n.  修正；复习；修订本
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
committed,"v. 承诺；委托；干坏事；付诸（commit的过去分词）
adj. 坚定的；效忠的；承担义务的"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
apology,n. 道歉；谢罪；辩护；勉强的替代物
economy,n. 经济；节约；理财
spokeswoman,n. 女代言人，女代言人
consultant,n. 顾问；咨询者；会诊医生
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
open the floor,找不到解释
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
duty,n. 责任； 关税；职务
cut back on, 缩减；减少；削减，缩减
production,n. 成果；产品；生产；作品
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
greedy,adj. 贪婪的；贪吃的；渴望的
businessman,n. 商人
responsibility,n. 责任，职责；义务
belief,n. 相信，信赖；信仰；教义
environmental,adj. 环境的，周围的；有关环境的
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
quantity,n. 量，数量；大量；总量
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
seafood,n. 海鲜；海味；海产食品
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
goods,n. 商品；动产；合意的人；真本领
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
use up,"na. 用完；耗尽
 用光；用尽；消耗"
run out,"na. 耗尽；用光；过有效期；失效
 用完；用尽；到期"
run out of,"na. 用光…
 用完；用尽；耗尽"
madam,n. 夫人；女士；鸨母
arrival,n. 到来；到达；到达者
clean up,"na. 收拾干净；改正；赚厚利
 打扫；打扫干净；清除"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
illegally,adv. 非法地
customs,n. 海关；风俗（custom的复数）；习惯；关税
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
tortoise,n. 龟， 乌龟（等于testudo）；迟缓的人
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
economic,adj. 经济的，经济上的；经济学的
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
desertification,n. （土壤）荒漠化；沙漠化（等于desertization）
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
administration,n. 管理；行政；实施；行政机构
satellite,n. 卫星；人造卫星；随从；卫星国家
pick out,"na. 挑选；掘出；闻出；领会
 挑出；选出；选出，挑出，拣出"
typhoon,n.  台风
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
under way,"na. 进行着；航行中
 在进行中；正在进行之中；正在进行中"
conservation,n. 保存，保持；保护
dolphin,n. 海豚
in regard to,"na. “in regard of”的变体
 关于；至于；对于"
with regard to,"na. 关于；对于；为了答复；“in/with regard to”的变体
 至于；就…而言；至于，就"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
climate,n. 气候；风气；思潮；风土
low-carbon,adj. 低碳（的），含碳低的；低碳
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
dioxide,n. 二氧化物
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
 免除；放过；放出"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
petrol,n. （英）汽油
engine,n. 引擎，发动机；机车，火车头；工具
electrical,adj. 有关电的；电气科学的
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
