abandon,"n. 放任；狂热
vt. 遗弃；放弃"
market share,"n. 市场份额；市场占有率
 市占率；市场占用率；市场分额"
mass production,"n. 大规模生产
 大量生产；大批量生产；量产"
measles,n.  麻疹；风疹
Medicaid,
Medicare,
mellow,"adj. 圆润的，柔和的；成熟的；芳醇的
vt. 使成熟；使柔和
vi. 成熟；变柔和"
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
merger,n. （企业等的）合并；并购；吸收（如刑法中重罪吸收轻罪）
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
microscope,n. 显微镜
minimum wage,"n. （法定的）最低工资
 保底工资；法定最工资；基本工资"
mishap,n. 灾祸；不幸事故；晦气
missing,"adj. 失踪的；缺少的
v. 错过（miss的ing形式）；想念；漏掉"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
molecule,n.  分子；微小颗粒，微粒
monarchy,n. 君主政体；君主国；君主政治
monolithic,"adj. 整体的；巨石的，庞大的；完全统一的
n. 单块集成电路，单片电路"
morbid,adj. 病态的；由病引起的；恐怖的；病变部位的
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
mourn,v. 哀悼；忧伤；服丧
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
nationalism,n. 民族主义；国家主义；民族特性
nationalization,n. 国有化；同化，归化
natural selection,"n. 自然选择；物竞天择
 自然淘汰；自然选择学说；天择说"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
neighborhood,n. 附近；街坊；接近；街区
neurotic,"adj. 神经过敏的；神经病的
n. 神经病患者；神经过敏者"
news flash,"un. 简明新闻；快讯
 最后新闻；新闻快讯；简讯"
nostalgia,n. 乡愁；怀旧之情；怀乡病
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
nutrition,n. 营养，营养学；营养品
obfuscate,vt. 使模糊；使迷乱；弄暗
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
obvious,adj. 明显的；显著的；平淡无奇的
occupy,vt. 占据，占领；居住；使忙碌
office,n. 办公室；政府机关；官职；营业处
oligarchy,n. 寡头政治
operator,n. 经营者；操作员；话务员；行家
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
organism,n. 有机体；生物体；微生物
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
outcome,n. 结果，结局；成果
output,"n. 输出，输出量；产量；出产
vt. 输出"
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
overcome,"vt. 克服；胜过
vi. 克服；得胜"
overdraw,"vt. 透支；拉过度；夸张
vi. 透支；夸张"
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
overpopulation,n. 人口过剩
overt,adj. 明显的；公然的；蓄意的
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
oxygen,n.  氧气， 氧
pacify,vt. 使平静；安慰；平定
pact,n. 协定；公约；条约；契约
palpable,adj. 明显的；可感知的；易觉察的
paltry,adj. 不足取的；无价值的；琐碎的；卑鄙的
panacea,n. 灵丹妙药；万能药
paparazzo,n. 专门追逐名人的摄影记者
paraphrase,"n. 释义；解释；意译
vt. 释义"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
patronage,n. 赞助；光顾；任免权
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
penalty,n. 罚款，罚金；处罚
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
per capita,"adj. 每人的；人均的
 按人；拉丁语人均；按人口平均计算"
performance,n. 性能；绩效；表演；执行；表现
perpetrate,vt. 犯（罪）；做（恶）
perspective,"n. 观点；远景；透视图
adj. 透视的"
peruse,vt. 详细考察；精读
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
phony,"n. 假冒者；赝品
adj. 假的，欺骗的"
pickpocket,n. 扒手
pious,adj. 虔诚的；敬神的；可嘉的；尽责的
piracy,n. 海盗行为；剽窃；著作权侵害；非法翻印
plagiarize,"vt. 剽窃；抄袭
vi. 剽窃；抄袭"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
plea bargain,"un. 诉讼交易
 辩诉交易；认罪协商；认罪协议"
pneumonia,n. 肺炎
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
portly,"n. 肥胖的人；特大号服装
adj. 肥胖的；魁伟的"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
predominate,"vt. 支配，主宰；在…中占优势
vi. 占主导（或支配）地位；占优势"
pre-emptive,adj. 优先购买的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
preoccupy,vt. 迷住；使全神贯注
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
press release,"n. （向媒体发布的）新闻稿
 新闻发布；新闻公告；新闻简报"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
preventative,"n. 预防法；预防物
adj. 预防性的；防止的"
prime rate,"n. （美国银行的）最优惠贷款利率
 最优惠利率；基本利率；优待利率"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
pristine,adj. 原始的，古时的；纯朴的
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
procrastinate,"vi. 耽搁，延迟
vt. 耽搁，延迟"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
productivity,n. 生产力；生产率；生产能力
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
prohibit,vt. 阻止，禁止
prolific,adj. 多产的；丰富的
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
propaganda,n. 宣传；传道总会
property,n. 性质，性能；财产；所有权
proselyte,"n. 改信仰者
vt. 使改宗教信仰
vi. 改变宗教信仰"
protectionism,n. 保护主义，贸易保护主义；贸易保护制度
prove,"vi. 证明是
vt. 证明；检验；显示"
provincial,"n. 粗野的人；乡下人；外地人
adj. 省的；地方性的；偏狭的"
psychiatrist,n. 精神病学家，精神病医生
publicity,n. 宣传，宣扬；公开；广告；注意
quality control,"n. 质量控制
 质量管理；品质管制；品质控制"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
radioactivity,n. 放射性； 放射能力； 放射现象
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
ratify,vt. 批准；认可
raze,vt. 夷为平地；破坏；消除；拆毁
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
recede,"vi. 后退；减弱
vt. 撤回"
recession,n. 衰退；不景气；后退；凹处
reconciliation,n. 和解；调和；和谐；甘愿
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
regulator,n. 调整者；监管者；校准器
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
rekindle,"vt. 重新点燃；再点火
vi. 重新点燃"
reliable source, 可靠方面；可靠来源；可靠参照
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
rely,vi. 依靠；信赖
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
renaissance,n. 文艺复兴（欧洲14至17世纪）
renovate,vt. 更新；修复；革新；刷新
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
repent,"adj.  匍匐生根的； 爬行的
vi. 后悔；忏悔
vt. 后悔；对…感到后悔"
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
reprieve,"n. 暂缓；缓刑
vt. 缓期执行；暂时解救"
require,vt. 需要；要求；命令
rescue,"n. 营救；援救；解救
vt. 营救；援救"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
responsible,adj. 负责的，可靠的；有责任的
restrict,vt. 限制；约束；限定
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
resurrect,"vt. 使复活；复兴；挖出
vi. 复活"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
retaliate,"vi. 报复；回敬
vt. 报复"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
revolution,n. 革命；旋转；运行；循环
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
robotics,n. 机器人学
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
sabotage,"n. 破坏；破坏活动；怠工
vt. 妨害；对…采取破坏行动
vi. 从事破坏活动"
sacrilegious,adj. 该受天谴的，亵渎神明的
salesman,n. 推销员；售货员
sampling,"n. 取样；抽样
v. 取样；抽样（sample的ing形式）"
sanitary,"n. 公共厕所
adj. 卫生的，清洁的"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
seclude,vt. 使隔离，使隔绝
security system,"un. 安全性系统
 安全系统；保安系统；安防系统"
seismograph,n. 地震仪
seizure,n. 没收；夺取；捕获；（疾病的）突然发作
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
sewage,n. 污水；下水道；污物
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
side effect,"n. 副作用；意外结果；函数副作用
 没有副作用；副反应；副效应"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
simulator,n. 模拟器；假装者，模拟者
skeptical,adj. 怀疑的；怀疑论的，不可知论的
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
socialism,n. 社会主义
sociologist,n. 社会学家
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
sole proprietor, 独资经营者；独资经营业主；独资公司
sound system,"n. 音响系统
 声音系统；声音子系统；音效系统"
spacecraft,n.  宇宙飞船，航天器
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
speculate,"vi. 推测；投机；思索
vt. 推断"
spillover,n. 溢出；外流人口
spin doctor,"n. （政治人物、组织等的）舆论导向专家
 政治化妆师；旋转博士；政治顾问"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
state-run,adj.  国营的；州立的
statutory,adj. 法定的；法令的；可依法惩处的
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
strangle,"vt. 把…勒死；使…窒息
vi. 窒息而死；被勒死"
strategy,n. 战略，策略
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
subside,vi. 平息；减弱；沉淀；坐下
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
sufficient,adj. 足够的；充分的
supermarket,n. 超级市场；自助售货商店
supplier,n. 供应厂商，供应国；供应者
suppression,n. 抑制；镇压； 压抑
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
surgery,n. 外科；外科手术；手术室；诊疗室
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
suspicious,adj. 可疑的；怀疑的；多疑的
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
symbiosis,n.  共生；合作关系；共栖
symptom,n.  症状；征兆
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
tarnish,"n. 晦暗，无光泽；污点
vt. 玷污；使……失去光泽；使……变灰暗
vi. 失去光泽；被玷污；变灰暗"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
technology art,
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
theatrical,adj. 戏剧性的；剧场的，戏剧的；夸张的；做作的
therapy,n. 治疗，疗法
thrift,n. 节俭；节约； 海石竹
throng,"n. 人群；众多
vt. 群集；挤满
vi. 蜂拥而至；群集
adj. 拥挤的"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
tout,"vt. 兜售；招徕；刺探赛马情报
vi. 兜售；招徕顾客；拉选票
n. 侦查者；兜售者"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
trade fair,"n. 商品展销会；商品交易会
 贸易展销会；商展会；贸易博览会"
trade union,"n. 工会
 职工会；基层工会；职业工会"
transact,"vt. 办理；处理
vi. 交易；谈判"
transfusion,n.  输血； 输液；倾注；灌输
translation,n. 翻译；译文；转化；调任
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
tropical rainforest,"un. 热带雨林
 热带雨林区；而将其列入热带雨林气候；热带的雨林"
truism,n. 自明之理；老生常谈；老套；众所周知；真实性
tumor,n. 肿瘤；肿块；赘生物
turbid,adj. 浑浊的；混乱的；雾重的
turbulence,n. 骚乱，动荡； 湍流；狂暴
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
ubiquitous,adj. 普遍存在的；无所不在的
ultraviolet rays,"na. 紫外线
 紫外线辐射；紫外光；紫外线光"
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
undermine,vt. 破坏，渐渐破坏；挖掘地基
undertake,vt. 承担，保证；从事；同意；试图
unearth,vt. 发掘；揭露，发现；从洞中赶出
unify,vt. 统一；使相同，使一致
unofficial,adj. 非官方的；非正式的
untenable,adj. （论据等）站不住脚的；不能维持的；不能租赁的；难以防守的
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
uproot,"vt. 根除，连根拔起；迫使某人离开出生地或定居处
vi. 迁离；改变生活方式"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
vaccinate,"vt. 给…注射疫苗
vi. 接种疫苗
n. 被接种牛痘者"
vacillate,vi. 犹豫；踌躇；摇摆
vain,adj. 徒劳的；自负的；无结果的；无用的
vapid,adj. 无趣味的；无生气的；索然乏味的
vector,"n. 矢量；带菌者；航线
vt. 用无线电导航"
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
vigor,n.  活力，精力
vindicate,vt. 维护；证明…无辜；证明…正确
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
vital,adj. 至关重要的；生死攸关的；有活力的
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
wallow,"n. 打滚；堕落；泥坑
vi. 打滚；沉迷；颠簸"
wanton,"n. 荡妇；水性杨花的女人
adj. 嬉戏的；繁茂的；荒唐的；无节制的；放纵的
vt. 挥霍
vi. 放肆；嬉戏；闲荡"
wax,"n. 蜡；蜡状物
adj. 蜡制的；似蜡的
vt. 给…上蜡
vi. 月亮渐满；增大"
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
wedded,"v. 结婚（wed的变形）；与…结婚
adj. 结婚的；结合的；已结婚的"
whisk,"n. 搅拌器；扫帚；毛掸子
vt. 拂，掸；搅拌；挥动
vi. 飞奔，疾过"
widespread,adj. 普遍的，广泛的；分布广的
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
workaholic,"n. 专心工作的人；醉心于工作的人；为免遭辞退而工作过份卖力的人
adj. 醉心于工作的"
wreak,vt. 发泄；报仇；造成（巨大的破坏或伤害）
zenith,"n. 顶峰；顶点；最高点
n. 真力时（瑞士名表）"
abbreviate,"vt. 缩写，使省略；使简短
vi. 使用缩写词"
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
acceptable,adj. 可接受的；合意的；可忍受的
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
accomplish,vt. 完成；实现；达到
accountable,adj. 有责任的；有解释义务的；可解释的
accounting,"n. 会计，会计学；账单
v. 解释（account的ing形式）；叙述"
accumulation,n. 积聚，累积；堆积物
acid rain,"n. 酸雨；酸性降水
 酸雨公司；酸雨问题；酸性雨"
adaptation,n. 适应；改编；改编本，改写本
additional,adj. 附加的，额外的
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
admission,n. 承认；入场费；进入许可；坦白；录用
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
afford,vt. 给予，提供；买得起
aftermath,n. 后果；余波
agenda,n. 议程；日常工作事项；日程表
aggravate,vt. 加重；使恶化；激怒
aging society,"un. 高龄化社会
 老龄化社会；老龄社会；老化社会"
agriculture,n. 农业；农耕；农业生产；农艺，农学
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
allegedly,adv. 依其申述；据说，据称
alleviate,vt. 减轻，缓和
allude,vi. 暗指，转弯抹角地说到；略为提及，顺便提到
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
ambiguous,adj. 模糊不清的；引起歧义的
amenity,n. 舒适；礼仪；愉快；便利设施
analyst,n. 分析者；精神分析医师；分解者
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
anniversary,n. 周年纪念日
anonymously,adv. 不具名地；化名地
anticipate,vt. 预期，期望；占先，抢先；提前使用
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
appall,vt. 使胆寒；使惊骇
appease,vt. 使平息；使满足；使和缓；对…让步
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
artifact,n. 人工制品；手工艺品
ascent,n. 上升；上坡路；登高
assassin,n. 刺客，暗杀者
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
assembly line,"na. 装配线
 组装线；流水线；生产线"
assessment,n. 评定；估价
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
assuage,vt. 平息；缓和；减轻
astronaut,n. 宇航员，航天员；太空旅行者
atmosphere,n. 气氛；大气；空气
atrocity,n. 暴行；凶恶，残暴
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
attitude,n. 态度；看法；意见；姿势
auction,"n. 拍卖
vt. 拍卖；竞卖"
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
authenticate,vt. 鉴定；证明…是真实的
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
backlash,"n. 反冲；强烈抵制
vt. 强烈反对；发生后冲"
bacteria,n.  细菌
balk,"n. 障碍；错误
vi. 犹豫；突然止步不前
vt. 阻止；推诿；错过"
bandit,n. 强盗，土匪；恶棍；敲诈者
banish,vt. 放逐；驱逐
banking,"n. 银行业；银行业务；银行家的职业；筑堤
v. 把钱存入银行；做银行家；在…边筑堤（bank的现在分词）"
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
barter,"n. 易货贸易；物物交换；实物交易
vt. 以…作为交换；拿…进行易货贸易
vi. 进行易货贸易； 作物物交换；讨价还价"
bedrock,n.  基岩；根底；基本原理
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
behavior,n. 行为，举止；态度；反应
bemuse,vt. 使发呆；使茫然；使困惑
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
biochemical,adj. 生物化学的
bionics,n. 仿生学
biotechnology,n.  生物技术； 生物工艺学
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
blemish,"n. 瑕疵；污点；缺点
vt. 玷污；损害；弄脏"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
bottom line,"n. 底线；底价；要旨；基本论点
 最低限度；绝对底线；账本底线"
bounced check,"n. 空头支票
 退票；退支票；跳票"
bountiful,adj. 丰富的；慷慨的；宽大的
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
breakthrough,n. 突破；突破性进展
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
