source,n. 来源；水源；原始资料
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
subsequent,adj. 后来的，随后的
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
satire,n. 讽刺；讽刺文学，讽刺作品
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
progressively,adv. 渐进地；日益增多地
portrait,n. 肖像；描写；半身雕塑像
piano,n. 钢琴
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
nervous,adj. 神经的；紧张不安的；强健有力的
neolithic,adj.  新石器时代的；早先的
leadership,n. 领导能力；领导阶层
height,n. 高地；高度；身高；顶点
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
fiction,n. 小说；虚构，编造；谎言
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
creative,adj. 创造性的
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
category,n. 种类，分类； 范畴
attention,n. 注意力；关心；立正！（口令）
arrangement,n. 布置；整理；准备
adjacent,adj. 邻近的，毗连的
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
container,n. 集装箱；容器
spectator,n. 观众；旁观者
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
sprawl,"n. 蔓生；伸开手足躺卧姿势
vt. 懒散地伸开；使蔓生
vi. 蔓延；伸开手足躺；无计划地扩展"
emphasis,n. 重点；强调；加强语气
burial,"n. 埋葬；葬礼；弃绝
adj. 埋葬的"
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
immediate,adj. 立即的；直接的；最接近的
encouraging,"v. 鼓励，支持（encourage的ing形式）
adj. 令人鼓舞的；鼓励的，奖励的"
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
wheat,n. 小麦；小麦色
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
transition,n. 过渡；转变； 转换；变调
tract,n. 束；大片土地，地带；小册子
thrive,vi. 繁荣，兴旺；茁壮成长
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
repress,"vt. 抑制；镇压（叛乱等）；约束
vi. 抑制；镇压"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
popularity,n. 普及，流行；名气；受大众欢迎
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
mill,"vi. 乱转；被碾磨
n. 工厂；磨坊；磨粉机；制造厂；压榨机
vt. 搅拌；碾磨；磨细；使乱转"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
excavate,"vt. 挖掘；开凿
vi. 发掘；细查"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
engrave,vt. 雕刻；铭记
dutch,
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
debris,n. 碎片，残骸
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
confirm,vt. 确认；确定；证实；批准；使巩固
cognitive,adj. 认知的，认识的
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
classify,vt. 分类；分等
catastrophe,n. 大灾难；大祸；惨败
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
award,"n. 奖品；判决
vt. 授予；判定"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
antarctica,
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
alter,"vt. 改变，更改
vi. 改变；修改"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
ridiculous,adj. 可笑的；荒谬的
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
projector,n.  投影仪；放映机；探照灯；设计者
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
dominance,n. 优势；统治；支配
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
adequate,adj. 充足的；适当的；胜任的
sacred,adj. 神的；神圣的；宗教的；庄严的
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
dwell,vi. 居住；存在于；细想某事
unpredictable,"n. 不可预言的事
adj. 不可预知的；不定的；出乎意料的"
nutrition,n. 营养，营养学；营养品
weapon,n. 武器，兵器
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
terrain,n.  地形，地势；领域；地带
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
speculation,n. 投机；推测；思索；投机买卖
specimen,n. 样品，样本；标本
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
selection,n. 选择，挑选；选集；精选品
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
sandstone,n.  砂岩；沙岩
realist,n. 现实主义者；实在论者
psychological,adj. 心理的；心理学的；精神上的
primate,"n. 大主教；灵长类的动物；首领
adj. 灵长目动物的；首要的"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
originate,"vt. 引起；创作
vi. 发源；发生；起航"
orchid,"n. 兰花； 兰科植物；淡紫色
adj. 淡紫色的"
orchestral,adj. 管弦乐的；管弦乐队的
oppose,"vt. 反对；对抗，抗争
vi. 反对"
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
nucleus,n. 核，核心；原子核
molten,"adj. 熔化的；铸造的；炽热的
v. 换毛；脱毛（molt的过去分词）"
moisture,n. 水分；湿度；潮湿；降雨量
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
mechanize,vt. 使机械化；机动化；用机械装置
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
lip,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
hence,adv. 因此；今后
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
fungus,n. 真菌，霉菌；菌类
fireplace,n. 壁炉
figurine,n. 小雕像，小塑像
falcon,n.  猎鹰； 隼
extent,n. 程度；范围；长度
evident,adj. 明显的；明白的
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
adult,"n. 成年人
adj. 成年的；成熟的"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
exposition,n. 博览会；阐述；展览会
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
metallic,adj. 金属的，含金属的
photography,n. 摄影；摄影术
feedback,n. 反馈；成果，资料；回复
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
constantly,adv. 不断地；时常地
distribute,vt. 分配；散布；分开；把…分类
representation,n. 代表；表现；表示法；陈述
convention,n. 大会； 惯例； 约定； 协定；习俗
arid,adj. 干旱的；不毛的， 荒芜的
ceremonial,"n. 仪式，礼节
adj. 仪式的；正式的，礼仪的"
consumer,n. 消费者；用户，顾客
symbolic,adj. 象征的；符号的；使用符号的
investor,n. 投资者
inspiration,n. 灵感；鼓舞；吸气；妙计
realistic,adj. 现实的；现实主义的；逼真的；实在论的
symptom,n.  症状；征兆
sustain,vt. 维持；支撑，承担；忍受；供养；证实
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
roughly,adv. 粗糙地；概略地
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
republic,n. 共和国；共和政体
rely,vi. 依靠；信赖
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
planet,n. 行星
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
partially,adv. 部分地；偏袒地
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
offshore,"adj. 离岸的； 近海的；吹向海面的
adv. 向海面，向海"
odor,n. 气味；名声
occupy,vt. 占据，占领；居住；使忙碌
noticeable,adj. 显而易见的，显著的；值得注意的
mixture,n. 混合；混合物；混合剂
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
massive,adj. 大量的；巨大的，厚重的；魁伟的
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
legislation,n. 立法；法律
latter,adj. 后者的；近来的；后面的；较后的
latitude,n. 纬度；界限；活动范围
invent,vt. 发明；创造；虚构
interaction,"n. 相互作用； 交互作用
n. 互动"
instance,"n. 实例；情况；建议
vt. 举...为例"
innovation,n. 创新，革新；新方法
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞"
Greek,"n. 希腊语；希腊人
adj. 希腊的；希腊人的，希腊语的"
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
fragile,adj. 脆的；易碎的
forage,"n. 饲料；草料；搜索
vi. 搜寻粮草；搜寻"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
flexible,adj. 灵活的；柔韧的；易弯曲的
finch,n. 雀科鸣鸟；雀类
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
enclose,vt. 围绕；装入；放入封套
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
eliminate,vt. 消除；排除
earthquake,n. 地震；大动荡
detect,vt. 察觉；发现；探测
cosmic,adj. 宇宙的（等于cosmical）
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
capacity,n. 能力；容量；资格，地位；生产力
canoe,"n. 独木舟；轻舟
vi. 乘独木舟
vt. 用独木舟运"
candidate,n. 候选人，候补者；应试者
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
turnpikes,n. 公路，付费公路( turnpike的名词复数 ); （旧时的）收税关卡
turnpike,n.  收费高速公路；收税关卡
tides,"n.  潮汐（tide的复数）
v. 随潮水漂浮（tide的第三人称单数）"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
successive,adj. 连续的；继承的；依次的；接替的
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
storms,n. 暴风雨( storm的名词复数 ); （因激动或兴奋而爆发出的）暴风雨般的声音; 强烈如暴（风）雨般的东西; （群情迸发的）浪潮
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
shattered,"v. 打碎；削弱；使心烦意乱（shatter的过去分词）
adj. 破碎的；极度疲劳的"
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
semiskilled,adj. 半熟练的
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
residence,n. 住宅，住处；居住
reptiles,n. 爬行动物（reptile的复数）； 爬行类；爬虫类
reptile,"n. 爬行动物；卑鄙的人
adj. 爬虫类的；卑鄙的"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
realization,n. 实现；领悟
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
residential,adj. 住宅的；与居住有关的
prosperity,n. 繁荣，成功
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
prevailing,"adj. 流行的；一般的，最普通的；占优势的；盛行很广的
v. 盛行，流行（prevail的现在分词形式）；获胜"
prevail,vi. 盛行，流行；战胜，获胜
manipulated,v. 操作（manipulate的过去分词）
manipulate,vt. 操纵；操作；巧妙地处理；篡改
magical,adj. 魔术的；有魔力的
lungs,n.  肺（lung的复数形式）
lung,n. 肺；呼吸器
limestone,n.  石灰岩
lesser,"adj. 较少的；次要的；更小的
adv. 较少地；更小地；不及"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
incubation,n. 孵化； 潜伏；抱蛋
incorporated,"adj. 合并的；组成法人组织的
v. 合并；包含；组成公司（incorporate的过去分词）"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
graphic,adj. 形象的；图表的；绘画似的
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
fertilizer,n.  肥料；受精媒介物；促进发展者
facilities,n. 设施；工具，设备
facility,n. 设施；设备；容易；灵巧
fabric,n. 织物；布；组织；构造；建筑物
excessive,adj. 过多的，极度的；过分的
entrepreneurs,n. 企业家（entrepreneur的复数）
entrepreneur,n. 企业家；承包人；主办者
entertainment,n. 娱乐；消遣；款待
elevation,n. 高地；海拔；提高；崇高；正面图
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
diameter,n. 直径
devised,v. 设计（devise的过去式和过去分词）；计划；发明
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
delivery,n.  交付；分娩；递送
dam,"n.  水坝；障碍
v. 控制；筑坝"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
capillary,"n. 毛细管
adj. 毛细管的；毛状的"
astronomy,n. 天文学
advent,n. 到来；出现；基督降临；基督降临节
wilderness,n. 荒地；大量，茫茫一片
vital,adj. 至关重要的；生死攸关的；有活力的
tundra,n.  苔原； 冻原；冻土地带
therapy,n. 治疗，疗法
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
resilience,n. 恢复力；弹力；顺应力
relief,n. 救济；减轻，解除；安慰；浮雕
reindeer,n.  驯鹿
reef,"n. 暗礁； 矿脉；收帆
vt. 收帆；缩帆
vi. 缩帆；收帆"
reality,n. 现实；实际；真实
radically,adv. 根本上；彻底地；以激进的方式
propulsion,n. 推进；推进力
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
precise,adj. 精确的；明确的；严格的
postal,"n. 明信片
adj. 邮政的；邮局的"
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
platform,n. 平台；月台，站台；坛；讲台
paleontologist,n. 古生物学者
opponents,n. 对手（opponent的复数形式）
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
mining,n. 矿业；采矿
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
mathematical,adj. 数学的，数学上的；精确的
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
literary,adj. 文学的；书面的；精通文学的
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
lava,n. 火山岩浆；火山所喷出的熔岩
laboratory,n. 实验室，研究室
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
inhibits,"抑制
阻止"
inhibit,vt. 抑制；禁止
imparted,"adj. 给予的，授予的
v. 通知( impart的过去式和过去分词 ); 透露; 传授; 告知"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
gratify,vt. 使满足；使满意，使高兴
maritime,adj. 海的；海事的；沿海的；海员的
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
incursion,n. 入侵；侵犯
feasible,adj. 可行的；可能的；可实行的
epoch,n.  世；新纪元；新时代；时间上的一点
supplant,vt. 代替；排挤掉
replenish,vt. 补充，再装满；把…装满；给…添加燃料
prone,adj. 俯卧的；有…倾向的，易于…的
prestige,n. 威望，声望；声誉
practitioner,n. 开业者，从业者，执业医生
ornate,adj. 华丽的；装饰的；（文体）绚丽的
navigable,adj. 可航行的；可驾驶的；适于航行的
lumber,"vi. 伐木；喧闹地向前走；笨重地行动，缓慢地移动
vt. 砍伐木材；乱堆
n. 木材；废物，无用的杂物；隆隆声"
lament,"n. 挽歌；恸哭；悲痛之情
vi. 哀悼；悲叹；悔恨
vt. 哀悼；痛惜"
fusion,n. 融合；熔化；熔接；融合物； 核聚变
ethnic,adj. 种族的；人种的
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
devoid,adj. 缺乏的；全无的
concerted,adj. 协调的；协定的；商议定的
adept,"n. 内行；能手
adj. 熟练的；擅长…的"
turbulence,n. 骚乱，动荡； 湍流；狂暴
terminology,n. 术语，术语学；用辞
frustrations,n. 挫折
frustration,n. 挫折
expedition,n. 远征；探险队；迅速
exert,vt. 运用，发挥；施以影响
exactly,adv. 恰好地；正是；精确地；正确地
enzymes,n.  酶（enzyme的复数）；酶类，酵素
enzyme,n.  酶
eager,adj. 渴望的；热切的；热心的
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
density,n. 密度
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
conservation,n. 保存，保持；保护
congress,n. 国会；代表大会；会议；社交
concur,vi. 同意；一致；互助
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
colleagues,n. 同事；同行（colleague的复数）
colleague,n. 同事，同僚
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
centimeter,n.  厘米； 公分
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
attributes,"n. 属性（attribute的复数）
v. 认为…属于；把…归咎于；确定…产生的时间（attribute的第三人称单数）"
attribute,"n. 属性；特质
vt. 归属；把…归于"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
amusement,n. 消遣，娱乐；乐趣
advocates,"n. 拥护者；提倡者（advocate的复数）；代讼人
vt. 主张（advocate的第三人称单数）；提倡"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
administration,n. 管理；行政；实施；行政机构
acres,n. 英亩（acre的复数）
acre,n. 土地，地产；英亩
wolf,"n. 狼；色狼；残忍贪婪之人
vt. 大吃；狼吞虎咽地吃"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
velocity,n. 速度
utilize,vt. 利用
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
ultraviolet,"adj. 紫外的；紫外线的
n. 紫外线辐射，紫外光"
trillion,"num.  万亿
n.  万亿
adj. 万亿的"
toxic,adj. 有毒的；中毒的
tourism,n. 旅游业；游览
tornado,n.  龙卷风；旋风；暴风；大雷雨
