abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
sake,n. 目的；利益；理由；日本米酒
sandy,adj. 沙地的；多沙的；含沙的
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
selection,n. 选择，挑选；选集；精选品
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
shortcoming,n. 缺点；短处
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
solve,"vt. 解决；解答；溶解
vi. 作解答"
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
spokesman,n. 发言人；代言人
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
talent,n. 才能；天才；天资
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
theft,n. 盗窃；偷；赃物
thereby,adv. 从而，因此；在那附近；在那方面
thick,"n. 最拥挤部分；活动最多部分；事物的粗大浓密部分
adj. 厚的；浓的；粗大的
adv. 密集地；浓浓地，厚厚地"
threat,n. 威胁，恐吓；凶兆
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
umbrella,n. 雨伞；保护伞；庇护；伞形结构
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
uneven,adj. 不均匀的；不平坦的； 奇数的
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
victim,n. 受害人；牺牲品；牺牲者
visual,adj. 视觉的，视力的；栩栩如生的
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
actually,adv. 实际上；事实上
additional,adj. 附加的，额外的
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
annually,adv. 每年；一年一次
apartment,n. 公寓；房间
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
attitude,n. 态度；看法；意见；姿势
audience,n. 观众；听众；读者；接见；正式会见；拜会
award,"n. 奖品；判决
vt. 授予；判定"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
bless,vt. 祝福；保佑；赞美
booking,n. 预订；预约；演出契约
booklet,n. 小册子
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
calculator,n. 计算器；计算者
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
comfortable,"n. 盖被
adj. 舒适的，舒服的"
conclusion,n. 结论；结局；推论
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
defend,"vi. 保卫；防守
vt. 辩护；防护"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
discover,"vi. 发现
vt. 发现；发觉"
district,n. 区域；地方；行政区
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
duty,n. 责任； 关税；职务
eastern,"n. 东方人；（美国）东部地区的人
adj. 东方的；朝东的；东洋的"
economy,n. 经济；节约；理财
edit,"vt. 编辑；校订
n. 编辑工作"
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的"
faith,n. 信仰；信念；信任；忠实
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
handbook,n. 手册；指南
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
health,n. 健康；卫生；保健；兴旺
hell,"n. 地狱；究竟（作加强语气词）；训斥；黑暗势力
vi. 过放荡生活；飞驰
int. 该死；见鬼（表示惊奇、烦恼、厌恶、恼怒、失望等）"
historic,adj. 有历史意义的；历史上著名的
homeless,"adj. 无家可归的
无家可归的人
无家可归"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
idiot,n. 笨蛋，傻瓜；白痴
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
information,n. 信息，资料；知识；情报；通知
injure,vt. 伤害，损害
inner,"n. 内部
adj. 内部的；内心的；精神的"
insist,"vi. 坚持，强调
vt. 坚持，强调"
instead,adv. 代替；反而；相反
instruction,n. 指令，命令；指示；教导；用法说明
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
juice,n. （水果）汁，液；果汁
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
latter,adj. 后者的；近来的；后面的；较后的
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
location,n. 位置（形容词locational）；地点；外景拍摄场地
makeup,n. 化妆品；组成；补充；补考
marriage,n. 结婚；婚姻生活；密切结合，合并
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
mood,n. 情绪，语气；心境；气氛
mosquito,n. 蚊子
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
needle,"n. 针；指针；刺激；针状物
vi. 缝纫；做针线
vt. 刺激；用针缝"
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
norm,n. 标准，规范
obvious,adj. 明显的；显著的；平淡无奇的
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
organisation,n. 组织；团体（等于organization）
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
participation,n. 参与；分享；参股
passport,n. 护照，通行证；手段
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
peel,"n. 皮
v. 剥，剥落；削"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
preparation,n. 预备；准备
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
publication,n. 出版；出版物；发表
pupil,n. 学生； 瞳孔；未成年人
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
quantity,n. 量，数量；大量；总量
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
rainfall,n. 降雨；降雨量
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
recommendation,n. 推荐；建议；推荐信
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
region,n. 地区；范围；部位
resource,n. 资源，财力；办法；智谋
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
role,n. 角色；任务
satellite,n. 卫星；人造卫星；随从；卫星国家
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
series,n. 系列，连续； 串联；级数；丛书
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
silence,"n. 沉默；寂静；缄默；不谈；无声状态
vt. 使沉默；使安静；压制；消除噪音
int. 安静！；别作声！"
sincere,adj. 真诚的；诚挚的；真实的
situation,n. 情况；形势；处境；位置
software,n. 软件
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
solution,n. 解决方案；溶液；溶解；解答
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
standby,"n. 备用品；可信赖的人
adj. 备用的
adv. 备用地；待命地"
status,n. 地位；状态；情形；重要身份
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
substance,n. 物质；实质；资产；主旨
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
surgeon,n. 外科医生
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
technology,n. 技术；工艺；术语
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
timetable,n. 时间表；时刻表；课程表
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
tolerate,vt. 忍受；默许；宽恕
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
tradition,n. 惯例，传统；传说
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
tribe,n. 部落；族；宗族；一伙
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
truth,n. 真理；事实；诚实；实质
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
typical,adj. 典型的；特有的；象征性的
unfold,"vi. 展开；显露
vt. 打开；呈现"
union,n. 联盟，协会；工会；联合
unjust,adj. 不公平的，不公正的；非正义的
unlikely,"adj. 不太可能的；没希望的
adv. 未必"
various,adj. 各种各样的；多方面的
violent,adj. 暴力的；猛烈的
visitor,n. 访问者，参观者；视察者；候鸟
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
vow,"n. 发誓；誓言；许愿
vi. 发誓；郑重宣告
vt. 发誓；郑重宣告"
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
X-ray,
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
zone,  地带、地区（德语）
adapt,"vi. 适应
vt. 使适应；改编"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
ambulance,n.  救护车；战时流动医院
analysis,n. 分析；分解；验定
ancestor,n. 始祖，祖先；被继承人
ape,"n.  猿；傻瓜；模仿者
vt. 模仿；抢台词
adj. 狂热的"
application,n. 应用；申请；应用程序；敷用
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
audio,adj. 声音的； 音频的， 声频的
author,"n. 作者；作家；创始人
vt. 创作出版"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
backup,"n. 支持；后援；阻塞
adj. 支持的；候补的
vt. 做备份"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
belong,vi. 属于，应归入；居住；适宜；应被放置
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
birth,n. 出生；血统，出身；起源
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
briefcase,n. 公文包
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
council,n. 委员会；会议；理事会；地方议会；顾问班子
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
debt,n. 债务；借款；罪过
decade,n. 十年，十年期；十
decision,n. 决定，决心；决议
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
dictation,n. 听写；口述；命令
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
edition,"n. 版本
版次
集"
electricity,n. 电力；电流；强烈的紧张情绪
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
establish,"vi. 植物定植
vt. 建立；创办；安置"
event,n. 事件，大事；项目；结果
exhibition,n. 展览，显示；展览会；展览品
expensive,adj. 昂贵的；花钱的
expose,vt. 揭露，揭发；使曝光；显示
extent,n. 程度；范围；长度
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
fixed,"adj. 确定的；固执的；<美口>处境...的；准备好的
v. 修理（过去式）"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
fridge,n. 电冰箱
fund,"n. 基金；资金；存款
vt. 投资；资助"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
genius,n. 天才，天赋；精神
global,adj. 全球的；总体的；球形的
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
