able,adj. 能； 有能力的；能干的
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
feedback,n. 反馈；成果，资料；回复
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
fleshy,adj. 肉的；肉质的；丰满的
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
forest,"n. 森林
vt. 植树于，使成为森林"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
future,"n. 未来；前途；期货；将来时
adj. 将来的，未来的"
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
fact,n. 事实；实际；真相
factory,n. 工厂；制造厂；代理店
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
fiber,n. 纤维；光纤（等于fibre）
finally,adv. 最后；终于；决定性地
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
first,"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
floor,"n. 地板，地面；楼层；基底；议员席
vt. 铺地板；打倒，击倒；（被困难）难倒"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
food,n. 食物；养料
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
fund,"n. 基金；资金；存款
vt. 投资；资助"
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
fertilizer,n.  肥料；受精媒介物；促进发展者
firmly,adv. 坚定地，坚决地；坚固地，稳固地
forever,adv. 永远；不断地；常常
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
grateful,adj. 感谢的；令人愉快的，宜人的
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
guilt,n. 犯罪，过失；内疚
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
good,"n. 好处；善行；慷慨的行为
adj. 好的；优良的；愉快的；虔诚的
adv. 好"
government,n. 政府；政体；管辖
greenhouse,"n. 温室
造成温室效应的"
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
god,
gradually,adv. 逐步地；渐渐地
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
happen,vi. 发生；碰巧；偶然遇到
happy,adj. 幸福的；高兴的；巧妙的
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
hate,"n. 憎恨；反感
vt. 憎恨；厌恶；遗憾
vi. 仇恨"
health,n. 健康；卫生；保健；兴旺
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
help,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待"
hidden,"adj. 隐藏的
v. 隐藏，躲藏（hide的过去分词）"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
hope,"n. 希望；期望；信心
vi. 希望；期待；信赖
vt. 希望；期望"
hospital,n. 医院
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
human,"n. 人；人类
adj. 人的；人类的"
humour,"n. 幽默（等于humor）；诙谐
vt. 迁就；使满足"
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
hero,n. 英雄；男主角，男主人公
history,n. 历史，历史学；历史记录；来历
huge,adj. 巨大的；庞大的；无限的
humid,adj. 潮湿的；湿润的；多湿气的
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
hill,n. 小山；丘陵；斜坡；山冈
hospitality,n. 好客；殷勤
hour,n. 小时；钟头；课时；…点钟
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
holiday,"n. 假日；节日；休息日
vi. 外出度假"
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
ice,"n. 冰；冰淇淋；矜持；（俚）钻石
adj. 冰的
vt. 冰镇；结冰
vi. 结冰"
idea,n. 想法；主意；概念
illness,n. 病；疾病
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
important,adj. 重要的，重大的；有地位的；有权力的
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
include,vt. 包含，包括
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
injure,vt. 伤害，损害
insist,"vi. 坚持，强调
vt. 坚持，强调"
instantly,"conj. 一…就…
adv. 立即地；马上地；即刻地"
instruct,vt. 指导；通知；命令；教授
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
introduce,vt. 介绍；引进；提出；采用
invite,"n. 邀请
vt. 邀请，招待；招致"
involve,vt. 包含；牵涉；使陷于；潜心于
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
ignore,vt. 驳回诉讼；忽视；不理睬
insect,n. 昆虫；卑鄙的人
intend,"vi. 有打算
vt. 打算；想要；意指"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
idiot,n. 笨蛋，傻瓜；白痴
imitate,vt. 模仿，仿效；仿造，仿制
inn,"n. 客栈；旅馆
vi. 住旅馆"
instead,adv. 代替；反而；相反
isolated,"adj. 孤立的；分离的；单独的； 绝缘的
v. 使孤立；使绝缘；脱离（isolate的过去分词）"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interruption,n. 中断；干扰；中断之事
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
juice,n. （水果）汁，液；果汁
justified,"adj. 有正当理由的；合乎情理的；事出有因的
v. 调整（justify的过去分词）；证明…正当"
journey,"n. 旅行；行程
vi. 旅行"
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
jogging,"n. 慢跑
v. 慢跑（jog的ing形式）；轻推；唤起"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
loyalty,n. 忠诚；忠心；忠实；忠于…感情
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
lazy,adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
listen,"vi. 听，倾听；听从，听信
n. 听，倾听"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
language,n. 语言；语言文字；表达能力
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间"
lesson,"n. 教训；课
vt. 教训；上课"
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
life,n. 生活，生存；寿命
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
lip,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇"
loaf,"n. 条，一条面包；块；游荡
vt. 游荡；游手好闲；虚度光阴
vi. 游荡；游手好闲；虚度光阴"
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
lucky,adj. 幸运的；侥幸的
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
manufacturing,"adj. 制造的；制造业的
n. 制造业；工业
v. 制造；生产（manufacture的ing形式）"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
member,n. 成员；会员；议员
memory,n. 记忆，记忆力；内存， 存储器；回忆
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
migration,n. 迁移；移民；移动
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
modify,"vt. 修改，修饰；更改
vi. 修改"
mood,n. 情绪，语气；心境；气氛
motivate,vt. 刺激；使有动机；激发…的积极性
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
matter,"n. 物质；事件
vi. 有关系；要紧"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
menu,"n. 菜单
饭菜"
miracle,n. 奇迹，奇迹般的人或物；惊人的事例
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
modesty,n. 谦逊；质朴；稳重
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
music,n. 音乐，乐曲
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
myth,n. 神话；虚构的人，虚构的事
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
meal,"n. 一餐，一顿饭；膳食
vi. 进餐"
meanwhile,"adv. 同时，其间
n. 其间，其时"
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
middle,"adj. 中间的，中部的；中级的，中等的
n. 中间，中央；腰部"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
misinterpret,vt. 曲解，误解
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
money,n. 钱；货币；财富
month,n. 月，一个月的时间
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
nature,n. 自然；性质；本性；种类
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
nervous,adj. 神经的；紧张不安的；强健有力的
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
noise,"n.  噪音；响声；杂音
vt. 谣传
vi. 发出声音；大声议论"
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
normally,adv. 正常地；通常地，一般地
north,
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
never,adv. 从未；决不
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后"
nice,adj. 精密的；美好的；细微的；和蔼的
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
nowadays,"adv. 现今；时下
n. 当今"
nut,"n. 螺母，螺帽；坚果；难对付的人，难解的问题
vi. 采坚果"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
observant,adj. 善于观察的；机警的；严格遵守的
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
officer,"n. 军官，警官；公务员，政府官员；船长
vt. 指挥"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
optional,"adj. 可选择的，随意的
n. 选修科目"
organized,"adj. 有组织的；安排有秩序的；做事有条理的
v. 组织（organize的过去分词）"
own,"vt. 拥有；承认
vi. 承认
adj. 自己的；特有的
n. 自己的"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
obviously,"adv. 明显地
显然地"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
opportunity,n. 时机，机会
origin,n. 起源；原点；出身；开端
outcome,n. 结果，结局；成果
old,"adj. 陈旧的，古老的；年老的
n. 古时"
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
online,"adj. 联机的；在线的
adv. 在线地"
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
overweight,"adj. 超重的；过重的
vt. 使负担过重
n. 超重"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
organic,adj.  有机的；组织的；器官的；根本的
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
pair,"n. 一对，一双，一副
vt. 把…组成一对"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
path,n. 道路；小路；轨道
pave,vt. 铺设；安排；作铺设之用
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
peace,n. 和平；平静；和睦；秩序
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
person,n. 人；身体；容貌，外表；人称
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
poor,adj. 贫穷的；可怜的；贫乏的；卑鄙的
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
pollution,"n. 污染
污染物"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
presence,n. 存在；出席；参加；风度；仪态
president,n. 总统；董事长；校长；主席
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
profession,n. 职业，专业；声明，宣布，表白
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
protect,vt. 保护，防卫；警戒
proud,adj. 自豪的；得意的；自负的
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
