have,"aux. 已经
vt. 有；让；拿；从事；允许"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
series,n. 系列，连续； 串联；级数；丛书
ski,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
compete,vi. 竞争；比赛；对抗
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
maintain,vt. 维持；继续；维修；主张；供养
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
route,"n. 路线；航线；通道
vt. 按某路线发送"
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
shelf,n. 架子；搁板；搁板状物；暗礁
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
alcohol,n. 酒精，乙醇
destination,n. 目的地，终点
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
fond,adj. 喜欢的；温柔的；宠爱的
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
medal,n. 勋章，奖章；纪念章
merely,adv. 仅仅，只不过；只是
overcome,"vt. 克服；胜过
vi. 克服；得胜"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
celebrity,n. 名人；名声
dentist,"n. 牙科医生
牙医诊所"
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
deserve,"vi. 应受，应得
vt. 应受，应得"
expectation,n. 期待；预期；指望
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
zone,  地带、地区（德语）
association,n. 协会，联盟，社团；联合；联想
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
imply,vt. 意味；暗示；隐含
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
nowadays,"adv. 现今；时下
n. 当今"
psychology,n. 心理学；心理状态
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
violence,n. 暴力；侵犯；激烈；歪曲
afterward,adv. 以后，后来
agency,n. 代理，中介；代理处，经销处
comparison,n. 比较；对照；比喻；比较关系
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
expose,vt. 揭露，揭发；使曝光；显示
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
fund,"n. 基金；资金；存款
vt. 投资；资助"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
grateful,adj. 感谢的；令人愉快的，宜人的
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
intelligent,adj. 智能的；聪明的；理解力强的
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
patience,n. 耐性，耐心；忍耐，容忍
philosophy,n. 哲学；哲理；人生观
platform,n. 平台；月台，站台；坛；讲台
political,adj. 政治的；党派的
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
relief,n. 救济；减轻，解除；安慰；浮雕
reputation,n. 名声，名誉；声望
slightly,adv. 些微地，轻微地；纤细地
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
analyse,vt. 分析；分解；细察
architect,"n. 建筑师
缔造者"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
bury,vt. 埋葬；隐藏
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
foundation,n. 基础；地基；基金会；根据；创立
grocery,"n. 食品杂货店
食品杂货"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
laptop,n. 膝上型轻便电脑，笔记本电脑
leadership,n. 领导能力；领导阶层
length,n. 长度，长；时间的长短；（语）音长
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
poetry,n. 诗；诗意，诗情；诗歌艺术
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
resident,"n. 居民；住院医生
adj. 居住的；定居的"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
injury,n. 伤害，损害；受伤处
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
parking,"n. 停车
adj. 停车的
v. 停车（park的ing形式）"
phenomenon,n. 现象；奇迹；杰出的人才
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
studio,n. 工作室； 演播室；画室；电影制片厂
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
ensure,vt. 保证，确保；使安全
error,n. 误差；错误；过失
establish,"vi. 植物定植
vt. 建立；创办；安置"
fiction,n. 小说；虚构，编造；谎言
guidance,n. 指导，引导；领导
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语"
mood,n. 情绪，语气；心境；气氛
motivate,vt. 刺激；使有动机；激发…的积极性
obtain,"vi. 获得；流行
vt. 获得"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
recording,"n. 录音；唱片
v. 录音；记录；录像（record的ing形式）
adj. 记录的；记录用的"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
version,n. 版本；译文；倒转术
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
consist,vi. 由…组成；在于；符合
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
definition,n. 定义； 清晰度；解说
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
faith,n. 信仰；信念；信任；忠实
fortunately,adv. 幸运地
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
greenhouse,"n. 温室
造成温室效应的"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
intention,n. 意图；目的；意向；愈合
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
cloth,"n. 布；织物；桌布
adj. 布制的"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
consequence,n. 结果；重要性；推论
envelope,n. 信封，封皮；包膜； 包层；包迹
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
flexible,adj. 灵活的；柔韧的；易弯曲的
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
instance,"n. 实例；情况；建议
vt. 举...为例"
instrument,n. 仪器；工具；乐器；手段；器械
ought to,"modalv. 应该；应当；（表示期望或可能发生的事）应该；（表示劝告或建议）应该
v. 应该
 理应；应然；应该要"
outcome,n. 结果，结局；成果
poet,n. 诗人
possession,n. 拥有；财产；领地；自制；着迷
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
shortage,n. 缺乏，缺少；不足
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
authority,n. 权威；权力；当局
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
confirm,vt. 确认；确定；证实；批准；使巩固
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
handwriting,"n. 笔迹；书法；书写；手稿
v. 亲手写（handwrite的ing形式）"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
origin,n. 起源；原点；出身；开端
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
volcano,n. 火山
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
assess,vt. 评定；估价；对…征税
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
ceiling,n. 天花板；上限
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
engine,n. 引擎，发动机；机车，火车头；工具
identity,n. 身份；同一性，一致；特性；恒等式
interaction,"n. 相互作用； 交互作用
n. 互动"
kindergarten,n. 幼儿园；幼稚园
literary,adj. 文学的；书面的；精通文学的
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
region,n. 地区；范围；部位
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
upper,adj. 上面的，上部的；较高的
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
airline,"n. 航空公司；航线
adj. 航线的"
Atlantic,"n. 大西洋
adj. 大西洋的"
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
biology,n. （一个地区全部的）生物；生物学
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
calorie,n. 卡路里（热量单位）
cigarette,n. 香烟；纸烟
council,n. 委员会；会议；理事会；地方议会；顾问班子
criticise,"vt. 批评；吹毛求疵；非难
vi. 批评；吹毛求疵；非难"
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
historic,adj. 有历史意义的；历史上著名的
investment,n. 投资；投入；封锁
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
statistic,"n. 统计数值
adj. 统计的，统计学的"
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的"
wisdom,n. 智慧，才智；明智；学识；至理名言
ancestor,n. 始祖，祖先；被继承人
athlete,n. 运动员，体育家；身强力壮的人
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
comedy,n. 喜剧；喜剧性；有趣的事情
consumption,n. 消费；消耗；肺痨
cottage,n. 小屋；村舍；（农舍式的）小别墅
defend,"vi. 保卫；防守
vt. 辩护；防护"
disability,n. 残疾；无能；无资格；不利条件
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
location,n. 位置（形容词locational）；地点；外景拍摄场地
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
opera,n. 歌剧；歌剧院；歌剧团
pond,"n. 池塘
vt. 筑成池塘
vi. 筑成池塘"
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
quantity,n. 量，数量；大量；总量
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
sincerely,adv. 真诚地；由衷地，诚恳地
somehow,adv. 以某种方法；莫名其妙地
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
apparently,adv. 显然地；似乎，表面上
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
debt,n. 债务；借款；罪过
defence,n. 防御；防卫；答辩；防卫设备
entirely,adv. 完全地，彻底地
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
insurance,n. 保险；保险费；保险契约；赔偿金
majority,n. 多数；成年
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
percentage,n. 百分比；百分率，百分数
precious,adj. 宝贵的；珍贵的；矫揉造作的
recognition,n. 识别；承认，认出；重视；赞誉；公认
salary,"n. 薪水
vt. 给...加薪；给...薪水"
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
software,n. 软件
strategy,n. 战略，策略
suburb,n. 郊区；边缘
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
accurate,adj. 精确的
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
circus,n. 马戏；马戏团
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
convince,vt. 说服；使确信，使信服
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
drought,n. 干旱；缺乏
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
habitat,n.  栖息地，产地
midnight,"n. 午夜，半夜12点钟
adj. 半夜的；漆黑的"
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
oxygen,n.  氧气， 氧
poster,n. 海报，广告；招贴
scholarship,n. 奖学金；学识，学问
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
string,n. 线，弦，细绳；一串，一行
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
category,n. 种类，分类； 范畴
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
garbage,n. 垃圾；废物
guilty,adj. 有罪的；内疚的
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
moreover,adv. 而且；此外
optimistic,adj. 乐观的；乐观主义的
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
passion,n. 激情；热情；酷爱；盛怒
photographer,n. 摄影师；照相师
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
salesman,n. 推销员；售货员
saleswoman,n.  女售货员； 女店员
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
subway,"n. 地铁；地道
vi. 乘地铁"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
vital,adj. 至关重要的；生死攸关的；有活力的
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
chest,n. 胸，胸部；衣柜；箱子；金库
civilisation,n. （英）文明（等于civilization）
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
educator,n. 教育家；教育工作者；教师
energetic,adj. 精力充沛的；积极的；有力的
enthusiastic,adj. 热情的；热心的；狂热的
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
journalist,n. 新闻工作者；报人；记日志者
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
occupy,vt. 占据，占领；居住；使忙碌
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
satellite,n. 卫星；人造卫星；随从；卫星国家
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
sympathy,n. 同情；慰问；赞同
threat,n. 威胁，恐吓；凶兆
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
weapon,n. 武器，兵器
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
adaptation,n. 适应；改编；改编本，改写本
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
candidate,n. 候选人，候补者；应试者
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
circumstance,n. 环境，情况；事件；境遇
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
deer,n. 鹿
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
dolphin,n. 海豚
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
element,n. 元素；要素；原理；成分；自然环境
elsewhere,adv. 在别处；到别处
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
harmony,n. 协调；和睦；融洽；调和
hurricane,n. 飓风，暴风
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
journal,n. 日报，杂志；日记；分类账
legal,adj. 法律的；合法的；法定的；依照法律的
membership,n. 资格；成员资格；会员身份
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
nutrition,n. 营养，营养学；营养品
oppose,"vt. 反对；对抗，抗争
vi. 反对"
