ban,"n. 禁令，禁忌
vt. 禁止，取缔"
seethe,"n. 沸腾；感情等的迸发
vt. 使浸透；使煮沸
vi. 沸腾；冒泡；激动"
indices,n. 指数；目录（index的复数）
townsfolk,n. 市民；镇民
largely,adv. 主要地；大部分；大量地
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
revenue,n. 税收，国家的收入；收益
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
sandal,n. 凉鞋；檀香；檀香木；便鞋
deliciously,adv. 美味地，芬香地
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
playgoer,n. 戏迷；爱看戏的人
subsidy,n. 补贴；津贴；补助金
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
clientele,n. 客户；诉讼委托人
pointed,"v. 指出；瞄准（point的过去式）
adj. 尖的；突出的；锐利的；率直的"
flagstone,n. 石板； 薄层砂岩
fishery,n. 渔业；渔场；水产业
biomass,n. （单位面积或体积内的） 生物量
predator,n.  捕食者； 食肉动物；掠夺者
exploitation,n. 开发，开采；利用；广告推销；剥削
halve,vt. 二等分；把……减半
vessel,n. 船，舰； 脉管，血管；容器，器皿
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
satellite,n. 卫星；人造卫星；随从；卫星国家
sonar,n. 声纳；声波定位仪（等于asdic）
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
longline,n. 多钩长线
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
underestimate,"n. 低估
vt. 低估；看轻"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
baseline,n. 基线；底线
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
onward,"adj. 向前的；前进的
adv. 向前；在前面"
phony,"n. 假冒者；赝品
adj. 假的，欺骗的"
daffodil,"n. 水仙花
adj. 水仙花色的"
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
dedicate,vt. 致力；献身；题献
emergence,n. 出现，浮现；发生；露头
ideology,n. 意识形态；思想意识；观念学
reminder,n. 暗示；提醒的人/物；催单
bummer,n. 懒汉；游手好闲的人；吸食迷幻药的反效果
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
arthritis,n.  关节炎
casino,n. 俱乐部，赌场；娱乐场
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
auditor,n. 审计员；听者；旁听生
coupon,n. 息票；赠券；联票； 配给券
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
heroin,n.  海洛因，吗啡
slot machine,"n. 投币自动售货机；吃角子老虎赌博机；老虎机
 角子老虎机；吃角子老虎机；角子机"
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
sue,"vt. 控告；请求
vi. 控告；提出请求"
patronage,n. 赞助；光顾；任免权
involuntarily,adv. 无心地；不自觉地；偶然地
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
include,vt. 包含，包括
demonstrate,"vt. 证明；展示；论证
vi. 示威"
patronize,vt. 以高人一等的态度对待；经常光顾，惠顾；资助；保护
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
toll-free,adj. 不用付电话费的
intentionally,adv. 故意地，有意地
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
diagnostic,"n. 诊断法；诊断结论
adj. 诊断的；特征的"
manual,"adj. 手工的；体力的
n. 手册，指南"
pathological,adj. 病理学的；病态的；由疾病引起的（等于pathologic）
windfall,n. 意外之财；被风吹落的果子；意外的收获
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
failing,"prep. 如果没有…
n. 失败；缺点，过失；弱点
v. 失败；不及格（fail的ing形式）
adj. 失败的"
akin to,"adj. 与…类似
 相似的；有亲密关系的；类似于"
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
revenue,n. 税收，国家的收入；收益
wager,"n. 赌注；赌博；赌物
vi. 打赌
vt. 下赌注"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
pornography,n. 色情文学；色情描写
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
Socratic,"n. （古希腊哲学家）苏格拉底的信徒
adj. （古希腊哲学家）苏格拉底的；问答法的"
consciously,adv. 自觉地；有意识地
articulately,"发音清晰地
善于表达地"
factual,adj. 事实的；真实的
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
whereby,adv. 凭借；通过…；借以；与…一致
eminent,adj. 杰出的；有名的；明显的
learned,adj. 博学的；有学问的；学术上的
illustrious,adj. 著名的，杰出的；辉煌的
regime,n. 政权，政体；社会制度；管理体制
colonialism,n. 殖民主义；殖民政策
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
viable,adj. 可行的；能养活的；能生育的
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
faith,n. 信仰；信念；信任；忠实
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
conservative,
egalitarian,"n. 平等主义；平等主义者
adj. 平等主义的"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
tournament,n. 锦标赛，联赛；比赛
noteworthy,adj. 值得注意的；显著的
quirk,n. 怪癖；急转；借口
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
ranks,"n. 队伍；用户等级，级别（rank的复数）
v. 把…排列起来（rank的三单形式）"
pronounced,"v. 发音；宣告；断言（pronounce的过去分词）
adj. 显著的；断然的；讲出来的"
astrological,adj. 占星的；占星学的，占星术的
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
oxygen,n.  氧气， 氧
stamina,n. 毅力；精力；活力；持久力
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
mania,n. 狂热；狂躁；热衷
involve,vt. 包含；牵涉；使陷于；潜心于
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
genetically,adv. 从遗传学角度；从基因方面
cognitive,adj. 认知的，认识的
intuitive,adj. 直觉的；凭直觉获知的
inborn,adj. 天生的；先天的
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
encode,vt. （将文字材料）译成密码；编码，编制成计算机语言
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
pursuit,n. 追赶，追求；职业，工作
biographical,adj. 传记的，传记体的
startling,adj. 令人吃惊的
assertion,n. 断言，声明；主张，要求；坚持；认定
trait,n. 特性，特点；品质；少许
overrate,vt. 过高估计；对…估价过高
surgery,n. 外科；外科手术；手术室；诊疗室
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
column,n. 纵队，列；专栏；圆柱，柱形物
visual,adj. 视觉的，视力的；栩栩如生的
analogy,n. 类比；类推；类似
envision,vt. 想象；预想
deduce,vt. 推论，推断；演绎出
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
coincidence,n. 巧合；一致；同时发生
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
elude,vt. 逃避，躲避
encompass,vt. 包含；包围，环绕；完成
specify,vt. 指定；详细说明；列举；把…列入说明书
neurology,n. 神经病学；神经学
variation,n. 变化； 变异，变种
populate,vt. 居住于；构成人口；移民于；殖民于
distribution,n. 分布；分配
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
assess,vt. 评定；估价；对…征税
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
diagnosis,n. 诊断
spouse,"n. 配偶
vt. 和…结婚"
solidly,adv. 坚固地；坚硬地；团结一致地
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
parachute,"n. 降落伞
vi. 跳伞
空投"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
disruption,n. 破坏，毁坏；分裂，瓦解
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
fluctuation,n. 起伏，波动
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
retiree,n. （美）退休人员；歇业者
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
legislative,"adj. 立法的；有立法权的
n. 立法权；立法机构"
deductible,adj. 可扣除的；可减免的
demographics,n. 人口统计资料
odds,n. 几率；胜算；不平等；差别
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
eightfold,"adj. 八倍的；八层的
adv. 八倍地；八层地"
acceleration,n. 加速，促进； 加速度
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
fallout,n. 原子尘； 放射性尘埃；原子尘微粒回降；附带结果
accounting,"n. 会计，会计学；账单
v. 解释（account的ing形式）；叙述"
compliance,n. 顺从，服从；承诺
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
governance,n. 管理；统治；支配
earn,vt. 赚，赚得；获得，挣得；使得到；博得
inevitably,adv. 不可避免地；必然地
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
massive,adj. 大量的；巨大的，厚重的；魁伟的
leakage,n. 泄漏；渗漏物；漏出量
intricate,adj. 复杂的；错综的，缠结的
vulnerability,n. 易损性；弱点
redundancy,n.  冗余（等于redundance）；裁员；人浮于事
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
penalty,n. 罚款，罚金；处罚
disclose,vt. 公开；揭露
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
regulator,n. 调整者；监管者；校准器
ensure,vt. 保证，确保；使安全
adulthood,n. 成年；成人期
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
transition,n. 过渡；转变； 转换；变调
setback,n. 挫折；退步；逆流
periodically,adv. 定期地；周期性地；偶尔；间歇
emerging,"v. 形成；浮现；显露（emerge的ing形式）；由…中脱出
adj. 新兴的；出现的；形成的"
collaborate,vi. 合作；勾结，通敌
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
authentic,adj. 真正的，真实的；可信的
role model,"n. 楷模；榜样；典范
 模范；行为榜样；角色典范"
clique,"n. 派系；阀；私党；小圈子
vi. 结党"
vaunted,"adj. 自夸的；大肆吹嘘的
v. 夸耀；吹牛（vaunt的过去分词）"
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
foggy,adj. 有雾的；模糊的，朦胧的
gratification,n. 满意；喜悦；使人满意之事
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
priority,n. 优先；优先权； 优先次序；优先考虑的事
canned,"adj. 罐装的；录音的
v. 装于罐头（can的过去分词）"
monotonous,adj. 单调的，无抑扬顿挫的；无变化的
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
sustained,"v. 维持（sustain的过去式和过去分词）；承受
adj. 持续的；持久的；持久不变的"
inadequacy,n. 不适当，不充分；不完全；不十分
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
brainstorm,"n. 集思广益；头脑风暴；灵机一动
vt. 集体讨论；集思广益以寻找
vi. 集体讨论；动脑筋；出主意"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
come across as, 看上去似乎是；好像；给人的印象是
fledging,"n. 羽毛初长的雏鸟；刚会飞的幼鸟；无经验的人
v. 变得羽毛丰满（fledge的ing形式）"
naive,"adj. 天真的,幼稚的"
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
continental,"n. 欧洲人
adj. 大陆的；大陆性的"
establish,"vi. 植物定植
vt. 建立；创办；安置"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
profoundly,adv. 深刻地；深深地；极度地
competent,adj. 胜任的；有能力的；能干的；足够的
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
undue,adj. 过度的，过分的；不适当的；未到期的
reliance,n. 信赖；信心；受信赖的人或物
amongst,prep. 在…之中；在…当中（等于among）
preferable,adj. 更好的，更可取的；更合意的
well-grounded,adj. 基础牢固的；有充分根据的
hypothesis,n. 假设
infection,n. 感染；传染；影响；传染病
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
controversy,n. 争论；论战；辩论
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
humanity,n. 人类；人道；仁慈；人文学科
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
elite,n. 精英；精华；中坚分子
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
psychiatrist,n. 精神病学家，精神病医生
hormone,n.  激素，荷尔蒙
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
stressed-out,adj. 不堪重负的；承受巨大压力的
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
expose,vt. 揭露，揭发；使曝光；显示
chronic,adj. 慢性的；长期的；习惯性的
interpersonal,adj. 人际的；人与人之间的
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
affiliation,n. 友好关系；加入；联盟；从属关系
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
unrecognized,adj. 未被承认的；未被认出的；未被认可的
anthropologist,n. 人类学家；人类学者
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
rarely,adv. 很少地；难得；罕有地
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
notably,adv. 显著地；尤其
protein,"n. 蛋白质；朊
adj. 蛋白质的"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
bipedal,"n. 两足动物
adj. 两足动物的；二足的"
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
historian,n. 历史学家
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
distaste,"n. 厌恶；讨厌
vt. 厌恶；不喜欢
vi. 不喜欢"
bedrock,n.  基岩；根底；基本原理
clause,n. 条款； 子句
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
railroad,"n. 铁路；铁路公司
vt. 由铁道运输；铺设铁路；以捏造不实之罪使入狱
vi. 在铁路工作；乘火车旅行；筑铁路"
punctuation,n. 标点；标点符号
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
thesis,n. 论文；论点
chauvinistic,adj. 沙文主义的；盲目爱国的
substantiate,vt. 证实；使实体化
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
wordy,adj. 冗长的；口头的；唠叨的；文字的
mercilessly,adv. 残忍地；毫无慈悲地
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
prod,"n. 刺针；刺棒；签子
vi. 刺；捅
vt. 刺，戳；刺激"
concisely,adv. 简明地，简洁地
intently,adv. 专心地；一心一意地；心无旁骛地
reasoning,"n. 推理；论证；评理
v. 推论；说服（reason的ing形式）
adj. 推理的"
observation,n. 观察；监视；观察报告
disclaim,"vt. 否认，拒绝；放弃，弃权；拒绝承认
vi. 否认；放弃；弃权"
hazy,adj. 朦胧的；模糊的；有薄雾的
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
formerly,adv. 以前；原来
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
fruit-fly,果蝇
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
option,n.  选项；选择权；买卖的特权
upkeep,n. 维持；维修费；保养
adaptive,adj. 适应的，适合的
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
implicitly,adv. 含蓄地；暗中地
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
inconclusive,adj. 不确定的；非决定性的；无结果的
mindlessly,adv. 不费心思地；愚蠢地
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
unreflecting,adj. 不反射的; 不反省的; 无思虑的; 浅薄的
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
paradoxical,adj. 矛盾的；诡论的；似非而是的
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
inherently,adv. 内在地；固有地；天性地
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
rut,"n. 发情期；惯例；性冲动；凹槽
vt. 挖槽于；在…形成车辙
vi. 发情"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
fascination,n. 魅力；魔力；入迷
adolescence,n. 青春期
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
perpetuate,"vt. 使不朽；保持
adj. 长存的"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
paternal,adj. 父亲的；得自父亲的；父亲般的
confirm,vt. 确认；确定；证实；批准；使巩固
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
available,adj. 可获得的；可购得的；可找到的；有空的
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
kinship,n.  亲属关系，家属关系；亲密关系
adoption,n. 采用；收养；接受
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
genealogist,n. 系谱学者；系谱专家
swab,"n. 药签， 拭子；医用海绵，纱布；拖把，擦帚；无赖
vt. 打扫，擦拭；涂抹（药）于"
saliva,n. 唾液；涎
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
ancestry,n. 祖先；血统
sociologist,n. 社会学家
chromosome,n.  染色体（形容词chromosomal，副词chromosomally）
mitochondrial,adj. 线粒体的
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
