precise,adj. 精确的；明确的；严格的
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
avoid,vt. 避免；避开，躲避；消除
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
relationship,n. 关系；关联
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
coincidence,n. 巧合；一致；同时发生
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
anniversary,n. 周年纪念日
abundant,adj. 丰富的；充裕的；盛产
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
begin,"vi. 开始；首先
vt. 开始"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
electricity,n. 电力；电流；强烈的紧张情绪
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
westerner,n. 西方人，欧美人；美国西部的人
motivation,n. 动机；积极性；推动
extremely,adv. 非常，极其；极端地
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
countryside,n. 农村，乡下；乡下的全体居民
chaos,n. 混沌，混乱
instruct,vt. 指导；通知；命令；教授
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
dinosaur,n. 恐龙；过时、落伍的人或事物
chips,n.  炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）
confidential,adj. 机密的；表示信任的；获信任的
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
march,n. 三月
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
success,n. 成功，成就；胜利；大获成功的人或事物
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
fortnight,n. 两星期
immigration,n. 外来移民；移居
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
pregnant,adj. 怀孕的；富有意义的
zebra,"n.  斑马
adj. 有斑纹的"
symphony,n. 交响乐；谐声，和声
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
religion,n. 宗教；宗教信仰
require,vt. 需要；要求；命令
skeptical,adj. 怀疑的；怀疑论的，不可知论的
petrol,n. （英）汽油
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
fingernail,n. 手指甲
awful,adj. 可怕的；极坏的；使人敬畏的
unsafe,adj. 不安全的；危险的；不安稳的
network,n. 网络；广播网；网状物
selfish,adj. 自私的；利己主义的
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
married,"adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的
n. 已婚者
v. 结婚，与…结婚（marry的过去式）"
washroom,n. 洗手间；盥洗室；厕所
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
tobacco,n. 烟草，烟叶；烟草制品；抽烟
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
decoration,n. 装饰，装潢；装饰品；奖章
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
nature,n. 自然；性质；本性；种类
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
modem,n. 调制解调器（等于modulator-demodulator）
symbol,n. 象征；符号；标志
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
windy,adj. 多风的，有风的；腹胀的；吹牛的
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
hide-and-seek,n. 捉迷藏
bureaucratic,adj. 官僚的；官僚政治的
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
skateboard,"n. 溜冰板
vi. 用滑板滑行"
rebuild,"vt. 重建；改造，重新组装；复原
vi. 重建"
adapt,"vi. 适应
vt. 使适应；改编"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
consequence,n. 结果；重要性；推论
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
abolish,vt. 废除，废止；取消，革除
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
snatch,"n. 抢夺；抓举；小量
vt. 夺得；抽空做；及时救助
vi. 抢走；很快接受"
request,"n. 请求；需要
vt. 要求，请求"
valid,adj. 有效的；有根据的；合法的；正当的
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
include,vt. 包含，包括
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
fibre,n. 纤维；纤维制品
oppose,"vt. 反对；对抗，抗争
vi. 反对"
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
claw,"n. 爪；螯，钳；爪形器具
vi. 用爪抓（或挖）
vt. 用爪抓（或挖）"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
urban,adj. 城市的；住在都市的
heroine,n. 女主角；女英雄；女杰出人物
firework,n. 烟火；激烈情绪
reality,n. 现实；实际；真实
peaceful,adj. 和平的，爱好和平的；平静的
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
diverse,adj. 不同的；多种多样的；变化多的
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
argument,n. 论证；论据；争吵；内容提要
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
beneath,"prep. 在…之下
adv. 在下方"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
waitress,"n. 女服务员；女侍者
vi. 做女服务生"
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
protect,vt. 保护，防卫；警戒
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
railway,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
scene,n. 场面；情景；景象；事件
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
offence,n. 犯罪；违反；过错；攻击
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
botany,n. 植物学；地区植物总称
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
ignore,vt. 驳回诉讼；忽视；不理睬
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
bride,n. 新娘；姑娘，女朋友
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
technique,n. 技巧，技术；手法
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
videophone,n. 电视电话
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
victim,n. 受害人；牺牲品；牺牲者
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
eagle,n. 鹰；鹰状标饰
administration,n. 管理；行政；实施；行政机构
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
dictation,n. 听写；口述；命令
relation,n. 关系；叙述；故事；亲属关系
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
assess,vt. 评定；估价；对…征税
prove,"vi. 证明是
vt. 证明；检验；显示"
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
comrade,n. 同志；伙伴
luggage,n. 行李；皮箱
slavery,n. 奴役；奴隶制度；奴隶身份
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
analyze,vt. 对…进行分析，分解（等于analyse）
bandage,"n. 绷带
vt. 用绷带包扎"
injure,vt. 伤害，损害
discourage,vt. 阻止；使气馁
anecdote,n. 轶事；奇闻；秘史
statesman,n. 政治家；国务活动家
transparent,adj. 透明的；显然的；坦率的；易懂的
mourn,v. 哀悼；忧伤；服丧
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
careless,adj. 粗心的；无忧无虑的；淡漠的
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
authority,n. 权威；权力；当局
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
defence,n. 防御；防卫；答辩；防卫设备
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
fountain,n. 喷泉，泉水；源泉
pronunciation,n. 发音；读法
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
across,"prep. 穿过；横穿
adv. 横过；在对面"
wooden,adj. 木制的；僵硬的，呆板的
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
invent,vt. 发明；创造；虚构
conclusion,n. 结论；结局；推论
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
left-handed,adj. 左撇的；用左手的；笨拙的
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
forever,adv. 永远；不断地；常常
mailbox,n. 邮箱；邮筒
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
condemn,vt. 谴责；判刑，定罪；声讨
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
technical,adj. 工艺的，科技的；技术上的；专门的
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
competitor,n. 竞争者，对手
scores,"n. 考试成绩；比分（score的复数）
v. 得分（score的第三人称单数形式）；刻划"
education,n. 教育；培养；教育学
ugly,adj. 丑陋的；邪恶的；令人厌恶的
relief,n. 救济；减轻，解除；安慰；浮雕
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
population,n. 人口； 种群， 群体；全体居民
assistance,n. 援助，帮助；辅助设备
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
fairness,n. 公平；美好；清晰；顺利性
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
clinic,n. 临床；诊所
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
depend,vi. 依赖，依靠；取决于；相信，信赖
typical,adj. 典型的；特有的；象征性的
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
determination,n. 决心；果断；测定
introduce,vt. 介绍；引进；提出；采用
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
pleased,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）"
following,"n. 下列事物；一批追随者
v. 跟随；沿行（follow的ing形式）
adj. 下面的；其次的，接着的"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
novelist,n. 小说家
bacon,n. 咸肉；腌肉；熏猪肉
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
energetic,adj. 精力充沛的；积极的；有力的
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
ambiguous,adj. 模糊不清的；引起歧义的
microwave,n. 微波
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
sneeze,"n. 喷嚏
vi. 打喷嚏"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
gay,"n. 同性恋者
adj. 快乐的；放荡的；艳丽的"
encourage,vt. 鼓励，怂恿；激励；支持
alongside,"prep. 在……旁边
adv. 在旁边"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
equipment,n. 设备，装备；器材
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
operation,n. 操作；经营； 手术； 运算
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
questionnaire,n. 问卷；调查表
fiction,n. 小说；虚构，编造；谎言
description,n. 描述，描写；类型；说明书
mercy,n. 仁慈，宽容；怜悯；幸运；善行
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
violate,vt. 违反；侵犯，妨碍；亵渎
precious,adj. 宝贵的；珍贵的；矫揉造作的
convince,vt. 说服；使确信，使信服
reception,n. 接待；接收；招待会；感受；反应
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
invite,"n. 邀请
vt. 邀请，招待；招致"
changeable,adj. 无常的；可改变的；易变的；不定的
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
mountain,n. 山；山脉
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
worldwide,"adj. 全世界的
adv. 在世界各地"
unconditional,adj. 无条件的；绝对的；无限制的
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
so-so,"adj. 平常的；不好也不坏的
adv. 一般地；马马虎虎地"
flexible,adj. 灵活的；柔韧的；易弯曲的
nail,"vt. 钉；使固定；揭露
n.  指甲；钉子"
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
musical,"adj. 音乐的；悦耳的
n. 音乐片"
disagree,vi. 不同意；不一致；争执；不适宜
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
fragile,adj. 脆的；易碎的
accommodation,n. 住处，膳宿；调节；和解；预订铺位
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
adaptation,n. 适应；改编；改编本，改写本
wish,"n. 希望；祝福；心愿
vt. 祝愿；渴望；向…致问候语
vi. 愿望；需要"
decade,n. 十年，十年期；十
admission,n. 承认；入场费；进入许可；坦白；录用
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
weak,adj.  疲软的；虚弱的；无力的；不牢固的
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
afford,vt. 给予，提供；买得起
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
postcard,n. 明信片
production,n. 成果；产品；生产；作品
pollution,"n. 污染
污染物"
motorcycle,"n. 摩托车；机动车
vi. 骑摩托车"
western,"n. 西方人；西部片，西部小说
adj. 西方的，西部的；有西方特征的"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
appreciation,n. 欣赏，鉴别；增值；感谢
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
reading,"n. 阅读，朗读；读物；读数
v. 阅读（read的ing形式）
adj. 阅读的"
eastern,"n. 东方人；（美国）东部地区的人
adj. 东方的；朝东的；东洋的"
personally,adv. 亲自地；当面；个别地；就自己而言
cubic,adj. 立方体的，立方的
revision,n.  修正；复习；修订本
abnormal,adj. 反常的，不规则的；变态的
output,"n. 输出，输出量；产量；出产
vt. 输出"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
controversial,adj. 有争议的；有争论的
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
expose,vt. 揭露，揭发；使曝光；显示
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
meanwhile,"adv. 同时，其间
n. 其间，其时"
idiom,n. 成语，习语；土话
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
punctual,adj. 准时的，守时的；精确的
millionaire,"n. 百万富翁；大富豪
adj. 100万以上人口的"
hurricane,n. 飓风，暴风
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
empire,n. 帝国；帝王统治，君权
accident,n. 事故；意外； 意外事件；机遇
easy-going,adj. 随和的，容易相处的
exist,vi. 存在；生存；生活；继续存在
direction,n. 方向；指导；趋势；用法说明
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
endless,adj. 无止境的；连续的；环状的；漫无目的的
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
tourism,n. 旅游业；游览
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
necklace,n. 项链
penny,n. （美）分；便士
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
creature,n. 动物，生物；人；创造物
survival,n. 幸存，残存；幸存者，残存物
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
harmless,adj. 无害的；无恶意的
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
attractive,adj. 吸引人的；有魅力的；引人注目的
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
brewery,n. 啤酒厂
oxygen,n.  氧气， 氧
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
bakery,n. 面包店
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
district,n. 区域；地方；行政区
burglar,n. 夜贼，窃贼
download,vt.  下载
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
uncomfortable,adj. 不舒服的；不安的
outdoors,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）"
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
yoghurt,n. 酸奶（等于yoghourt）；酸乳酪
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
department,n. 部；部门；系；科；局
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
