visitor,n. 访问者，参观者；视察者；候鸟
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
cognac,n. 法国白兰地
brandy,n. 白兰地酒
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
gin,"n. 杜松子酒；网； 三角起重机
vi. 喝杜松子酒； 用陷阱(或网)捕捉，诱捕(猎物)"
tonic,"n. 补药；主调音或基音
adj. 滋补的；声调的；使精神振作的"
tonic water,"un. 奎宁水
 汤力水；通宁水；汤力汽水"
syphon,"n. 弯管（等于siphon）； 虹吸管
vt. 吮吸；用虹吸管吸出
vi. 通过虹吸管"
novice,n. 初学者，新手
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
nozzle,n. 喷嘴；管口；鼻
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
squirt,"n. 喷射；注射
vt. 喷湿
vi. 喷出"
mixture,n. 混合；混合物；混合剂
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
reaction,n. 反应，感应；反动，复古；反作用
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
finger,"n. 手指；指针，指状物
vt. 伸出；用手指拨弄
vi. 用指触摸；拨弄"
fainting,"n. 昏晕；不省人事
v.  昏厥（faint的ing形式）"
burst into,"na. 闯进；突然…起来
 闯入；突然发作；突然闯入"
laughter,n. 笑；笑声
insist on,"v. 坚持；强调
 坚决要求；坚持要；坚持认为"
delicious,adj. 美味的；可口的
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
on the whole,"na. 整体上说
 总的来说；大体上；基本上"
salty,adj. 咸的；含盐的
cream,n. 奶油，乳脂；精华；面霜；乳酪
strange,"adj. 奇怪的；陌生的；外行的
adv. 奇怪地；陌生地，冷淡地"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
no wonder, 难怪；怪不得；不足为奇
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
dish,"n. 盘；餐具；一盘食物；外貌有吸引力的人
vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
vi. 成碟状；闲谈"
chef,n. 厨师，大师傅
pie,"n. 馅饼；饼图；爱说话的人
vt. 使杂乱"
biscuit,n. 小点心，饼干
dessert,n. 餐后甜点；甜点心
oven,n. 炉，灶；烤炉，烤箱
nod,"n. 点头；打盹；摆动
vt. 点头；点头表示
vi. 点头；打盹；摆动"
main course,"abbr. (=mainsail)主要课程；主菜
 主食；主餐；主帆"
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
salad,n. 色拉；尤指莴苣
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
sharpener,n. 卷笔刀； 磨具；研磨者
basin,n. 水池；流域；盆地；盆
pan,"n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘
vi. 淘金；在淘洗中收获金子
vt. 淘金；在浅锅中烹调（食物）；严厉的批评"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
guest,"n. 客人，宾客；顾客
adj. 客人的；特邀的，客座的
vt. 款待，招待
vi. 作客，寄宿"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
dry,"n. 干涸
adj. 干的；口渴的；枯燥无味的；禁酒的
vt. 把…弄干
vi. 变干"
pear,n.  梨树；梨子
tin,"n. 锡；罐头，罐；马口铁
adj. 锡制的
vt. 涂锡于；给…包马口铁"
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
properly,adv. 适当地；正确地；恰当地
regrettable,adj. 令人遗憾的；可惜的；可悲的；抱歉的
overcharge,"n. 过度充电；超载；装药过多
vt. 对……索价过高；使……过度充电
vi. 过度充电；讨价过高"
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
disappoint,vt. 使失望
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
equipment,n. 设备，装备；器材
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
depth,n.  深度；深奥
charcoal,"n. 木炭；炭笔
vt. 用木炭画（过去式charcoaled，过去分词charcoaled，现在分词charcoaling，第三人称单数charcoals）"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
rod,n. 棒；惩罚；枝条；权力
skewer,"n. 烤肉叉子；串肉扦；针
vt. 刺穿；串住"
wise,"adj. 明智的；聪明的；博学的
vt. 使知道；教导
vi. 了解"
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
smokeless,adj. 无烟的；不冒烟的
kebab,n. （印）烤肉串；烤腌羊肉串（等于kabob）
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
lamb kebab,
green pepper,"n. 青椒；甜椒；灯笼椒
 青辣椒；绿胡椒；青辣椒简笔画"
potato,n.  土豆， 马铃薯
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
meat,n. 肉，肉类（食用）
teaspoon,n. 茶匙；一茶匙的量
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
alcohol,n. 酒精，乙醇
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
clever,"adj. 聪明的；机灵的；熟练的
"
cleverly,adv. 聪明地
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
junk food,"n. 垃圾食品
 垃圾食物；没有营养的食品；没有营养的垃圾食品"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
sandwich,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
potato chips,n. 马铃薯片; 炸土豆片( potato chip的名词复数 )
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
navy,"n. 海军
深蓝色的"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的"
as far as,"na. 远到；就；尽；至于
 远至；直到；就…而言"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
although,conj. 尽管；虽然；但是；然而
midday,"n. 中午；正午
adj. 正午的"
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
obviously,"adv. 明显地
显然地"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
fridge,n. 电冰箱
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
thirsty,adj. 口渴的，口干的；渴望的，热望的
fat,"n. 脂肪，肥肉
adj. 肥的，胖的；油腻的；丰满的
vt. 养肥；在…中加入脂肪
vi. 长肥"
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
faith,n. 信仰；信念；信任；忠实
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
supermarket,n. 超级市场；自助售货商店
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
chain store,"n. 连锁商店
 连锁店；联号；连锁经营"
mood,n. 情绪，语气；心境；气氛
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒"
merely,adv. 仅仅，只不过；只是
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
niece,n. 外甥女，侄女
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
buffet dinner, 自助餐；自助晚餐；自助餐会
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
November,n. 十一月
ought,"aux. 应该，应当；大概
vi. 应该，应当；大概"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
Japanese,"n. 日本人；日语
adj. 日本（人）的；日语的"
forever,adv. 永远；不断地；常常
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
menu,"n. 菜单
饭菜"
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
eggshell,n. 蛋壳；薄而易碎的东西
tablespoon,n. 大调羹，大汤匙；一餐匙的量
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
coffee grounds,"na. 咖啡渣
 撒到地上了的咖啡；咖啡渣图片；咖啡渣子"
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
delightful,adj. 可爱的，可喜的；讨人喜欢的；令人愉快的
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
weak,adj.  疲软的；虚弱的；无力的；不牢固的
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿"
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
rapidly,adv. 迅速地；很快地；立即
production,n. 成果；产品；生产；作品
quantity,n. 量，数量；大量；总量
rich,"adj. 富有的；肥沃的；昂贵的
adj. 油腻的，含有很多脂肪"
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
poor,adj. 贫穷的；可怜的；贫乏的；卑鄙的
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
lazy,adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
India,n. 印度（南亚国家）
wheat,n. 小麦；小麦色
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
additionally,adv. 此外；又，加之
nation,n. 国家；民族；国民
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
death,n. 死；死亡；死神；毁灭
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
living room,"n. 客厅；起居室
 客厅系列；起居定；小客厅"
roller skate,"n. （四轮）旱冰鞋；滚轴溜冰鞋；轮式溜冰鞋
v. 滑旱冰；溜旱冰；滚轴溜冰
 四轮滑冰鞋；直排轮；四轮溜冰鞋"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
rug,n. 小地毯；毛皮地毯；男子假发
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
rubber,"n. 橡胶；橡皮；合成橡胶；按摩师
adj. 橡胶制成的
vt. 涂橡胶于；用橡胶制造
vi. 扭转脖子看；好奇地引颈而望"
playground,n. 运动场，操场；游乐场
rink,"n. 溜冰场，室内溜冰场；冰球场
vi. 溜冰"
nervous,adj. 神经的；紧张不安的；强健有力的
laugh at,"na. 嘲笑；付之一笑；因…而发笑
 因……而发笑；取笑；因…而笑"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
basement,n. 地下室；地窖
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
hardly,adv. 几乎不，简直不；刚刚
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
sometime,"adj. 以前的；某一时间的
adv. 改天；来日；在某一时候"
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
sand,"n. 沙；沙地；沙洲；沙滩；沙子
vt. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
vi. 被沙堵塞"
dig,"n. 戳，刺；挖苦
vi. 挖掘
vt. 挖，掘；探究"
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴"
peaceful,adj. 和平的，爱好和平的；平静的
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
action,n. 行动；活动；功能；战斗；情节
hero,n. 英雄；男主角，男主人公
danger,n. 危险；危险物，威胁
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
after all,"na. 毕竟；终究；最后
 究竟；到底；终于"
Thursday,n. 星期四
fitness class,
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
energetic,adj. 精力充沛的；积极的；有力的
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
oneself,pron. 自己；亲自
crossing,"n. 十字路口；杂交；横渡；横道
v. 横越（cross的现在分词）"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
prisoner,n. 囚犯，犯人；俘虏；刑事被告
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
desk,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的"
fishing rod,"n. 钓竿
 鱼竿；钓鱼竿；钓杆"
string,n. 线，弦，细绳；一串，一行
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
quickly,adv. 迅速地；很快地
gently,adv. 轻轻地；温柔地，温和地
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
heaven,n. 天堂；天空；极乐
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
foolish,adj. 愚蠢的；傻的
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
dead,"n. 死者
adj. 无生命的；呆板的；废弃了的
adv. 完全地"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
popularity,n. 普及，流行；名气；受大众欢迎
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
anybody,"n. 重要人物
pron. 任何人"
adult,"n. 成年人
adj. 成年的；成熟的"
detective,"n. 侦探
adj. 侦探的"
series,n. 系列，连续； 串联；级数；丛书
mentally,adv. 精神上，智力上；心理上
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
politics,n. 政治，政治学；政治活动；政纲
commentary,n. 评论；注释；评注；说明
forum,n. 论坛，讨论会；法庭；公开讨论的广场
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
gun,"n. 枪支；枪状物；持枪歹徒
vt. 向…开枪；开大油门
vi. 用枪射击；加大油门快速前进"
queen,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
vt. 使…成为女王或王后
vi. 做女王"
duchess,"n. 公爵夫人；女公爵；雍容华贵的妇女；小老板娘
vt. （澳）盛情款待；讨好
vi. 热情款待；讨好"
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
blood,"n. 血，血液；血统
vt. 从…抽血；使先取得经验"
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
musical,"adj. 音乐的；悦耳的
n. 音乐片"
elephant,n. 象；大号图画纸
fountain,n. 喷泉，泉水；源泉
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
beginning,"n. 开始；起点
v. 开始；创建（begin的ing形式）"
July,n. 七月
performance,n. 性能；绩效；表演；执行；表现
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
limit,"n. 限制；限度；界线
vt. 限制；限定"
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
arrangement,n. 布置；整理；准备
arrival,n. 到来；到达；到达者
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
Germany,n. 德国
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
German,"n. 德语；德国人
adj. 德国的；德语的，德国人的"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
piano,n. 钢琴
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
identity,n. 身份；同一性，一致；特性；恒等式
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
prop,"vt. 支撑，支持，维持；使倚靠在某物上
n. 支柱，支撑物；支持者；道具；（橄榄球中的）支柱前锋"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
poet,n. 诗人
unknown,"n. 未知数；未知的事物，默默无闻的人
adj. 未知的；陌生的，默默无闻的"
plough,"n. 犁；耕地（等于plow）
vi. 用犁耕田；开路
vt. 犁；耕"
sunrise,n. 日出；黎明
sunset,n. 日落，傍晚
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
novel,"adj. 新奇的；异常的
n. 小说"
lesser,"adj. 较少的；次要的；更小的
adv. 较少地；更小地；不及"
extent,n. 程度；范围；长度
technology,n. 技术；工艺；术语
shorten,"vt. 缩短；减少；变短
vi. 缩短；变短"
exhibition,n. 展览，显示；展览会；展览品
kite,"n. 风筝
vi. 使用空头支票；像风筝一样飞；轻快地移动
vt. 骗钱；涂改（支票）"
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
source,n. 来源；水源；原始资料
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
chemistry,n. 化学；化学过程
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
hopeless,adj. 绝望的；不可救药的
grammar,n. 语法；语法书
noun,n. 名词
verb,"n. 动词；动词词性；动词性短语或从句
adj. 动词的；有动词性质的；起动词作用的"
pronunciation,n. 发音；读法
confuse,vt. 使混乱；使困惑
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
private tutor,"na. 家庭教师；私人教师
 家教；家教老师；补习导师"
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
professor,n. 教授；教师；公开表示信仰的人
roommate,n. 室友
union,n. 联盟，协会；工会；联合
intercultural,adj. 不同文化间的
communication,n. 通讯， 通信；交流；信函
syllabus,n. 教学大纲，摘要；课程表
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
lab,n. 实验室，研究室
text,"n.  文本；课文；主题
vt. 发短信"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
classroom,n. 教室
participation,n. 参与；分享；参股
mailbox,n. 邮箱；邮筒
