border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
roadside,"n. 路边；路旁
adj. 路边的；路旁的"
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
skid,"n. 打滑； 刹车；滑轨，滑动垫木
vt. 刹住，使减速；滚滑
vi. 打滑"
solely,adv. 单独地，唯一地
stranded,"v. 搁浅（strand的过去式和过去分词）
adj. 搁浅的；陷于困境的；有…股的（常用来构成复合词）"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
trucker,n. 卡车司机；从事货车运输业者
Heathrow Airport,"n. 希思罗机场
 伦敦希斯罗机场；伦敦希思罗机场；希斯洛机场"
delirious with anticipation and lack of sleep,
stay on the left side of the road,
shift gears on the wrong side,
smacked her arm on the door,
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
sue,"vt. 控告；请求
vi. 控告；提出请求"
wing mirror,"n. （车辆）侧翼后视镜
 外后视镜；侧翼镜；装在翼子板上的后视镜"
dangling at a drunken angle,
a matching blue scar on the white paint,
inconsolable,adj. 无法安慰的（名词inconsolability，副词inconsolably）；极为伤心的
repercussion,n. 反响；弹回；反射；浮动诊胎法；令人不满意的后果
muddle up, 混淆，弄错，弄乱
polish,
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
bless,vt. 祝福；保佑；赞美
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
darkened,adj. 变黑的，没有灯光的
dine,"vi. 进餐，用餐
vt. 宴请"
dismally,adv. 沉闷地；阴暗地
doorway,n. 门口；途径
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
gaze,"n. 凝视；注视
vi. 凝视；注视"
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
gust,"n. 风味；一阵狂风；趣味
vi. 一阵阵地劲吹"
hardware,n. 计算机硬件；五金器具
impressively,adv. 令人难忘地；感人地
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
moderately,adv. 适度地；中庸地；有节制地
oddly,adv. 古怪地；奇妙地；单数地
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
sharply,adv. 急剧地；锐利地
simultaneously,adv. 同时地
spectator,n. 观众；旁观者
square-jawed,adj. 方下巴的；下颌呈方形的
superiority,n. 优越，优势；优越性
telegraph,"n.  电报机，电报
vt. 电汇；流露出；打电报给…
vi. 打电报"
tiepin,n. 领带别针
unfold,"vi. 展开；显露
vt. 打开；呈现"
unlighted,adj. 未被点燃的；未被照亮的
watchful,adj. 注意的；警惕的；警醒的
Denver,n. 丹佛（地名，美国城市）
eastbound,adj. 往东的；向东旅行的
Maine,n. 缅因州（美国州名）
handcuff,"n. 手铐；思想上的桎梏
vt. 给…戴上手铐；限制"
marshal,"n. 元帅；司仪
vt. 整理；引领；编列
vi. 排列"
speak a word for sb.,
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
counterfeit,"n. 赝品；冒牌货；伪造品
adj. 假冒的，伪造的；虚伪的
vt. 伪造，仿造；假装，伪装
vi. 仿造；假装"
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
agree with,"na. 适合；赞同；与…一致
 同意；与...一致；同意某人"
smoker,n. 吸烟者；薰制工
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
aspect,n. 方面；方向；形势；外貌
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
chili,n. 红辣椒，辣椒
construct,"n. 构想，概念
vt. 建造，构造；创立"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
cultivate,vt. 培养；陶冶；耕作
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
eliminate,vt. 消除；排除
enduring,"adj. 持久的；能忍受的
v. 忍耐（endure的ing形式）"
eventually,adv. 最后，终于
fertilizer,n.  肥料；受精媒介物；促进发展者
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
hallway,n. 走廊；门厅；玄关
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
manual,"adj. 手工的；体力的
n. 手册，指南"
metaphor,n. 暗喻，隐喻；比喻说法
miner,n. 矿工；开矿机
mixture,n. 混合；混合物；混合剂
nourish,vt. 滋养；怀有；使健壮
onion,n. 洋葱；洋葱头
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
peanut,n. 花生
permission,n. 允许，许可
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
seedling,n. 秧苗，幼苗；树苗
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
tennis,n. 网球（运动）
warder,n. 看守；守卫；典狱官
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
literacy,n. 读写能力；精通文学
Frederic Douglass,
crouching servility,
unmannerly,"adj. 无礼貌的，撒野的，粗鲁的
adv. 没礼貌地，粗野地"
look sb. in the face, 直视
look sb. in the eye, 直视；正视
her voice of tranquil music,
nigger,n. 黑鬼（蔑称）；社会地位低下的人
ell,n. 厄尔（旧时量布的长度）；字母L；侧房；L形的东西
call sth. into existence,"na. 使发生
 使产生；创造"
train of thought,"un. 思路
 思绪；思想列车；一连串的思想或思路"
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
on an errand,"办事,当差,跑腿"
timber,n. 木材；木料
shipyard,n. 造船厂；船坞；修船厂
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
attacker,n. 攻击者；进攻者
birch,"n. 桦木；桦树；桦条
vt. 用桦条鞭打"
bough,n. 大树枝
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
creek,n. 小溪；小湾
crouch,"n. 蹲伏
vt. 低头；屈膝
vi. 蹲伏，蜷伏；卑躬屈膝"
cub,"n. 幼兽；不懂规矩的年轻人
vi. 生育幼兽"
detain,vt. 拘留；留住；耽搁
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
doc,
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
flake,"n. 小薄片；火花
vt. 使…成薄片；将…剥落
vi. 剥落；成片状剥落"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
grasshopper,"n. 蚱蜢； 蝗虫；小型侦察机
vi. 见异思迁；蚱蜢似地跳"
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
mantle,"n. 地幔；斗篷；覆盖物
vi. 覆盖；脸红
vt. 覆盖"
midway,"n. 中途；娱乐场
adj. 中途的
adv. 中途"
mischievous,adj. 淘气的；（人、行为等）恶作剧的；有害的
muzzle,"n. 枪口，炮口；口套，口络；动物的鼻口
vt. 使…缄默；给…戴口套；封锁…的言论"
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
puppy,n. 小狗，幼犬
restless,adj. 焦躁不安的；不安宁的；得不到满足的
rifle,"n. 步枪；来复枪
vt. 用步枪射击；抢夺；偷走"
rooster,n. 公鸡；狂妄自负的人
rumble,"n. 隆隆声；抱怨声
vi. 隆隆作响
vt. 使隆隆响；低沉地说"
shack,"n. 棚屋；小室
vi. 居住"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
smother,"n. 窒息状态；令人窒息的浓烟
vt. 使窒息；抑制；（用灰等）闷熄；忍住
vi. 窒息；被抑制；闷死"
snarl,"vt. 搞乱；咆哮着说；使…缠结
vi. 咆哮；怒骂；缠结
n. 咆哮；怒骂；混乱"
soaked,"v. 浸湿（soak的过去分词）
adj. 湿透的，浸透的"
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
spear,"n. 矛，枪
vt. 用矛刺"
spurt,"n. 冲刺；喷射
vi. 冲刺；喷出；迸发
vt. 喷射；喷出"
squat,"vt. 使蹲坐，使蹲下
vi. 蹲，蹲下；蹲坐；蹲伏
n. 蹲坐，蜷伏
adj. 蹲着的；矮胖的"
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
stillness,n. 静止；沉静
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
thicken,"vt. 使变厚；使模糊；使…变复杂
vi. 变浓；变厚；变得模糊；变粗；变复杂"
timber,n. 木材；木料
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
trapper,n. 设陷阱捕兽者；捕捉器； 矿井风门开关管理员
unchained,"adj. 解放的
v. 解开枷锁；释放（unchain的过去分词）"
whimper,"n. 呜咽声；啜泣声；牢骚；怨声
vi. 呜咽；啜泣；低声抱怨
vt. 呜咽着说；啜泣着说"
wiggle,"n. 扭动
vt. 使……摆动，使……扭动
vi. 摆动"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
Quentin Reynolds,
Montreal,
dead end,"n. 一头封死的道路（或通道等）；绝境；僵局
 死胡同；死角；死路"
saint,
Saint Joseph, 圣约瑟夫；圣若瑟；圣乔瑟夫
reins,n. 肾脏；腰部；感情；肺腑
gout,n.  痛风；一滴；一团
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
cataract,"n.  白内障；大瀑布；暴雨，洪水；奔流
vt. 倾注"
attic,n. 阁楼；顶楼；鼓室上的隐窝
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
bathrobe,n. 浴衣；睡衣
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
brooch,n. （女用的）胸针，领针
calmly,adv. 冷静地；平静地；安静地
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
creaky,adj. 发辗的；老朽的；叽叽嘎嘎的
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
dagger,"n. 匕首，短剑
vt. 用剑刺"
dainty,"n. 美味
adj. 美味的；讲究的；秀丽的；挑剔的"
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
footstep,n. 脚步；脚步声；足迹
fragrant,adj. 芳香的；愉快的
frothing,"n. 起泡；起沫
adj. 充满泡沫的
v. 使起泡沫；以泡沫覆盖；发泄（froth的ing形式）"
genuinely,adv. 真诚地；诚实地
gleam,"n. 微光；闪光；瞬息的一现
vt. 使闪烁；使发微光
vi. 闪烁；隐约地闪现"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
Jesus,n. 耶稣（上帝之子）；杰西（男子名）
latch,"vi. 占有，抓住；闭锁
vt. 闩上；纠缠住某人
n. 门闩"
loiter,"vi. 虚度；闲荡；徘徊
vt. 虚度；闲荡；混"
mince,"vt. 切碎；矫揉做作地说
vi. 装腔作势；碎步走
n. 切碎物，肉馅"
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
pail,n. 桶，提桶
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
reddish,adj. 微红的；略带红色的
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
shyness,n. 羞怯
sleepy,adj. 欲睡的；困乏的；不活跃的
slipper,"n. 拖鞋
vt. 用拖鞋打"
soundly,adv. 健全地；完全地；稳健地；彻底地；牢固地
starry,adj. 布满星星的；闪闪发光的；星光照耀的；星形的
steadily,adv. 稳定地；稳固地；有规则地
stool,"n. 凳子；粪便；厕所
vt. 引诱，诱捕
vi. 长新枝；分檗"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
tiptoe,"n. 脚尖；趾尖
vi. 用脚尖走
adv. 用脚尖
adj. 踮着脚走的；偷偷摸摸的"
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
turkey,n. 土耳其（横跨欧亚两洲的国家）
waken,"vt. 唤醒；使觉醒
vi. 醒来；觉醒"
Nancy C. Anderson,
bratty,adj. 讨厌的
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过"
slouch,"n. 下垂；笨拙的人，懒散的人；懒散的样子
vt. 使下垂
vi. 没精打采地站；耷拉"
steeple,"n. 尖塔；尖顶
vt. 把…建成尖塔"
about one hundred years later,
at three times the necessary volume,
faraway,adj. 遥远的；恍惚的
repentant tears,
silhouette,"n. 轮廓，剪影
vt. 使…照出影子来；使…仅仅显出轮廓"
linked our eyes,
hydrant,n. 消防栓；水龙头；给水栓
fire hydrant,"n. 消防栓；消防龙头
 消火栓；消防栓图片；壁式消防栓"
getting caught is hard,
aged,"v. 老化（age的过去式）；成熟；变老
adj. 年老的；…岁的；老年人特有的"
impossibly,adv. 不可能地；难以置信地；无法可想地
alter,"vt. 改变，更改
vi. 改变；修改"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
ashore,"adj. 在岸上的；在陆上的
adv. 在岸上；向岸"
aspiration,n. 渴望；抱负；送气；吸气；吸引术
battleship,n. （美）战舰
blade,n. 叶片；刀片，刀锋；剑
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
brood,"n. 一窝；一伙
vt. 孵；沉思"
capable,adj. 能干的，能胜任的；有才华的
Caribbean,"n. 加勒比海
adj. 加勒比人的；加勒比海的；加勒比语的"
cavalry,n. 骑兵；装甲兵；装甲部队
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
decent,adj. 正派的；得体的；相当好的
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
execute,vt. 实行；执行；处死
facility,n. 设施；设备；容易；灵巧
folly,n. 愚蠢；荒唐事；讽刺剧
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
inspiration,n. 灵感；鼓舞；吸气；妙计
lawn,n. 草地；草坪
mastery,n. 掌握；精通；优势；征服；统治权
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
rightly,adv. 正确地；恰当地；公正地；合适地
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
soothingly,adv. 安慰地
splendor,n. 光彩；壮丽；显赫
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
tavern,n. 酒馆；客栈
threat,n. 威胁，恐吓；凶兆
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
tropics,n. 热带地区
warfare,n. 战争；冲突
the Leaning Tower of Pisa,
be composed of,"na. 由…组成
 由…构成；由…组成的；强调由什么成分所构成"
anticipate,vt. 预期，期望；占先，抢先；提前使用
be doomed to end in failure,
brash,"n. 骤雨；碎片；胃灼热
adj. 无礼的，傲慢的；仓促的，性急的"
Aristotle,n. 亚里士多德
laughing stock,"n. 笑柄；笑料
 成了笑料；笑柄酒园；的笑柄"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
accept sth. as authoritative,
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
rattle,"vt. 使发出咯咯声；喋喋不休；使慌乱，使惊慌
vi. 喋喋不休地讲话；发出卡嗒卡嗒声
n. 喋喋不休的人；吓吱声，格格声"
rhythmic,"n. 韵律论（等于rhythmics）
adj.  有节奏的（等于rhythmical）；间歇的；合拍的"
oscillation,n. 振荡；振动；摆动
eclipses of the sun,
expressed their disapproval in no uncertain terms,
curb this recklessness,
indiscretion,n. 轻率；言行失检
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
idiotic,adj. 白痴的；愚蠢的
bodies in motion,
antagonism,n. 对抗，敌对；对立；敌意
persecution,n. 迫害；烦扰
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
blessing in disguise,"na. 变相的幸福
 因祸得福；是因祸得福吗；隐藏的祝福"
under the supervision of,"na. 在…监督下
 在……的督导之下"
the Independent Venetian Republic,
Inquisition,
heavenly bodies,"n. “heavenly body”的复数
 天体；梦幻身材；龙飞凤舞"
deliver himself into the torture chambers,
Grand Inquisitor, 大审判官；大宗教裁判员；魔域帝国审判者
Copernicus,n. 哥白尼（波兰天文学家）
Holy Office,
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
astronomy,n. 天文学
compelled to renounce his belief,
heresy,n. 异端；异端邪说；异教
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
he left the world ... far better informed than ...,
abruptly,adv. 突然地；唐突地
alfalfa,n.  苜蓿；紫花苜蓿
brag,"n. 吹牛，自夸
vi. 吹牛，自夸
vt. 吹牛，吹嘘"
briar,n. 荆棘；石南；用石南根制成之烟斗
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
canopy,"n. 天篷；华盖；遮篷；苍穹
vt. 用天蓬遮盖；遮盖"
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
county,n. 郡，县
dirt,n. 污垢，泥土；灰尘，尘土；下流话
fell,"n.  一季所伐的木材；折缝；兽皮
v. 掉下；摔倒；下垂；变坏（fall的过去式）
adj. 凶猛的；毁灭性的
vt. 砍伐；打倒；击倒"
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
fondle,"vt. 爱抚；抚弄
vi. 爱抚；调戏"
footpath,n. 人行道；小路；小径
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
hickory,n. 山核桃木；山核桃属植物（北美产的）
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
mat,"n. 垫；垫子；衬边
vt. 缠结；铺席于……上
vi. 纠缠在一起
adj. 无光泽的"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
mountaintop,n. 山顶
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
plow,"n.  犁；似犁的工具；北斗七星
vt.  犁；耕；开路
vi.  犁；耕地；破浪前进；开路"
pocketknife,n. 随身小折刀
pumpkin,n. 南瓜
raindrop,n. 雨滴；雨点
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
rugged,adj. 崎岖的；坚固的；高低不平的；粗糙的
rustle,"n. 沙沙声；急忙；飒飒声
vt. 使…沙沙作响
vi. 发出沙沙声"
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
stump,"vt. 砍伐；使为难；在…作巡回政治演说
n. 树桩；残余部分；假肢
vi. 笨重地行走；发表竞选演说"
uphill,"n. 上升；登高
adj. 上坡的，向上的
adv. 向上地；往上坡"
vine,"n. 藤；葡萄树；藤本植物；攀缘植物
vi. 长成藤蔓；爬藤"
wilderness,n. 荒地；大量，茫茫一片
wrinkled,adj. 具皱的，有皱纹的
wisp,"n. 小捆；小束
vt. 把…卷成一捆
vi. 卷成一捆"
wooded,"adj. 树木繁茂的；森林多的
v. 植林于（wood的过去式）"
yam,n. 山药 甘薯 白薯
prune,"n. 深紫红色；傻瓜；李子干
vt. 修剪；删除；剪去
vi. 删除；减少"
the valley, 山谷球场；瓦利；情欲深谷
guinea,n. 几内亚；基尼（英国旧时金币名）
be tickled to death, 使人高兴极了；使人心满意足；使人笑破肚皮
"pitchforks, hoes, and rakes",
from nowhere,"不知从什么地方
不知从何处
茫然若失（唱片名, From Nowhere）"
fire against the fire,
amongst,prep. 在…之中；在…当中（等于among）
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
candlelight,n. 烛光；黄昏
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
cheery,adj. 愉快的，活泼的
cherry,n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
defiant,adj. 挑衅的；目中无人的，蔑视的；挑战的
dense,adj. 稠密的；浓厚的；愚钝的
fender,n. （汽车等的）挡泥板；防卫物；（暖炉的）炉围；（船只的）碰垫
fright,"n. 惊吓；惊骇
vt. 使惊恐"
gag,"n. 塞口物；讨论终结；箝制言论
vt. 塞住…的口；钳制…的言论；使窒息
vi. 插科打诨；窒息；作呕"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
horizon,n.  地平线；视野；眼界；范围
huh,int. 哼！；哈！（表示轻蔑、疑问或惊异等）
hush,"vt. 安静；肃静；缄默
n. 安静；肃静；沉默
vi. 沉默；安静下来
int. 嘘；别作声"
intently,adv. 专心地；一心一意地；心无旁骛地
kangaroo,n. 袋鼠
kneel,vi. 跪下，跪
lighten,"vi. 减轻；发亮
vt. 使照亮；使轻松"
madness,n. 疯狂；愚蠢的行为
maple,n. 枫树；淡棕色
materialize,"vt. 使具体化，使有形；使突然出现；使重物质而轻精神
vi. 实现，成形；突然出现"
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
meteor,n. 流星； 大气现象
