authoritarian,"n. 权力主义者；独裁主义者
adj. 独裁主义的；权力主义的"
veneer,"n. 外表；虚饰；饰面；胶合板的一层；薄木片
vt. 胶合；虚饰；给…镶以饰片"
adversity,n. 逆境；不幸；灾难；灾祸
epitaph,n. 碑文，墓志铭
amoral,adj. 与道德无关的；无从区分是非的；超道德的
custodian,n. 管理人；监护人；保管人
seductive,adj. 有魅力的；性感的；引人注意的
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
pomp,n. 盛况；浮华；壮丽；夸耀
theological,adj. 神学的，神学上的
rhetoric,"n. 修辞，修辞学；华丽的词藻
adj. 花言巧语的"
pragmatic,adj. 实际的；实用主义的；国事的
Machiavellism,n. 马基雅弗利主义
instill,vt. 徐徐滴入；逐渐灌输
flagrant,adj. 公然的；不能容忍的；非常的；臭名远扬的；明目张胆的；恶名昭著的（名词flagrancy，副词flagrantly）
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
relativism,n. 相对主义；相对论
detachment,n. 分离，拆开；超然；分遣；分遣队
proponent,n. 支持者；建议者；提出认证遗嘱者
empirical,adj. 经验主义的，完全根据经验的；实证的
anthropologist,n. 人类学家；人类学者
nihilism,n. 虚无主义；无政府主义；恐怖行为
infanticide,n. 杀婴，杀婴者；杀婴犯；杀婴罪
Nazism,n. 纳粹主义
naive,"adj. 天真的,幼稚的"
promulgate,vt. 公布；传播；发表
countervail,"vt. 抵销；补偿；对抗
vi. 抵销；对抗"
preclude,vt. 排除；妨碍；阻止
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
equivocation,n. 含糊话；模棱两可的话
expediency,n. 方便，权宜；私利
engender,"vt. 使产生；造成
vi. 产生；引起"
haven,"n. 港口；避难所，安息所
vt. 为……提供避难处；安置……于港中"
abdicate,"vt. 退位；放弃
vi. 退位；放弃"
sit-in,n. 静坐抗议；静坐罢工
symptomatic,adj. 有症状的；症候的
undercurrent,n. 暗流；潜流
propriety,n. 适当；礼节；得体
pompously,adv. 傲慢地；盛大壮观地
guise,"n. 伪装；装束；外观
vt. 使化装
vi. 伪装"
ghetto,"n. 犹太人区；贫民区
vt. 使集中居住"
callous,"n. 硬皮；老茧
adj. 无情的；麻木的；硬结的；起老茧的
vt. 使冷酷无情；使硬结；使生茧
vi. 变得冷酷无情；结茧；变硬"
forthright,"n. 直路
adj. 直率的；直截了当的
adv. 直率地；马上；立即"
supremacy,n. 霸权；至高无上；主权；最高地位
tortuous,adj. 扭曲的，弯曲的；啰嗦的
affability,n. 亲切；和蔼；殷勤
mesh,"n. 网眼；网丝；圈套
vi. 相啮合
vt.  啮合；以网捕捉"
alienation,n. 异化；疏远；转让； 精神错乱；间离效果（alienation effect）
bolster,"n. 支持；长枕
vt. 支持；支撑"
totality,n.  全食；全体；总数
perpetrate,vt. 犯（罪）；做（恶）
