abandon,"n. 放任；狂热
vt. 遗弃；放弃"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
inhuman,adj. 残忍的；野蛮的；无人性的
inhumane,adj. 残忍的；无人情味的
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
inject,vt. 注入；注射
injure,vt. 伤害，损害
injury,n. 伤害，损害；受伤处
injustice,n. 不公正；不讲道义
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
inlet,"n. 入口，进口；插入物；水湾
v. 引进; 嵌入; 插入;"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
innumerable,adj. 无数的，数不清的
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
inquest,n. 审讯；验尸；讯问
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
inquiry,n. 探究；调查；质询
insane,adj. 疯狂的；精神病的；极愚蠢的
inscribe,vt. 题写；题献；铭记；雕
insensibility,n. 不关心，不在乎；无感觉
insensitive,adj. 感觉迟钝的，对…没有感觉的
inseparable,"n. 不可分离的事物；形影不离的朋友
adj.  不可分割的；不能分离的"
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
insight,n. 洞察力；洞悉
insistent,adj. 坚持的；迫切的；显著的；引人注目的；紧急的
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
inspection,n. 视察，检查
inspiration,n. 灵感；鼓舞；吸气；妙计
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
instal,vt. 安装；使就任；设置
install,vt. 安装；任命；安顿
instalment,n. 分期付款；装设；就职
installment,n. 安装；分期付款；部分；就职
instance,"n. 实例；情况；建议
vt. 举...为例"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
instinct,"n. 本能，直觉；天性
adj. 充满着的"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
instruct,vt. 指导；通知；命令；教授
instrument,n. 仪器；工具；乐器；手段；器械
instrumental,"n. 器乐曲；工具字，工具格
adj. 乐器的；有帮助的；仪器的，器械的"
insufficient,"adj. 不足的，不充足的；不胜任的；缺乏能力的
n. 不足；缺乏"
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
insurance,n. 保险；保险费；保险契约；赔偿金
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
intact,adj. 完整的；原封不动的；未受损伤的
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
integrity,n. 完整；正直；诚实；廉正
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intelligent,adj. 智能的；聪明的；理解力强的
intend,"vi. 有打算
vt. 打算；想要；意指"
intense,adj. 强烈的；紧张的；非常的；热情的
intensity,n. 强度；强烈； 亮度；紧张
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
intentional,adj. 故意的；蓄意的；策划的
intentionally,adv. 故意地，有意地
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
intercept,"n. 拦截； 截距；截获的情报
vt. 拦截；截断；窃听"
interchange,"n. 互换；立体交叉道
vt. （指两人等）交换；互换
vi. 交换；相互交换"
intercourse,n. 性交；交往；交流
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
interpersonal,adj. 人际的；人与人之间的
interpret,"vi. 解释；翻译
vt. 说明；口译"
intersect,"vt. 横断，横切；贯穿
vi. 相交，交叉"
interval,n. 间隔；间距；幕间休息
intervene,vi. 干涉；调停；插入
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
intolerable,adj. 无法忍受的；难耐的
intolerant,adj. 无法忍受的；偏狭的
intricate,adj. 复杂的；错综的，缠结的
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
invasion,n. 入侵，侵略；侵袭；侵犯
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
investigate,v. 调查；研究
investigation,n. 调查；调查研究
investment,n. 投资；投入；封锁
inviolable,adj. 不可侵犯的；神圣的；不可亵渎的
involve,vt. 包含；牵涉；使陷于；潜心于
involved,"v. 涉及；使参与；包含（involve的过去式和过去分词）
adj. 有关的；卷入的；复杂的"
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
italic,"n. 斜体字（或字母、数码等）
adj.  斜体的"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
ivory,"n. 象牙；乳白色；长牙
adj. 乳白色的；象牙制的"
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
jealousy,n. 嫉妒；猜忌；戒备
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
jewel,"n. 宝石；珠宝
vt. 镶以宝石；饰以珠宝"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
jolly,"adj. 愉快的；欢乐的；宜人的
adv. 很；非常
vt. （口）用好话劝某人做…；（口）用好话使高兴
vi. （口）开玩笑"
jot,"vt. 略记；摘要记载下来
n. 少量；稍许"
judgment,n. 判断；裁判；判决书；辨别力
judgement,n. 意见；判断力； 审判；评价
judicial,adj. 公正的，明断的；法庭的；审判上的
juicy,adj. 多汁的；利润多的；生动的
junction,n. 连接，接合；交叉点；接合点
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
jury,"n.  陪审团；评判委员会
adj. 应急的"
justice,n. 司法，法律制裁；正义；法官，审判员
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
kidnap,vt. 绑架；诱拐；拐骗
kindle,"vt. 点燃；激起；照亮
vi. 发亮；着火；激动起来"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
kneel,vi. 跪下，跪
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
kowtow,"vi. 叩头；卑躬屈膝
n. 叩头"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子"
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
lane,n. 小巷； 航线；车道；罚球区
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
largely,adv. 主要地；大部分；大量地
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
latent,adj. 潜在的；潜伏的；隐藏的
latitude,n. 纬度；界限；活动范围
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
leadership,n. 领导能力；领导阶层
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
learned,adj. 博学的；有学问的；学术上的
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
legacy,n. 遗赠，遗产
legalise,vt. 使合法化（等于legalize）
legalize,vt. 使合法化；公认；法律上认为…正当
legend,n. 传奇；说明；图例；刻印文字
legislation,n. 立法；法律
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
lengthen,"vt. 使延长；加长
vi. 延长；变长"
lessen,"vt. 使…变小；使…减轻；使…变少
vi. 减少；减轻；变小"
lest,conj. 唯恐，以免；担心
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
liaison,n. 联络；（语言）连音
liar,n. 说谎的人
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
liberty,n. 自由；许可；冒失
licence,"n. 许可证，执照；特许
vt. 特许，许可；发给执照"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
lid,"n. 盖子；眼睑；限制
vt. 给…盖盖子"
liking,n. 嗜好，爱好
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
linear,adj. 线的，线型的；直线的，线状的；长度的
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
linguist,"n. 语言学家
学多种外语的人"
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
literacy,n. 读写能力；精通文学
literary,adj. 文学的；书面的；精通文学的
livelihood,n. 生计，生活；营生
livestock,n. 牲畜；家畜
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
locality,n. 所在；位置；地点
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
location,n. 位置（形容词locational）；地点；外景拍摄场地
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
lodge,"n. 旅馆；门房；集会处；山林小屋
vt. 提出；寄存；借住；嵌入
vi. 寄宿；临时住宿"
lofty,adj. 高的；崇高的；高级的；高傲的
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
lonesome,"adj. 寂寞的；人迹稀少的
n. 自己"
longing,"n. 渴望，热望；憧憬
adj. 渴望的，极想得到的
v. 渴望（long的ing形式）"
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
loosen,"vt. 放松；松开
vi. 放松；松开"
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
lubricate,"vi. 润滑；涂油；起润滑剂作用
vt. 使…润滑；给…加润滑油"
lumber,"vi. 伐木；喧闹地向前走；笨重地行动，缓慢地移动
vt. 砍伐木材；乱堆
n. 木材；废物，无用的杂物；隆隆声"
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
lunatic,"adj. 疯狂的；精神错乱的；愚蠢的
n. 疯子；疯人"
luster,"n.  光泽；光彩
vi. 有光泽；发亮
vt. 使有光泽"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
machinery,n. 机械；机器；机构；机械装置
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
magnet,n. 磁铁； 磁体；磁石
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
maiden,"adj. 未婚的，处女的；初次的
n. 少女；处女"
maintain,vt. 维持；继续；维修；主张；供养
majesty,n. 威严；最高权威，王权；雄伟；权威
make-up,n. 化妆品；（美）补考；性格；构造；排版
making,"n. 发展；制造；形成
v. 制作（make的现在分词）"
malady,n. 弊病；疾病；腐败
malice,n. 恶意；怨恨；预谋
malnutrition,n. 营养失调，营养不良
maltreat,vt. 虐待；滥用；粗暴对待
management,n. 管理；管理人员；管理部门；操纵；经营手段
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
manifold,"vt. 复写，复印；增多；使……多样化
adj. 多方面的，有许多部分的；各式各样的
n. 多种；复印本"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
manual,"adj. 手工的；体力的
n. 手册，指南"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
manuscript,"n.  手稿；原稿
adj. 手写的"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
marshal,"n. 元帅；司仪
vt. 整理；引领；编列
vi. 排列"
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
massive,adj. 大量的；巨大的，厚重的；魁伟的
masterpiece,n. 杰作；绝无仅有的人
mastery,n. 掌握；精通；优势；征服；统治权
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
maternal,adj. 母亲的；母性的；母系的；母体遗传的
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
meantime,"n. 其时，其间
adv. 同时；其间"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
measurement,n. 测量； 度量；尺寸；量度制
mechanic,"n. 技工，机修工
adj. 手工的"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
mechanics,n. 力学（用作单数）；结构；技术；机械学（用作单数）
mechanise,vt. 使……用机械装置；使……机械化
mechanize,vt. 使机械化；机动化；用机械装置
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
medal,n. 勋章，奖章；纪念章
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
melancholy,"adj. 忧郁的；使人悲伤的
n. 忧郁；悲哀；愁思"
melody,n. 旋律；歌曲；美妙的音乐
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
membership,n. 资格；成员资格；会员身份
memorise,vt. （英）记忆；存储（等于memorize）
memorize,vt. 记住，背熟；记忆
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
midst,"n. 当中，中间
prep. 在…中间（等于amidst）"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
militia,n. 民兵组织；自卫队；义勇军；国民军
milky,adj. 乳白色的；牛奶的；乳状的；柔和的；混浊不清的
millennium,n. 千年期，千禧年；一千年，千年纪念；太平盛世，黄金时代
mingle,"vi. 混合；交往
vt. 使混合；使相混"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
minus,"prep. 减，减去
n. 负号，减号；不足；负数
adj. 减的；负的"
miracle,n. 奇迹，奇迹般的人或物；惊人的事例
mischief,n. 恶作剧；伤害；顽皮；不和
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
misfortune,n. 不幸；灾祸，灾难
mislead,vt. 误导；带错
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
missing,"adj. 失踪的；缺少的
v. 错过（miss的ing形式）；想念；漏掉"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
missionary,"adj. 传教的；传教士的
n. 传教士"
misty,adj. 模糊的；有雾的
misunderstand,vt. 误解；误会
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
mob,"n. 暴民，暴徒；民众；乌合之众
vt. 大举包围，围攻；蜂拥进入
vi. 聚众生事，聚众滋事"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
mode,n. 模式；方式；风格；时尚
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
modernise,"vi. 现代化（等于modernize）
vt. 使…现代化（等于modernize）"
modernize,"vt. 使…现代化
vi. 现代化"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
modify,"vt. 修改，修饰；更改
vi. 修改"
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
monopoly,n. 垄断；垄断者；专卖权
monotonous,adj. 单调的，无抑扬顿挫的；无变化的
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
mood,n. 情绪，语气；心境；气氛
mop,"vt. 擦干；用拖把拖洗
vi. 用拖把擦洗地板；扮鬼脸
n. 拖把；蓬松的头发；鬼脸"
moreover,adv. 而且；此外
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
motivate,vt. 刺激；使有动机；激发…的积极性
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
mourn,v. 哀悼；忧伤；服丧
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
mutter,"vi. 咕哝；喃喃自语
vt. 咕哝；抱怨地说；低声含糊地说
n. 咕哝；喃喃低语"
mutual,adj. 共同的；相互的，彼此的
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
myth,n. 神话；虚构的人，虚构的事
naive,"adj. 天真的,幼稚的"
naked,adj. 裸体的；无装饰的；无证据的；直率的
namely,adv. 也就是；即是；换句话说
narrate,"vt. 叙述；给…作旁白
vi. 叙述；讲述"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
necessarily,adv. 必要地；必定地，必然地
necessity,n. 需要；必然性；必需品
needless,adj. 不必要的，不需要的；多余的，无用的
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
neighborhood,n. 附近；街坊；接近；街区
neighbourhood,n. 邻近；周围；邻居关系；附近一带
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
nominate,vt. 推荐；提名；任命；指定
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
noted,"adj. 著名的；显著的；附有乐谱的
v. 注意；记下（note的过去式和过去分词）"
noticeable,adj. 显而易见的，显著的；值得注意的
notify,vt. 通告，通知；公布
notion,n. 概念；见解；打算
notorious,adj. 声名狼藉的，臭名昭著的
nourish,vt. 滋养；怀有；使健壮
novel,"adj. 新奇的；异常的
n. 小说"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
numeral,"n. 数字
adj. 数字的；表示数字的"
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
numerous,adj. 许多的，很多的
nutrition,n. 营养，营养学；营养品
oath,n. 誓言，誓约；诅咒，咒骂
obedient,adj. 顺从的，服从的；孝顺的
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
obligation,n. 义务；职责；债务
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
oblivious,adj. 遗忘的；健忘的；不注意的；不知道的
oblong,"adj. 椭圆形的；长方形的
n. 椭圆形；长方形"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
observation,n. 观察；监视；观察报告
observatory,n. 天文台；气象台；瞭望台
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
obstacle,n. 障碍，干扰；妨害物
obstinate,adj. 顽固的；倔强的；难以控制的
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
obtain,"vi. 获得；流行
vt. 获得"
obvious,adj. 明显的；显著的；平淡无奇的
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
occupation,n. 职业；占有；消遣；占有期
occupy,vt. 占据，占领；居住；使忙碌
occurrence,n. 发生；出现；事件；发现
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
offence,n. 犯罪；违反；过错；攻击
offense,n. 犯罪，过错；进攻；触怒；引起反感的事物
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
offspring,n. 后代，子孙；产物
omen,"n. 预兆；征兆
vt. 预示；有…的前兆；预告"
omit,vt. 省略；遗漏；删除；疏忽
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
opposition,n. 反对；反对派；在野党；敌对
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
optimal,adj. 最佳的；最理想的
optimism,n. 乐观；乐观主义
