conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
moderation,n. 适度；节制；温和；缓和
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
wildness,n. 野蛮；原始；荒凉
tameness,n. 驯熟，温顺
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
insinuate,"vt. 暗示；使逐渐而巧妙地取得；使迂回地潜入
vi. 暗讽；说含沙射影的话"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
compel,vt. 强迫，迫使；强使发生
civilised,adj. 文明的
suburban,"n. 郊区居民
adj. 郊区的，城郊的；土气的；见闻不广的"
villa,n. 别墅；郊区住宅
newish,adj. 尚新的；稍微新的
cultivation,n. 培养；耕作；耕种；教化；文雅
cornfield,n. 麦田；玉米田；稻田
presence,n. 存在；出席；参加；风度；仪态
severely,adv. 严重地；严格地，严厉地；纯朴地
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
obedience,n. 顺从；服从；遵守
irregularity,n. 不规则；无规律；不整齐
colouring,"n. 着色；色彩；抛光；倾向性；外貌
v. 把…涂颜色；变色（colour的ing形式）"
snugly,adv. 舒适地；隐蔽地；贴身地；紧密地
uncompromising,adj. 不妥协的，不让步的；坚定的
cube,"n. 立方；立方体；骰子
vt. 使成立方形；使自乘二次；量…的体积"
drainer,n. 排水器；下水道装置
tiller,"n.  舵柄；农夫
vi. 分蘖"
motto,n. 座右铭，格言；箴言
harmony,n. 协调；和睦；融洽；调和
enchantment,n. 魅力；魔法；着迷；妖术
woodland,"n. 林地；森林
adj. 林地的；居住在森林中的"
deprive sb. of,"un. 剥夺
 剥夺某人的；使失去；使丧失"
deprive sth. of,"un. 剥夺
 剥夺某人的；使失去；使丧失"
pack into,"v. 拥进
 挤进；塞进；装进"
pack sth. into,"v. 拥进
 挤进；塞进；装进"
adjust sth.,
adjust sth. to ...,
go with,"na. 同…一致；跟…谈恋爱；带有；领会
 伴随；与…相配；跟…相配"
go together,"na. 相配；恋爱；一块儿去
 一起去；陪同；一起走"
content oneself with,"对…感到满意,甘愿"
for one,"na. 至少；至少有一个
 举个例说；作为其中一个；举个例子说"
born of, 源于；出生于；出身于
be witness to sth.,
force sb. into sth.,
force sb. into doing sth.,
fit into, （使）适合， （使）合乎…的时间，与…融为一体; 纳入
fit in with,"v. 符合
 适应；切合；适合"
authentic,adj. 真正的，真实的；可信的
inconsistency,n. 不一致；易变
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
core,
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
smother,"n. 窒息状态；令人窒息的浓烟
vt. 使窒息；抑制；（用灰等）闷熄；忍住
vi. 窒息；被抑制；闷死"
possessive,"n. 所有格
adj. 占有的；所有的；所有格的；占有欲强的"
clinging,"n. 坚持；依附
v. 坚持，紧贴（cling的ing形式）
adj. 执着的；有粘性的"
consequently,adv. 因此；结果；所以
roadblock,"n. 路障；障碍物
vi. 设置路障"
enhance,vt. 提高；加强；增加
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
primarily,adv. 首先；主要地，根本上
responsive,adj. 响应的；应答的；回答的
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
stimulant,"n.  兴奋剂；刺激物；酒精饮料
adj. 激励的；使人兴奋的"
detract,"vi. 贬低；减去
vt. 转移，使分心"
lovable,adj. 可爱的，讨人喜欢的
pretense,n. 借口；虚假；炫耀；自吹（等于pretence）
tolerate,vt. 忍受；默许；宽恕
imperfection,n. 不完美；瑕疵；缺点
boredom,n. 厌倦；令人厌烦的事物
dole,"n. 失业救济金；赈济物；施舍品
vt. 发放救济；以小份发给"
dole out,"na. 少量地分给；发放
 分发；少量发放；少量地发放"
impasse,n. 僵局；死路
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
imperfect,"n. 未完成体
adj. 有缺点的；未完成的；半过去的；未完成时的
adv. 有瑕疵地；有缺点地"
livable,adj. 适于居住的；生活过得有价值的
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
imply,vt. 意味；暗示；隐含
expansive,adj. 广阔的；扩张的；豪爽的
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
exclusively,adv. 唯一地；专有地；排外地
wedded,"v. 结婚（wed的变形）；与…结婚
adj. 结婚的；结合的；已结婚的"
wedded to,"adj.喜爱,专心于...的,对...因执的"
pseudolove,
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
interdependent,adj. 相互依赖的；互助的
personality,n. 个性；品格；名人
destiny,n. 命运，定数，天命
overly,adv. 过度地；极度地
confront,vt. 面对；遭遇；比较
empathize,vt. 移情；神会
closeness,n. 亲密；接近；密闭；严密
togetherness,n. 相聚，家庭聚会；团结精神；归属感
separation,n. 分离，分开；间隔，距离； 分居；缺口
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
rediscover,vt. 重新发现；再发现
emptiness,n. 空虚；无知
fullness,n. 充满；丰富；完全；成熟
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
union,n. 联盟，协会；工会；联合
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
integrity,n. 完整；正直；诚实；廉正
individuality,n. 个性；个人；个人特征；个人的嗜好（通常复数）
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
care about sb.,
care about sth.,
be concerned about,"na. 关心；挂念
 担心；对…关心；关注"
conform to sth.,
conform with sth.,
be involved in sth.,
detract from sth.,
share in sth.,
feel like doing, 想要做某事；觉得想做；想干某事
with strings attached, 附有条件；带有附加条件
with no strings attached, 没有任何附带条件；不附带任何条件；无附
come to terms with sth.,
settle for,"na. 满足于
 勉强接受；将就；勉强认可"
identify with sb.,
sum up,"na. 概括；总结
 总计；归纳；总括"
sum sth. up,"na. 概括；总结
 总计；归纳；总括"
predominate,"vt. 支配，主宰；在…中占优势
vi. 占主导（或支配）地位；占优势"
dean,n. 院长；系主任；教务长；主持牧师
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
probation,n. 试用；缓刑；查验
flunk,"n. 不及格；失败
vt. 使…不及格
vi. 失败；放弃；考试不及格"
strategy,n. 战略，策略
physicist,n. 物理学家；唯物论者
atomic,adj. 原子的，原子能的；微粒子的
kiloton,n. 千吨
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
incandescent,adj. 辉耀的；炽热的；发白热光的
observer,n. 观察者； 观测者；遵守者
fireball,n. （热核武器爆炸后在空中出现的）火球；大流星；精力充沛的人
mushroom-shaped,adj. 蘑菇形的
spontaneously,adv. 自发地；自然地；不由自主地
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
flammable,"n. 易燃物
adj. 易燃的；可燃的；可燃性的"
wood-frame,n. 木制结构
intense,adj. 强烈的；紧张的；非常的；热情的
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
titanic,
destruction,n. 破坏，毁灭；摧毁
plutonium,n.  钚（94号元素）
fabricate,vt. 制造；伪造；装配
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
breeder,n. 饲养员；繁殖者；起因；增殖反应堆
reactor,n.  反应器； 反应堆；起反应的人
theft,n. 盗窃；偷；赃物
hijacking,n. 劫持（hijack的现在分词）
terrorist,n. 恐怖主义者，恐怖分子
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
know-how,n. 诀窍；实际知识；专门技能
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
uranium,n.  铀
workable,adj. 切实可行的；可经营的；能工作的
hardware,n. 计算机硬件；五金器具
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
clearance,n. 清除；空隙
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
technology,n. 技术；工艺；术语
incredulously,adv. 不相信地，怀疑地
declassify,vt. 从机密表删除；撤销文件等的机密级
fission,n. 裂变；分裂；分体；分裂生殖法
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
bureaucrat,n. 官僚；官僚主义者
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
visibly,adv. 明显地；显然；看得见地
indicate,vt. 表明；指出；预示；象征
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
grapefruit,n. 西柚；葡萄柚；葡萄柚树
initiator,n. 发起人，创始者；教导者； 启动程序；引爆器
reflector,n.  反射物， 反射镜
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
beryllium,n.  铍（符号Be）
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
symmetrically,adv. 对称地；平衡地；匀称地
detonate,"vt. 使爆炸
vi. 引爆，爆炸"
implode,"vt. 使内爆
vi. 向内破裂；内爆；崩溃"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
subtlety,n. 微妙；敏锐；精明
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心"
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
classified,"n. 分类广告
v. 把…分类（classify的过去分词）
adj. 分类的；类别的；机密的"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
inexpensive,adj. 便宜的
construct,"n. 构想，概念
vt. 建造，构造；创立"
unnoticed,adj. 被忽视的；不引人注意的；未被注意的
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
jigsaw puzzle,"na. (玩具)益智分合板
 拼图游戏；拼板玩具；七巧板"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
deadlock,"n. 僵局，停顿
vt. 停顿；相持不下
vi. 死锁；停顿"
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
error,n. 误差；错误；过失
calculation,n. 计算；估计；计算的结果；深思熟虑
mathematically,adv. 算术地，数学上地
equation,n. 方程式，等式；相等； 反应式
pay phone,"na. 公用自动收费电话亭
 公用电话；投币式公用电话；公共电话"
division,n.  除法；部门；分配；分割；师（军队）；赛区
density,n. 密度
spherically,adv. 球状地，球地
vigorously,adv. 精神旺盛地，活泼地
get under way,"na. 开始；开船；出发；出动
 开动；开始进行；上路"
be under way, 在进行中；正在进行；正在开展
assist sb. in sth.,
assist sb. with sth.,
come into use,"na. (某物)开始被使用
 开始使用；投入使用；开始投入使用"
go out of use,"na. “get out of use”的变体
 开始不用；停止使用；废弃"
have access to,"na. 得接近；得会见；得进入
 使用；有权使用；可以接近"
come to mind, 想到；出现在脑海中；想起
spring to mind,"v. 突然想起
 突然想到；浮现在脑海；脑中突然浮现"
search for,"na. 寻找；寻求；探求
 搜寻；搜索；搜查"
stand a chance,"na. (很)有成功可能
 有希望；有机会；拥有机会"
stand a chance of doing sth.,
stand a chance of doing sth.,
come up with sth.,
set off sth.,
be centered on,
be centered upon,
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
comparison,n. 比较；对照；比喻；比较关系
wail,"n. 哀号；悲叹；恸哭声
vt. 为某人死亡而悲痛；哀悼某人；哀号着说
vi. 哀号；悲叹"
hopelessly,adv. 绝望地；无望地；无可救药地
bog,"n. 沼泽；泥塘
vt. 使陷于泥沼；使动弹不得
vi. 陷于泥沼；动弹不得"
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
sinister,adj. 阴险的；凶兆的；灾难性的；左边的
prep,"n. 预备；预习；准备功课
abbr. 准备（preparation）；预备的（preparatory）；前置词（preposition）
vt. 使准备好；使（病人）准备接受手术
vi. 上预备学校；作好准备"
boomerang,n. 飞去来器；自食其果的行为；回飞棒
scholarship,n. 奖学金；学识，学问
mercifully,adv. 仁慈地
elderly,adj. 上了年纪的；过了中年的；稍老的
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
tan,"vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的
n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色"
tack,"n. 大头钉；粗缝；行动方针；食物
vt. 附加；以大头针钉住
vi. 抢风航行；作文字形移动"
Easter,n. 复活节
easily,adv. 容易地；无疑地
muster,"vt. 召集；对…进行点名；使振作
n. 集合；检阅；点名册；集合人员
vi. 召集；聚集"
ache,"n. 疼痛
vi. 疼痛；渴望"
woe,"n. 悲哀，悲痛；灾难
int. 唉（表示痛苦，悲伤或悔恨）"
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
nervousness,n. 神经质； 神经过敏；紧张不安
eyesight,n. 视力；目力
recognizable,adj. 可辨认的；可认识的；可承认的
bulge,"n. 胀；膨胀；凸出部分
vt. 使膨胀；使凸起
vi. 膨胀；凸出"
reel,"n. 蹒跚；眩晕；旋转
vt. 卷；使旋转
vi. 卷；眩晕；蹒跚地走；退缩"
damned,"adj. 该死的；可恶的；糟透的
v. 咒骂；诅咒…下地狱（damn的过去式）
adv. 极；非常"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
mumps,n.  流行性腮腺炎；愠怒；生气
open-minded,adj. 虚心的；思想开明的；无偏见的
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
savagely,adv. 野蛮地；残忍地
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
momentary,adj. 瞬间的；短暂的；随时会发生的
wizard,"n. 男巫；术士；奇才；向导程序
adj. 男巫的；巫术的"
destination,n. 目的地，终点
knighthood,n. 骑士；骑士身份
column,n. 纵队，列；专栏；圆柱，柱形物
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
unsuccessful,adj. 不成功的；失败的
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
glitteringly,adv. 闪闪发亮地
snub,"n. 冷落；斥责；突然的停止
vt. 冷落；严厉斥责；掐灭
adj. 制动用的；短扁上翘的"
snub,"n. 冷落；斥责；突然的停止
vt. 冷落；严厉斥责；掐灭
adj. 制动用的；短扁上翘的"
diffidently,adv. 缺乏自信地；踌躇地；羞怯地
identity,n. 身份；同一性，一致；特性；恒等式
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
flatteringly,"adv. 奉承地, 讨好地"
horribly,adv. 可怕地；非常地
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
shyness,n. 羞怯
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
tremendously,adv. 非常地；可怕地；惊人地
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
bugbear,n. 怪物；棘手的难题；恐惧或烦恼的原因
versatile,adj. 多才多艺的；通用的，万能的；多面手的
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
prod,"n. 刺针；刺棒；签子
vi. 刺；捅
vt. 刺，戳；刺激"
refer to,"v. 查阅；提到
 参考；涉及；谈到"
take to,"na. 嗜好；开始；参加；逃入
 喜欢；从事；喜爱"
be conscious of,"na. 意识到
 察觉；知道；觉察"
be bound to do, 注定；一定会做某事；必然
in addition to,"na. 加之
 除…之外；除了；除…外"
go off,"na. 进行得 (well； badly)；(话等)冒出
 爆炸；离开；离去"
in honor of,"na. 向…表示敬意
 为纪念；为庆祝；为祝贺"
excel at,"un. 善于；精通
 擅长于；突出；在某方面很擅长"
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
on occasion,"na. 有时；遇必要时
 间或；偶尔；不时"
wear off,"na. (精力)衰退；(衣服等)渐破
 逐渐消失；磨损；渐渐减少"
drink to,"na. 举杯祝贺；为…干杯
 为…祝福；为…祝酒；为什么干杯"
suburb,n. 郊区；边缘
region,n. 地区；范围；部位
elsewhere,adv. 在别处；到别处
retirement,n. 退休，退役
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
expectation,n. 期待；预期；指望
constitute,vt. 组成，构成；建立；任命
commitment,n. 承诺，保证；委托；承担义务；献身
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
childhood,n. 童年时期；幼年时代
confidant,n. 知己；密友
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
situational,adj. 环境形成的；情形的
temporarily,adv. 临时地，临时
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
basically,adv. 主要地，基本上
pal,"n. 朋友，伙伴；同志
vi. 结为朋友"
temperament,n. 气质，性情，性格；急躁
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
chess,n. 国际象棋，西洋棋
niche,"n. 壁龛；合适的职业；有利可图的市场(或形势等)
vt. 放入壁龛"
enjoin,vt. 命令；吩咐；嘱咐；禁止
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
Germany,n. 德国
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
sentimental,adj. 伤感的；多愁善感的；感情用事的；寓有情感的
attachment,n. 附件；依恋；连接物；扣押财产
polish,
appropriately,adv. 适当地；合适地；相称地
tentatively,adv. 暂时地；试验性地
intensity,n. 强度；强烈； 亮度；紧张
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
tiresome,adj. 烦人的，无聊的；令人讨厌的
exacting,"adj. 严格的；苛求的；吃力的
v. 逼取；急需（exact的ing形式）"
anticipation,n. 希望；预感；先发制人；预支
orchestra,n. 管弦乐队；乐队演奏处
viewpoint,n. 观点，看法；视角
misjudgment,n. 估计错误；判断错误（等于misjudgement）
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
inevitably,adv. 不可避免地；必然地
equality,n. 平等；相等； 等式
come into being,"na. 发生
 形成；产生；开始存在"
apply to,"v. 应用于
 适用；适用于；应用到"
take sth. into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
take sb. into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
open to,"un. 朝…开
 开放的；对……开放；向……开放"
be open to,"na. 易受；易接受；对…开着门
 对……开放；易于接受；向---开放"
in contrast with,"na. 和…成对比；和…大不相同
 与……相比；和…成对照；与……形成对比"
not so much to do ... as to do ...,
fall into step,"调整步伐使之与…一致, 开始接受"
be out of step, 步伐不一致；不合节奏
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
take up sth.,
leave off,"na. 戒除；不再穿；休假许可
 停止；中断；停下来"
leave off doing sth.,
separate sth. from sth.,
feel at home,"na. 舒松；“be/feel/look at home”的变体
 感觉自在；宾至如归；感到宾至如归"
feel at home with sth.,
feel at home with sb.,
journalism,n. 新闻业，新闻工作；报章杂志
levelheaded,adj. 稳健的，头脑冷静的；明智的
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
gumption,n. 进取心；气概；精力
despise,vt. 轻视，鄙视
repose,"n. 休息；睡眠；静止
vt. 使休息；寄托于
vi. 休息；座落；长眠；依靠；静卧；建立于"
powerless,adj. 无力的； 无能力的，无权的
shortweighted,
triumphantly,adv. 成功地；耀武扬威地
forgiveness,n. 宽恕；宽仁之心
sadden,"vt. 使悲伤，使难过；使黯淡
vi. 悲哀；悲痛"
fate,"n. 命运
vt. 注定"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
self-pity,n. 自怜；自哀
the Lord,
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
jokingly,adv. 开玩笑地；打趣地
pauper,"n. 乞丐；穷人；靠救济度日者
adj. 贫民的"
grandfatherly,adj. 慈祥的；老祖父的
surprising,"v. 使惊奇；意外发现（surprise的ing形式）
adj. 令人惊讶的；意外的"
interrogation,n. 讯问；审问； 疑问句
presidency,n. 总统（或董事长、会长、大学校长等）的职位（任期）；管辖；支配
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
garbage,n. 垃圾；废物
distressing,"n. 破坏处理
adj. 使痛苦的；悲伤的；使烦恼的
v. 使痛苦；迫使（distress的ing形式）；使困苦"
budding,"n. 发芽
adj. 萌芽的；发育期的"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
parlor,"n. 客厅；会客室；业务室
adj. 客厅的"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
determination,n. 决心；果断；测定
grit,"n. 粗砂，砂砾砂砾，粗砂石；勇气；决心
vt. 研磨；在…上铺砂砾，覆以砂砾；咬紧牙关
vi. 摩擦作声"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
crucial,adj. 重要的；决定性的；定局的；决断的
doubtless,"adj. 无疑的；确定的
adv. 无疑地；确定地；大概，多半"
pillar,"n. 柱子，柱形物；栋梁；墩
vt. 用柱支持"
bestow,vt. 使用；授予；放置；留宿
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
trustworthy,adj. 可靠的；可信赖的
caller,"n. 访客； 呼叫者；打电话者；召集员
adj. 新鲜的"
spunk,"n. 勇气；精神；引火柴；（苏格兰）怒意
vt. 鼓起勇气
vi. （苏格兰）发怒"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
freshly,adv. 新近；精神饱满地
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
fiction,n. 小说；虚构，编造；谎言
reverence,"n. 崇敬；尊严；敬礼
vt. 敬畏；尊敬"
drape,"n. 窗帘；褶裥
vt. 用布帘覆盖；使呈褶裥状
vi. 成褶皱状垂下"
pouch,"n. 小袋；育儿袋；烟草袋
vi. 成袋状
vt. 使成袋状；把…装入袋中"
accessible,adj. 易接近的；可进入的；可理解的
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
citizenry,n. 市民；公民
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
throw in,"na. 投入；发边界球；注入；插入
 掷界外球；扔进；额外奉送"
be content with,"na. 以…为满足
 对…满意；满足于；对……满足"
size up,"na. 够标准；估量；品评
 打量；估计；判断"
approve of,"na. 赞成
 赞同；同意；赞赏，同意"
long for,"v. 渴望
 盼望；思慕；思念"
be blessed with, 幸运地享有；有幸得到；享有的
be fit for,"na. 适于
 适合；适合于；胜任"
embark on,"un. 着手
 从事；开始；开始着手做某事"
commuter,n. 通勤者，经常乘公共车辆往返者； 月季票乘客
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
the Depression,
bottler,n. 装瓶机；装瓶工
pearl-gray,adj. （美/英）珠灰色的（或淡黄灰色）
spat,"n. 口角；蚝卵；蚝仔；掌击
v. 吐口水（spit的过去式）
vi. 争吵；一巴掌打去"
detachable,adj. 可分开的；可拆开的；可分遣的
threadbare,adj. 磨破的；衣衫褴褛的；乏味的；俗套的
filling station,"na. (汽车)加油站；小城市
 汽车加油站；加油站图片；填饱站"
intersection,n. 交叉；十字路口；交集；交叉点
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
bakery,n. 面包店
diner,n. 用餐者；路边小饭店；餐车式简便餐厅
railroad,"n. 铁路；铁路公司
vt. 由铁道运输；铺设铁路；以捏造不实之罪使入狱
vi. 在铁路工作；乘火车旅行；筑铁路"
lettering,"n. 刻字；印字；书写的文字
v. 用字母写；用印刷体写（letter的ing形式）"
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
suppertime,n. 晚饭时间
intervene,vi. 干涉；调停；插入
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
