animal,"n. 动物
动物的"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
bye,"n. 轮空；次要的东西
int. 再见
adj. 次要的"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
go to bed,"na. 睡；同床；付印
 上床睡觉；去睡觉；就寝"
go to sleep,"na. 入睡
 睡着；去睡觉；睡着了"
goodbye,"int. 再见
放弃
告别"
hello,"n. 表示问候， 惊奇或唤起注意时的用语
int. 喂；哈罗"
hi,int. 嗨！（表示问候或用以唤起注意）
hooray,"n. 万岁
vt. 呼万岁
int. 万岁
vi. 呼万岁"
I don't know, 我不知道；不懂；我也不知道
no,"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号"
oh dear, 哎呀；天呐；天啊
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
OK,"adj. 好的；不错的
adv. 行；很好
int. 好；可以
vt. 对…表示同意
n. 同意"
pardon,"n. 原谅；赦免；宽恕
vt. 原谅；赦免；宽恕"
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
thank you,"int. （表示感激）谢谢你；（接受好意）好；（婉言谢绝）不用了
n. 感谢；谢意；酬谢；谢辞
 谢谢大家；感谢你；谢谢您"
thanks,"n. 谢谢（只用复数）
int. 谢谢"
then,"conj. 然后，当时
n. 那时
adv. 然后；那么；于是；当时；此外"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
well done,"adj. 熟透的；煮透了的；烧烂了的
 做得好；全熟；干得好"
wow,"n. 极大的成功；一鸣惊人之举；魔兽世界(World of Warcraft)；失真
int. （表示极大的惊奇或钦佩）哇，呀"
yes,"n. 是（表示肯定）
adv. 是, 是的"
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
closed,"v. 关；结束；接近（close的过去分词）
adj. 关着的；不公开的"
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
dirty,"adj. 下流的，卑鄙的；肮脏的；恶劣的；暗淡的
vt. 弄脏
vi. 变脏"
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
English,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
good,"n. 好处；善行；慷慨的行为
adj. 好的；优良的；愉快的；虔诚的
adv. 好"
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
happy,adj. 幸福的；高兴的；巧妙的
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
nice,adj. 精密的；美好的；细微的；和蔼的
old,"adj. 陈旧的，古老的；年老的
n. 古时"
our,pron. 我们的
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
sad,adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
scary,adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
ugly,adj. 丑陋的；邪恶的；令人厌恶的
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
a,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. 安（ampere）"
an,art. 一（在元音音素前）
a lot of,"det. 许多
 大量；很多；大量的"
lots of,"adj. 许多；很多
 大量；大量的；许多的"
many,"pron. 许多；许多人
adj. 许多的"
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
no,"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号"
one,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个"
some,"adj. 一些；某个；大约；相当多的
pron. 一些；若干；其中的一部分；（数量不确切时用）有些人
adv. 非常；相当；<美>稍微"
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
these,"adj. 这些的
pron. 这些"
this,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么"
those,"adj. 那些的
pron. 那些（that的复数）"
again,"adv. 又，此外；再一次；再说；增加
n. （英、保）阿盖恩"
not,"adv. 表示否定，不
n. “非”（计算机中逻辑运算的一种）"
now,"adv. 现在；如今；立刻
adj. 现在的
n. 现在；目前
conj. 由于；既然"
then,"conj. 然后，当时
n. 那时
adv. 然后；那么；于是；当时；此外"
too,adv. 太；也；很；还；非常；过度
very,"adv. 非常，很；完全
adj. 恰好是，正是；甚至；十足的；特有的"
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
at,"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素）
abbr. 密封的（airtight）；气温（air temperature）"
for,"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为"
from,prep. 来自，从；由于；今后
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
of,prep. 关于；属于；…的；由…组成的
to,"prep. 到；向；（表示时间、方向）朝…方向
adv. 向前；（门等）关上"
with,prep. 用；随着；支持；和…在一起
and,conj. 和，与；就；而且；但是；然后
but,"conj. 但是；而是；然而
adv. 仅仅，只
prep. 除…以外"
or,conj. 或，或者；还是
he,"n. 男孩，男人；它（雄性动物）
pron. 他"
her,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）
hers,pron. 她的（所有格）
him,pron. 他（宾格）
his,pron. 他的
I,"n. 碘元素；英语字母I
pron. 我"
it,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian"
its,pron. 它的
me,"pron. 我（宾格）
n. 自我；极端自私的人；自我的一部分"
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
one,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个"
our,pron. 我们的
ours,pron. 我们的
she,"n. 女人；雌性动物
pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）"
their,pron. 他们的，她们的；它们的
theirs,pron. 他们的；她们的；它们的
them,pron. 他们；它们；她们
they,pron. 他们；它们；她们
us,pron. 我们
we,pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
you,pron. 你；你们
yours,"pron. 你（们）的东西；你的责任；你的家属；来信，尊函
adj. 你（们）的（东西）；信末署名前用语"
be,vt. 是； 有，存在； 做，成为； 发生
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
catch a ball, 接球；接住球
choose,"vt. 选择，决定
vi. 选择，挑选"
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
do,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
have,"aux. 已经
vt. 有；让；拿；从事；允许"
have,"aux. 已经
vt. 有；让；拿；从事；允许"
have got, 有；拥有；的第三人称单数形式
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
put,"n. 掷；笨蛋；投击；怪人
adj. 固定不动的
vi. 出发；击；航行；发芽
vt. 放；表达；移动；安置；赋予"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
sing,"n. 演唱；鸣声；呼啸声
vt. 唱；用诗赞颂；唱着使
vi. 唱歌；歌颂；鸣叫；呼号"
sit,"vi. 坐；位于
vt. 使就座"
sit down,"na. 坐下；住定；占有；(坐下来)开始工作(谈判等)
 扎营；雪堂请侬坐；坐吧"
sleep,"n. 睡眠
vi. 睡，睡觉"
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
stand up,"na. 站起来；持久；露头角；背约
 起立；我挺你；站得住脚"
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
take a photo,"v. 拍照
 照相；拍照片；拍一张照片"
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
colour,"n. 颜色；风格；气色，面色；外貌
vt. 把…涂颜色，粉饰；歪曲；使脸红
vi. 变色"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
listen,"vi. 听，倾听；听从，听信
n. 听，倾听"
listen to,"v. 听
 倾听；收听；听从"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
look at,"na. 看；考虑
 看着；注视；瞧"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
play with,"na. 玩弄(火等)；以…自娱
 玩耍；和……一起玩；和…玩"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
smile,"n. 微笑；笑容；喜色
vt. 微笑着表示
vi. 微笑"
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
stop,"n. 停止；车站；障碍；逗留
vi. 停止；中止；逗留；被塞住
vt. 停止；堵塞；断绝"
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过"
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
cannot,v. 不能；无法
can't,abbr. 不能（can not）
how,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何"
how many,"na. 多少
 多少个；有多少；多少数量"
how old,"conj. 多少岁
 多大；几岁；多大年纪"
what,"pron. 什么；多么；多少
adv. 到什么程度，在哪一方面
adj. 什么；多么；何等
int. 什么；多么"
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
which,"adj. 哪一个；哪一些
pron. 哪/那一个；哪/那一些"
who,pron. 谁；什么人
whose,pron. 谁的（疑问代词）
Alex,n. 亚历克斯（男子名）
Alice,
Ann,
Anna,
Ben,
Bill,
Eva,
Jill,n. 少女；情人
Kim,
Lucy,
Mark,
Matt,
May,
Nick,
Pat,
Sam,
Sue,
Tom,
