abnormal,adj. 反常的，不规则的；变态的
stagnation,n. 停滞；滞止
lucrative,adj. 有利可图的，赚钱的；合算的
recession,n. 衰退；不景气；后退；凹处
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
sluggish,"n. 市况呆滞；市势疲弱
adj. 萧条的；迟钝的；行动迟缓的；懒惰的"
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
dividend,n. 红利；股息； 被除数；奖金
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
memorandum,n. 备忘录；便笺
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
transaction,n. 交易；事务；办理；会报，学报
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
telegraph,"n.  电报机，电报
vt. 电汇；流露出；打电报给…
vi. 打电报"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
optical,adj. 光学的；眼睛的，视觉的
refine,vt. 精炼，提纯；改善；使…文雅
portage,"n. 搬运；运输
vt. 转到陆上运输；经陆上运输绕过
vi. 转到陆上运输"
lubricate,"vi. 润滑；涂油；起润滑剂作用
vt. 使…润滑；给…加润滑油"
database,n. 数据库，资料库
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
fabricate,vt. 制造；伪造；装配
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍"
ventilate,vt. 使通风；给…装通风设备；宣布
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
aviation,n. 航空；飞行术；飞机制造业
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
academy,n. 学院；研究院；学会；专科院校
doctorate,n. 博士学位；博士头衔
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
leaflet,n. 小叶；传单
esthetic,"n. 美学；审美家；唯美主义者
adj. 审美的（等于aesthetic）；感觉的"
philosophy,n. 哲学；哲理；人生观
specimen,n. 样品，样本；标本
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
cite,vt. 引用；传讯；想起；表彰
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
linguistic,adj. 语言的；语言学的
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
botany,n. 植物学；地区植物总称
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
statistic,"n. 统计数值
adj. 统计的，统计学的"
artifact,n. 人工制品；手工艺品
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
terminology,n. 术语，术语学；用辞
psychology,n. 心理学；心理状态
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
arithmetic,n. 算术，算法
forum,n. 论坛，讨论会；法庭；公开讨论的广场
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
heritage,n. 遗产；传统；继承物；继承权
satire,n. 讽刺；讽刺文学，讽刺作品
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
cognitive,adj. 认知的，认识的
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
pest,n. 害虫；有害之物；讨厌的人
longitude,n.  经度；经线
torrent,n. 奔流；倾注；迸发；连续不断
flora,n. 植物区系；植物群
contaminate,vt. 污染，弄脏
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
inlet,"n. 入口，进口；插入物；水湾
v. 引进; 嵌入; 插入;"
fauna,n. 动物群； 动物区系
peninsula,n. 半岛
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
latitude,n. 纬度；界限；活动范围
equator,n. 赤道
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
tropic,"n. 热带；回归线
adj. 热带的"
stagnant,adj. 停滞的；不景气的；污浊的；迟钝的
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
tornado,n.  龙卷风；旋风；暴风；大雷雨
species,"n.  物种；种类
adj. 物种上的"
smog,n. 烟雾
humid,adj. 潮湿的；湿润的；多湿气的
highland,"n. 高地；丘陵地带
adj. 高原的；高地的"
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
hemisphere,n. 半球
cyclone,n. 旋风； 气旋；飓风
cape,n.  海角，岬；披肩
edible,"n. 食品；食物
adj. 可食用的"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
episode,n. 插曲；一段情节；插话；有趣的事件
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
renovate,vt. 更新；修复；革新；刷新
durable,"n. 耐用品
adj. 耐用的，持久的"
furnish,vt. 提供；供应；装备
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
ornate,adj. 华丽的；装饰的；（文体）绚丽的
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
appetite,n. 食欲；嗜好
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
route,"n. 路线；航线；通道
vt. 按某路线发送"
fragrant,adj. 芳香的；愉快的
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
recreation,n. 娱乐；消遣；休养
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
gymnasium,n. 体育馆；健身房
ambulance,n.  救护车；战时流动医院
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
nutrition,n. 营养，营养学；营养品
hygiene,n. 卫生；卫生学；保健法
chronic,adj. 慢性的；长期的；习惯性的
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
latent,adj. 潜在的；潜伏的；隐藏的
artery,n. 动脉；干道；主流
clinical,adj. 临床的；诊所的
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
nourish,vt. 滋养；怀有；使健壮
obese,adj. 肥胖的，过胖的
diabetes,n. 糖尿病；多尿症
therapy,n. 治疗，疗法
disinfect,vt. 将…消毒
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
symptom,n.  症状；征兆
aural,adj. 听觉的；耳的；气味的；先兆的
parasite,n. 寄生虫；食客
bacterium,n.  细菌；杆菌属
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
uproar,n. 骚动；喧嚣
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
turmoil,n. 混乱，骚动
aftermath,n. 后果；余波
casualty,n. 意外事故；伤亡人员；急诊室
warfare,n. 战争；冲突
siege,"n. 围攻；包围；围城；不断袭击；长期努力
vt. 围攻；包围"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
colonel,n. 陆军上校
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
hostage,n. 人质；抵押品
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
namely,adv. 也就是；即是；换句话说
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
flatter,vt. 奉承；谄媚；使高兴
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
lapse,n. (一时的) 走神，判断错误
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
fabric,n. 织物；布；组织；构造；建筑物
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
gorgeous,adj. 华丽的，灿烂的；极好的
thereafter,adv. 其后；从那时以后
delusion,n. 迷惑，欺骗；错觉；幻想
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
capacity,n. 能力；容量；资格，地位；生产力
ethos,n. 民族精神；气质；社会思潮
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
lenient,adj. 宽大的；仁慈的
genuine,adj. 真实的，真正的；诚恳的
constrain,vt. 驱使；强迫；束缚
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
sarcastic,adj. 挖苦的；尖刻的，辛辣的
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
rustle,"n. 沙沙声；急忙；飒飒声
vt. 使…沙沙作响
vi. 发出沙沙声"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
modify,"vt. 修改，修饰；更改
vi. 修改"
far-reaching,adj. 深远的；广泛的；伸至远处的
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
pervasive,adj. 普遍的；到处渗透的；流行的
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
commence,v. 开始；着手；<英>获得学位
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
conceit,"n. 自负；狂妄；幻想
vt. 幻想"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
roundabout,"n. 迂回路线；环状交叉路口
adj. 迂回的，绕道的；圆滚滚的"
alleviate,vt. 减轻，缓和
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
tolerate,vt. 忍受；默许；宽恕
confirm,vt. 确认；确定；证实；批准；使巩固
plummet,"n.  铅锤，坠子
vi. 垂直落下；（价格、水平等）骤然下跌"
notify,vt. 通告，通知；公布
plentiful,adj. 丰富的；许多的；丰饶的；众多的
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
chunk,n. 大块；矮胖的人或物
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
intrinsic,adj. 本质的，固有的
beware,"vt. 注意，当心；提防
vi. 当心，小心"
henceforth,adv. 今后；自此以后
thorough,adj. 彻底的；十分的；周密的
pessimistic,adj. 悲观的，厌世的；悲观主义的
notion,n. 概念；见解；打算
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
nonetheless,adv. 尽管如此，但是
tow,"n. 拖；麻的粗纤维；拖曳所用之绳
vt. 拖；牵引；曳
vi. 被拖带；拖行"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
diligent,adj. 勤勉的；用功的，费尽心血的
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
cursory,adj. 粗略的；草率的；匆忙的
align,"vt. 使结盟；使成一行；匹配
vi. 排列；排成一行"
salient,"n. 凸角；突出部分
adj. 显著的；突出的；跳跃的"
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
tedious,adj. 沉闷的；冗长乏味的
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
forbid,vt. 禁止；不准；不允许；严禁
ridiculous,adj. 可笑的；荒谬的
district,n. 区域；地方；行政区
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
deserve,"vi. 应受，应得
vt. 应受，应得"
minimal,adj. 最低的；最小限度的
zigzag,"n. 之字形；Z字形
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
adj. 曲折的；锯齿形的；之字形的
adv. 曲折地；之字形地；Z字形地"
dignity,n. 尊严；高贵
gut,"n. 内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠
vt. 取出内脏；摧毁（建筑物等）的内部
adj. 简单的；本质的，根本的；本能的，直觉的"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
intend,"vi. 有打算
vt. 打算；想要；意指"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
magnitude,n. 大小；量级； 震级；重要；光度
analyze,vt. 对…进行分析，分解（等于analyse）
pinch,"n. 匮乏；少量；夹痛
vt. 捏；勒索；使苦恼；掐掉某物，修剪
vi. 夹痛；节省"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
assert,vt. 维护，坚持；断言；主张；声称
envision,vt. 想象；预想
motivate,vt. 刺激；使有动机；激发…的积极性
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
worthwhile,adj. 值得做的，值得花时间的
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
perpetual,adj. 永久的；不断的；四季开花的；无期限的
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
gravitate,vi. 受引力作用；被吸引
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
discrepancy,n. 不符；矛盾；相差
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
setback,n. 挫折；退步；逆流
outcome,n. 结果，结局；成果
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
arrogant,adj. 自大的，傲慢的
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
stockpile,"n. 库存；积蓄
vt. 贮存；储蓄
vi. 积累；储备物资"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
upheaval,n. 剧变；隆起；举起
detect,vt. 察觉；发现；探测
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
duration,"n. 持续，持续的时间，期间
音长，音延"
refute,vt. 反驳，驳斥；驳倒
allegiance,n. 效忠，忠诚；忠贞
thrift,n. 节俭；节约； 海石竹
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
patriotic,adj. 爱国的
brittle,adj. 易碎的，脆弱的；易生气的
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
affirm,"vt. 肯定；断言
vi. 确认；断言"
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
whereas,conj. 然而；鉴于；反之
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
eliminate,vt. 消除；排除
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
anyhow,adv. 总之；无论如何；不管怎样
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
nominate,vt. 推荐；提名；任命；指定
succession,n. 连续；继位；继承权； 演替
amiable,adj. 和蔼可亲的，亲切的
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
emphasis,n. 重点；强调；加强语气
distinct,adj. 明显的；独特的；清楚的；有区别的
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
lengthy,adj. 漫长的，冗长的；啰唆的
trivial,adj. 不重要的，琐碎的；琐细的
denote,vt. 表示，指示
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
stubborn,adj. 顽固的；顽强的；难处理的
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
epoch,n.  世；新纪元；新时代；时间上的一点
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
diverse,adj. 不同的；多种多样的；变化多的
avert,vt. 避免，防止；转移
