plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
lifestyle,"n. 生活方式
保健的"
habitable,adj. 可居住的；适于居住的
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
specifically,adv. 特别地；明确地
environment,n. 环境，外界
subway,"n. 地铁；地道
vi. 乘地铁"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
energy,n.  能量；精力；活力；精神
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
make the most of ...,
hand out,"na. 分；拿出来；施舍
 分发；散发；分给"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
president,n. 总统；董事长；校长；主席
employee,n. 雇员；从业员工
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
knowledge,n. 知识，学问；知道，认识；学科
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
classify,vt. 分类；分等
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
high rate,"un. 高速；大下降率下降
 高呼吸频率；高率；高速率"
write up,"na. 写在高处；书面表扬；一直写到最近事情；详细写
 详细描写；把…写成文；写文章赞扬"
course work, 课程论文，学年作业
illiteracy,n. 文盲；无知
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
computer science,"n. 计算机科学
 电脑科学；计算机科学专业研究生排名；计算机科学专业排名"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
proposal,n. 提议，建议；求婚
plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
describe,vt. 描述，形容；描绘
be faced with,"v. 面临
 面对；面临着；遇到"
in-house,"adj. 内部的
adv. 内部地"
in turn,"na. 挨次
 依次；轮流；反过来"
sorghum,n. 高粱； 蜀黍；甜得发腻的东西
history,n. 历史，历史学；历史记录；来历
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
clan,n. 宗族；部落；集团
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
generation,n. 一代；产生；一代人；生殖
pen name,"na. 笔名；囚犯的号码
 作者发表作品时用的别名；笔名的；绰号小名"
author,"n. 作者；作家；创始人
vt. 创作出版"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
novelist,n. 小说家
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
constancy,n. 坚定不移；恒久不变
short story,"n. 短篇小说
 短篇故事；短故事；小故事"
upheaval,n. 剧变；隆起；举起
greed,n. 贪婪，贪心
writer,n. 作家；作者
unconventional,adj. 非常规的；非传统的；不依惯例的
corruption,n. 贪污，腐败；堕落
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
point of view,"n. 观点；态度；意见；看法
 视角；视点；角度"
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
hallucinatory,adj. 引起幻觉的
invading,"侵入
入侵"
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
realism,n. 现实主义；实在论；现实主义的态度和行为
Japanese,"n. 日本人；日语
adj. 日本（人）的；日语的"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
the Nobel Prize in Literature,
folk tale,"n. 民间故事；民间传说
 民间童话故事；传统故事"
non-chronological, 非按时序
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
April,n. 四月
finally,adv. 最后；终于；决定性地
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
applicant,n. 申请人，申请者；请求者
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
ability,n. 能力，能耐；才能
cheerful,adj. 快乐的；愉快的；高兴的
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
enrich,vt. 使充实；使肥沃；使富足
personality,n. 个性；品格；名人
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
the Postgraduates' Association,
in addition,"na. 加之
 另外；此外；又"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
candidate,n. 候选人，候补者；应试者
be interested in,"v. 对…感兴趣
 对……感兴趣；对某方面感兴趣；对……有兴趣"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
skill,n. 技能，技巧；本领，技术
take part,"na. 参与；参加
 参加课后俱乐部；参加运动会等；有参加"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
listening comprehension, 听力理解；听力测验；英语听力
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
globalization,n. 全球化
February,n. 二月
to be held,
fluently,adv. 流利地；通畅地
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
extracurricular,adj. 课外的；业余的；婚外的
activity,n. 活动；行动；活跃
years of age, 岁；年龄；二十三岁
graduate student,"n. 研究生
 毕业生；硕士研究生；硕士生"
sign up,"na. 同“sign”
 注册；报名；签约"
librarian,n. 图书馆员；图书管理员
in addition,"na. 加之
 另外；此外；又"
would like to,"v. 将乐意
 想要；愿意；想做"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
provide sb. with sth.,
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
facility,n. 设施；设备；容易；灵巧
library,n. 图书馆，藏书室；文库
convenience,n. 便利；厕所；便利的事物
to begin with,"na. 首先；本来
 第一；一开始；起初"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
Internet,
detailed information,"un. 详细信息；细目信息
 详细资料；详情；详细情况"
in regard to,"na. “in regard of”的变体
 关于；至于；对于"
connected to the Internet,
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
retrieval,n. 检索；恢复；取回；拯救
last but not least,"na. 最后但不是最不重要的一点
 最后但并非最不重要的；最后但同样重要的；最后但并不是最不重要的"
opening hours,"n. （商店、银行等的）营业时间
 开放时间；办公时间；开馆时间"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
appealing,"v. 恳求（appeal的ing形式）；将…上诉
adj. 吸引人的；动人的；引起兴趣的；恳求似的"
trading volume,"un. 交易额
 交易量；成交量；交投量"
convenience,n. 便利；厕所；便利的事物
growth rate,"na. 增长率
 生长速率；生长率；生长速度"
prudent,adj. 谨慎的；精明的；节俭的
online shopping, 网上购物；网购；线上购物
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
meanwhile,"adv. 同时，其间
n. 其间，其时"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
obvious,adj. 明显的；显著的；平淡无奇的
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
competitive,adj. 竞争的；比赛的；求胜心切的
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
sales,"n. 销售（sale的复数）；销售额
adj. 销售的，售货的；有关销售的"
in the comfort of one's home,
be here to stay, 成为风尚；持续下去；为大家所通用的
bricks and mortar,n. （有厂房和店铺的） 公司、商店等，实体店; 房产; <非正>房屋，房产
clicks and mortar, 公司企业结合在线电子商务和传统零售渠道的营运策略。=clicks and brick (click表示鼠标点击，代表电子商务，brick砖或mortar灰，代表实体零售商店)
keep up with,"na. 不落后
 跟上；赶上；紧跟"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
all the time,"na. 始终；老是
 一直；总是；无时无刻"
as follows,"na. 如下；以下
 如下所述；如下所示；如次"
above,"prep. 超过；在……上面；在……之上
n. 上文
adj. 上文的
adv. 在上面；在上文"
go up,"na. 上升；上城市去；腾贵；烧起来
 上涨；增长；上去"
to begin with,"na. 首先；本来
 第一；一开始；起初"
private car,"un. 私人汽车；服务车
 私家车；私人轿车；企业自备车"
a good many,"na. 很多的
 许多；相当多；大量的"
speedy,adj. 快的；迅速的；敏捷的
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
economy,n. 经济；节约；理财
column chart,"un. 柱状图
 柱形图；圆柱图；柱条图表"
commuting time, 通勤时间；乘公交车上下班
income,n. 收入，收益；所得
a great many,"na. 很多的
 许多；大量；许许多多"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
a large number of,"adj. 极多；许多
 大量的；很多；表示大量的"
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
prestige,n. 威望，声望；声誉
afford,vt. 给予，提供；买得起
suburb,n. 郊区；边缘
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
in addition,"na. 加之
 另外；此外；又"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
in mounting numbers,
e-commerce,n. 电子商务
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
prosperity,n. 繁荣，成功
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
laws and regulations,"na. 法令
 法律法规；法律与规章；金科玉律"
accordingly,adv. 因此，于是；相应地；照著
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
at first,"na. 首先
 起先；最初；起初"
irreversible,adj. 不可逆的；不能取消的；不能翻转的
popularity,n. 普及，流行；名气；受大众欢迎
skeptical,adj. 怀疑的；怀疑论的，不可知论的
Internet access,
convinced,"v. 使确信（convince的过去分词）；说服
adj. 确信的；深信的"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
lay the foundations for ...,
be preferable to ...,
apparent,adj. 显然的；表面上的
scenery,n. 风景；景色；舞台布景
a good number of,"det. 许多
 很多的；许许多多"
table,"n. 桌子；表格；平地层
vt. 制表；搁置；嵌合
adj. 桌子的"
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
inbound tourist,
tourism,n. 旅游业；游览
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
revenue,n. 税收，国家的收入；收益
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
value added,"un. 增值的；附加价值
 附加值；增加值；提高附加价值"
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
GDP,abbr. 国内生产总值（Gross Domestic Product）；辉光放电聚合物（Glow Discharge Polymer）
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
international status,"un. 国际地位
 国际声望；国际局势"
service industry,"na. 服务性行业
 服务业；服务行业；服务产业"
cultural exchange,"na. 文化交流
 文化的交流；文化交流事工；中西文化交流"
strive,vi. 努力；奋斗；抗争
for instance,"na. 例如
 比如；举例说；举例来说"
eliminate,vt. 消除；排除
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
tourist resources, 旅游资源；旅游旅游；温泉
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
at a rate of ...,
markedly,adv. 明显地；显著地；引人注目地
social and medical care,
UN,abbr. 联合国（United Nations）；硝酸铀铣（Uranyl Nitrate）
aging population,老年人口
life expectancy,"n. 预期寿命；预计存在（或持续）的期限
 平均寿命；平均余命；期望寿命"
financial aid,"n. （高等院校的）助学金
 经济资助；财政资助；经济援助"
financial burden,"na. 财政上的负担
 经济负担；财政负担；减轻了…的负担"
involved,"v. 涉及；使参与；包含（involve的过去式和过去分词）
adj. 有关的；卷入的；复杂的"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
shoot up,"na. 上冒；喷出；欣欣向荣；猛长
 暴涨；腾贵；激增"
art groups,
become international,
there are good reasons to,
performing,"v. 表演（perform的ing形式）；履行
adj. 表演的；履行的"
the United States,"na. 美利坚合众国
 美国；联合国；是美利坚合众国的简称"
worldwide,"adj. 全世界的
adv. 在世界各地"
learn about,"v. 得知关于；学习关于
 了解；学习有关…知识；学得"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
economic,adj. 经济的，经济上的；经济学的
controversial,adj. 有争议的；有争论的
be on a steady rise,
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
globalization,n. 全球化
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
be attracted to, 被……所吸引；被吸引到；对……有吸引力的
irresistible,adj. 不可抵抗的；不能压制的；极为诱人的
at first sight,"na. 乍看；一见就；乍看起来
 乍一看；初看起来；真情难舍"
increasing,"v. 增加，加大（increase的ing形式）
adj. 越来越多的，渐增的"
perspective,"n. 观点；远景；透视图
adj. 透视的"
mysterious,adj. 神秘的；不可思议的；难解的
effectively,adv. 有效地，生效地；有力地；实际上
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
indicate,vt. 表明；指出；预示；象征
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
in the long run,"na. 归根到底；“in the long run/term”的变体
 从长远来看；最后；从长远观点看"
to some extent,"na. 在某种程度上
 在一定程度上；从某种程度上讲；从某种程度来讲"
mutual,adj. 共同的；相互的，彼此的
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
internationally,adv. 国际性地；在国际间
friendship,n. 友谊；友爱；友善
be confronted with,"na. 碰到(困难)
 面临；面对；面临着"
it is my view that,
absorb the essence, 吸收精华
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
national culture, 民族文化；国家文化；国族文化
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
priceless intellectual treasure,
resist the dark side,
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
diversified,"adj. 多样化的；各种的
v. 使…多样化（diversify的过去分词）"
nation,n. 国家；民族；国民
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
colorful,adj. 华美的；有趣的；富有色彩的
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
meanwhile,"adv. 同时，其间
n. 其间，其时"
vigorous,adj. 有力的；精力充沛的
it is apparent from the line graph that,
cultural exchange,"na. 文化交流
 文化的交流；文化交流事工；中西文化交流"
promote cultural development,
average number,"un. 平均数
 平均值；平均数目；平均每户"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
furthermore,adv. 此外；而且
Israel,n. 以色列（亚洲国家）；犹太人，以色列人
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
a wide range of,"un. 许多
 广泛的；范围广泛的；很大的范围"
Russia,n. 俄罗斯
instruction,n. 指令，命令；指示；教导；用法说明
the last but not the least,
in comparison, 相比之下；比较；比较起来
first and foremost,"na. 首先
 首要地；首要的是；第一位的和首要的"
least,"adj. 最小的；最少的（little的最高级）
adv. 最小；最少
n. 最小；最少"
South Korea,
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
tendency,n. 倾向，趋势；癖好
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
broaden our minds,
rather,"adv. 宁可，宁愿；相当
int. 当然啦（回答问题时用）"
contentment,n. 满足；满意
disturbing,"v. 干扰；打断（disturb的ing形式）
adj. 令人不安的；烦扰的"
cheerful,adj. 快乐的；愉快的；高兴的
advent,n. 到来；出现；基督降临；基督降临节
no less necessary,
happy,adj. 幸福的；高兴的；巧妙的
Internet,
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
no longer,"na. 不再
 已不；再也；再也不"
mental life,"n. 精神生活
 精神生命；心理生活；心智生活"
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
physical life,"n. 物质生活
 物理寿命；肉体生命；身体的生命"
sad,adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
derive,"vt. 源于；得自；获得
vi. 起源"
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
role,n. 角色；任务
be based upon the data,
read extensively,
intellectual abilities,
Master of Engineering,
M.E.,"abbr. (=most excellent)最杰出的
 主机；工程学硕士；工程硕士"
expansion,n. 膨胀；阐述；扩张物
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
admissions,n. 许可；承认；录取；入会费；入场券（admission的复数形式）
speedy,adj. 快的；迅速的；敏捷的
above-mentioned,adj. 上述的，上面提到的
forthcoming,"n. 来临
adj. 即将来临的"
booming,"adj. 兴旺的，繁荣的；大受欢迎的
v. 兴旺（boom的ing形式）；发出隆隆声"
practical,adj. 实际的；实用性的
manufacturing industry,"un. 制造业；加工工业；制造工业；国工工业
 第二产业；制造业发展；制程工业"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
augur,"n. 预言者；占兆官；占卜师
vt. 预言；是…的预兆
vi. 预言；占卜"
on the whole,"na. 整体上说
 总的来说；大体上；基本上"
oblige sb. to do sth.,
burgeoning,"adj. 增长迅速的；生机勃勃的
v. 成长（burgeon的ing形式）；迅速发展"
growth rate,"na. 增长率
 生长速率；生长率；生长速度"
expand one's knowledge,
cultural understanding, 文化理解；文化了解；文化领悟
study overseas,
be on a steady rise,
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
vital,adj. 至关重要的；生死攸关的；有活力的
future career,
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
customs,n. 海关；风俗（custom的复数）；习惯；关税
in the meanwhile,"na. 在这期间
 与此同时；在此期间；在此其间"
approximately,adv. 大约，近似地；近于
conventions,n.  惯例；会议； 约定（convention的复数）
be equipped with,"na. 安置着；身上穿着
 装备有；装有；配备"
major factor,"un. 主要因素
 重要因素；重大因素；因子"
valuable chance,
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
open-minded,adj. 虚心的；思想开明的；无偏见的
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
above-mentioned,adj. 上述的，上面提到的
willpower,n. 意志力；毅力
effectively,adv. 有效地，生效地；有力地；实际上
the majority of people,
adapt to,"na. 使(自己行动)配合(同伴)
 适应；适应，适合；使适应"
competitive,adj. 竞争的；比赛的；求胜心切的
to sum up, 总之；概括地说；总之，总而言之
excellent opportunity,
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
deepen,"vt. 使加深；使强烈；使低沉
vi. 变深；变低沉"
modern-day workplace,
studying abroad, 留学海外；出国留学；国外学习的利与弊
social interaction,"un. 社会交互作用；社会相互作用
 社会互动；社交互动；社会交往"
linguistic knowledge,
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
widespread,adj. 普遍的，广泛的；分布广的
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
extinction,n. 灭绝；消失；消灭；废止
regarding,prep. 关于，至于
endangered species,"na. 濒危物种
 濒临灭绝的物种；濒危种；濒危动物"
wildlife species,
previously,adv. 以前；预先；仓促地
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
correlation,n.  相关，关联；相互关系
connection,n. 连接；关系；人脉；连接件
take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
wild species,野生种
take action,"na. 动手；采取行动；采取(快速)措施；提起诉讼
 行动起来；采取措施；实施行动"
mankind,n. 人类；男性
humankind,n. 人类（总称）
habitat,n.  栖息地，产地
exert,vt. 运用，发挥；施以影响
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
mass extinction, 大灭绝；集群绝灭；大量灭绝
tremendous,adj. 极大的，巨大的；惊人的；极好的
wildlife,"n. 野生动植物
adj. 野生动植物的"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
die out,"na. 死绝
 灭绝；消失；逐渐消失"
be certain to do sth.,
traffic accident,"n. 交通事故；车祸
 交通意外；交通肇事；交通事故报警"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
classify,vt. 分类；分等
crossing roads,
main cause, 主因；主要原因；主菜
turn left,"un. 向左转
 转左；向左走；向左拐"
go up,"na. 上升；上城市去；腾贵；烧起来
 上涨；增长；上去"
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
go down,"na. 下去；(飞机)坠落；继续到  (风,浪等)平静下来；消退
 下降；下沉；下降，降低"
give a signal, 发信号；打灯号；打信号
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
observance,n. 惯例；遵守；仪式；庆祝
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
traffic laws and regulations,
drunk,"v. 喝酒（drink的过去分词）
adj. 喝醉了的"
prerequisite,"n. 先决条件
adj. 首要必备的"
in contrast to ...,
... be prerequisite to doing sth.,
pie chart,"n. 饼形图；饼分图
 饼图；饼状图；圆形图"
staff guidance,
occur,vi. 发生；出现；存在
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
target management,目标管理
communication channel,"un. 通讯渠道；通信波道；传播通路；对讲联络通道
 信道；通信信道；通讯通道"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
self-management, 自主管理权
performance appraisal,"un. 绩效评价；成绩评价
 绩效评估；绩效考核；绩效考评"
work climate,
team management,小组管理
criticism,n. 批评；考证；苛求
performance management,
distinctive,adj. 有特色的，与众不同的
ridicule,"n. 嘲笑；笑柄；愚弄
vt. 嘲笑；嘲弄；愚弄"
trait,n. 特性，特点；品质；少许
motivate,vt. 刺激；使有动机；激发…的积极性
consist of,"v. 由…合成
 由……组成；由…构成；包括"
explicit,adj. 明确的；清楚的；直率的；详述的
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
role cognition,
instruction,n. 指令，命令；指示；教导；用法说明
cultivate,vt. 培养；陶冶；耕作
team-building,团队建设
vague,adj. 模糊的；含糊的；不明确的；暧昧的
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
effective authorization,
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
two-way,adj. 双向的；相互的；两路的
avoidable,adj. 可避免的；可作为无效的；可回避的
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
leadership,n. 领导能力；领导阶层
misunderstanding,n. 误解；误会；不和
recognition,n. 识别；承认，认出；重视；赞誉；公认
comprise,vt. 包含；由…组成
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
feel free to do sth.,
diagram,"n. 图表；图解
vt. 用图解法表示"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
registered volunteer,
victim,n. 受害人；牺牲品；牺牲者
volunteering service,
earthquake,n. 地震；大动荡
symbol,n. 象征；符号；标志
tragic,adj. 悲剧的；悲痛的，不幸的
peace dove, 和平鸽；鸽子；鸽子牌
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
Central Committee of the Communist Youth League,
response,n. 响应；反应；回答
meet with success,"na. 成功
 取得成功；获得成功"
heartwarming,adj. 感人的；暖人心房的
at the peak of ...,
augur well for ...,
population,n. 人口； 种群， 群体；全体居民
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
by the end of ...,
ever-shortening,
explosion,n. 爆炸；爆发；激增
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
above all,"na. 最主要的；最重要的是
 首先；尤其是；特别是"
