by contrast,"un. 相比之下；作对比；与此相反
 对比之下；对比而言；相比而言"
drop by,"na. 随便访问一下
 顺便拜访；顺道拜访；非正式访问"
slip in,"un. 溜下；不声不响地走进去；出差错
 偷偷溜进来；错误总会悄悄地溜进去；悄悄溜入"
in the wake of,"na. 在…后接踵而来；在后追随
 仿效；紧跟；随着"
sign in,"v. 签到；登记；当你归还某项借出的物品时；在名单上签字以获得入场资格
 登录；登入；注册"
take down,"na. 扯下；卷起；记下；卸下
 拿下；取下；拆卸"
keep at,"na. 纠缠；坚持地做
 继续做；坚持做；使不停地做"
expect to,"v. 期待
 期望；预期；希望"
put aside,"na. “set aside”的变体
 储蓄；撇开；放在一边"
go into,"na. 进入；(门等)通着；加入；参与
 调查；从事；研究"
in the name of,"na. 凭…的名；为…的缘故；作…的代表
 以…的名义；以……名义；以…为借口"
insert ... into,
catch one's eye,"un. 胡说；引起…的注意
 引人注目；引起某人的注意；引起某人注意"
along with,"na. 与…一道；以外
 与……一起；伴随；和…一起"
be moved to,
fight off, 在战斗中击败（某人）; 竭力摆脱; 辟
shrug off,"na. (耸肩)表示轻蔑；摆脱；扭身脱掉(衣服)
 耸肩表示对…不屑理睬；对…不屑一顾；对……满不在乎"
make ... ready for,
take ... for granted,"v. 想当然
 认为…理所当然；视为当然；认为…是理所当然"
for fear of,"na. 因为怕；唯恐
 以免；害怕；以防"
turn ... away from,
urge ... to,
close to,"na. 接近于；在附近
 靠近；亲近；离…近"
throw up,"na. 呕吐；抛上；急造；丢弃
 吐出；抛起；举起"
by means of,"na. 以
 用；依靠；借助于"
be prepared to,"na. 准备着
 已经做好准备去做；准备做……事；准备好要"
be composed of,"na. 由…组成
 由…构成；由…组成的；强调由什么成分所构成"
inquire after,"na. 问候(病人等)
 问起的健康情况；问起某人的生活等情况；打听"
have to do with,"na. 和…有关系
 与…有关；和……有关系；与…有关系"
take action against, 拿起武器反对；采取行动防止；对…采取措施
give off,"na. 发散(水蒸气等)
 发出；放出；释放"
result in,"na. 终于(失败)
 导致；结果是；造成"
in turn,"na. 挨次
 依次；轮流；反过来"
vote for,"na. 赞成；建议
 投票赞成；选举；投票选举"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
 扔掉；摆脱掉；扔开"
clear off,"na. 理清(工作等)；清算；卖掉；撵走
 清除；消散；摆脱"
on behalf of,"na. 替；为…的利益
 代表；代表某人；以…名义"
set out,"n. 开始；出发；动身；准备
 陈列；着手；陈述"
of no account,"na. 不重要的
 无价值的；毫不重要；无足轻重"
step in,"na. 调停；介入；挤进；走进
 干预；干涉；插手"
come around,"na. 赶上；达到；袭击
 苏醒；顺便过来；拜访"
come round,"na. 苏醒；(生气的人)消除怒气；(病后)复原；(从某处)转来
 到来；再来；回心转意"
pull away,"un. 绷起脸；开走；抽回；挖走
 脱身；离开；拉离"
keep track of,"na. 追踪；记录；保持联系；密切注意…的动向
 与…保持联系；跟踪；保持对……的联系"
live with,"v. 和…住在一起；和…同居；和…妥协；容忍
 忍受；接受；与……住在一起"
long before,"na. 很久以前；老早以前
 在…以前很久；很早以前；早在…之前"
steer clear of,"na. 机灵地脱身
 避开；绕开；避开……航驶"
draw on,"na. 穿；依赖；靠；吸收
 利用；戴上；动用"
fill with,"v. 充满
 使充满；装满；用……填充"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
 占便宜；充分利用；对……加以利用"
pass ... on to, 传递给；传给；传与后代
keep in touch with,"v. 与…保持接触
 与……保持联系；和…保持联系；与…保持联络"
associate with,"v. 与…联系
 结交；联合；交往"
run into,"na. 冲进；(河)注入(海)；撞上；到达
 偶遇；跑进；陷入"
to the point,"na. 露骨；中肯
 切题；切中要害；扼要"
come along,"na. 进步；同意；一道来；请过来
 出现；进展；快点"
be vulnerable to, 易于患上；易受；对…无能为力
so to speak,"na. “so to say”的变体
 可以说；可以这么说；可谓"
in one's favor, 对…有利; 支持某人
go around,"na. 扑过去；兴冲冲开始干
 足够分配；重飞；复飞"
go round,"na. 绕着走；迂回着走；运行；(食物等)人人分到
 顺便去；绕道走；足够分配"
in no case,"na. 决不
 在任何情况下都不；绝不要；无论如何不"
stand up for,"na. 拥护
 支持；维护；坚持"
keep pace with,"na. 赶上；保持同步；随着…而增长
 跟…齐步前进；跟上；跟上…的最新发展"
on average, 平均；平均起来；通常
out of order,"na. 杂乱无章；不合规则；情况反常；有故障
 乱序执行；发生故障；坏了"
ahead of time,"na. 比原定提前地
 提早；事先；预先"
sign up for, 报名参加；学生会报名；注册，选课
a case in point,"na. 范例
 恰当的例子；一个恰当的例子；例证"
cheer up,"v. 鼓舞；振作一点
 振作起来；高兴起来；使高兴起来"
strike up,"na. 挡起(敌手,刀剑)；(在金属上)浮雕；开始唱；定(约等)
 开始弹奏；开始演奏；建立起"
roll in,"na. (预约者,捐款等)滚滚而来；(浪)滚滚打来；大量进来；到达
 蜂拥而来；转入；推击入洞"
by heart, 牢记；凭记忆；熟记
pull through,"na. 恢复健康；痊愈；渡过难关
 度过难关；渡过危机；度过危机"
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
 烧毁；烧光；烧为平地"
fare much better,
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
 交出；让与；交给"
drop out of,"v. 退出；退去
 失学；从……当中退出；不参与"
even though,"na. “even if”的变体
 即使；尽管；虽然"
bargain with, 与…讨价还价；交易
talk down to,"v. 降低声调说
 傲视；用高人一等的口气对人说话；用高人一等的态度讲话"
be regarded as, 被认为是；被当做是；视为
beyond all question,"na. 毫无疑问；一定
 无可争辩；毫无疑问的"
wear out,"na. 精疲力尽；用坏；穿破；磨破
 磨损；穿坏；穿旧"
run across,"na. “Come across”的变体
 偶然碰见；穿过；不期而遇"
under no circumstances,"na. 无论如何不
 决不；在任何情况下都不；无论在什么情况下都不要"
at the top of,"na. 在…最高地位；用最高的(速度,声音等)
 在……顶部；在……顶端；顶上"
be incapable of,"v. 无能力
 不会；不能；没有能力做"
lock in,"na. 关起来；锁在里面
 锁定；锁住；锁入"
tidy away,"un. 把(某物)收藏起来:
 收拾起来；收拾好；是东西用完整齐地放回原位"
fall apart,"na. 土崩瓦解
 崩溃；破碎；四分五裂"
take ... into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
to heart's content,
to one's heart's content,"na. 尽情
 心满意足；尽情地；尽兴"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
in need of,"adj. 需要
 急需；缺少；有…的需要"
put across,"na. 使承认；欺骗人；美满完成；堂堂开张
 解释；表达；使人接受"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
 削减；减少；消减"
go down,"na. 下去；(飞机)坠落；继续到  (风,浪等)平静下来；消退
 下降；下沉；下降，降低"
look upon,"na. 像很健康；看上去漂亮；(事情)顺利
 看待；看作；把…看作"
settle down,"na. 定居；成家；移居；平静下来
 安下心来；安定下来；安顿下来"
be likely to, 可能；很可能；很有可能
let in,"na. 放入；嵌入；陷入…；欺骗
 放…进来；让…进来；放进"
count in,"na. 算入
 把…计算在内；把……算入；算上"
sell out,"na. 卖完；脱销；背叛；欺骗
 售完；卖光；出卖"
turn a blind eye to,"na. 对…熟视无睹；假装不见
 对…视而不见；睁一只眼闭一只眼；对…装作不见"
in advance,"na. 预先；在先头
 事先；提前；事前"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
 赶上；追上；跟上"
catch up with,"v. 赶上
 追上；赶上某人；跟上"
by any chance,"na. 万一
 碰巧；也许；或许"
pump ... from,
settle in,"na. 定居；殖民；搬入(新住所)；使某人搬进(新住所)
 安顿下来；迁入；适应新环境"
settle into,"un. 安置安置；陷入
 适应；习惯于；开始在…居住"
put ... on the road,
leave behind,"na. 遗留；留下；追过；留在后头
 超过；落后；丢弃"
act up,"na. 捣蛋；耍脾气；胡闹；出毛病
 调皮；行动起来；行动倔强"
bring on,"na. “bring forward”的变体
 引起；导致；造成"
take note of,"na. 注意(到)
 注意到；留意；作记录"
evolve into,"un. 发展成
 演化；进化；展开"
go away,"na. 离开；带走
 走开；离去；消失"
save up,"na. 同“save”；贮(蓄)
 储蓄；节省；存钱"
beyond compare,"na. “beyond comparison”的变体
 无与伦比；文件比较；无与伦比的"
keep on,"na. 继续；穿着不脱
 继续不断；穿着...不脱；持续"
as opposed to,"adv. 相反于
 和…相反；而不是；与…相对"
phase out,"na. 使逐步结束；使逐步撤出；逐步淘汰；逐部停止(活动等)
 使逐步淘汰；逐渐停止；逐步取消"
in the act of,"na. 正在动作时；当场
 正在…动作时；正做……的过程中；正在做……时"
hold off,"na. 拖延；抵抗(进攻等)；使不接近
 推迟；迟疑；延缓"
drive on,"adj. (船等)可让汽车直接开上去的
 继续开车；继续行驶；开车去"
knock on, 敲击; <非正>（使）增加; 不停地工作; 取消
on the increase, 在增加；正在增加；正在增长
pay out,"na. 还(债)；放出(绳子)；痛加责罚；赚到钱
 付出；支付；支出"
step aside,"na. 走到一旁；避到一旁；让给别人；走错路
 让开；避开；让开一点"
lend sb. a hand,"na. 帮忙；参加；帮助
 伸出援手；助一臂之力；伸出一只手"
be known for,"un. 公认；闻名；以…著称
 因…而出名；因为…而出名；以……著称"
reach out,"na. 伸(手)；伸手(拿…)；(手)伸向前；(草木向…)生长
 伸出；伸出手；伸出双手"
off the coast,"na. 在海面上
 沿海；在海岸附近；临近海岸"
go along with,"na. 陪…一起去；赞同
 陪伴；同意；附合"
set one's heart on,"un. 使得…垂头丧气；热衷；下定决心
 渴望；一心想做某事，决心做某事；下决心做"
gain on,"na. 蚕食
 逼近；超过；赶上"
hold over,"na. 将…延迟；保存；期满后继续任职；期满后继续占有
 推迟；延期；拖延"
on the run,"na. 跑着
 我很忙；亡命鸳鸯；逃亡"
barge in,"na. 闯入；强行加入
 干涉；打断；语音打断"
head up,"na. 指挥；给…加盖子；同“head”
 抬头；主持；领导"
curl up, （使）卷; 缭绕升起; （使）厌恶; （使）身体上垮掉
be beneficial to,"v. 有益于
 对…有益；有利于；对…有利"
on the basis of,"na. 以…为基础
 根据；在…基础上；在…的基础上"
on one side,"na. 在一旁；斜着
 在一边；一方面；单面"
on one side of,
start out,"na. 跳出；开始；企图
 出发；动身；着手"
be split into,
date from,"v. 回溯到
 始于；追溯；追溯到"
set forth,"na. 公开；发行；公布；陈述
 阐明；提出；出发"
burn up,"na. 烧完；旺起来；使恼怒；发怒
 烧起来；烧尽；烧光"
budget for, 编预算；的预算；为…作预算
switch off,"na. 不收听(某一广播)
 关掉；切断；关闭"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
on the planet,
put away,"v. 把…收起来；储存
 放好；把……收起来；收好"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
 阻挡；耽搁；拿起"
in some form,
in case of,"na. 要是
 万一；假使；如果"
hand down,"na. 宣布(判决等)；传下来
 把…传下去；传给；传递"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
 插嘴；插嘴，打断；超车抢挡"
in terms of,"na. 依…；从…方面；用…特有的字眼
 根据；在...方面；按照"
at all times,"na. 不论什么时候；老是；时时
 总是；随时；一直"
push through,"na. 完成(事务)；冲过；(树叶等)长出
 促成；穿过；挤过"
calm down,"na. 平静下来
 镇定下来；冷静；冷静下来"
talk into,"na. 说服(某人)做…
 说服做；劝说某人做某事；说服某人做某事"
call off,"na. 命令停止；丢手；取消(婚约)；点(名)
 放弃；叫走，叫开；转移开"
go about,"na. 走来走去；着手(工作)；(谣言等)流传；掉转船头
 从事；着手做；忙于"
once and for all,"ph. 一劳永逸地
 最后一次；彻底地；只此一次"
run away with,"na. 拐走；带着…逃跑；贸然接受(别人意见等)；消耗(金钱时间等)
 战胜；偷走；不受约束"
time out,"n. (英国)《暂停》周刊
 超时；闲暇；逾时"
add on,"un. 加码
 附加；另外加上去；另加的"
in some sense,"na. 在某种意义上；在某种程度上
 从某种意义上说；从某种意义上来说；可以这么说吧"
mess with,"v. 惹恼
 打扰；胡乱摆弄；干扰"
turn off,"v. 关掉
 关上；关闭；解雇"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
 关机；停工；使关闭"
engage with,"un. 与…交战；与…接洽
 建立友好关系；交流；与……交战"
distinguish ... from,
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
 路过；走过；忽略"
cut out,"na. 割掉；除去；剪下；开辟
 停止；删除；切掉"
serve out,"na. 分给；分配(食粮等)；端出(饭菜等)；斟(酒等)
 做到期满；服满；分发口粮"
hack into, 侵入；非法侵入；私自存取或篡改
adjust ... to,
arm in arm,"na. 臂挽着臂
 臂挽臂；手挽手；手挽手地"
pack up,"na. 把…打成包；打包；捆好东西；解雇
 收拾；收拾行李；把…打包"
find out,"na. 查出；发现；看清…的面目；识破
 查明；找出；了解"
interact with,"v. 与…相互作用
 与……互动；与……组合；和……交往"
commit a crime,"na. 犯罪
 作案；犯下罪行；犯事"
be satisfied with,"v. 满足于
 对……感到满意；对……满意；对……表示满意或满足"
learn about,"v. 得知关于；学习关于
 了解；学习有关…知识；学得"
start up,"n. 创办中的公司；开机
v. 开办；发动(机器,引擎等)
adj. 新开张的
 启动；惊起；起动"
in harmony with,"un. 协调一致地；跟…调和；和衷共济；与…相合
 与…协调；与……协调一致；和谐"
have a go at,"v. 试一试
 尝试；训斥；没有通过"
once again,"na. 一再；再一次；“once again/more”的变体
 再度；再次；又一次"
be resolved to,决心…
call out,"na. 呼喊；大声叫唤；召集；号召罢工
 大声叫喊；唤起；出动"
lay out,"n. 布局；设计；规划；安排
 布置；摆开；花费"
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
go unanswered,
accuse sb. of sth.,
hold back,"na. 阻止；踌躇；隐瞒；抑制
 退缩；控制；退缩不前"
turn one's back on,"na. 不理睬；丢弃；逃出
 背弃；抛弃；拒绝"
back and forth,"na. 来回地
 反复地；往返；前后"
turn ... into,
pump out,"na. 抽空
 抽出；泵电源输出；泵出"
be made of,"na. …制的
 由……制成；用…制成；材料制成"
worn out,"adj. 破烂不堪的；废旧的；疲惫不堪；精疲力竭
 破旧不堪的；破旧的；磨损"
by the book,"na. “by book”的变体
 照章办事；按常规；按规则"
root out,"na. “root up”的变体
 根除；彻底根除；连根拔除"
shake off,"na. 抛弃(坏习惯)；摆脱(坏朋友)；推开；拆开
 抖落；撵走；试图摆脱"
write ... into ...,
dry out, （使）变干， （使）干涸; <非正>（使）戒（酒、毒等）; 晾干
combine to,"un. 化合成
 使联合起来"
in exchange for,"na. 换
 交换；用……交换；作为交换"
come about,"na. 发生；(风等)变向；抢风调向
 产生；迎风折驶；形成"
emerge from,"v. 从…里露出
 出现；暴露；曾经一度遭到"
in an effort to, 为了；为了完成；努力
plug in,"v. 插入；插插头；插上
 插件；连接；插上电源"
seal off,"na. =seal up.；熨开；脱焊
 封锁；封闭；把…封锁起来"
be obligated to, 有义务；有责任去
alert ... to,
stick at,"v. 对…有顾虑；继续做
 坚持；坚持干；坚持不懈"
seize on,"na. 猛扑；袭击；利用；采用(提议)
 抓住；抓住，抓紧；占有"
seize upon,"na. 猛扑；袭击；利用；采用(提议)
 抓住；牢牢抓住"
on the spot,"na. 当场；立刻；用现货；(人)准备妥当
 在现场；在场；马上"
on condition that,"na. 在…的条件下
 在…条件下；条件是；如果"
pull over,"na. (把衣裳)从头上套下来穿；推翻(桌子等)；把(车)靠拢路边
 靠边停车；开到路边；路边停车"
catch out,"na. 接住球使击球员退出；看破
 发现；发觉；看出"
make a fool of,"na. 愚弄
 欺骗；出了洋相；捉弄"
stick to,"na. 忠于
 坚持；粘住；遵守"
in part,"na. 一部份地；有几成；在某种程度上
 部分地；一部分；有些部分"
better off,"adj. 富有的；富裕的；境况良好
 情况更好；更富裕；经济状况好的"
think up,"na. 想出；发明
 想起；设计出；是想出，编造"
come to one's mind,"na. 想起
 忽然想起"
pour into, 不断地流进; 注入; 灌注; 倾注
in trouble,"na. 为难；被捕；未婚怀孕
 有麻烦；处于困境中；遇到麻烦"
desire to,"un. 希望
 想要；渴望去做；企求"
bring ... to ...,
hang on to,"na. 紧紧握住
 坚持下去；紧紧抓住；保留"
in wonder,"na. 在惊奇中
 惊奇地；惊讶地；惊奇地看着某物"
on loan,"na. 出借
 暂借的；借出；借调"
settle on,"na. 决定；选定；授与；赠与(财产,遗产等)
 看中；定居；停在"
settle upon,"na. 决定；选定；授与；赠与(财产,遗产等)"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
 扔掉；丢弃；丢掉"
in any case,"na. 无论如何；横竖
 不管怎样；总之；在任何情况下"
come in for,"na. 来取；接受；受到(处分等)
 领取；得到；遭到"
cut across,"na. 对直穿过；同“cut”
 抄近路；抄近路穿过；走捷径"
a sketch of,
get around,"na. 回避(事实)；往来；避开(法律等)；智胜(某人)
 走动；规避；四处走动"
follow up,"v. 把…探究到底；回答
 跟进；追踪；跟踪"
cheat on,"un. 不忠于
 对…不忠；欺骗；表现不忠"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
 打断；强行进入；插话"
peel off,"na. 离队；开始离队急降
 剥离；剥落；剥掉"
bargain for, 为购买（某物）讨价还价; 料到，考虑到（某情况）; 预料
in response to,"na. 应…而
 响应；回答；对…做出反应"
turn ... into,
heat up,"na. 加热；加剧；变得激烈
 变热；升温；给…加热"
at the thought of,"na. 一想到
 一想起；一想到…就；当……想到"
push back,"na. 推回
 后推；向后推；推迟"
make off,"na. 逃亡
 逃走；逃跑；急忙离开"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
in hand,"na. 现有；(工作)正在进行；控制住
 在掌握中；在进行中；在控制中"
at some point,"na. 在某些时候
 在某一时刻；某些位置上；某时"
point to,"v. 指向；针对
 指着；表明；指出"
bring back,"na. 送回；使恢复；使回忆起
 拿回来；带回；带回来"
move up,"na. 提上
 上移；向上移动；提升"
at the height of, 在……顶点；在的高峰；在…最鼎盛时期
coordinate with, 配合；相互配合；使协调
make up for,"v. 偿还；赔偿
 弥补；补偿；补偿，弥补"
come out,"na. 出来
 出现；出柜；现身"
in fashion,"na. 时新的
 流行；时兴；正流行"
due to,"un. 由于；预定；因为；亏
 应归于；由於；由…引起"
go with,"na. 同…一致；跟…谈恋爱；带有；领会
 伴随；与…相配；跟…相配"
under pressure to,
take chances, 冒险；冒一冒险；碰碰运气
do away with,"na. 废除；干掉
 去掉；除去；消灭"
have an impact on, 对…有影响；对…起作用，产生效果；对于…有影响
cause concern for,
by one's name,
a sea of,"det. 一片；大量
 茫茫一片；大量的；无限的"
play a role in,"v. 起作用于
 在……中起作用；在……扮演一个角色；在……中扮演角色"
in line with,"na. 和…成一直线；和…一致
 符合；按照；跟…一致"
go back to,"v. 追溯到
 回到；返回到；追溯至"
serve up,"na. 端出(饭菜等)；上(菜)；同“serve”
 端上；提供；提出"
on the value of,
sit around, 无所事事；坐着没事干；闲坐
walk away with, 随…走开; 偷走; 带走; <口>轻而易举地赢得（比赛、奖品等）
bear with,"v. 忍受；担待；逆来顺受
 宽容；驶向；耐心等待"
on purpose,"na. 故意；意欲
 故意地；有意；故意的"
across the board,"adj. 全面的；定时播送的
 全面一致；全盘的；全面地"
at the expense of,"na. 以…为代价；由…出钱；牺牲…
 以…为牺牲；在损害…情况下；在损害……的情况下"
come into being,"na. 发生
 形成；产生；开始存在"
share with,"un. 合伙；合住；承担；跟…看法一致
 分享；与…分享；共用"
count out,"na. 一面数一面取出；一面数一面分开；除开
 点数；算出；点…的数"
at one's own pace,"按自己的节奏
按自己的节奏（歌名，At One's Own Pace）"
add up,"na. 合计；符合预期的数目
 加起来；相加；把……加起来"
keep in mind,"na. 记在心里；记住；注意
 牢记；紧记；牢记在心"
in the same way,"adv. 同样
 同样地；以同样的方式；用同样的方法"
ride out,"na. (船等)安然冲过风暴；平安渡过困难
 安全渡过；安然度过；经受得住"
take account of,"na. 考虑
 考虑到；顾及；考虑到某事"
in view of,"na. 鉴于；为要；在…能看见的地方；估计到才
 考虑到；由于；为了"
show off,"na. 卖弄；自以为是；趾高气扬；炫耀
 出风头；摆谱儿；使显眼"
a slice of, 一片；一薄片；一块
bring to,"na. 使恢复知觉；使停船
 使复苏；使苏醒；加进"
wear off,"na. (精力)衰退；(衣服等)渐破
 逐渐消失；磨损；渐渐减少"
fit together,"v. 组合
 组装在一起；装配；结合"
win over,"na. 争取过来
 把…争取过来；战胜；战胜对方"
at heart,"na. 内心里
 本质上；在内心里；实质上"
go out of one's way,"na. 绕弯儿走；不怕麻烦；特地；故意
 特别费心；特地做；想尽办法"
keep up,"na. 支持；保持；继续；停歇
 维持；坚持；持续"
in short supply,"na. 供应不足
 短缺；供不应求；缺乏"
enter into,"na. 入；动手；参加；缔结(协约等)
 进入；开始；开始从事"
at hand,"na. 在手边；即将到来
 在附近；眼前；近在手边"
in business,"un. 没有必要；经商
 经营；在做买卖；在经商"
give out,"na. 发表；放出；分发
 发出；用完；用尽"
face up to,"na. 大胆面向；正面对付；同“face”
 勇敢地面对某事；大胆面对；勇敢地对付"
hold down,"na. 压制；牵制；阻止；压低(物价等)
 抑制；缩减；保有"
out of the question,"adv. 不可能
 不可能的；毫无可能的；绝不可能"
on the corner,"na. 失业
 在拐角处；在街角；在转角处"
far less than,
make way for,"v. 让路
 给……让路；让路给；让路于"
set fire to,"na. 点燃；放火
 使燃烧；放火烧；纵火"
push ... to the top of,
put ... at risk,
do one's utmost,"na. 尽所有力量
 竭力；尽最大努力；尽全力"
make up one's mind,"na. 决心 (to do)
 下决心；下定决心；决定"
have a hand in,"na. 干与
 参与；插手；参与做"
on one's way to,
elevate ... into,
in sickness,
bring out,"na. 公布；说出；出版；上演
 生产；阐明；说明"
off balance,"un. 偿清债务；趔趄
 失去平衡的；失去平衡；不平衡"
take effect,"na. 有效验；生效
 起作用；见效；奏效"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
 唤醒；起床；醒醒"
carry through,"na. 完成(计划等)；坚持到底
 贯彻；进行；进行到底"
wipe out,"na. 擦去；遮蔽；遮蔽地域；封闭
 消灭；彻底摧毁；消灭，毁灭"
get out of hand,"un. 从…里走出来；拿到；搞僵；失去控制
 失控；无法控制；难以控制"
dial back, 回拨；减少
in relation to,"na. 关于…
 涉及；有关；与…相比"
bring through,"na. 帮助(某人)脱离险境；救活
 治愈；使脱险；使安全度过"
steal from,从…偷窃; 从…用诡计获得(某物); 偷偷地离开
be scolded for,
catch on,"na. 流行；受欢迎；理解；懂得
 明白；流行起来；变得流行"
in excess of,"na. 超过
 多于；超出；指超过"
look around,"na. 看起来好像；环视
 环顾四周；朝四周看；东张西望"
look round,"na. 环顾；仔细考虑；往周围一看；回头看
 察看；掉头看；到处寻找"
lose one's temper,"na. 发脾气；发怒
 发火；动怒；生气"
mix with,"v. 混合
 与…混合；与…混合在一起；和…混合"
come down to,"v. 降至；归结起来；变为；归结为
 可归结为；到达；归根结底"
lie in,"na. 存在于；(分娩后)坐月子
 位于；睡懒觉；躺在"
pass away,"na. 消失；Vi. 经过；去；终止
 去世；逝世；过世"
build in,"na. 加入；埋入；围以(房屋,围墙等)
 固定；插入；内建"
hold with,"na. 同意；和…抱同一意见
 赞成；赞同；原谅"
have a bearing on,"na. 关系到
 对…有影响；与……有关系；影响到"
follow through,"v. 坚持到底
 自始至终完成工作；进行到底；随球动作"
strive for,"v. 争取；奋发图强；收下
 为…而奋斗；为…奋斗；力求"
slip through,"un. 溜出去；漏出去
 偷越；溜过；轻巧而迅速地穿过"
close down,"v. 关闭；关门；倒闭；歇业
 停业；查封；封闭"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
 遇见；偶然遇见；碰到"
be worthy of, 值得；配得上；对得起
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
 试用；尝试；考验"
on account of,"na. 因为
 由于；为了；基于"
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
 付款；付钱；支付"
by all means,"na. 必定；千方百计；不惜一切；好的
 务必；一定；无论如何"
in no time,"na. 立刻
 马上；很快；立即"
take heart,"na. 鼓起勇气
 振作起来；受到鼓舞；振作精神"
save for,"v. 除了…而外；例外
 储蓄；除…之外；留供…用"
adapt to,"na. 使(自己行动)配合(同伴)
 适应；适应，适合；使适应"
out of line,"na. 不一致；不成一直线
 出格；过分；越界"
pick out,"na. 挑选；掘出；闻出；领会
 挑出；选出；选出，挑出，拣出"
leave alone,"na. 丢下不管；不要管
 不理会；让独自呆着；不干涉"
get over,"na. 同“get across”
 克服；恢复；越过"
keep an eye on,"v. 密切注意
 照看；留意；密切注视"
on the alert,"na. 警惕
 提防；警戒；处于戒备状态"
in case,"na. 以防万一；作为准备；如果；免得
 假使；假如；以防免得"
cope with,"v. 对付；应付
 处理；应对；解决"
in one's mind's eye, 想象，记忆
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
 穿上盛装；装饰；精心打扮"
in accord with,"un. 符合；与…和谐；一致；与…观点一致
 与…一致；和……一致；同……不一致"
deliver to,"v. 递交
 交付；传达；交付给"
be far superior to,
to date,"na. 至今
 到目前为止；迄今；迄今为止"
fall silent, 沉默；安静下来；沉默不语
to the effect that, 大意是；大意是说；主要内容是
at all costs,"na. 无论如何
 不惜任何代价；不惜一切代价；不惜代价"
see to it that, 保证；务必；务必要
play back,"na. 回到三柱门方面
 播放；回放；重新播放"
fill in,"na. 填充；填写；同“fill”
 填满；填入；过门"
end up,"na. 结束；完事；死；直立着
 告终；竖着；最终成为"
link up,"na. 联合
 连接；沟通；把…连接起来"
link up with,"na. 和…同盟；结亲
 挂钩；与…衔接；与…连接起来"
spread out,"na. 张开；铺开；扩张；同“spread”
 展开；散开；摊开"
give way,"na. 倒塌；忍不住…了出来；划起来；(价格)跌落
 让路；让步；屈服"
do justice to,"na. 公平评判；公平对待；逼真；大吃
 公正地评判；公正地对待；公平地对待"
bring forward,"na. 提出(计划等)；提示；提前；公开
 提议；把…提前；将…提前"
fall through,"na. 失败
 落空；成为泡影；告吹"
pump ... to,
lose sight of,"na. 看不见了…；忘了…；失踪了
 忽略；忘记；不再看见"
switch to,"v. 转换到
 切换到；转到；切换到，转到"
beyond belief,"na. 难以置信；非常
 令人难以置信；超越信仰；难以置信的"
by no means,"na. 决不；并没有
 一点也不；绝不；无论如何决不"
be recommended for,
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
have an effect on,"na. 对…有影响
 对……产生影响；对……产生作用；对……有效果"
clean up,"na. 收拾干净；改正；赚厚利
 打扫；打扫干净；清除"
side with,"v. 援助；偏袒
 支持；一边，支持；站在…一边"
spell out,"na. 详细说明；正式拼写
 讲清楚；清楚地说明；拼出"
out of control,"na. 失去控制
 失控；不受控制；过界"
in demand,"un. 要求；抢手
 有需求；销路好；非常需要的"
send away,"na. 撵走；开除；解雇；把…送到远处
 赶走；送走；打发走"
keep off,"na. 不让接近；不接近
 避开；远离；防止"
crack down,"na. 敏捷地做；拼命做
 镇压；制裁；打击"
be made up of, 由…构成；组成；由…组成
come up against,"na. 遭到(反对)；与…矛盾
 碰到；遇到；与...矛盾"
in the shape of,"na. 以…的形状；呈…的形状；以…的形式；作为…
 以……的形状；呈...形状；以……形状"
out of breath,"na. 大喘气
 喘不过气来；上气不接下气；气喘吁吁"
look down on,"v. 轻视；看不起
 瞧不起；蔑视；看不起某人"
be seated in,
be keen on,"na. 喜爱
 渴望；喜欢；热衷于"
beside the point,"na. 达到目的；说服别人
 离题；不切正题；无关紧要"
over one's head, 难以理解；难懂；太难了
run up against,"na. 碰上；忽然碰上
 遇到；意外地碰到；遭遇"
in some type of,
permit to do,
on the rise,"na. 在涨；在增加；好转
 在上升；正在上升；在上涨"
