fray,"n. 争论；打架；磨损处
vt. 使磨损；变得令人紧张、急躁
vi. 被磨损"
singe,"n. 烧焦；烤焦
vt. 烧焦；烤焦
vi. 烧焦；烤焦"
munition,"vt. 供给军需品
vi. 从事军需品生产
n. 军需品；军火
adj. 军需品的；生产军需品的"
glee,n. 快乐；欢欣；重唱歌曲
pang,"n. （肉体上）剧痛；苦闷；（精神上）一阵极度的痛苦
vt. 使剧痛；折磨"
partisan,"n. 游击队；虔诚信徒；党羽
adj. 党派的；效忠的；偏袒的；盲目推崇的"
luscious,adj. 甘美的；满足感官的
bequeath,vt. 遗赠；把…遗赠给；把…传下去
bungalow,n. 平房；小屋
rattling,"adj. 很好的；活泼的；卡嗒卡嗒的
adv. 很；非常；极佳
v. 使发出嘎嘎声（rattle的ing形式）"
cleanse,vt. 净化；使…纯净；使…清洁
clump,"n. 丛；笨重的脚步声；土块
vt. 使成一丛；使凝结成块
vi. 形成一丛；以沉重的步子行走"
docile,adj. 温顺的，驯服的；容易教的
tractable,adj. 易于管教的；易驾驭的；易处理的；驯良的
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
alleviate,vt. 减轻，缓和
prodigious,adj. 惊人的，异常的，奇妙的；巨大的
inundate,vt. 淹没；泛滥；浸水；（洪水般的）扑来
encumber,vt. 阻塞；妨害；拖累
expedite,"vt. 加快；促进；发出
adj. 畅通的；迅速的；方便的"
pertinent,adj. 相关的，相干的；中肯的；切题的
celerity,n. 快速；敏捷
doddering,"v. 蹒跚而行；摇晃；变衰弱（dodder的ing形式）
adj. 蹒跚的；震颤的；衰老的"
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
centrist,n. 中立派议员；中间派议员
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
senile,adj. 高龄的；老衰的；高龄所致的
fractious,adj. 易怒的；倔强的，难以对待的
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
errand,n. 使命；差事；差使
acquit,vt. 无罪释放；表现；脱卸义务和责任；清偿
circumvent,v. 包围；智取；绕行，规避
parenthesis,"n. 插入语,插入成分
n. 圆括号
n. 间歇，插曲"
treatise,n. 论述；论文；专著
dismantle,"vt. 拆除；取消；解散；除掉…的覆盖物
vi. 可拆卸"
devolve,"vt. 转移；移交；使滚下；衰落
vi. 被移交；转让"
flak,n. 高射炮；抨击；谴责
fleck,"n. 斑点；微粒，小片
vt. 使起斑点；使有斑驳"
furtive,adj. 鬼鬼祟祟的，秘密的
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
consortium,n. 财团；联合；合伙
parody,"n. 拙劣的模仿；诙谐的改编诗文
vt. 拙劣模仿"
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
clog,"n. 障碍；木底鞋
v. 阻塞；障碍"
clot,"n.  凝块
vi. 凝结
vt. 使凝结成块"
fuzz,"n. 绒毛；模糊；细毛；警员
vt. 使模糊；起毛
vi. 作绒毛状飞散；变成绒毛状；变得模糊"
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
squint,"n. 斜视；斜孔小窗；一瞥
adj. 斜视的；斜的
vt. 使斜眼；眯眼看
vi. 眯眼看；斜视；窥视；偏移"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
restitution,n. 恢复；赔偿；归还
hoary,adj. 久远的，古老的；灰白的
gallant,adj. 英勇的，勇敢的；华丽的；雄伟的
audacious,adj. 无畏的；鲁莽的
callous,"n. 硬皮；老茧
adj. 无情的；麻木的；硬结的；起老茧的
vt. 使冷酷无情；使硬结；使生茧
vi. 变得冷酷无情；结茧；变硬"
creak,"n. 嘎吱嘎吱声
vt. 使咯吱咯吱响
vi. 发出咯吱咯吱声；勉强运转"
squeak,"n. 吱吱声；机会
vi. 告密；吱吱叫；侥幸成功
vt. 以短促尖声发出"
covet,"vt. 垂涎；觊觎
vi. 垂涎；觊觎"
cramp,"n. 痉挛，绞痛； 铁夹钳
adj. 狭窄的；难解的；受限制的
vt. 束缚，限制；使…抽筋；以铁箍扣紧"
crater,"n. 火山口；弹坑
vt. 在…上形成坑；取消；毁坏
vi. 形成坑；消亡"
deadlock,"n. 僵局，停顿
vt. 停顿；相持不下
vi. 死锁；停顿"
impasse,n. 僵局；死路
eradicate,vt. 根除，根绝；消灭
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
nomad,"n. 游牧民；流浪者
adj. 游牧的；流浪的"
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
exacerbate,vt. 使加剧；使恶化；激怒
measles,n.  麻疹；风疹
syphilis,n.  梅毒
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
trickle,"n. 滴，淌；细流
vt. 使…滴；使…淌；使…细细地流
vi. 滴；细细地流；慢慢地移动"
centralize,"vt. 使集中；使成为…的中心；使集权
vi. 集中；实行中央集权"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
espouse,vt. 支持；嫁娶；赞成；信奉
temperate,adj. 温和的；适度的；有节制的
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
benighted,"adj. 愚昧的；赶路到天黑的
v. 使处于夜色包围之中；使愚昧无知（benight的过去分词）"
whine,"n. 抱怨；牢骚；哀鸣
vt. 哀诉
vi. 发牢骚；哭诉；嘎嘎响；发呜呜声"
complacent,adj. 自满的；得意的；满足的
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
outright,"adv. 全部地；立刻地；率直地；一直向前；痛快地
adj. 完全的，彻底的；直率的；总共的"
Nazism,n. 纳粹主义
reshuffle,"n. 重新洗牌；改组
vt. 重新洗牌；改组；重作安排"
repulse,"n. 拒绝；击退
vt. 拒绝；驱逐；憎恶"
revert,"n. 恢复原状者
vt. 使回复原状
vi. 回复；重提；返祖遗传；归还"
rivet,"n. 铆钉
vt. 铆接；固定；（把目光、注意力等）集中于"
boggle,"n. 犹豫，退缩；惊奇
vt. 搞糟，弄坏；使……惊奇；使……困惑
vi. 犹豫，退缩；惊恐"
bereave,vt. 使……失去；使……孤寂
pester,vt. 纠缠，烦扰；使烦恼
squirm,"n. 蠕动
vi. 蠕动，扭动；羞愧，不舒服"
orgasm,n.  性高潮；极度兴奋
acoustics,n. 声学；音响效果，音质
collaborate,vi. 合作；勾结，通敌
corpus,n.  语料库；文集；本金
cumbersome,adj. 笨重的；累赘的；难处理的
curtail,vt. 缩减；剪短；剥夺…特权等
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
lobe,n. （脑、肺等的）叶；裂片；耳垂；波瓣
loft,"n. 阁楼；顶楼；鸽房
vt. 把…储放在阁楼内
vi. 将球高击"
malt,"n. 麦芽；麦芽酒
adj. 麦芽的；含麦芽的，用麦芽作的
vt. 用麦芽处理"
doleful,adj. 寂寞的；悲哀的；阴沉的；忧郁的
charitable,adj. 慈善事业的；慷慨的，仁慈的；宽恕的
forage,"n. 饲料；草料；搜索
vi. 搜寻粮草；搜寻"
forbear,"n. 祖先
vi. 忍耐；克制
vt. 忍耐；克制"
grate,"n. 壁炉；格栅
vi. 发摩擦声
vt. 装格栅于；磨擦"
laurel,"n. 桂冠，殊荣；月桂树
vt. 授予荣誉，使戴桂冠"
flippant,adj. 轻率的；嘴碎的；没礼貌的
lenient,adj. 宽大的；仁慈的
rake,"n. 耙子；斜度；钱耙；放荡的人，浪子
vt. 倾斜；搜索；掠过；用耙子耙
vi. 搜索；用耙子耙；掠过，擦过"
rasp,"n.  粗锉刀；锉磨声；刺耳声
vt. 用粗锉刀锉；粗声粗气地说
vi. 锉磨；用粗嘎的嗓门说"
intermittent,adj. 间歇的；断断续续的；间歇性
devastate,vt. 毁灭；毁坏
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
inborn,adj. 天生的；先天的
rodent,"n.  啮齿动物
adj. 啮齿类的；咬的，嚼的；侵蚀性的"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
periodic,adj. 周期的；定期的
rite,n. 仪式；惯例，习俗；典礼
bandwagon,n. 流行，时尚；乐队花车
dislocate,vt. 使脱臼；使混乱
repressive,adj. 镇压的；压抑的；抑制的
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
propaganda,n. 宣传；传道总会
seethe,"n. 沸腾；感情等的迸发
vt. 使浸透；使煮沸
vi. 沸腾；冒泡；激动"
standing,"n. 站立；持续；身分
adj. 长期的；直立的；固定的
v. 站立；坚持不变；坐落于（stand的ing形式）"
fauna,n. 动物群； 动物区系
cholera,n.  霍乱
agonizing,"adj. 苦恼的；痛苦难忍的
vt. 使极度痛苦；折磨（agonize的ing形式）
vi. 感到极度痛苦（agonize的ing形式）"
chic,"n. 时髦；别致的款式
adj. 别致的"
wade,"n. 跋涉；可涉水而过的地方
vi. 跋涉
vt. 涉水；费力行走"
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
strangle,"vt. 把…勒死；使…窒息
vi. 窒息而死；被勒死"
unobtrusive,adj. 不唐突的；谦虚的；不引人注目的
slither,"n. 滑动；滑行
vt. 使滑动
vi. 蜿蜒地滑行"
slop,"vt. 溢出，使溅出
vi. 溅出；泼洒"
aspire,vi. 渴望；立志；追求
affinity,n. 密切关系；吸引力；姻亲关系；类同
custard,n. 奶油冻；奶油蛋羹
repository,n. 贮藏室，仓库；知识库；智囊团
lotus,n. 莲花（汽车品牌）
lotion,n. 洗液；洗涤剂
snarl,"vt. 搞乱；咆哮着说；使…缠结
vi. 咆哮；怒骂；缠结
n. 咆哮；怒骂；混乱"
snare,"n. 陷阱；圈套； 勒除器
vt. 捕捉；诱惑"
terracotta,n. 陶瓦；赤土陶器；赤土色
tepid,adj. 微温的，温热的；不太热烈的；不热情的
disparate,"n. 无法相比的东西
adj. 不同的；不相干的；全异的"
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
enshrine,vt. 铭记，珍藏；把…置于神龛内；把…奉为神圣
enthrall,vt. 迷住，使着迷
husk,"n. 皮；外壳；无价值之物
vt. 削皮；以粗哑的嗓音说
vi. 嗓音变得嘶哑"
hump,"n. 驼峰；驼背；圆形隆起物
vt. 使隆起；使烦恼
vi. 隆起；弓起；努力；急速行进"
benevolent,adj. 仁慈的；慈善的；亲切的
martial,adj. 军事的；战争的；尚武的
mash,"n. 饲料；糊状物；麦芽浆
vt. 捣碎；调情"
provisional,"adj. 临时的，暂时的；暂定的
n. 临时邮票"
wring,"vt. 拧；绞；紧握；使痛苦；折磨
vi. 蠕动；扭动；感到痛苦；感到苦恼
n. 拧；绞；挤；扭动"
dingy,adj. 昏暗的；肮脏的
audible,"adj. 听得见的
听得见地"
perceptible,adj. 可察觉的；可感知的；看得见的
babble,"vt. 含糊不清地说；泄露
vi. 喋喋不休；呀呀学语；作潺潺声
n. 含糊不清的话；胡言乱语；潺潺声"
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
inquisitive,adj. 好奇的；好问的，爱打听的
motley,"adj. 杂色的；混杂的；五颜六色的
n. 混杂；杂色衣服；小丑"
ostentatious,adj. 招摇的；卖弄的；夸耀的；铺张的；惹人注目的
pretentious,adj. 自命不凡的；炫耀的；做作的
reputed,"adj. 名誉好的；被普遍认为…的
v. 认为（repute的过去式和过去分词）"
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
duress,n. 强迫；监禁
accolade,n. 荣誉；荣誉称号授予仪式；连谱号；称赞
bestow,vt. 使用；授予；放置；留宿
felt,"n. 毡；毡制品
v. 感觉（feel的过去式）
vi. 粘结
vt. 使粘结；把…制成毡"
pinnacle,"n. 高峰；小尖塔；尖峰；极点
vt. 造小尖塔；置于尖顶上；置于高处"
lurid,adj. 可怕的，耸人听闻的；火烧似的；苍白的；血红的；华丽而庸俗的
bulge,"n. 胀；膨胀；凸出部分
vt. 使膨胀；使凸起
vi. 膨胀；凸出"
paunchy,adj. 大肚子的；大腹便便的
booming,"adj. 兴旺的，繁荣的；大受欢迎的
v. 兴旺（boom的ing形式）；发出隆隆声"
decry,vt. 责难，谴责；诽谤
yuppie,n. （美）雅皮士（属于中上阶层的年轻专业人士）
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
unplug,vt. 去掉…的障碍物；拔去…的塞子或插头
energize,"vt. 激励；使活跃；供给…能量
vi. 活动；用力"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
renown,"n. 声誉；名望
vt. 使有声望"
ravage,"n. 蹂躏，破坏
vt. 毁坏；破坏；掠夺
vi. 毁坏；掠夺"
coronation,n. 加冕礼
coroner,n. 验尸官
accomplice,n. 同谋者， 共犯
claimant,n. 原告； 索赔人；提出要求者
vault,"n. 拱顶；撑竿跳；地下室
vi. 跳跃；成穹状弯曲
vt. 做成圆拱形；撑竿跳过"
wield,vt. 使用；行使；挥舞
vantage,n. 优势；有利情况
serenade,"n. 小夜曲
vt. 为…唱小夜曲
vi. 唱小夜曲"
terse,adj. 简洁的，精练的，扼要的
nautical,adj. 航海的，海上的；船员的
embankment,n. 路堤；堤防
marquee,n. 选取框；大天幕；华盖
verve,n. 热情；神韵；活力；气魄
undertaking,"n. 事业；企业；保证；殡仪业
v. 同意；担任；许诺（undertake的ing形式）"
earmark,"n. 特征；耳上记号
vt. 在耳朵上做记号；标记"
legitimize,vt. 使…合法；立为嫡嗣
lug,"n. 支托；接线片；耳状物
vt. 用力拉或拖
vi. 用力拉或拖"
arbitrate,vt. 仲裁；公断
equilibrium,n. 均衡；平静；保持平衡的能力
fortify,"vt. 加强；增强；（酒）的酒精含量；设防于
vi. 筑防御工事"
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
thump,"n. 重打；重击声
vi. 重击；狠打；砰然地响
vt. 重击；用拳头打；砰地撞到"
vexed,adj. 生气的，烦恼的，恼怒的；为难的；焦急的
scour,"n. 擦，冲刷；洗涤剂；（畜类等的）腹泻
vt. 擦亮，洗涤；冲洗，清除
vi. 冲刷；擦；腹泻"
scowl,"n. 愁容；怒容；阴沉沉的样子
vt. 皱眉表示；对…沉下脸
vi. 皱眉；怒视"
grotesque,"n. 奇异风格；怪异的东西
adj. 奇形怪状的；奇怪的；可笑的"
genteel,adj. 有教养的，文雅的；上流社会的
grove,n. 小树林；果园
impromptu,"n. 即兴曲；即席演出
adj. 即席的
adv. 即席地"
implicit,adj. 含蓄的；暗示的；盲从的
superfluous,adj. 多余的；不必要的；奢侈的
rampant,adj. 猖獗的；蔓延的；狂暴的；奔放的
obdurate,adj. 顽固的，执拗的；冷酷无情的
wrath,n. 愤怒；激怒
fitful,adj. 一阵阵的；断断续续的；不规则的；间歇的
deity,n. 神；神性
venerable,adj. 庄严的，值得尊敬的；珍贵的
creed,n. 信条，教义
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
atheist,n. 无神论者
trying,"v. 尝试（try的ing形式）；试验
adj. 难受的；难堪的；费劲的；令人厌烦的"
pundit,n. 专家；博学者；梵文学者
judicious,adj. 明智的；头脑精明的；判断正确的
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
panicky,adj. 恐慌的；惊慌失措的
stampede,"n. 惊跑；人群的蜂拥；军队溃败
vt. 使…惊逃；抢占
vi. 蜂拥；逃窜"
cliché,
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
frantic,adj. 狂乱的，疯狂的
recuperative,adj. 复原的；恢复的；有恢复力的
purported,"adj. 传说的
v. 声称（purport的过去分词）；意图"
doomsayer,n. 灾难预言者；凶事预示者
quash,vt. 撤销；镇压；宣布无效；捣碎
hubbub,n. 喧哗；骚动
hue,n. 色彩；色度；色调；叫声
hub,n. 中心；毂；木片
regression,n. 回归；退化；逆行；复原
refinery,n. 精炼厂；提炼厂；冶炼厂
referendum,n. 公民投票权；外交官请示书
rustle,"n. 沙沙声；急忙；飒飒声
vt. 使…沙沙作响
vi. 发出沙沙声"
evict,vt. 驱逐；逐出
gurgle,"n. 咯咯声；汩汩声
vt. 用咯咯声表示
vi. 作汩汩声；作咯咯声"
incised,"adj. 雕刻的；切入的；有锯齿状边缘的
v. 雕刻（incise的过去分词）；切入"
overdraft,"n.  透支； 透支额
vt.  透支"
overdose,"vt. 配药过量；使过分沉溺
n. 药量过多（等于overdosage）
vi. 服药过量；过分沉溺"
gibbon,n.  长臂猿
glut,"n. （商品）供过于求；大量
vt. 使…充满；使…吃饱；过多供应
vi. 吃得过多"
glossary,n. 术语（特殊用语）表；词汇表；专业词典
mane,n. （马等的）鬃毛
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
fretful,adj. 焦躁的；烦燥的；起波纹的
germinate,"vt. 使发芽；使生长
vi. 发芽；生长"
conspire,"vi. 共谋；协力
vt.  密谋策划"
transpire,"vt. 使蒸发；使排出
vi. 发生；蒸发；泄露"
improvise,"vt. 即兴创作；即兴表演；临时做；临时提供
vi. 即兴创作；即兴表演；临时凑合"
capricious,adj. 反复无常的；任性的
infest,vt. 骚扰；寄生于；大批出没；大批滋生
ordain,"vt. 任命某人为牧师；授某人以圣职；（上帝、法律等）命令；注定
vi. 颁布命令"
synopsis,n. 概要，大纲
vile,adj. 卑鄙的；邪恶的；低廉的；肮脏的
smug,"n. 书呆子；自命不凡的家伙
adj. 自鸣得意的；自以为是的；整洁的"
lukewarm,adj. 冷淡的；微温的；不够热心的
adamant,"n. 坚硬的东西；坚石
adj. 固执的，坚强的；坚定不移的；坚硬无比的"
prone,adj. 俯卧的；有…倾向的，易于…的
prominence,n. 突出；显著；突出物；卓越
deference,n. 顺从；尊重
insular,adj. 孤立的；与世隔绝的；海岛的；岛民的
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
assert,vt. 维护，坚持；断言；主张；声称
divergence,n. 分歧
kinship,n.  亲属关系，家属关系；亲密关系
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
beating,"n. 打； 打浆；敲打；失败
v. 打（beat的ing形式）"
extraordinaire,adj. （法语）特别的；非凡的；异常的
opt,vi. 选择
monologue,n. 独白
adherent,"n. 信徒；追随者
adj. 附着的；粘着的"
drawl,"n. 慢吞吞拉长调子的说话方式
vt. 慢吞吞地说
vi. 慢吞吞地说"
jockey,"vt. 驾驶；欺骗；移动
n. 操作工；驾驶员；赛马的骑师
vi. 当赛马的骑师；耍手段图谋；搞欺骗"
self-restraint,n. 自制
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
gallantry,n. 勇敢；殷勤；风流；勇敢的行为
treacly,adj. 甜蜜的；如糖蜜的；如糖蜜一样甜的
epitaph,n. 碑文，墓志铭
dribble,"n. n. 点滴；运球
vt. 连击；使滴下；运球
vi. 滴下；流口水"
engender,"vt. 使产生；造成
vi. 产生；引起"
tact,n. 机智；老练；圆滑；鉴赏力
tanner,n. 制革工人；六便士
tenor,"n. 男高音；要旨，大意；票据的限期；稳定的进程
adj. 男高音的"
iris,"n.  虹膜；鸢尾属植物
adj. 鸢尾属植物的"
peril,"n. 危险；冒险
vt. 危及；置…于险境"
rapture,"n. 兴高采烈
vt. 使…狂喜"
archaic,adj. 古代的；陈旧的；古体的；古色古香的
quaint,adj. 古雅的；奇怪的；离奇有趣的；做得很精巧的
titanic,
mercantile,"adj. 商业的；商人的；重商主义的
n. 商品"
watershed,"n. （美）流域；分水岭；集水区；转折点
adj. 标志转折点的"
watermark,"n. 水印；水位标志
vt. 在…上印水印（图案）"
wreathe,"vt. 用花环装饰；将…做成花环；包围；覆盖
vi. 缭绕；成圈状；扭曲；环绕盘旋"
sapped,"adj. 受冰川作用侵蚀（或裂碎）的
v. 逐渐削弱（某人的力量、活力等）( sap的过去式和过去分词 ); 逐渐消耗（某人的力量、活力等）"
grapple,"n. 抓住；格斗
vi. 抓住；格斗；抓斗机
vt. 抓住；与…格斗"
hapless,adj. 运气不好的，倒霉的
heterogeneous,adj.  多相的；异种的； 不均匀的；由不同成分形成的
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
hypocrisy,n. 虚伪；伪善
vogue,"n. 时尚；流行，时髦
adj. 时髦的，流行的"
secluded,"adj. 隐蔽的；隐退的，隐居的
v. 隔绝（seclude的过去式）"
billow,"vt. 使翻腾
vi. 翻腾
n. 巨浪"
buff,"n. 浅黄色；软皮；爱好者； 健康的身体
vt. 有软皮摩擦；缓冲；擦亮，抛光某物"
chum,"n. 室友；密友
vi. 结为密友"
churn,"n. 搅乳器
vt. 搅拌；搅动
vi. 搅拌；搅动"
clad,"v. 穿衣（clothe的过去式和过去分词）
adj. 穿衣的；覆盖的
vt. 在金属外覆以另一种金属"
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
oscillation,n. 振荡；振动；摆动
tint,"n. 色彩；浅色
vt. 染（发）；给…着色"
teem,"vt. 倒出
vi. 大量出现；充满"
fertility,n. 多产；肥沃； 生产力；丰饶
cataract,"n.  白内障；大瀑布；暴雨，洪水；奔流
vt. 倾注"
solitude,n. 孤独；隐居；荒僻的地方
spontaneous,adj. 自发的；自然的；无意识的
verdure,n. 碧绿
kindling,n. 点火；引火物；兴奋
sublime,"n. 崇高；顶点
adj. 庄严的；令人崇敬的；极端的；超群的
vt. 使…纯化；使…升华；使…变高尚
vi. 升华；纯化；变高尚"
exotic,adj. 异国的；外来的；异国情调的
delve,"n. 穴；洞
vi. 钻研；探究；挖
vt. 钻研；探究；挖"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
colonize,"vt. 将…开拓为殖民地；移于殖民地；从他地非法把选民移入
vi. 开拓殖民地；移居于殖民地"
diarrhea,n. 腹泻，痢疾
hierarchy,n. 层级；等级制度
patchy,adj. 不调和的；拼凑成的；有补丁的
Briton,n. 英国人；大不列颠人
afflict,vt. 折磨；使痛苦；使苦恼
credible,adj. 可靠的，可信的
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
huff,"n. 发怒
vt. 把…吹胀；激怒；蔑视
vi. 吹气；发怒；恫吓"
migraine,n.  偏头痛
allegiance,n. 效忠，忠诚；忠贞
vigil,n. 守夜；监视；不眠；警戒
appease,vt. 使平息；使满足；使和缓；对…让步
maltreat,vt. 虐待；滥用；粗暴对待
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
incarnation,n. 化身；道成肉身；典型
inception,"n. 起初；获得学位
n. 《盗梦空间》（电影名）"
incantation,n. 咒语
inculcate,vt. 教育；谆谆教诲；教授；反覆灌输
incapacitate,vt. 使无能力；使不能；使不适于
infuriate,"vt. 激怒；使大怒
adj. 狂怒的"
syndrome,n.  综合症状；并发症状；校验子；并发位
embellish,"vt. 修饰；装饰；润色
vi. 装饰起来；加以润色"
embroil,vt. 使卷入；使混乱
embezzle,vt. 盗用；挪用；贪污
glaze,"n. 釉；光滑面
vt. 装以玻璃；上釉于
vi. 变呆滞；变得光滑"
sod,"n. 草地；草皮
vt. 铺上草皮；以生草土覆盖；铺草皮于"
impinge,"vi. 撞击；侵犯
vt. 撞击"
impotent,adj. 无力的；无效的；虚弱的；阳萎的
unfathomable,adj. 深不可测的；无底的；莫测高深的
drone,"n. 雄蜂；嗡嗡的声音；懒惰者
n. 无人机（非正式）
vt. 低沉地说
vi. 嗡嗡作声；混日子"
foolproof,"n. 极简单；安全自锁装置
adj. 十分简单的；十分安全的；不会错的"
gratifying,"adj. 悦人的；令人满足的
v. 使满意（gratify的现在分词）；使高兴"
insinuate,"vt. 暗示；使逐渐而巧妙地取得；使迂回地潜入
vi. 暗讽；说含沙射影的话"
insurrection,n. 暴动；叛乱
involuntary,adj. 无意识的；自然而然的；不知不觉的
smother,"n. 窒息状态；令人窒息的浓烟
vt. 使窒息；抑制；（用灰等）闷熄；忍住
vi. 窒息；被抑制；闷死"
camouflage,"n. 伪装，掩饰
vt. 伪装，掩饰
vi. 伪装起来"
rummage,"n. 翻找；检查；查出的物件；零星杂物
vt. 检查；搜出；仔细搜查；翻找出
vi. 翻找；仔细搜查"
upsurge,"n. 高潮，高涨
vi. 涌起，高涨"
pragmatic,adj. 实际的；实用主义的；国事的
genocide,n. 种族灭绝；灭绝整个种族的大屠杀
challenging,"v. 要求；质疑；反对；向…挑战；盘问（challenge的ing形式）
adj. 挑战的；引起挑战性兴趣的"
morale,n. 士气，斗志
humanitarian,"n. 人道主义者；慈善家；博爱主义者；基督凡人论者
adj. 人道主义的；博爱的；基督凡人论的"
discordant,adj. 不和谐的，刺耳的；不一致的
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
abate,"vt. 减轻；减少；废除
vi. 减轻；失效"
curriculum,"n. 课程
总课程"
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
severity,n. 严重；严格；猛烈
reformatory,"n. 少年管教所；妓女教养所
adj. 改革的；感化的；革新的"
temperament,n. 气质，性情，性格；急躁
delinquent,"n. 流氓；行为不良的人；失职者
adj. 有过失的；怠忽的；拖欠债务的"
servitude,n. 劳役，奴役；地役权；奴隶状态
precocious,adj. 早熟的；过早发育的
compulsion,n. 强制；强迫；强制力
stubborn,adj. 顽固的；顽强的；难处理的
procure,"vt. 获得，取得；导致
vi. 取得"
flinch,"n. 退缩；畏惧
vi. 退缩；畏惧"
paranoid,"n. 患妄想狂的人；偏执狂患者
adj. 类似妄想狂的；属于偏执狂的"
hull,"n. 船体；（果实的）外壳
vt.  去壳"
rooster,n. 公鸡；狂妄自负的人
duct,"n. 输送管，导管
vt. 用导管输送；以导管封住"
exterminate,vt. 消灭；根除
jab,"n. 戳；猛击；注射
vi. 戳；刺；用拳猛击
vt. 戳；猛击；用拨火棒等捅"
jeer,"n. 嘲笑；戏弄；揶揄的言语
vi. 嘲笑；戏弄
vt. 嘲笑；戏弄"
unravel,"vt. 解开；阐明；解决；拆散
vi. 解决；散开"
underwriting,"n. 保险业； 证券包销
v. 认购（underwrite的ing形式）；写在…下面；经营保险业"
understate,"vt. 少说，少报；保守地说；有意轻描淡写
vi. 保守地说；有意轻描淡写"
anthology,n. （诗、文、曲、画等的）选集
anthropology,"n. 人类学
人类学家"
