intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
spontaneous,adj. 自发的；自然的；无意识的
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
assure,vt. 保证；担保；使确信；弄清楚
astound,vt. 使惊骇；使震惊
precedent,"n. 先例；前例
adj. 在前的；在先的"
astrology,n. 占星术；占星学；星座
confer,"vt. 授予；给予
vi. 协商"
precise,adj. 精确的；明确的；严格的
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
confront,vt. 面对；遭遇；比较
pregnant,adj. 怀孕的；富有意义的
classify,vt. 分类；分等
inherited,"v. 继承；经遗传而得（inherit的过去分词）
adj. 遗传的；继承权的；通过继承得到的"
interrupted,"adj. 中断的；被打断的；不规则的
vt. 打断；中断（interrupt的过去分词）"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
profound,adj. 深厚的；意义深远的；渊博的
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
prolong,vt. 延长；拖延
consist,vi. 由…组成；在于；符合
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
intimidate,vt. 恐吓，威胁；胁迫
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
superiority,n. 优越，优势；优越性
exclude,vt. 排除；排斥；拒绝接纳；逐出
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
allay,vt. 减轻；使缓和；使平静
avalanche,"n. 雪崩
vt. 雪崩
vi. 崩塌"
preparation,n. 预备；准备
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
resemble,vt. 类似，像
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
depredation,n. 掠夺；破坏，破坏痕迹
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
pragmatist,n. 实用主义者；爱管闲事的人
averse,adj. 反对的；不愿意的
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
naked,adj. 裸体的；无装饰的；无证据的；直率的
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
quake,"vi. 震动；颤抖
n. 地震；颤抖"
safari,n. 旅行；狩猎远征；旅行队
tact,n. 机智；老练；圆滑；鉴赏力
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
zeal,n. 热情；热心；热诚
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
labour,n. （英国）工党
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒"
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
unable,adj. 不会的，不能的； 无能力的；不能胜任的
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
zest,"n. 风味；热心；强烈的兴趣
vt. 给…调味"
ability,n. 能力，能耐；才能
backload, 撤离费；调整；背载荷
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
gaping,adj. 多洞穴的
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
quantity,n. 量，数量；大量；总量
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
unacceptable,adj. 不能接受的；不受欢迎的
war,"n. 战争，斗争；军事，战术；冲突，对抗，竞争
vi. 打仗，作战；对抗"
abound,vi. 富于；充满
back-up,"n. 备份
adj. 作支援的
vt. 为…做备份"
calorie,n. 卡路里（热量单位）
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
easy,"adj. 容易的；舒适的
vt. 发出停划命令
adv. 不费力地，从容地
vi. 停止划桨"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
raft,"n. 筏；救生艇；（美）大量
vt. 筏运；制成筏
vi. 乘筏"
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
bizarre,adj. 奇异的（指态度，容貌，款式等）
budding,"n. 发芽
adj. 萌芽的；发育期的"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
conspiracy,n. 阴谋；共谋；阴谋集团
co-worker,n. 同事；合作者
dense,adj. 稠密的；浓厚的；愚钝的
editorial,"n. 社论
adj. 编辑的；社论的"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
goal-focused, 明确的目标；明确的工作目标；明确目标
heaven,n. 天堂；天空；极乐
impinge,"vi. 撞击；侵犯
vt. 撞击"
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
introductory,adj. 引导的，介绍的；开端的
landowner,n. 地主，土地所有者
lone,adj. 单身的；独自的；寂寞的；人迹稀少的
methodology,n. 方法学，方法论
oversimplify,"vt. 使…过分地单纯化
vi. 过分地单纯化"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
publishing,"n. 出版；出版业
v. 出版；发行（publish的现在分词形式）；发表
adj. 出版的；出版业的"
rising,"n. 上升；起床；造反
adj. 上升的；上涨的；新兴的
v. 上升（rise的ing形式）
adv. 接近"
screener,n. 掩护队员；分级机，筛选器；筛分工；过滤网
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
supporter,n. 支持者；拥护者
thinness,n. 薄；瘦；细
unnamed,adj. 无名的；未命名的；未提及的
viscerally,adv. visceral（内脏的；发自肺腑的）的变形
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
about-face,"n. 向后转；转回原来方向；（立场、观点等）彻底改变
vi. 向后转；改变主张"
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
economy,n. 经济；节约；理财
fad,n. 时尚；一时的爱好；一时流行的狂热
hale,"adj. 矍铄的（尤指老人）；强壮的
vt. 迫使；猛拉
adv. 完全地
vi. 不断流出"
theory,n. 理论；原理；学说；推测
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
page,"n. 页；记录；大事件，时期；男侍者
vt. 给…标页码
vi. 翻书页，浏览"
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
talent,n. 才能；天才；天资
wardrobe,n. 衣柜；行头；全部戏装
danger,n. 危险；危险物，威胁
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
half,"n. 一半；半场；半学年
adj. 一半的；不完全的；半途的
adv. 一半地；部分地"
knight,"n. 骑士，武士；爵士
vt. 授以爵位"
relic,n. 遗迹，遗物；废墟；纪念物
runner,n. 跑步者；走私者；推销员；送信人
self-defence,n. 自卫；正当防卫
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
tier,"n. 层，排；行，列；等级
vt. 使层叠
vi. 成递升排列"
unrealistically,adv. 不切实际地；不现实地
volcano,n. 火山
wholly,adv. 完全地；全部；统统
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
create,vt. 创造，创作；造成
mutual,adj. 共同的；相互的，彼此的
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
proficiency,n. 精通，熟练
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
transcendence,n. 超越；卓越；超然存在
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
stakeholder,n. 利益相关者；赌金保管者
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
downhill,"n. 下坡；滑降
adj. 下坡的；容易的
adv. 下坡；向下；每况愈下"
streetlight,n. 街灯，路灯
wrongdoing,n. 坏事；不道德的行为
clawback,n. 挫折；弥补性收入
worsen,"vi. 恶化；变得更坏；更坏
vt. 使恶化；使变得更坏"
plum,"n. 李子；梅子；洋李；紫红色
adj. 人所希望的；有利的；上等的"
pudding,n. 布丁
install,vt. 安装；任命；安顿
insulate,vt. 隔离，使孤立；使绝缘，使隔热
insulation,n. 绝缘；隔离，孤立
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
protoscience, 原科学；前科学；原论科学
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
saliva,n. 唾液；涎
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
absence,n. 没有；缺乏；缺席；不注意
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
bipedal,"n. 两足动物
adj. 两足动物的；二足的"
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
edit,"vt. 编辑；校订
n. 编辑工作"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
gay,"n. 同性恋者
adj. 快乐的；放荡的；艳丽的"
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
lance,"n. 长矛；执矛战士；柳叶刀
vt. 以长矛攻击；用柳叶刀割开；冲进
vi. 急速前进"
legal,adj. 法律的；合法的；法定的；依照法律的
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
railroad,"n. 铁路；铁路公司
vt. 由铁道运输；铺设铁路；以捏造不实之罪使入狱
vi. 在铁路工作；乘火车旅行；筑铁路"
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
database,n. 数据库，资料库
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
journey,"n. 旅行；行程
vi. 旅行"
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
nature,n. 自然；性质；本性；种类
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
cancer, 巨蟹座
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
lane,n. 小巷； 航线；车道；罚球区
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
occupy,vt. 占据，占领；居住；使忙碌
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
automobile,"n. 汽车
vt. 驾驶汽车
"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
conspire,"vi. 共谋；协力
vt.  密谋策划"
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
deserving,"v. 值得；应得到（deserve的现在分词）
adj. 值得的；应得的；有功的"
education,n. 教育；培养；教育学
enviable,adj. 值得羡慕的；引起忌妒的
flywheel,n.  飞轮，惯性轮；调速轮
goallessness, 无耻
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
Midwestern,
necessity,n. 需要；必然性；必需品
Olympiad,
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
physics,n. 物理学；物理现象
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
puffed-out,na. 喘着气说；(烟)噗噗噗地喷
regrettably,adv. 遗憾地；抱歉地；可悲地
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
ritualistic,adj. 仪式的；固守仪式的；惯例的
searing,"adj. 灼热的
v. 使枯萎（sear的ing形式）"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
statistician,n. 统计学家，统计员
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
thorny,adj. 多刺的；痛苦的；令人苦恼的
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
unnatural,adj. 不自然的；反常的；不近人情的
visibility,n. 能见度，可见性；能见距离；明显性
well-being,n. 幸福；康乐
candidate,n. 候选人，候补者；应试者
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
effort,n. 努力；成就
faith,n. 信仰；信念；信任；忠实
knowledge,n. 知识，学问；知道，认识；学科
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
quirk,n. 怪癖；急转；借口
sandal,n. 凉鞋；檀香；檀香木；便鞋
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地"
unchangeable,adj. 不变的；不能改变的；安定的
abuzz,adj. 嗡嗡的；嘁嘁喳喳的；呈现忙碌状况(的)；议论纷纷(的)
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
egregious,adj. 惊人的；过分的；恶名昭彰的
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
genealogy,n. 宗谱；血统；家系；系谱学
judiciary,"n. 司法部；法官；司法制度
adj. 司法的；法官的；法院的"
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
satellite,n. 卫星；人造卫星；随从；卫星国家
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
daze,"n. 迷乱，眼花缭乱
vt. 使茫然；使眼花缭乱；使晕眩"
eightfold,"adj. 八倍的；八层的
adv. 八倍地；八层地"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
biomedical,adj. 生物医学的
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
satire,n. 讽刺；讽刺文学，讽刺作品
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
bury,vt. 埋葬；隐藏
aligned,"v. 结盟（align的过去式）；使成一直线
adj. 对齐的；均衡的"
retake,"n. 重考；重新摄录；重新摄录的照片或录音
vt. 再取；重拍；补考"
metrics,n. 度量；作诗法；韵律学
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
unwanted,adj. 不需要的；有害的；讨厌的；空闲的
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
conversion,n. 转换；变换； 兑换；改变信仰
technical,adj. 工艺的，科技的；技术上的；专门的
unclear,adj. 不清楚的；不易了解的
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
generate,vt. 使形成；发生；生殖；产生物理反应
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
indictment,n. 起诉书；控告
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
strict,adj. 严格的；绝对的；精确的；详细的
technique,n. 技巧，技术；手法
weak,adj.  疲软的；虚弱的；无力的；不牢固的
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
alongside,"prep. 在……旁边
adv. 在旁边"
await,vt. 等候，等待；期待
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
buzzword,n. 流行词
cream,n. 奶油，乳脂；精华；面霜；乳酪
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
electronic,"adj. 电子的
n. 电子电路；电子器件"
environmentalist,n. 环保人士；环境论者；研究环境问题的专家
extremely,adv. 非常，极其；极端地
foe,n. 敌人；反对者；危害物
government,n. 政府；政体；管辖
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
improvement,n. 改进，改善；提高
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
intrusiveness,n. 干涉性；侵扰性；侵入性
lawmaker,n. 立法者
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
Netherlands,n. 荷兰（形容词Netherlandish）；地区名
onerous,adj. 繁重的；麻烦的；负有义务的；负有法律责任的
overwhelmingly,adv. 压倒性地；不可抵抗地
physique,n. 体格，体形
preside,"vi. 主持，担任会议主席
vt. 管理"
punishment,n. 惩罚；严厉对待，虐待
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
reinterpretation,n. 重新解释
ruby,"n. 红宝石；红宝石色
adj. 红宝石色的
vt. 使带红宝石色"
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
steadily,adv. 稳定地；稳固地；有规则地
survival,n. 幸存，残存；幸存者，残存物
thousand,"n. 一千；一千个；许许多多
adj. 成千的；无数的"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
vocabulary,n. 词汇；词表；词汇量
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
whereas,conj. 然而；鉴于；反之
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
cope,"n. 长袍
vi. 处理；对付；竞争"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
elder,"n. 老人；长辈；年长者；父辈
adj. 年长的；年龄较大的；资格老的"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
imitate,vt. 模仿，仿效；仿造，仿制
justice,n. 司法，法律制裁；正义；法官，审判员
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
office,n. 办公室；政府机关；官职；营业处
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
string,n. 线，弦，细绳；一串，一行
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
unconventional,adj. 非常规的；非传统的；不依惯例的
worth,"n. 价值；财产
adj. 值…的"
baseline,n. 基线；底线
