enable,vt. 使能够，使成为可能；授予权利或方法
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
connection,n. 连接；关系；人脉；连接件
connected,"v. 连接（connect的过去式）
adj.  连接的；有联系的；连贯的"
be connected with ...,
shut,"n. 关闭
adj. 关闭的；围绕的
vi. 关上；停止营业
vt. 关闭；停业；幽禁"
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
removal,n. 免职；移动；排除；搬迁
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
farther,"adj. 进一步的；更远的（far的比较级）
adv. 更远地；此外；更进一步地"
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
farthest,"adj. 最远的；最久的（far的最高级）
adv. 最远地（far的最高级）；最大程度地"
furthest,"adj. 最远的；最遥远的（far的一种最高级）
adv. 最远地；最大程度地（far的一种最高级）"
from,prep. 来自，从；由于；今后
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
own,"vt. 拥有；承认
vi. 承认
adj. 自己的；特有的
n. 自己的"
owner,n.  所有者；物主
relief,n. 救济；减轻，解除；安慰；浮雕
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
comfortable,"n. 盖被
adj. 舒适的，舒服的"
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
already,adv. 已经，早已；先前
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
honest,adj. 诚实的，实在的；可靠的；坦率的
honesty,n. 诚实，正直
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
soon,adv. 快；不久，一会儿；立刻；宁愿
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
suitable,adj. 适当的；相配的
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
asleep,"adj. 睡着的；麻木的；长眠的
adv. 熟睡地；进入睡眠状态"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
analyse,vt. 分析；分解；细察
analyze,vt. 对…进行分析，分解（等于analyse）
analysis,n. 分析；分解；验定
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
solve,"vt. 解决；解答；溶解
vi. 作解答"
smell,"n. 气味，嗅觉；臭味
vt. 嗅，闻；察觉到；发出…的气味
vi. 嗅，闻；有…气味"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
source,n. 来源；水源；原始资料
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
especially,adv. 特别；尤其；格外
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
speaker,n. 演讲者；扬声器；说话者；说某种语言的人
speech,n. 演讲；讲话； 语音；演说
depend,vi. 依赖，依靠；取决于；相信，信赖
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
limit,"n. 限制；限度；界线
vt. 限制；限定"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
borrow,"vt. 借；借用
vi. 借；借用；从其他语言中引入"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
population,n. 人口； 种群， 群体；全体居民
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
indicate,vt. 表明；指出；预示；象征
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
protect,vt. 保护，防卫；警戒
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
important,adj. 重要的，重大的；有地位的；有权力的
importance,n. 价值；重要；重大；傲慢
least,"adj. 最小的；最少的（little的最高级）
adv. 最小；最少
n. 最小；最少"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
exist,vi. 存在；生存；生活；继续存在
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
remind,vt. 提醒；使想起
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
instruction,n. 指令，命令；指示；教导；用法说明
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
decision,n. 决定，决心；决议
income,n. 收入，收益；所得
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
guidance,n. 指导，引导；领导
guideline,"n. 指导方针
参考"
event,n. 事件，大事；项目；结果
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
rather,"adv. 宁可，宁愿；相当
int. 当然啦（回答问题时用）"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
half,"n. 一半；半场；半学年
adj. 一半的；不完全的；半途的
adv. 一半地；部分地"
choose,"vt. 选择，决定
vi. 选择，挑选"
fee,"n. 费用；酬金；小费
vt. 付费给……"
all,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
typical,adj. 典型的；特有的；象征性的
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
adapt,"vi. 适应
vt. 使适应；改编"
adaptation,n. 适应；改编；改编本，改写本
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
compete,vi. 竞争；比赛；对抗
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
developed,adj. 发达的（国家或地区）；成熟的
developing,"n.  显影
v. 发展（develop的ing形式）
adj. 发展中的"
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
never,adv. 从未；决不
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
collection,n. 采集，聚集； 征收；收藏品；募捐
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
create,vt. 创造，创作；造成
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
behaviour,n. 行为；习性；运行状况（=behavior）
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
reaction,n. 反应，感应；反动，复古；反作用
therefore,adv. 因此；所以
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
knowledge,n. 知识，学问；知道，认识；学科
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
think,"n. 想；想法
adj. 思想的
vi. 想；认为
vt. 想；认为；想起；想像；打算"
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
simply,adv. 简单地；仅仅；简直；朴素地；坦白地
simplify,vt. 简化；使单纯；使简易
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
almost,adv. 差不多，几乎
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
preference,n. 偏爱，倾向；优先权
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
energy,n.  能量；精力；活力；精神
energetic,adj. 精力充沛的；积极的；有力的
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
difficulty,n. 困难，困境
difficult,adj. 困难的；不随和的；执拗的
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
roll,"n. 卷，卷形物；名单；摇晃
vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
relaxed,"v. relax的过去式和过去分词
adj. 松懈的，放松的；悠闲的，自在的；不严格的，不拘束的"
relaxing,"v. 放松；休息（relax的ing形式）；缓和；松懈
adj. 令人轻松的"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
practise,"vi. 练习，实践；实施，实行；从事
vt. 练习，实践；实施，实行"
practical,adj. 实际的；实用性的
usual,adj. 通常的，惯例的；平常的
unusual,adj. 不寻常的；与众不同的；不平常的
usually,adv. 通常，经常
youth,n. 青年；青春；年轻；青少年时期
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
convenient,adj. 方便的；适当的；近便的；实用的
convenience,n. 便利；厕所；便利的事物
bring,vt. 带来；促使；引起；使某人处于某种情况或境地
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
reflection,n. 反射；沉思；映象
attention,n. 注意力；关心；立正！（口令）
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
include,vt. 包含，包括
including,prep. 包含，包括
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
loss,n. 减少；亏损；失败；遗失
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
goods,n. 商品；动产；合意的人；真本领
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
impossibility,n. 不可能；不可能的事
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
holiday,"n. 假日；节日；休息日
vi. 外出度假"
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
afford,vt. 给予，提供；买得起
affordable,adj. 负担得起的
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
prevention,n. 预防；阻止；妨碍
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
although,conj. 尽管；虽然；但是；然而
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
concerned,"v. 关心（concern的过去时和过去分词）；与…有关
adj. 有关的；关心的"
be concerned with ...,
be concerned about,"na. 关心；挂念
 担心；对…关心；关注"
as far as ... concerned,
confused,"v. 困惑（confuse的过去式）
adj. 困惑的；混乱的；糊涂的"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
sell,"n. 销售；失望；推销术
vt. 销售；推销；出卖；欺骗
vi. 卖；出售；受欢迎；有销路"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
improvement,n. 改进，改善；提高
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
operation,n. 操作；经营； 手术； 运算
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
guilty,adj. 有罪的；内疚的
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
harmful,adj. 有害的；能造成损害的
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
writer,n. 作家；作者
wealth,n. 财富；大量；富有
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
best,"n. 最好的人，最好的事物；最佳状态
adj. 最好的
vt. 打败，胜过
adv. 最好地"
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
alive,adj. 活着的；活泼的；有生气的
entirely,adv. 完全地，彻底地
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
encourage,vt. 鼓励，怂恿；激励；支持
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
beside,prep. 在旁边；与…相比；和…无关
besides,"prep. 除…之外
adv. 此外；而且"
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
nature,n. 自然；性质；本性；种类
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
wish,"n. 希望；祝福；心愿
vt. 祝愿；渴望；向…致问候语
vi. 愿望；需要"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
each,"adj. 每；各自的
pron. 每个；各自
adv. 每个；各自"
plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
construction,n. 建设；建筑物；解释；造句
construct,"n. 构想，概念
vt. 建造，构造；创立"
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
now,"adv. 现在；如今；立刻
adj. 现在的
n. 现在；目前
conj. 由于；既然"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
worried,adj. 担心的
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
above,"prep. 超过；在……上面；在……之上
n. 上文
adj. 上文的
adv. 在上面；在上文"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
technology,n. 技术；工艺；术语
between,"prep. 在…之间
adv. 在中间"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
duty,n. 责任； 关税；职务
none,"pron. 没有人；一个也没有；没有任何东西
adj. 没有的，一点没有的
adv. 决不，一点也不"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
celebration,n. 庆典，庆祝会；庆祝；颂扬
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
behaviour,n. 行为；习性；运行状况（=behavior）
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
dozen,"n. 十二个，一打
adj. 一打的"
whole,"n. 整体；全部
adj. 完整的；纯粹的"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
