discrepancy,n. 不符；矛盾；相差
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
constitute,vt. 组成，构成；建立；任命
complimentary,adj. 赠送的；称赞的；问候的
rack,"n.  齿条；架子；拷问台
vt. 折磨；榨取
vi. 变形；随风飘；小步跑"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
zeal,n. 热情；热心；热诚
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
devour,v. 吞食；毁灭
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
disagree,vi. 不同意；不一致；争执；不适宜
deter,vt. 制止，阻止；使打消念头
fund,"n. 基金；资金；存款
vt. 投资；资助"
subsequent,adj. 后来的，随后的
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
conceit,"n. 自负；狂妄；幻想
vt. 幻想"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
sack,"n. 麻布袋；洗劫
vt. 解雇；把……装入袋；劫掠"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
stray,"n. 走失的家畜；流浪者
adj. 迷路的；离群的；偶遇的
vi. 流浪；迷路；偏离"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
analogy,n. 类比；类推；类似
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
hence,adv. 因此；今后
envision,vt. 想象；预想
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
paraphrase,"n. 释义；解释；意译
vt. 释义"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
suppress,vt. 抑制；镇压；废止
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
flop,"n. 失败；砰然落下；拍击声
vi. 失败；扑拍；扑通落下；笨重地摔
vt. 笨拙地抛下；扑通放下；拍（翅）
adv. 扑通一声；恰巧"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
property,n. 性质，性能；财产；所有权
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
brink,n. （峭壁的）边缘
intact,adj. 完整的；原封不动的；未受损伤的
formalize,"vt. 使形式化；使正式；拘泥礼仪
vi. 拘泥于形式"
cling,vi. 坚持，墨守；紧贴；附着
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
antecedent,"n. 前情；先行词；祖先
adj. 先行的；前驱的；先前的"
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
forthcoming,"n. 来临
adj. 即将来临的"
glaring,adj. 耀眼的；瞪视的；炯炯的
disillusion,"n. 幻灭；醒悟
vt. 使醒悟；使不再抱幻想"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
reasonable,adj. 合理的，公道的；通情达理的
define,vt. 定义；使明确；规定
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
climate,n. 气候；风气；思潮；风土
ebb,"n. 衰退；退潮；衰落
vi. 衰退；减少；衰落；潮退"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
pop,abbr. 卖点广告（Point of Purchase）
accurate,adj. 精确的
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
ferocious,adj. 残忍的；惊人的
hatred,n. 憎恨；怨恨；敌意
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
fierce,adj. 凶猛的；猛烈的；暴躁的
inefficient,adj. 无效率的，效率低的；无能的
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
haughty,adj. 傲慢的；自大的
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
payable,adj. 应付的；到期的；可付的；可获利的
accomplish,vt. 完成；实现；达到
satire,n. 讽刺；讽刺文学，讽刺作品
greenhouse,"n. 温室
造成温室效应的"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
pendent,adj. 悬而未决的；下垂的；未定的；向外伸出的
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
repel,vt. 击退；抵制；使厌恶；使不愉快
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
portray,vt. 描绘；扮演
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
interpret,"vi. 解释；翻译
vt. 说明；口译"
clamor,"n. 喧闹，叫嚷；大声的要求
vt. 喧嚷着说出
vi. 喧嚷，发喧嚣声；持续地喊声"
clamour,"n. 喧闹
vt. 吵闹；大声地要求
vi. 叫喊；大声地要求"
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
rebuke,"n. 非难，指责；谴责，鞭策
vt. 指责，非难；制止；使相形见绌"
lumber,"vi. 伐木；喧闹地向前走；笨重地行动，缓慢地移动
vt. 砍伐木材；乱堆
n. 木材；废物，无用的杂物；隆隆声"
aboriginal,"n. 土著居民；土生生物
adj. 土著的；原始的"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
deficit,n. 赤字；不足额
comply,vi. 遵守；顺从，遵从；答应
transparent,adj. 透明的；显然的；坦率的；易懂的
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
annul,vt. 取消；废除；宣告无效
furious,adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
thrive,vi. 繁荣，兴旺；茁壮成长
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
considerable,adj. 相当大的；重要的，值得考虑的
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
displace,vt. 取代；置换；转移；把…免职；排水
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
disinterested,"adj. 无私的；公正的；冷漠的；廉洁的
v. 使不再有利害关系；使无兴趣（disinterest的过去分词）"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
definite,adj. 一定的；确切的
noticeable,adj. 显而易见的，显著的；值得注意的
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
optimal,adj. 最佳的；最理想的
enable,vt. 使能够，使成为可能；授予权利或方法
vaccinate,"vt. 给…注射疫苗
vi. 接种疫苗
n. 被接种牛痘者"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
regime,n. 政权，政体；社会制度；管理体制
confuse,vt. 使混乱；使困惑
grateful,adj. 感谢的；令人愉快的，宜人的
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
presumably,adv. 大概；推测起来；可假定
dodge,"n. 躲闪；托词
vi. 躲避，避开
vt. 躲避，避开
n. 道奇（汽车品牌）"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
fleece,"n. 羊毛，绒头织物；羊毛制的覆盖物
vt. 剪下羊毛；欺诈，剥削"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
sympathize,vi. 同情，怜悯；支持
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
aloof,"adj. 冷淡的；远离的；冷漠的
adv. 远离；避开地"
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
provisional,"adj. 临时的，暂时的；暂定的
n. 临时邮票"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
coarse,adj. 粗糙的；粗俗的；下等的
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
request,"n. 请求；需要
vt. 要求，请求"
complacency,n. 自满；满足；自鸣得意
dweller,n. 居民，居住者
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
attitude,n. 态度；看法；意见；姿势
blessed,"v. 祝福（bless的过去分词）
adj. 幸福的；受祝福的；神圣的"
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
drowsy,adj. 昏昏欲睡的；沉寂的；催眠的
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
inert,adj.  惰性的；呆滞的；迟缓的；无效的
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
astonish,vt. 使惊讶
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
outset,n. 开始；开端
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
refute,vt. 反驳，驳斥；驳倒
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
ford,"n. 浅滩；Ford：福特汽车公司
vt. 涉过；徒涉
vi. 涉水而过"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
await,vt. 等候，等待；期待
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
precise,adj. 精确的；明确的；严格的
abound,vi. 富于；充满
explosion,n. 爆炸；爆发；激增
harry,vt. 折磨；掠夺；骚扰；使苦恼
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
subdue,vt. 征服；抑制；减轻
kidnap,vt. 绑架；诱拐；拐骗
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
bestow,vt. 使用；授予；放置；留宿
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
accident,n. 事故；意外； 意外事件；机遇
simplify,vt. 简化；使单纯；使简易
patriot,n. 爱国者
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
mislead,vt. 误导；带错
allege,vt. 宣称，断言；提出…作为理由
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
notify,vt. 通告，通知；公布
indicate,vt. 表明；指出；预示；象征
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
thesis,n. 论文；论点
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
deplete,vt. 耗尽，用尽；使衰竭，使空虚
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
abolish,vt. 废除，废止；取消，革除
smear,"n. 涂片；诽谤；污点
vt. 诽谤；弄脏；涂上；把…擦模糊
vi. 被弄脏"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
policy,n. 政策，方针；保险单
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
loss,n. 减少；亏损；失败；遗失
disclaim,"vt. 否认，拒绝；放弃，弃权；拒绝承认
vi. 否认；放弃；弃权"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
envisage,vt. 正视，面对；想像
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
buckle,"n. 皮带扣，带扣
vi. 扣住；变弯曲
vt. 扣住；使弯曲"
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
furnish,vt. 提供；供应；装备
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
recognizable,adj. 可辨认的；可认识的；可承认的
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
arid,adj. 干旱的；不毛的， 荒芜的
economy,n. 经济；节约；理财
remind,vt. 提醒；使想起
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
perpetual,adj. 永久的；不断的；四季开花的；无期限的
disposal,n. 处理；支配；清理；安排
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
reproach,"n. 责备；耻辱
vt. 责备；申斥"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
creed,n. 信条，教义
considerate,adj. 体贴的；体谅的；考虑周到的
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
mistaken,"adj. 错误的；弄错的；被误解的
v. 弄错（mistake的过去分词）"
absolve,vt. 免除；赦免；宣告…无罪
disable,vt. 使失去能力；使残废；使无资格
disconcert,vt. 使仓皇失措；使困惑；破坏
bridle,"n. 缰绳；马勒；系带；约束物
vt. 控制；给装马勒
vi. 昂首表示轻蔑；生气"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
threat,n. 威胁，恐吓；凶兆
sue,"vt. 控告；请求
vi. 控告；提出请求"
occupy,vt. 占据，占领；居住；使忙碌
fractional,adj. 部分的； 分数的，小数的
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
deficient,adj. 不足的；有缺陷的；不充分的
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
mourn,v. 哀悼；忧伤；服丧
habitual,adj. 习惯的；惯常的；习以为常的
subsidize,vt. 资助；给与奖助金；向…行贿
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
behalf,n. 代表；利益
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
addiction,n. 上瘾，沉溺；癖嗜
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
bland,"adj. 乏味的；温和的；冷漠的
vt. 使…变得淡而无味；除掉…的特性
vi. 变得平淡无奇；丧失特性"
subtract,vt. 减去；扣掉
climax,n. 高潮；顶点；层进法；极点
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
harmony,n. 协调；和睦；融洽；调和
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
emigrate,"vi. 移居；移居外国
vt. 移民"
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
engender,"vt. 使产生；造成
vi. 产生；引起"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
topple,"vt. 推翻；颠覆；使倒塌
vi. 倾倒；倒塌；摇摇欲坠"
discontent,"n. 不满
adj. 不满的
vt. 使不满"
expose,vt. 揭露，揭发；使曝光；显示
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
selective,"adj. 选择性的
讲究的
有选择地
有选择性地
仔细挑选地"
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
slant,"n. 倾斜；观点；偏见
vi. 倾斜；有倾向
vt. 使倾斜；使倾向于
adj. 倾斜的；有偏见的"
inward,"n. 内部；内脏；密友
adj. 向内的；内部的；精神的；本质上的；熟悉的
adv. 向内；内心里"
kneel,vi. 跪下，跪
deflect,"vt. 使转向；使偏斜；使弯曲
vi. 转向；偏斜"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
lodge,"n. 旅馆；门房；集会处；山林小屋
vt. 提出；寄存；借住；嵌入
vi. 寄宿；临时住宿"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
economical,adj. 经济的；节约的；合算的
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
skeptical,adj. 怀疑的；怀疑论的，不可知论的
grim,adj. 冷酷的；糟糕的；残忍的
establish,"vi. 植物定植
vt. 建立；创办；安置"
