appliance,n. 器具；器械；装置
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
calculus,n.  结石；微积分学
conceit,"n. 自负；狂妄；幻想
vt. 幻想"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
educate,"vt. 教育；培养；训练
vi. 教育；训练"
extraordinarily,adv. 非常；格外地；非凡地
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
gourmet,"n. 美食家
菜肴精美的"
grammar,n. 语法；语法书
gung ho,"na. 同心协力的；热心；热情地干
 共好；打工好汉；共好精神"
idiot,n. 笨蛋，傻瓜；白痴
idyllic,"牧歌的
田园诗的
悠闲的"
inclination,n. 倾向，爱好；斜坡
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
philosophy,n. 哲学；哲理；人生观
ready-made,adj. 现成的；做好的；陈旧的；平凡的
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
stink,"n. 臭味；讨厌的人
vt. 使发出臭气；用臭味驱赶
vi. 发出臭味；招人讨厌"
stump,"vt. 砍伐；使为难；在…作巡回政治演说
n. 树桩；残余部分；假肢
vi. 笨重地行走；发表竞选演说"
usage,n. 使用；用法；惯例
over again,"na. 再来一次
 再一次；重头开始；再一遍"
all over again,"adv. 重新
 再一次；再一遍；重新再来"
break one's back, 辛勤工作
get at,"na. 抓住；了解；到达；拿得到
 够得着；意指；接近"
go on,"na. 往前走；继续…下去 (with； doing)；日子过得
 发生；进行；继续下去"
go with,"na. 同…一致；跟…谈恋爱；带有；领会
 伴随；与…相配；跟…相配"
leave off,"na. 戒除；不再穿；休假许可
 停止；中断；停下来"
make a buck,"na. 挣钱
 赚钱；赚文钱；钱赚"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
aborigine,n. 土著；土著居民
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
attraction,n. 吸引，吸引力；引力；吸引人的事物
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
distract,vt. 转移；分心
dynasty,n. 王朝，朝代
enlightenment,n. 启迪；启蒙运动；教化
enrich,vt. 使充实；使肥沃；使富足
ignorance,n. 无知，愚昧；不知，不懂
ignorant,adj. 无知的；愚昧的
intelligent,adj. 智能的；聪明的；理解力强的
keenly,adv. 敏锐地；强烈地；锐利地
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
observant,adj. 善于观察的；机警的；严格遵守的
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
philosophically,adv. 哲学上；贤明地
refine,vt. 精炼，提纯；改善；使…文雅
scenery,n. 风景；景色；舞台布景
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
warrior,n. 战士，勇士；鼓吹战争的人
yam,n. 山药 甘薯 白薯
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
core,
counterpart,n. 副本；配对物；极相似的人或物
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
cranny,n. 裂隙，裂缝
economy,n. 经济；节约；理财
efficient,adj. 有效率的；有能力的；生效的
energetic,adj. 精力充沛的；积极的；有力的
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
invent,vt. 发明；创造；虚构
Islamic,adj. 穆斯林的；伊斯兰教的
labyrinth,n. 迷宫； 迷路；难解的事物
lane,n. 小巷； 航线；车道；罚球区
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
masterpiece,n. 杰作；绝无仅有的人
mill,"vi. 乱转；被碾磨
n. 工厂；磨坊；磨粉机；制造厂；压榨机
vt. 搅拌；碾磨；磨细；使乱转"
mosque,n. 清真寺
nook,n. 角落；隐匿处；核武器；凹处
outskirts,n. 市郊，郊区
punctually,adv. 准时地，如期地
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
relief,n. 救济；减轻，解除；安慰；浮雕
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
soften,"vt. 使温和；使缓和；使变柔软
vi. 减轻；变柔和；变柔软"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
teenage,"n. 青少年时期
adj. 青少年的；十几岁的"
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
windshield,n. 挡风玻璃
for that matter,"na. 就此而言
 关于那一点；就那件事而论；而且"
in turn,"na. 挨次
 依次；轮流；反过来"
over and over again,"na. 翻来覆去
 反复；一次又一次；反复地"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
clang,"n. 叮当声；铿锵声
vt. 使发铿锵声
vi. 发铿锵声"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
European,"n. 欧洲人
adj. 欧洲的；欧洲人的"
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
fierce,adj. 凶猛的；猛烈的；暴躁的
intimacy,n. 性行为；亲密；亲昵行为；隐私
manner,n. 方式；习惯；种类；规矩；风俗
perestroika,n. （俄）改革
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
staircase,n. 楼梯
straddle,"n. 跨坐
vt. 叉开(腿)；骑，跨；跨立于；跨越
vi. 跨坐；两腿叉开坐"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
twilight,"adj. 黎明，黄昏；薄暮；衰退期；朦胧状态
n. 黄昏；薄暮；衰退期；朦胧状态"
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
vodka,n. 伏特加酒
give way to,"v. 让步；退却
 让位于；给…让路；给…让路，对…让步"
take sth. for granted,"v. 想当然
 认为…理所当然；视为当然；认为…是理所当然"
take sb. for granted,"v. 想当然
 认为…理所当然；视为当然；认为…是理所当然"
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
what makes sb. tick,
alter,"vt. 改变，更改
vi. 改变；修改"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
condolence,n. 哀悼；慰问
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
disastrous,adj. 灾难性的；损失惨重的；悲伤的
embarrassment,n. 窘迫，难堪；使人为难的人或事物；拮据
guilt,n. 犯罪，过失；内疚
loser,n. 失败者；遗失者
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
musician,n. 音乐家
overdose,"vt. 配药过量；使过分沉溺
n. 药量过多（等于overdosage）
vi. 服药过量；过分沉溺"
pop,abbr. 卖点广告（Point of Purchase）
responsible,adj. 负责的，可靠的；有责任的
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
stardom,n. 演员们；明星界；明星身份
stressful,adj. 紧张的；有压力的
substance,n. 物质；实质；资产；主旨
unfortunate,adj. 不幸的；令人遗憾的；不成功的
agony,n. 苦恼；极大的痛苦；临死的挣扎
bliss,"n. 极乐；天赐的福
vt. 使欣喜若狂
vi. 狂喜
n. 必列斯（化妆品品牌）"
cocaine,n.  可卡因
confusion,n. 混淆，混乱；困惑
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
deepen,"vt. 使加深；使强烈；使低沉
vi. 变深；变低沉"
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
ecstasy,n. 狂喜；入迷；忘形
expose,vt. 揭露，揭发；使曝光；显示
harmless,adj. 无害的；无恶意的
horrible,adj. 可怕的；极讨厌的
illusion,n. 幻觉，错觉；错误的观念或信仰
motivation,n. 动机；积极性；推动
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
paranoia,n.  偏执狂， 妄想狂
pasty,"n. 馅饼
adj. 苍白的；面糊似的"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
repeatedly,adv. 反复地；再三地；屡次地
rural,adj. 农村的，乡下的；田园的，有乡村风味的
sanity,n. 明智；头脑清楚；精神健全；通情达理
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
throb,"n. 悸动；脉搏
vi. 悸动；抽动；颤动；跳动着作痛；充满活力"
uphill,"n. 上升；登高
adj. 上坡的，向上的
adv. 向上地；往上坡"
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
as if,"na. 彷佛；活像
 好像；仿佛；似乎"
carry out,"na. 实行；开展；完成
 执行；实现；贯彻"
chip away at,"劈下..., 削去..., 击碎..."
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
 成为现实；成为事实；变成现实"
expose ... to ...,
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
if only,"na. 只要；只要…就好了
 如果能再爱一次；要是……就好了；但愿"
in a state of,"prep. 处于…状态
 处于……的状态；处于……状态中；处在……状态中"
look down on,"v. 轻视；看不起
 瞧不起；蔑视；看不起某人"
look down upon,"v. 轻视
 看不起；瞧不起；蔑视"
on top of,"na. 在…之上；逼近；胜任(工作等)；掌握(情况等)
 在…上面；除…之外；另外"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
afterwards,adv. 后来；然后
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
back-up,"n. 备份
adj. 作支援的
vt. 为…做备份"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
cartel,n. 卡特尔；企业联合；垄断联盟；俘虏交换条约
Colombian,"n. 哥伦比亚人
adj. 哥伦比亚的"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
cop,"n. 巡警，警官
vt. 抓住"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
detective,"n. 侦探
adj. 侦探的"
enforcement,n. 执行，实施；强制
execute,vt. 实行；执行；处死
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队"
hell,"n. 地狱；究竟（作加强语气词）；训斥；黑暗势力
vi. 过放荡生活；飞驰
int. 该死；见鬼（表示惊奇、烦恼、厌恶、恼怒、失望等）"
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
lieutenant,n. 中尉；副官；助理人员
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
marshal,"n. 元帅；司仪
vt. 整理；引领；编列
vi. 排列"
millimeter,n.  毫米
multi,pref. 多
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
neighborhood,n. 附近；街坊；接近；街区
pistol,"n. 手枪；信号枪
vt. 用手枪射击"
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
robbery,n. 抢劫，盗窃；抢掠
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
violence,n. 暴力；侵犯；激烈；歪曲
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
ahead of,"prep. （时间、空间）在…前面；早于；领先
 先于；在……的前面；优于"
by one's side,"un. 站在…一边；周围
 在身旁；在某人身边；在…身边"
give oneself up,"na. 决心；断念；专心于；投降
 自首；投案；投案自首"
give oneself up to,"un. 沉溺于；热心参加；埋头于
 专心于；使沉湎于；向……自首"
in broad daylight,"na. 在大白天
 光天化日；在光天化日之下；公开地"
in charge of,"na. 受托…的
 负责；主管；掌管"
lay out,"n. 布局；设计；规划；安排
 布置；摆开；花费"
on the edge of,"na. 快要
 在…的边缘；处于……的边缘；在边缘"
set up shop,"na. 开店；开始营业
 开业"
split up,"na. (使)分裂；吵架；同“split”
 分开；分手；离婚"
arrangement,n. 布置；整理；准备
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
ceasefire,n. 停火
cowardice,n. 怯懦；胆小
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
drunk,"v. 喝酒（drink的过去分词）
adj. 喝醉了的"
enforce,vt. 实施，执行；强迫，强制
ethnic,adj. 种族的；人种的
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
hesitant,adj. 迟疑的；踌躇的；犹豫不定的
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
illicit,adj. 违法的；不正当的
illogical,adj. 不合逻辑的；不合常理的
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
pessimistic,adj. 悲观的，厌世的；悲观主义的
proliferation,n. 增殖，扩散；分芽繁殖
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
rigorously,adv. 严厉地；残酷地
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
violation,n. 违反；妨碍，侵害；违背；强奸
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
weapon,n. 武器，兵器
absence,n. 没有；缺乏；缺席；不注意
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
barricade,"n. 街垒；路障；争论之处
vt. 设路障；阻碍"
bewilder,vt. 使迷惑，使不知所措
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
checkpoint,n. 检查站，关卡
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
daze,"n. 迷乱，眼花缭乱
vt. 使茫然；使眼花缭乱；使晕眩"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
fighter,n. 战士，斗争者；斗士；奋斗者；好战者
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
identification,n. 鉴定，识别；认同；身份证明
indifference,n. 漠不关心；冷淡；不重视；中立
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
initially,adv. 最初，首先；开头
inscription,n. 题词；铭文；刻印
Israeli,"n. 以色列人
adj. 以色列的；以色列人的"
jumpy,adj. 神经质的；跳跃的
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
mall,n. 购物商场；林荫路；铁圈球场
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
occupation,n. 职业；占有；消遣；占有期
overcome,"vt. 克服；胜过
vi. 克服；得胜"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
Palestinian,"巴勒斯坦人
巴勒斯坦的"
repetition,n. 重复；背诵；副本
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
siren,"n. 汽笛；迷人的女人；歌声动人的女歌手
adj. 迷人的
vt. 引诱
vi. 响着警报器行驶"
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
territory,n. 领土，领域；范围；地域；版图
uprising,"n. 起义；升起
v. 起义（uprise的ing形式）；升起
adj. 升起的"
adjust to,"v. 适应
 调整；调节；调整以适应"
come by,"na. 到手；通过附近；拜访
 得到；获得；看望"
in comparison to,"un. 与…相比
 与…比较；与……作比较"
in comparison with,"na. 和…比起来
 比较；与…比较；与…比较起来"
in search of,"na. 寻找；去找；追求；为了寻求
 为了寻找；搜索；查究"
stick out,"na. 突出；伸出手臂；伸展；(因为与众不同而)容易识别
 坚持到底；显眼；凸出"
under way,"na. 进行着；航行中
 在进行中；正在进行之中；正在进行中"
venture into, 冒险进入；冒险从事；冒然进入
Arab,"n. 阿拉伯人；阿拉伯马
adj. 阿拉伯的"
bluntly,adv. 坦率地，直率地；迟钝地
complicated,adj. 难懂的，复杂的
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
condemn,vt. 谴责；判刑，定罪；声讨
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
democracy,n. 民主，民主主义；民主政治
democratic,adj. 民主的；民主政治的；大众的
emotionally,adv. 感情上；情绪上；令人激动地；情绪冲动地
enrage,vt. 激怒；使暴怒
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
existence,n. 存在，实在；生存，生活；存在物，实在物
fraught,adj. 担心的，忧虑的；充满…的
handshake,n. 握手
Jewish,adj. 犹太人的；犹太族的
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
partnership,n. 合伙； 合伙企业；合作关系；合伙契约
policy,n. 政策，方针；保险单
politician,n. 政治家，政客
prayer,n. 祈祷，祷告；恳求；祈祷文
preferable,adj. 更好的，更可取的；更合意的
prolonged,adj. 延长的；拖延的；持续很久的
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
torpedo,"n. 鱼雷；水雷；油井爆破筒；电鳐；职业杀手
vt. 破坏；用鱼雷袭击"
come into contact,与…联系；触及…；遇到…
come into contact with,"v. 接触
 打交道；与……接触；接触到"
engage in,"na. 从事；参加
 参与；从事于；忙于"
take a stand,"na. 困守(城池等)；立定脚跟
 表明立场；明确立场；采取立场"
take risks,"un. 冒险
 冒风险；勇于冒险；承担风险"
