tedious,adj. 沉闷的；冗长乏味的
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
diverse,adj. 不同的；多种多样的；变化多的
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
scattered,adj. 分散的；散乱的
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
administration,n. 管理；行政；实施；行政机构
ego,n. 自我；自负；自我意识
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
choppy,adj. 波涛汹涌的；波浪起伏的；不断改变方向的
get out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
 逃避；摆脱；离开"
do one's utmost,"na. 尽所有力量
 竭力；尽最大努力；尽全力"
no shortage of,不缺少
be cemented into,
put sth. off,"na. 延期；辩解
 推迟；拖延；推延"
take sth. in,"na. 加以考虑；访问；收进；收容
 欺骗；吸收；接受"
retain control over sth.,
consult with sb.,
stay on track,
get in one's way,"挡路,妨碍"
spin out of control, 快速加剧而失去控制
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
installment,n. 安装；分期付款；部分；就职
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
rod,n. 棒；惩罚；枝条；权力
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
wardrobe,n. 衣柜；行头；全部戏装
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
accumulate,"vt. 积攒
vi. 累积；积聚"
fund,"n. 基金；资金；存款
vt. 投资；资助"
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
gravity,n. 重力，地心引力；严重性；庄严
specifically,adv. 特别地；明确地
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
prohibit,vt. 阻止，禁止
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
exemplify,vt. 例证；例示
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
isolated,"adj. 孤立的；分离的；单独的； 绝缘的
v. 使孤立；使绝缘；脱离（isolate的过去分词）"
chaos,n. 混沌，混乱
tremendous,adj. 极大的，巨大的；惊人的；极好的
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
illusion,n. 幻觉，错觉；错误的观念或信仰
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
staggeringly,adv. 摇晃地；蹒跚地
pass sth. out,"v. 昏倒；分发；主要用于英式英语
 失去知觉；晕倒；昏过去"
be entitled to sth.,
be entitled to do sth.,
feel entitled to sth.,
feel entitled to do sth.,
urge sb. to do sth.,
filter sth. out,
in accordance with,"na. 照；与…一致
 按照；根据；依照"
in despair,"na. 绝望地
 绝望的；失望；在绝望中"
shrug sth. off,"na. (耸肩)表示轻蔑；摆脱；扭身脱掉(衣服)
 耸肩表示对…不屑理睬；对…不屑一顾；对……满不在乎"
hide sth. from sb.,
lose interest in sth.,
tear at,"v. 撕
 撕扯；用力撕；撕开"
out of the question,"adv. 不可能
 不可能的；毫无可能的；绝不可能"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚; 闹; 罹
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
territory,n. 领土，领域；范围；地域；版图
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
vessel,n. 船，舰； 脉管，血管；容器，器皿
genius,n. 天才，天赋；精神
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
validate,vt. 证实，验证；确认；使生效
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
enlightening,"adj. 使人领悟的；有启发作用的
v. 启蒙；通知（enlighten的ing形式）"
publication,n. 出版；出版物；发表
investigation,n. 调查；调查研究
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
marshal,"n. 元帅；司仪
vt. 整理；引领；编列
vi. 排列"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
eliminate,vt. 消除；排除
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
modify,"vt. 修改，修饰；更改
vi. 修改"
element,n. 元素；要素；原理；成分；自然环境
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
cling,vi. 坚持，墨守；紧贴；附着
maintain,vt. 维持；继续；维修；主张；供养
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
corresponding,"adj. 相当的，相应的；一致的；通信的
v. 类似（correspond的ing形式）；相配"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
delegate,"n. 代表
vt. 委派…为代表"
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
committee,n. 委员会
prune,"n. 深紫红色；傻瓜；李子干
vt. 修剪；删除；剪去
vi. 删除；减少"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
prejudiced,"v. 损害（prejudice的过去分词）；使抱偏见
adj. 怀偏见的；有成见的；偏颇的"
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
respective,adj. 分别的，各自的
go up in flames, 毁于大火; 突然地和完全的结束，破灭。毁于一旦。
an exception to sth.,
be featured in,
profit from,"v. 得益于
 从…获益；从…谋利；获益于"
revolve around,"v. 旋绕
 围绕…转；旋转；环绕"
be exhausted from,
come in handy,"na. 迟早有用
 派得上用场；派上用场；有用得着的时候"
pay a big price,
pay a big price to do sth.,
pay a big price for sth.,
be measured in sth.,
make a ... effort to do sth.,
in a ... fashion,"na. 多少
 勉强；马马虎虎"
Xiang Yu,项羽
Zhang River,
Massachusetts Institute of Technology,"n. 麻省理工学院
 美国麻省理工学院；麻省理工大学；美国麻省理工大学"
MIT,
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
distribute,vt. 分配；散布；分开；把…分类
convince,vt. 说服；使确信，使信服
convinced,"v. 使确信（convince的过去分词）；说服
adj. 确信的；深信的"
transaction,n. 交易；事务；办理；会报，学报
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
category,n. 种类，分类； 范畴
enforce,vt. 实施，执行；强迫，强制
enforced,"v. 执行（enforce的过去分词）
adj. 实施的；强制执行的"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
rely,vi. 依靠；信赖
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
verify,vt. 核实；查证
subtraction,n.  减法；减少；差集
indicate,vt. 表明；指出；预示；象征
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
penetrating,"v. 穿透；贯穿（penetrate的ing形式）
adj. 渗透的；尖锐的；有洞察力的"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
property,n. 性质，性能；财产；所有权
residence,n. 住宅，住处；居住
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
optimistic,adj. 乐观的；乐观主义的
lest,conj. 唯恐，以免；担心
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
controversy,n. 争论；论战；辩论
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
whatsoever,pron. 无论什么
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
specify,vt. 指定；详细说明；列举；把…列入说明书
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
rush into,"un. 一拥而上；冲进；投到；推行
 匆忙做某事；仓促行动；仓促跑进"
in haste,"na. 急着；急忙地；仓促地
 匆忙；匆忙地；急速地"
try sth. on,"na. 试穿；搞恶作剧(以试探能否被容忍)；耍花招
 试试看；试穿衣物；试衣服"
be out of control, 不自禁；忍不住；失掉控制
get out of control,"na. 控制不住
 失去控制；不能操纵；摆脱控制"
run out of control,失去控制
fall apart,"na. 土崩瓦解
 崩溃；破碎；四分五裂"
go downhill, 每况愈下; 走下坡路; 恶化; 衰落
settle for,"na. 满足于
 勉强接受；将就；勉强认可"
be depressed about,
struggle to do sth.,
Laozi,
