fallacy,n. 谬论，谬误
consecutive,adj. 连贯的；连续不断的
aerospace,n. 航空宇宙； 航空航天空间
prod,"n. 刺针；刺棒；签子
vi. 刺；捅
vt. 刺，戳；刺激"
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
denote,vt. 表示，指示
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
inconsistency,n. 不一致；易变
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
spectator,n. 观众；旁观者
deduction,n. 扣除，减除；推论；减除额
temporal,"n. 世间万物；暂存的事物
adj. 暂时的；当时的；现世的"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
intolerance,n. （尤指对别人的意见）不宽容；偏狭
judiciary,"n. 司法部；法官；司法制度
adj. 司法的；法官的；法院的"
malicious,adj. 恶意的；恶毒的；蓄意的；怀恨的
honorary,"n. 名誉学位；获名誉学位者；名誉团体
adj. 荣誉的；名誉的；道义上的"
sieve,"vt. 筛；滤
n.  筛子；滤网；不能保守秘密的人
vi. 筛；滤"
nicety,n. 精密；美好；细节；拘泥细节
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
junction,n. 连接，接合；交叉点；接合点
starve to death, 饿死；快要饿死了；每年世界上会有许多人饿死
starve sb. to death,
starve oneself to death,
be attached to,"na. 爱上；隶属于
 附属于；依恋；爱慕"
on the side,"na. 顺便；作为副业；略略添上
 作为兼职；暗地里；作为兼职或副业"
be suspicious of,"v. 怀疑
 对某事或某人持怀疑的态度；对…有疑心；对…怀疑的"
get to the point, 言归正传；有话直说；有话直说，别吞吞吐吐
come to the point,"na. 说正题
 有话直说；说到要点；谈主要问题"
wander around, 徘徊；游荡；到处闲逛
hedge ... in with ...,
hedge ... in by ...,
be representative of,"v. 代表
 是…的代表；有代表性的；代表了"
if anything,"na. 甚至可能；要说呢
 若有任何不同的话；如果有什么的话；如果有什么不同的话"
torch,"n. 火把，火炬；手电筒；启发之物
vt. 用火炬点燃
vi. 像火炬一样燃烧"
finalize,"vt. 完成；使结束
vi. 把最后定下来；定案"
merger,n. （企业等的）合并；并购；吸收（如刑法中重罪吸收轻罪）
emirate,n. 酋长国
detain,vt. 拘留；留住；耽搁
memorandum,n. 备忘录；便笺
compile,vt. 编译；编制；编辑； 汇编
graph,"n. 图表；曲线图
vt. 用曲线图表示"
decimal,"n. 小数
adj. 小数的；十进位的"
exposition,n. 博览会；阐述；展览会
certify,v. 证明；保证
ribbon,"n. 带；缎带；（勋章等的）绶带；带状物；勋表
vt. 把…撕成条带；用缎带装饰
vi. 形成带状"
blue ribbon,"un. 蓝带锦标；头等的；第一流的；蓝带程序
 蓝丝带；蓝带啤酒；蓝绶带"
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
commemorate,vt. 庆祝，纪念；成为…的纪念
briefing,"n. 简报；作战指示
v. 概述；作…的摘要（brief的现在分词）"
kidnap,vt. 绑架；诱拐；拐骗
exasperated,"v. 使恼怒；激怒；恶化（exasperate的过去式）
adj. 激怒的；恼火的"
interrogation,n. 讯问；审问； 疑问句
nil,n. 无，零
friction,n. 摩擦， 摩擦力
reel,"n. 蹒跚；眩晕；旋转
vt. 卷；使旋转
vi. 卷；眩晕；蹒跚地走；退缩"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
parachute,"n. 降落伞
vi. 跳伞
空投"
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
rating,"n. 等级；等级评定；额定功率
v. 对…评价（rate的ing形式）"
sociologist,n. 社会学家
cohesion,n. 凝聚；结合； 内聚力
reactionary,"n. 反动分子；反动派；保守派
adj. 保守的，反动的；反动主义的；反对改革的"
nominee,n. 被任命者；被提名的人；代名人
climax,n. 高潮；顶点；层进法；极点
unification,n. 统一；一致；联合
solidarity,n. 团结，团结一致
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
compartmentalize,vt. 划分，区分
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
tactful,adj. 机智的；圆滑的；老练的
courteous,adj. 有礼貌的；谦恭的
glossary,n. 术语（特殊用语）表；词汇表；专业词典
clarification,n. 澄清，说明；净化
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
have an impact on, 对…有影响；对…起作用，产生效果；对于…有影响
have an impact upon,"对…有影响;对…起作用,产生效果"
put sb. in charge,
put sb. in charge of sb.,
put sb. in charge sth.,
close the deal, 完成交易；达成协议；关单
close a deal,"v. 成交
 达成一项协议；生意成交；完成一项交易"
seal the deal, 搞定；达成协议；遵守协议
seal a deal, 批准交易；成交；一个协议
divert ... to,
charge into, 冲入
charge down,冲上前; 往下冲; 把…记账
take a ... approach to sth.,
single sb. out,
incorporate sth. into sth.,
incorporate sth. in sth.,
grid,n. 网格；格子，栅格；输电网
commonwealth,n. 联邦；共和国；国民整体
rooster,n. 公鸡；狂妄自负的人
crow,"n.  乌鸦；鸡鸣；撬棍
vi. 啼叫；报晓"
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
weld,"n. 焊接；焊接点
vt. 焊接；使结合；使成整体
vi. 焊牢"
welder,n. 焊接工
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
lubricate,"vi. 润滑；涂油；起润滑剂作用
vt. 使…润滑；给…加润滑油"
tract,n. 束；大片土地，地带；小册子
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
liver,n. 肝脏；生活者，居民
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
mug,"n. 杯子；脸；苦读者
vi. 扮鬼脸，做怪相
vt. 行凶抢劫"
brewery,n. 啤酒厂
racecourse,n. 赛马场，跑马场；跑道
spinal,"n. 脊椎麻醉
adj. 脊髓的；脊柱的；针的；脊骨的；尖刺的"
rib,"n. 肋骨；排骨；肋状物
vt. 戏弄；装肋于"
ulcer,n.  溃疡；腐烂物；道德败坏
optic,"adj. 光学的；视觉的；眼睛的
n. 眼睛；镜片"
receptor,n.  受体；接受器；感觉器官
martyr,"vt. 牺牲；折磨；杀害
n. 烈士；殉道者"
patriotism,n. 爱国主义；爱国心，爱国精神
fort,"n. 堡垒；要塞；（美）边界贸易站
vt. 设要塞保卫
vi. 构筑要塞"
outpost,n. 前哨；警戒部队；边区村落
wrench,"n. 扳手，扳钳；扭伤；痛苦；歪曲；猛扭
vt. 扭伤；猛扭；曲解；折磨
vi. 扭伤；猛扭；猛绞"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
allegedly,adv. 依其申述；据说，据称
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
textile,"n. 纺织品，织物
adj. 纺织的"
mill,"vi. 乱转；被碾磨
n. 工厂；磨坊；磨粉机；制造厂；压榨机
vt. 搅拌；碾磨；磨细；使乱转"
banknote,n. 纸币
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
lightweight,"n. 轻量级选手；无足轻重的人
adj. 重量轻的；平均重量以下的"
coupon,n. 息票；赠券；联票； 配给券
errand,n. 使命；差事；差使
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
deductive,adj. 演绎的；推论的；推断的
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
emancipate,vt. 解放；释放
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
symmetrical,adj. 匀称的，对称的
symmetrically,adv. 对称地；平衡地；匀称地
Republican,
lordship,n. 阁下；贵族身分（或权威）；统治
rebellion,n. 叛乱；反抗；谋反；不服从
mediator,n. 调停者；传递者；中介物
off grid,
off the grid,"adj. 不入网的（不使用公用输电网、煤气输送网、自来水网等）
 表示没有上网；脱离生活；变数"
scrape by, 勉强度日；勉强维持；勉强过日子
extract sth. from sth.,
run errands,"na. 跑腿；(为别人)跑腿
 供差遣；跑腿儿；听候差遣"
cater to ...,
make a racket,"na. 惹乱子
 大声喧哗；吵嚷；在公共场合从来不大声喧哗"
emancipate sb. from sth.,
a say on sth.,
a say over sth.,
have a say on sth.,
have a say over sth.,
feminist,"n. 女权主义者
adj. 主张女权的"
feminism,n. 女权主义；女权运动；男女平等主义
obscene,adj. 淫秽的；猥亵的；可憎的
dogma,n. 教条，教理；武断的意见
insurgency,n. 叛乱；暴动；叛乱状态
displace,vt. 取代；置换；转移；把…免职；排水
eject,vt. 喷射；驱逐，逐出
coil,"n. 线圈；卷
vt. 盘绕，把…卷成圈
vi. 成圈状"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
colonize,"vt. 将…开拓为殖民地；移于殖民地；从他地非法把选民移入
vi. 开拓殖民地；移居于殖民地"
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
detention,n. 拘留；延迟；挽留
execution,n. 执行，实行；完成；死刑
virgin,"n. 处女
adj. 处女的；纯洁的；未经利用的，处于原始状态的"
judicial,adj. 公正的，明断的；法庭的；审判上的
transit,"n. 运输；经过
vt. 运送
vi. 经过"
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
discriminatory,adj. 有辨识力的；差别对待的
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
electoral,adj. 选举的；选举人的
senate,n. 参议院，上院；（古罗马的）元老院
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
spatula,n. （调和、涂抹用）抹刀，小铲； 压舌板
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
kidney,n.  肾脏；腰子；个性
kidney bean,"n. 芸豆；菜豆；四季豆
 云豆；豆角；红腰豆"
transcribe,vt. 转录；抄写
midwife,"n. 助产士；促成因素
vt. 助胎儿出生；促成"
segregation,n. 隔离，分离；种族隔离
trophy,"n. 奖品；战利品；纪念品
vt. 用战利品装饰
adj. 显示身份的；有威望的"
trophy wife,"n. （年长男人用以炫耀的）花瓶妻子
 花瓶一样的老婆；奖盃老婆；奖杯老婆"
liner,n. 班轮，班机；衬垫；画线者
hostage,n. 人质；抵押品
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
solicitor,n. 律师；法务官；募捐者；掮客
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
quench,"vt. 熄灭， 淬火；解渴；结束；冷浸
vi. 熄灭；平息"
appendix,n. 附录；阑尾；附加物
artifact,n. 人工制品；手工艺品
bygone,"n. 过去的事
adj. 过去的"
epoch,n.  世；新纪元；新时代；时间上的一点
vigilant,adj. 警惕的；警醒的；注意的；警戒的
continuance,n. 持续；停留；续篇；诉讼延期
forbid sb. from doing sth.,
keep house,"na. 管理家务；料理家务；当家
 做家务；持家；管家"
eject sb. from sth.,
coil sth. up with sth.,
against one's will,"na. 不得已；无奈
 违心；违心地；违背意愿地"
run for,"na. 去叫(…)；做…的候选人
 竞选；让…竞选；竞选职位"
look down on sb.,
look down on sth.,
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
a ghost of sth.,
the ghost of sth.,
density,n. 密度
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
uranium,n.  铀
monopoly,n. 垄断；垄断者；专卖权
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
treaty,n. 条约，协议；谈判
particulates,n. 微粒；大气尘；微粒物质；空气中微小颗粒（particulate的复数形式）
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
insurgent,"n. 叛乱者；起义者
adj. 叛乱的；起义的"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
indefinite,adj. 不确定的；无限的；模糊的
wisp,"n. 小捆；小束
vt. 把…卷成一捆
vi. 卷成一捆"
hitherto,adv. 迄今；至今
synthesis,n. 综合， 合成；综合体
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
linear,adj. 线的，线型的；直线的，线状的；长度的
fusion,n. 融合；熔化；熔接；融合物； 核聚变
confederation,n. 联盟；邦联；同盟
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
glittering,"adj. 闪闪发光的
v. 闪闪发光（glitter的ing形式）"
intricate,adj. 复杂的；错综的，缠结的
gadget,n. 小玩意；小器具；小配件；诡计
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
apparatus,n. 装置，设备；仪器；器官
combustion,n. 燃烧，氧化；骚动
semiconductor,n.  半导体
transistor,n. 晶体管（收音机）
rotary,"n. 旋转式机器； 转缸式发动机
adj. 旋转的，转动的；轮流的"
turbine,n.  涡轮； 涡轮机
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
counterclockwise,"adj. 反时针方向的
adv. 反时针方向"
axis,n. 轴；轴线；轴心国
viable,adj. 可行的；能养活的；能生育的
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
clearing,"n. 结算；空地；清扫
v. 澄清；放晴（clear的ing形式）"
outflow,"n. 流出；流出量；流出物
vi. 流出"
excavation,n. 挖掘，发掘
biomass,n. （单位面积或体积内的） 生物量
standby,"n. 备用品；可信赖的人
adj. 备用的
adv. 备用地；待命地"
ventilate,vt. 使通风；给…装通风设备；宣布
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
dioxide,n. 二氧化物
automation,n. 自动化；自动操作
bulletin,"n. 公告，公报
vt. 公布，公告"
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
unify,vt. 统一；使相同，使一致
unified,"adj. 统一的；一致标准的
v. 统一；使一致（unify的过去分词）"
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
inaugurate,vt. 创新；开辟；开创；举行开幕典礼；举行就职典礼
collaboration,n. 合作；勾结；通敌
factor sth. in, 的因素；将…列为重要因素；考虑进来
factor in sth.,
be projected to do sth.,
on a ... scale,
fill up,"na. 同“fill”
 装满；填补；填满"
clear up,"na. 整顿；说明；(天气)转晴
 放晴；整理；清理"
be derived from,"na. 由…而来
 由……得到；由……衍生；源自于"
pose a risk to sth.,
hinge on sth.,
hinge upon sth.,
be upon sb.,
spike,"n. 长钉，道钉；钉鞋；细高跟
vt. 阻止；以大钉钉牢；用尖物刺穿"
equator,n. 赤道
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
recur,vi. 复发；重现；采用；再来；循环；递归
consultancy,n. 咨询公司；顾问工作
turnout,n. 产量；出席者；参加人数；出动；清除； 岔道
disclose,vt. 公开；揭露
oracle,n. 神谕；预言；神谕处；圣人
foretell,"vt. 预言；预示；预告
vi. 预言；预示；预告"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
intermittent,adj. 间歇的；断断续续的；间歇性
hoard,"n. 贮藏物
vt. 贮藏
vi. 积聚钱财；贮藏货物"
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
pistol,"n. 手枪；信号枪
vt. 用手枪射击"
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
dual,"n. 双数；双数词
adj. 双的；双重的"
infrastructure,n. 基础设施；公共建设；下部构造
livestock,n. 牲畜；家畜
recipe,n. 食谱； 处方；秘诀；烹饪法
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
pamphlet,n. 小册子
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
piracy,n. 海盗行为；剽窃；著作权侵害；非法翻印
neutralize,"vt. 抵销；使…中和；使…无效；使…中立
vi. 中和；中立化；变无效"
dodge,"n. 躲闪；托词
vi. 躲避，避开
vt. 躲避，避开
n. 道奇（汽车品牌）"
intersection,n. 交叉；十字路口；交集；交叉点
councilor,n. 顾问；评议员；参赞
bureaucratic,adj. 官僚的；官僚政治的
foresight,n. 先见，远见；预见；深谋远虑
subsidy,n. 补贴；津贴；补助金
appropriation,n. 拨款；挪用
militia,n. 民兵组织；自卫队；义勇军；国民军
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
seam,"n. 缝；接缝
vt. 缝合；接合；使留下伤痕
vi. 裂开；产生裂缝"
discrepancy,n. 不符；矛盾；相差
signpost,n. 路标；指示牌
non-profit,adj. 非营利的
donor,"n. 捐赠者；供者；赠送人
adj. 捐献的；经人工授精出生的"
syndrome,n.  综合症状；并发症状；校验子；并发位
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
soluble,adj.  可溶的，可溶解的；可解决的
staircase,n. 楼梯
calm down,"na. 平静下来
 镇定下来；冷静；冷静下来"
level off,"na. 弄平；达到同一水准；(物价等)稳定；(飞机降落前)水平飞行
 达到平衡；平整；趋向平稳"
be starved of sth.,
run out of sth.,
keep sth. at bay,"na. 围住；不使…接近
 使走投无路；牵制；阻止"
hold sth. at bay,"na. 使走投无路；遏制
 不使……迫近"
rescue ... from ...,
get a recipe for sth.,
be a recipe for sth.,
point to,"v. 指向；针对
 指着；表明；指出"
on a collision course, 在一次碰撞中
angel,"n. 天使；守护神；善人
vt. 出钱支持"
obituary,"adj. 讣告的；死亡的
n. 讣告"
seminar,n. 讨论会，研讨班
specimen,n. 样品，样本；标本
assassin,n. 刺客，暗杀者
secular,"n. 修道院外的教士，(对宗教家而言的) 俗人
adj. 世俗的；长期的；现世的；不朽的"
oath,n. 誓言，誓约；诅咒，咒骂
graphic,adj. 形象的；图表的；绘画似的
brochure,n. 手册，小册子
leaflet,n. 小叶；传单
audio,adj. 声音的； 音频的， 声频的
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
enclosure,n. 附件；围墙；围场
vapor,"n. 蒸汽；烟雾
vt. 使……蒸发；使……汽化
vi. 蒸发；吹牛；沮丧"
siege,"n. 围攻；包围；围城；不断袭击；长期努力
vt. 围攻；包围"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
incur,vt. 招致，引发；蒙受
wrath,n. 愤怒；激怒
judicious,adj. 明智的；头脑精明的；判断正确的
mastermind,"vt. 策划
n. 优秀策划者；才子"
malpractice,n. 玩忽职守；不法行为；治疗不当
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
sue,"vt. 控告；请求
vi. 控告；提出请求"
passionate,adj. 热情的；热烈的，激昂的；易怒的
ministerial,adj. 部长的；内阁的；公使的；牧师的
parliamentary,adj. 议会的；国会的；议会制度的
sideline,"n. 副业；球场边线；局外人的观点
adj. 倾斜的
vt. 迫使退出"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
expectancy,n. 期望，期待
life expectancy,"n. 预期寿命；预计存在（或持续）的期限
 平均寿命；平均余命；期望寿命"
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
condolence,n. 哀悼；慰问
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
questionnaire,n. 问卷；调查表
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
striped,"adj. 有条纹的；有斑纹的
v. 被剥去（strip的过去分词）"
pajamas,n. 睡衣；宽长裤
retrospective,"n. 回顾展
adj. 回顾的；怀旧的；可追溯的"
infinity,n. 无穷；无限大；无限距
successor,n. 继承者；后续的事物
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
vaccinate,"vt. 给…注射疫苗
vi. 接种疫苗
n. 被接种牛痘者"
cape,n.  海角，岬；披肩
crusader,n. 改革者；十字军战士
cemetery,n. 墓地；公墓
turn up,"v. 朝上翻；出现
 开大；找到；露面"
put out,"v. 扑灭；熄灭；放出；伸出
 关；关熄；消灭，关"
alert sb. to sth.,
lay siege to sth.,
lay siege to sb.,
follow suit,"na. 跟出同花色的牌；学样
 跟着做；照着做；跟风"
in the face of,"na. 不避；不管；在…前面；面临
 面对；在...面前；不顾"
stand on the sidelines,
stay on the sidelines, 退场观望
remain the sidelines,
get revenge for sth.,
get revenge on sb. for sth.,
appeal to sb. to do sth.,
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
handset,n. 手机，电话听筒
subscription,n. 捐献；订阅；订金；签署
thesis,n. 论文；论点
indignant,adj. 愤愤不平的；义愤的
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
Catholic,
patron,n. 赞助人；保护人；主顾
ashore,"adj. 在岸上的；在陆上的
adv. 在岸上；向岸"
deport,vt. 驱逐出境；举止；放逐
adherence,n. 坚持；依附；忠诚
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
tribunal,n. 法庭；裁决；法官席
denounce,vt. 谴责；告发；公然抨击；通告废除
outdate,vt. 使过时；使废弃；使陈旧
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
agitation,n. 激动；搅动；煽动；烦乱
logo,n. 商标，徽标；标识语
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
animated,"vt. 使…有生气（animate的过去式）
adj. 活生生的；活泼的；愉快的"
wax,"n. 蜡；蜡状物
adj. 蜡制的；似蜡的
vt. 给…上蜡
vi. 月亮渐满；增大"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
tentatively,adv. 暂时地；试验性地
commentary,n. 评论；注释；评注；说明
tack,"n. 大头钉；粗缝；行动方针；食物
vt. 附加；以大头针钉住
vi. 抢风航行；作文字形移动"
superintendent,n. 监督人；负责人；主管；指挥者
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
incidentally,adv. 顺便；偶然地；附带地
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
impetus,n. 动力；促进；冲力
manuscript,"n.  手稿；原稿
adj. 手写的"
incomprehensive,adj. 范围狭小的，不了解的
bewilder,vt. 使迷惑，使不知所措
module,n.  模块；组件；模数
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
nucleus,n. 核，核心；原子核
serial,"n. 电视连续剧； 期刊；连载小说
adj. 连续的；连载的；分期偿还的"
timely,"adj. 及时的；适时的
adv. 及时地；早"
particle,n. 颗粒； 质点；极小量；小品词
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
be swamped by ...,
be swamped with ...,
fight discrimination against sb.,
in adherence to,
come to life,"na. 苏醒过来
 复活；活跃起来；恢复生气"
tack sth. up,
dub ... as ...,
marvel at,"v. 对…感到惊异
 惊奇；惊叹；感到惊讶"
marvel over,
feel strongly about sth.,
