personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
humour,"n. 幽默（等于humor）；诙谐
vt. 迁就；使满足"
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
optimistic,adj. 乐观的；乐观主义的
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
region,n. 地区；范围；部位
addiction,n. 上瘾，沉溺；癖嗜
facility,n. 设施；设备；容易；灵巧
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
psychology,n. 心理学；心理状态
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
consist,vi. 由…组成；在于；符合
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
comprehension,n. 理解；包含
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
assignment,n. 分配；任务；作业；功课
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
destination,n. 目的地，终点
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
cheque,n. 支票
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
confirm,vt. 确认；确定；证实；批准；使巩固
foundation,n. 基础；地基；基金会；根据；创立
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
astronaut,n. 宇航员，航天员；太空旅行者
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
impractical,adj. 不切实际的，不现实的；不能实行的
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
vital,adj. 至关重要的；生死攸关的；有活力的
absence,n. 没有；缺乏；缺席；不注意
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
architect,"n. 建筑师
缔造者"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
beneficial,adj. 有益的，有利的；可享利益的
define,vt. 定义；使明确；规定
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
candidate,n. 候选人，候补者；应试者
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
acquire,vt. 获得；取得；学到；捕获
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
exhausted,"v. 耗尽；用尽；使…精疲力尽（exhaust的过去式）
adj. 疲惫的；耗尽的"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
tragedy,n. 悲剧；灾难；惨案
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
frequently,adv. 频繁地，经常地；时常，屡次
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
urban,adj. 城市的；住在都市的
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
harmony,n. 协调；和睦；融洽；调和
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
distinct,adj. 明显的；独特的；清楚的；有区别的
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
correspond,vi. 符合，一致；相应；通信
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
honorable,adj. 光荣的；可敬的；高贵的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
vivid,adj. 生动的；鲜明的；鲜艳的
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
selfish,adj. 自私的；利己主义的
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
accomplish,vt. 完成；实现；达到
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
administration,n. 管理；行政；实施；行政机构
perception,n. 知觉； 感觉；看法；洞察力；获取
radiation,n. 辐射；发光；放射物
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
symptom,n.  症状；征兆
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
tuition,n. 学费；讲授
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
freezing,adj. 冰冻的；严寒的；冷冻用的
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
arise,vi. 出现；上升；起立
unemployment,n. 失业；失业率；失业人数
gravity,n. 重力，地心引力；严重性；庄严
rural,adj. 农村的，乡下的；田园的，有乡村风味的
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
horizon,n.  地平线；视野；眼界；范围
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
acknowledge,vt. 承认；答谢；报偿；告知已收到
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
priority,n. 优先；优先权； 优先次序；优先考虑的事
procedure,n. 程序，手续；步骤
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
cooperate,vi. 合作，配合；协力
classify,vt. 分类；分等
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
tropical,adj. 热带的；热情的；酷热的
fierce,adj. 凶猛的；猛烈的；暴躁的
flexible,adj. 灵活的；柔韧的；易弯曲的
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
anniversary,n. 周年纪念日
undoubtedly,adv. 确实地，毋庸置疑的
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让"
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
hurricane,n. 飓风，暴风
demonstrate,"vt. 证明；展示；论证
vi. 示威"
beneath,"prep. 在…之下
adv. 在下方"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
shortcoming,n. 缺点；短处
optional,"adj. 可选择的，随意的
n. 选修科目"
paradise,"n. 天堂
至福境地"
emphasis,n. 重点；强调；加强语气
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
justice,n. 司法，法律制裁；正义；法官，审判员
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
legend,n. 传奇；说明；图例；刻印文字
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
unbelievable,adj. 难以置信的；不可信的
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
unforgettable,adj. 难忘的
valid,adj. 有效的；有根据的；合法的；正当的
deadline,n. 截止期限，最后期限
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
accumulate,"vt. 积攒
vi. 累积；积聚"
accustom,vt. 使习惯于
pesticide,n. 杀虫剂
capability,n. 才能，能力；性能，容量
cater,vt. 投合，迎合；满足需要；提供饮食及服务
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
polish,
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
stimulus,n. 刺激；激励；刺激物
summarize,"vt. 总结；概述
vi. 作总结；作概括"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
surgery,n. 外科；外科手术；手术室；诊疗室
thoroughly,adv. 彻底地，完全地
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
anonymous,adj. 匿名的，无名的；无个性特征的
appetite,n. 食欲；嗜好
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
awful,adj. 可怕的；极坏的；使人敬畏的
vain,adj. 徒劳的；自负的；无结果的；无用的
restless,adj. 焦躁不安的；不安宁的；得不到满足的
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
offence,n. 犯罪；违反；过错；攻击
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
wag,"n. 摇摆；爱说笑打趣的人
vt. 摇摆；摇动；饶舌
vi. 摆动；喋喋不休；蹒跚而行"
breakthrough,n. 突破；突破性进展
reluctant,adj. 不情愿的；勉强的；顽抗的
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
adequate,adj. 充足的；适当的；胜任的
pavement,"n. 人行道
路面"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
prosperity,n. 繁荣，成功
resemble,vt. 类似，像
resolution,n.  分辨率；决议；解决；决心
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
latter,adj. 后者的；近来的；后面的；较后的
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
tolerate,vt. 忍受；默许；宽恕
transmission,n. 传动装置， 变速器；传递；传送；播送
approximately,adv. 大约，近似地；近于
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
athletic,adj. 运动的，运动员的；体格健壮的
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
restrict,vt. 限制；约束；限定
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
miracle,n. 奇迹，奇迹般的人或物；惊人的事例
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
notorious,adj. 声名狼藉的，臭名昭著的
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
perspective,"n. 观点；远景；透视图
adj. 透视的"
category,n. 种类，分类； 范畴
exclude,vt. 排除；排斥；拒绝接纳；逐出
pregnant,adj. 怀孕的；富有意义的
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
temptation,n. 引诱；诱惑物
tiresome,adj. 烦人的，无聊的；令人讨厌的
tourism,n. 旅游业；游览
transition,n. 过渡；转变； 转换；变调
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
aptitude,n. 天资；自然倾向；适宜
assertive,adj. 肯定的；独断的；坚定而自信的
attribute,"n. 属性；特质
vt. 归属；把…归于"
decisive,adj. 决定性的；果断的，坚定的
retain,vt. 保持；雇；记住
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
miserable,adj. 悲惨的；痛苦的；卑鄙的
illusion,n. 幻觉，错觉；错误的观念或信仰
numerous,adj. 许多的，很多的
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
deliberately,adv. 故意地；谨慎地；慎重地
democratic,adj. 民主的；民主政治的；大众的
demolition,n. 拆除（等于demolishment）；破坏；毁坏
boundary,n. 边界；范围；分界线
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
abnormal,adj. 反常的，不规则的；变态的
abundant,adj. 丰富的；充裕的；盛产
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
lately,adv. 近来，不久前
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
lighten,"vi. 减轻；发亮
vt. 使照亮；使轻松"
conscience,n. 道德心，良心
time-consuming,adj. 耗时的；旷日持久的
ambiguous,adj. 模糊不清的；引起歧义的
applause,n. 欢呼，喝采；鼓掌欢迎
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
deceive,v. 欺骗；行骗
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
restrain,vt. 抑制，控制；约束；制止
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
modify,"vt. 修改，修饰；更改
vi. 修改"
obesity,n. 肥大，肥胖
delete,vt. 删除
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
worthwhile,adj. 值得做的，值得花时间的
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
simultaneously,adv. 同时地
absence,n. 没有；缺乏；缺席；不注意
acceptable,adj. 可接受的；合意的；可忍受的
accessible,adj. 易接近的；可进入的；可理解的
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accustom,vt. 使习惯于
acquire,vt. 获得；取得；学到；捕获
adapt,"vi. 适应
vt. 使适应；改编"
addition,n. 添加； 加法；增加物
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
affordable,adj. 负担得起的
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
argument,n. 论证；论据；争吵；内容提要
arise,vi. 出现；上升；起立
ashamed,adj. 惭愧的，感到难为情的；耻于……的
assertive,adj. 肯定的；独断的；坚定而自信的
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
beneficial,adj. 有益的，有利的；可享利益的
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
compete,vi. 竞争；比赛；对抗
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
conscience,n. 道德心，良心
consequence,n. 结果；重要性；推论
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
consist,vi. 由…组成；在于；符合
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
destruction,n. 破坏，毁灭；摧毁
devote,vt. 致力于；奉献
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
expose,vt. 揭露，揭发；使曝光；显示
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
motivate,vt. 刺激；使有动机；激发…的积极性
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
