dream team,"n. 梦之队；最佳阵容；最佳组合
 梦幻队；出发梦之队；梦幻团队"
apparently,adv. 显然地；似乎，表面上
have a population of,
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
opera,n. 歌剧；歌剧院；歌剧团
maize,"adj. 黄色的，玉米色的
n. 玉米；黄色，玉米色"
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
ouch,"n. 扣环
int. 哎哟（突然疼痛时发出的声音）"
hammer,"n. 铁锤；链球； 锤骨；音锤
vi. 锤击；敲打；重复
vt. 锤击；锤打"
foolish,adj. 愚蠢的；傻的
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
tyre,"n.  轮胎；轮箍
vt. 装轮胎于"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
in the distance,"na. 在远处；在很远的那边
 在远方；远方的；在远处那边"
ox,n. 牛；公牛
spear,"n. 矛，枪
vt. 用矛刺"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
necklace,n. 项链
jewellery,n. 珠宝（等于jewelry）
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
framework,n. 框架，骨架；结构，构架
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
fibre,n. 纤维；纤维制品
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
chick,"n. 小鸡；小鸟；少妇
adj. 胆小的；懦弱的"
rooster,n. 公鸡；狂妄自负的人
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
furnish,vt. 提供；供应；装备
mat,"n. 垫；垫子；衬边
vt. 缠结；铺席于……上
vi. 纠缠在一起
adj. 无光泽的"
teapot,"n. 茶壶
小题大做"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
waist,n. 腰，腰部
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
nephew,n. 侄子；外甥
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
aborigine,n. 土著；土著居民
gatherer,n. 采集者，收集器
venue,n. 审判地；犯罪地点；发生地点；集合地点
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
agreement,n. 协议；同意，一致
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
prehistoric,adj. 史前的；陈旧的
remains,n. 残余；遗骸
archaeologist,n. 考古学家
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
skull,n. 头盖骨，脑壳
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
existence,n. 存在，实在；生存，生活；存在物，实在物
relation,n. 关系；叙述；故事；亲属关系
limestone,n.  石灰岩
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
beast,n. 野兽；畜生，人面兽心的人
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
excavation,n. 挖掘，发掘
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
evolution,n. 演变；进化论；进展
exposure,n. 暴露；曝光；揭露；陈列
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
maintain,vt. 维持；继续；维修；主张；供养
endangered,adj. 濒临灭绝的；有生命危险的
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
awareness,"n. 意识，认识；明白，知道
n. 人群对品牌或产品的认知"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
fund,"n. 基金；资金；存款
vt. 投资；资助"
assistance,n. 援助，帮助；辅助设备
precious,adj. 宝贵的；珍贵的；矫揉造作的
of vital importance,"na. 极重要的
 至关重要；生死攸关；极其重要"
catastrophe,n. 大灾难；大祸；惨败
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
length,n. 长度，长；时间的长短；（语）音长
request,"n. 请求；需要
vt. 要求，请求"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
 除……之外；除...外；除去"
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
marvellous,adj. 不可思议的；惊人的
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
intangible,adj. 无形的，触摸不到的；难以理解的
delegate,"n. 代表
vt. 委派…为代表"
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
inhabitant,n. 居民；居住者
mankind,n. 人类；男性
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
discrimination,n. 歧视；区别，辨别；识别力
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
practitioner,n. 开业者，从业者，执业医生
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
status,n. 地位；状态；情形；重要身份
virus,n.  病毒；恶毒；毒害
malaria,n.  疟疾；瘴气
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
remind sb. of sth.,
seminar,n. 讨论会，研讨班
symbolic ambassador,
epic,"n. 史诗；叙事诗；史诗般的作品
adj. 史诗的，叙事诗的"
agenda,n. 议程；日常工作事项；日程表
mercy,n. 仁慈，宽容；怜悯；幸运；善行
at the mercy of ...,
undertake,vt. 承担，保证；从事；同意；试图
absence,n. 没有；缺乏；缺席；不注意
subjective,adj. 主观的；个人的；自觉的
diplomacy,n. 外交；外交手腕；交际手段
thorough,adj. 彻底的；十分的；周密的
bureaucratic,adj. 官僚的；官僚政治的
in return,"na. 作报复；作替换
 作为回报；作为报答；作为交换"
autonomy,n. 自治，自治权
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
guidance,n. 指导，引导；领导
ignore,vt. 驳回诉讼；忽视；不理睬
Hispanic,adj. 西班牙的
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
be honoured for,
journalism,n. 新闻业，新闻工作；报章杂志
