hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
niece,n. 外甥女，侄女
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
reassurance,n. 使安心，再保证
stick out,"na. 突出；伸出手臂；伸展；(因为与众不同而)容易识别
 坚持到底；显眼；凸出"
be conscious of,"na. 意识到
 察觉；知道；觉察"
put on,"na. 假话
 穿上；上演；戴上"
hear of,"na. 听说；获悉；收到…的消息；知道
 听到；听说过；得悉"
cut off,"na. 削除；截止；截断(退路等)；割下来
 切断；断绝；切掉"
guard ... from,
to this day,"na. 到今天
 直到今天；至今；迄今"
die from,"na. 因伤致死
 死于；由于…而死；因某事而死"
catch on,"na. 流行；受欢迎；理解；懂得
 明白；流行起来；变得流行"
at the sight of,"na. 一看见就
 一看见……就；一看到；一见到"
pull away,"un. 绷起脸；开走；抽回；挖走
 脱身；离开；拉离"
energetic,adj. 精力充沛的；积极的；有力的
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
affection,n. 喜爱，感情；影响；感染
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
bedside,"n. 床边，床旁
adj. 床旁的，枕边的"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
embarrassment,n. 窘迫，难堪；使人为难的人或事物；拮据
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
impatient,adj. 焦躁的；不耐心的
journey,"n. 旅行；行程
vi. 旅行"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
response,n. 响应；反应；回答
insist,"vi. 坚持，强调
vt. 坚持，强调"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
beneath,"prep. 在…之下
adv. 在下方"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
disappointment,n. 失望；沮丧
on the other hand,"na. 从另一方面来说；在另一方面
 一方面…另一方面；但是；表示而另一方面"
as ... as ...,
speak of,"na. 讲起；特别推荐说
 谈到；谈及；提到"
be overcome with,为...所压倒/制服
be satisfied with,"v. 满足于
 对……感到满意；对……满意；对……表示满意或满足"
at a time,"na. 一次(多少)；同时；曾经；连续
 每次；一下子；每一次"
wait for,"na. 等；等待
 等候；动作上的等待；等待某人"
start out,"na. 跳出；开始；企图
 出发；动身；着手"
admit to,"v. 承认
 许可进入；让…享有；允许"
used to,"modalv. （用于过去持续或经常发生的事）曾经
v. 过去常常
 习惯于；过去经常；的用法"
in response, 回应；作为反应；作为回应
in response to,"na. 应…而
 响应；回答；对…做出反应"
care for,"v. 照顾；关心；喜欢
 照料；关怀；照管"
contrary to,"na. 跟…相反
 与……相反；违反；和…相反"
violin,n. 小提琴；小提琴手
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
occupation,n. 职业；占有；消遣；占有期
understandable,adj. 可以理解的；可以了解的
nearly,adv. 差不多，几乎；密切地
economical,adj. 经济的；节约的；合算的
wolf,"n. 狼；色狼；残忍贪婪之人
vt. 大吃；狼吞虎咽地吃"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
consequence,n. 结果；重要性；推论
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
existence,n. 存在，实在；生存，生活；存在物，实在物
duty,n. 责任； 关税；职务
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
coworker,n. 同事；合作者
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
café,
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
all-too-often,时常，经常是
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
practically,adv. 实际地；几乎；事实上
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
gee,"n. 马；字母G；一千美元（美俚）
v. 向右转
int. 向右！前进！快！（驾驭马牛等的吆喝声）"
bring up,"na. 抚养；教导；教育；在…长大
 培养；提出；养育"
in view of,"na. 鉴于；为要；在…能看见的地方；估计到才
 考虑到；由于；为了"
provide for,"v. 为…作准备
 为…提供；供养；赡养"
keep ... at bay,"na. 围住；不使…接近
 使走投无路；牵制；阻止"
as a consequence of,"prep. 由于…的结果
 因为；因……的结果；作为……的结果"
insist upon,"v. 坚持；强调
 支持；坚决主张"
insist on,"v. 坚持；强调
 坚决要求；坚持要；坚持认为"
run into,"na. 冲进；(河)注入(海)；撞上；到达
 偶遇；跑进；陷入"
not for a moment, 一刻也不；片刻也不；从来没有
speak poorly of,
go into,"na. 进入；(门等)通着；加入；参与
 调查；从事；研究"
aside from,"na. 暂置不论；加之；除…外
 除...外；除…之外；除了"
get ... out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
 逃避；摆脱；离开"
pass somebody by,
pass somebody over,
seek out,"na. 找出；寻求；想获得
 挑出；找到；搜寻出"
little by little,"na. “by little and little”的变体
 逐渐地；一点一点地；一点点地"
walk on air,"na. 扬扬得意；(因成功)高兴得飘飘然
 美颠颠的；高兴地飘飘然；得意洋洋"
break away from,"v. 脱离；离开；断绝与…的关系
 摆脱；从…脱离；脱离等"
pay a price for,
pay the price for,
Spring Hill College,"音节分段：Spring Hill College; 4000 Dauphin Street, Mobile, AL 36608; Private; 1,016"
Columbia University,"n. 哥伦比亚大学
 美国哥伦比亚大学；纽约哥伦比亚大学；哥大"
arrival,n. 到来；到达；到达者
introduce,vt. 介绍；引进；提出；采用
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
jokingly,adv. 开玩笑地；打趣地
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
nonstop,"adj. 直达的；不休息的；不着陆的
n. 直达车
adv. 不休息地"
wisdom,n. 智慧，才智；明智；学识；至理名言
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
lively,adj. 活泼的；生动的；真实的；生气勃勃的
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
microphone,n. 扩音器，麦克风
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
obtain,"vi. 获得；流行
vt. 获得"
degree,n. 程度，等级；度；学位；阶层
peacefully,adv. 平静地；和平地
shortly,adv. 立刻；简短地；唐突地
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
bend down,"na. 弯下身来
 弯腰；弯下腰；俯身"
bend over,"na. 弯腰
 俯身；弯身作拱形；折转"
bend forward,"un. 前俯腰
 稍微向前弯身，以表尊敬；前倾；向前弯曲"
a couple of,"det. 一对
 几个；两个；两三个"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
over the course of, 在……的时间里
in the course of,"na. 在…之中
 在…过程中；在…期间；在…的过程中"
during the course of,"un. 在…的过程中
 在…期间"
get attention from,
in order,"na. 整整齐齐；合规则；情况正常；健康
 按顺序；秩序井然；按次序"
grow up,"na. 长大
 成长；长大成人；成年"
teach by example,以身作则
Rose,
smog,n. 烟雾
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
pollution,"n. 污染
污染物"
horrible,adj. 可怕的；极讨厌的
smoker,n. 吸烟者；薰制工
yellowish,adj. 微黄色的，淡黄色的
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
unusually,adv. 非常；异乎寻常地；显著地
sale,n. 销售；出售；拍卖；销售额；廉价出售
purifier,n.  净化器；清洁者；精炼器；精炼者
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
unheard-of,adj. 空前的；前所未闻的
growth,n. 增长；发展；生长；种植
widespread,adj. 普遍的，广泛的；分布广的
environmental,adj. 环境的，周围的；有关环境的
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
emit,vt. 发出，放射；发行；发表
poisonous,adj. 有毒的；恶毒的；讨厌的
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
illustration,n. 说明；插图；例证；图解
prosperity,n. 繁荣，成功
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
bumper,"n. 缓冲器，保险杆，减震物
adj. 丰盛的，丰富的
vt. 装满；为…祝酒
vi. 干杯"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
badly,adv. 非常，很；严重地，厉害地；恶劣地
pollute,vt. 污染；玷污；败坏
regulate,vt. 调节，规定；控制；校准；有系统的管理
industry,n. 产业；工业；勤勉
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
economic,adj. 经济的，经济上的；经济学的
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
huge,adj. 巨大的；庞大的；无限的
unlikely,"adj. 不太可能的；没希望的
adv. 未必"
anyway,adv. 无论如何，不管怎样；总之
unemployed,adj. 失业的；未被利用的
fridge,n. 电冰箱
refrigerator,n. 冰箱，冷藏库
rarity,n. 罕见；珍贵；珍品（需用复数）；稀薄
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
set the tone for,
set the tone for something,
check up on,"na. “check on”的变体
 检查；核对；校对"
run out,"na. 耗尽；用光；过有效期；失效
 用完；用尽；到期"
play down,"na. (迎合对方的意思)放低语气  减弱；轻描淡写
 贬低；淡化；降低"
to the contrary,"na. 反对地
 意思相反的；相反地；正相反"
at all costs,"na. 无论如何
 不惜任何代价；不惜一切代价；不惜代价"
result in,"na. 终于(失败)
 导致；结果是；造成"
come to terms with,"un. 谈得拢；和…达成协议；与…友好相处；追恋
 甘心忍受；妥协，让步；与…达成协议"
turning point,"n. 转折点；转捩点；转机
 转向点；转点；转折关头"
sea of change,
Australia,n. 澳大利亚，澳洲
cleanup,"adj. 第四位击球员的
n. 清除；暴利；清扫工作；第四防守位置"
incredible,adj. 难以置信的，惊人的
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
creation,n. 创造，创作；创作物，产物
Victorian,"n. 维多利亚时代；维多利亚女王时代的人
adj. 维多利亚女王时代的；英国维多利亚女王时代的"
sewer,"n. 下水道；阴沟；裁缝师
vt. 为…铺设污水管道；用下水道排除…的污水
vi. 清洗污水管"
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
countryside,n. 农村，乡下；乡下的全体居民
parliament,n. 议会，国会
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
cholera,n.  霍乱
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
downstream,"adj. 下游的；顺流的
adv. 下游地；顺流而下"
populate,vt. 居住于；构成人口；移民于；殖民于
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
highly,adv. 高度地；非常；非常赞许地
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
oxygen,n.  氧气， 氧
sewage,n. 污水；下水道；污物
vastly,adv. 极大地；广大地；深远地
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
chemical,"n. 化学制品，化学药品
adj. 化学的"
salmon,"n. 鲑鱼；大马哈鱼；鲑肉色；鲑鱼肉；橙红色，粉橙色
adj. 浅澄色的"
species,"n.  物种；种类
adj. 物种上的"
seahorse,n. 海马
occasional,adj. 偶然的；临时的；特殊场合的
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
reappear,vi. 再出现
heron,n. 鹭，苍鹭；深紫灰
kingfisher,n.  翠鸟；鱼狗
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
recreational,adj. 娱乐的，消遣的；休养的
peanut,n. 花生
fishery,n. 渔业；渔场；水产业
transformation,n.  转化；转换；改革；变形
ecosystem,n. 生态系统
elsewhere,adv. 在别处；到别处
decade,n. 十年，十年期；十
sustainability,n. 持续性；永续性；能维持性
urban,adj. 城市的；住在都市的
environment,n. 环境，外界
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
block out,"na. 画略图；拟大纲；同“block in ”
 挡住；封闭；把对方球员挡住"
get rid of,"na. 除掉；摆脱；撵走
 除去；去掉；处理掉"
give off,"na. 发散(水蒸气等)
 发出；放出；释放"
bring ... into place,
stop ... from,
be satisfied with,"v. 满足于
 对……感到满意；对……满意；对……表示满意或满足"
compared to,"un. 比拟
 与……相比；和……相比较；比作"
the Thames, 泰晤士河；英国泰晤士河；深绿的泰姆士河
London,n. 伦敦
South Bank, 伦敦南岸大学；南岸区；南岸公园
powerful,"adj. 强大的；强有力的
adv. 很；非常"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
accurately,adv. 精确地，准确地
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
describe,vt. 描述，形容；描绘
hobby,n. 嗜好；业余爱好
earthmoving,adj. 大量掘土（或运土）的
equipment,n. 设备，装备；器材
notebook,n. 笔记本，笔记簿；手册
passage,n. 一段（文章）；走廊；通路
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
exist,vi. 存在；生存；生活；继续存在
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
inventor,n. 发明家； 发明人；创造者
electricity,n. 电力；电流；强烈的紧张情绪
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
inspiration,n. 灵感；鼓舞；吸气；妙计
perspiration,n. 汗水；流汗；努力
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
source,n. 来源；水源；原始资料
musical,"adj. 音乐的；悦耳的
n. 音乐片"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
philosopher,n. 哲学家；哲人
poet,n. 诗人
limit,"n. 限制；限度；界线
vt. 限制；限定"
put ... into practice,"na. 实行
 实施；付诸实施；落实"
be well known for,以…着称
wander about,"na. 徘徊
 闲逛；漫游；流浪"
search for,"na. 寻找；寻求；探求
 搜寻；搜索；搜查"
on the top of,"na. 在…之上；逼近；胜任(工作等)；掌握(情况等)
 在……顶部；在…上面；在…的顶端"
get off the ground,"na. 飞起；开始
 进行顺利；开始发行；取得进展"
in the face of,"na. 不避；不管；在…前面；面临
 面对；在...面前；不顾"
look for,"v. 寻找；探索；渴望；盼望
 期待；找寻；查找"
at one's best,"na. 最美时期；最得意处；发挥最高的技术水平
 处在最好状态；处在最佳状态；处于最好状态"
be famous for,"v. 因…出名
 因…而出名；因……而著名；因……而闻名"
Leonardo da Vinci,"(达)芬奇(1452-1519, 意大利文艺复兴时期伟大画家, 雕刻家, 建筑学家)"
Galileo,n. 伽利略（意大利物理学家和天文学家）
Bill Gates, 比尔盖茨；比尔盖兹；微软创办人比尔盖兹
Microsoft,n. 微软公司（全球知名的PC软件主要厂商）
Orville and Wilbur Wright,
Thomas Edison, 爱迪生；美国发明家爱迪生；托马斯·爱迪生
Mozart,n. 莫扎特
Albert Einstein, 爱因斯坦；阿尔伯特·爱因斯坦；美国科学家爱因斯坦
Italy,n. 意大利（欧洲南部国家）
Sophocles,n. 索福克勒斯（古希腊悲剧诗人）
entrepreneur,n. 企业家；承包人；主办者
bookstore,n. 书店（等于bookshop）
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
anywhere,"n. 任何地方
adv. 在任何地方；无论何处"
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
chairman,n. 主席，会长；董事长
refugee,n. 难民，避难者；流亡者，逃亡者
remind,vt. 提醒；使想起
mall,n. 购物商场；林荫路；铁圈球场
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
millions of,"det. 数百万
 数百万的；成百万的；数以百万计"
be selected as,vt.被选为
be regarded as, 被认为是；被当做是；视为
come from,"v. 来自；出身；归因于
 来自于；来源于；出生"
have in common,
take ... for example,
why not,"na. 为什么不好
 为什么不呢；为什么不能；为什么不行"
in that way,"adv. 那么
 那样；以那种方式；以那种方法"
first of all,"na. 第一
 首先；首要；是首先的意思"
graduate from,"v. 毕业于
 从…毕业；毕业於；从…毕业例句"
finish college,
in contrast,"adv. 相反
 相比之下；对比；成对比"
in addition,"na. 加之
 另外；此外；又"
in addition to,"na. 加之
 除…之外；除了；除…外"
at a young age,
lots of,"adj. 许多；很多
 大量；大量的；许多的"
in general,"na. 一般；大体上
 通常；一般来说；一般而言"
Amazon.com,
Jeff Bezos,
Time Magazine,
Frederick Smith,
Federal Express, 联邦快递；联邦快递公司；美国联邦快递公司
Princeton University,"n. 普林斯顿大学
 美国普林斯顿大学；普林斯敦大学；毕业于普林斯顿大学"
Andrew Grove,
Intel Computer Company,
Hungary,n. 匈牙利（欧洲国家名）
Debbi Fields,
Mrs Fields Cookie Company,
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
appliance,n. 器具；器械；装置
manufacturer,n. 制造商； 厂商
dishwasher,n. 洗碗工；洗碟机
refrigerator,n. 冰箱，冷藏库
bowl,"n. 碗；木球；大酒杯
vt. 投球；旋转；平稳快速移动
vi. 玩保龄球；滑动；平稳快速移动"
likewise,adv. 同样地；也
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
improvement,n. 改进，改善；提高
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
probably,adv. 大概；或许；很可能
equip,vt. 装备，配备
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
recorder,n. 录音机；记录器；记录员；八孔直笛
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
helpful,adj. 有帮助的；有益的
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
honestly,adv. 真诚地；公正地
beer,"n. 啤酒
vi. 喝啤酒"
comprehension,n. 理解；包含
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
microwave,n. 微波
be toast," （非正式, 主北美）完蛋了, 倒霉了"
drive somebody up the wall,
be out of, 没有；不再处于；脱离了
right now,"na. 目前；方才
 现在；马上；立刻"
be faced with,"v. 面临
 面对；面临着；遇到"
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
at random,"na. 碰运气地；无目标地
 随便地；随机地；随意地"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
what's worse, 更糟糕的是；更糟的是；使事情更糟糕的是
beyond comprehension, 不可思议；令人费解
come to,"na. 总计为；结果是；苏醒；把船朝着风头
 达到；来到；恢复知觉"
The Washington Post,
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
freezer,n. 冰箱；冷冻库；制冷工
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
chequebook,n. 支票本
pop,abbr. 卖点广告（Point of Purchase）
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
electronic,"adj. 电子的
n. 电子电路；电子器件"
ignition,n. 点火，点燃；着火，燃烧；点火开关，点火装置
motorway,n. 高速公路，汽车高速公路
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
engine,n. 引擎，发动机；机车，火车头；工具
skillfully,adv. 巧妙地；精巧地
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
hand-brake, 手闸
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
mechanic,"n. 技工，机修工
adj. 手工的"
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
madam,n. 夫人；女士；鸨母
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
 除……之外；除...外；除去"
keep fit,"na. 保持健康
 保持身体健康；健身；保持身材"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
go on,"na. 往前走；继续…下去 (with； doing)；日子过得
 发生；进行；继续下去"
go off,"na. 进行得 (well； badly)；(话等)冒出
 爆炸；离开；离去"
call up,"na. 传；动员；打电话给；呼唤
 召集；使想起；召唤"
break into,"na. 闯进；拦(别人话头)；侵占(别人时间等)；突然…起来
 闯入；破门而入；强行进入"
warm up,"na. 加热；变暖；热中起来；作准备动作
 热身；暖身；热身运动"
cut out,"na. 割掉；除去；剪下；开辟
 停止；删除；切掉"
open up,"na. (打)开；割开；开发(资源)；揭示
 打开；开辟；开放"
