downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
virtually,adv. 事实上，几乎；实质上
matchmaking,"n. 做媒；火柴制造；安排比赛
adj. 火柴制造的；火柴制造者的"
political,adj. 政治的；党派的
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
Conservative,"n. 保守派，守旧者
adj. 保守的"
congress,n. 国会；代表大会；会议；社交
composition,n. 作文，作曲，作品； 构成；合成物；成分
indicator,n. 指示器； 指示剂； 指示符；压力计
theory,n. 理论；原理；学说；推测
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
intimacy,n. 性行为；亲密；亲昵行为；隐私
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
compatible,adj. 兼容的；能共处的；可并立的
hesitation,n. 犹豫
conversion,n. 转换；变换； 兑换；改变信仰
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
settle down,"na. 定居；成家；移居；平静下来
 安下心来；安定下来；安顿下来"
go out with somebody, 和某人出去；出去约会；与某人约会
to the tune of,"na. (￡5) 达(5镑)之多
 达…之多；共计；调寄"
sit on,"na. 压制；责备；审理(案件等)；调查
 拖延；坐在……上；为…的成员"
rule out,"na. 排除
 排除…的可能性；划去；拒绝考虑"
CNN,
Hill Air Force Base, 希尔空军基地 ( 美 )
Salt Lake City,"na. 盐湖城
 犹他州盐湖城；盐湖城机场；盐湖城市中心"
the American Association for Single People,
voltage,n.  电压
shipment,n. 装货；装载的货物
submission,n. 投降；提交（物）；服从；（向法官提出的）意见；谦恭
mixed,"adj. 混合的；形形色色的；弄糊涂的
v. 混合；弄混（mix的过去式和过去分词）"
reduction,n. 减少；下降；缩小；还原反应
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
phonology,n. 音系学；音韵学；语音体系
ignore,vt. 驳回诉讼；忽视；不理睬
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
colleague,n. 同事，同僚
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
patience,n. 耐性，耐心；忍耐，容忍
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
reset,"n. 重新设定；重新组合；重排版
vt. 重置；重新设定；重新组合
vi. 重置；清零"
instructor,n. 指导书；教员；指导者
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
zookeeper,n. 动物园管理员
preposition,n. 介词；前置词
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
injection,n. 注射；注射剂；充血；射入轨道
enthusiastic,adj. 热情的；热心的；狂热的
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
point out,"na. 指出
 指明；说明；指示"
Irwin Layton,
Arthur Compton, 康普顿；阿瑟·康普顿；康普顿教授
Mountain View, 山景城；加州山景城；山景市
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
election,n. 选举；当选；选择权；上帝的选拔
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
seminar,n. 讨论会，研讨班
delivery,n.  交付；分娩；递送
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
column,n. 纵队，列；专栏；圆柱，柱形物
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
diplomat,n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
embassy,n. 大使馆；大使馆全体人员
wooden,adj. 木制的；僵硬的，呆板的
expansive,adj. 广阔的；扩张的；豪爽的
distinct,adj. 明显的；独特的；清楚的；有区别的
shareholder,n. 股东；股票持有人
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
repetitive,adj. 重复的
theatrical,adj. 戏剧性的；剧场的，戏剧的；夸张的；做作的
expressive,adj. 表现的；有表现力的；表达…的
emphasis,n. 重点；强调；加强语气
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
diagram,"n. 图表；图解
vt. 用图解法表示"
graph,"n. 图表；曲线图
vt. 用曲线图表示"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
do up,"v. 修缮；收拾
 系；打扮；包扎"
in general,"na. 一般；大体上
 通常；一般来说；一般而言"
put on,"na. 假话
 穿上；上演；戴上"
fall short of,"na. “come short”的变体；“fall short”的变体
 达不到；缺乏；不符合"
run over,"v. 轧过；碾过；演练；排练
 辗过；溢出；浏览"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
biology,n. （一个地区全部的）生物；生物学
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
geneticist,n. 遗传学者
respectively,adv. 分别地；各自地，独自地
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
receipt,"n. 收到；收据；收入
vt. 收到"
unrelated,adj. 无关的，不相干的
uneducated,"adj. 无知的；未受教育的
v. 未受教育（uneducate的过去分词）"
servant,n. 仆人，佣人；公务员；雇工
adoption,n. 采用；收养；接受
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
imbalance,n. 不平衡；不安定
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
generally,adv. 通常；普遍地，一般地
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
arise,vi. 出现；上升；起立
convey,vt. 传达；运输；让与
extrovert,n. 外向；外倾者；性格外向者（等于extravert）
introvert,"n. 内向的人；内翻的东西
vi. 成为内弯；成为性格内向的人
vt. 使内向；使内倾；使内弯"
torch,"n. 火把，火炬；手电筒；启发之物
vt. 用火炬点燃
vi. 像火炬一样燃烧"
settlement,n. 解决，处理； 结算；沉降；殖民
pass down,"un. 过；一闪即逝；下达
 传递；传下去；传下来"
warn somebody against,"na. 告诫(某人)提防(别人)
 警告不要；警告；当心"
bring on,"na. “bring forward”的变体
 引起；导致；造成"
in sight,"na. 看得见；“in/within sight”的变体
 在望；在视线之内；在视线内"
John Hamer,
David Brown,
George Yule,
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
highway,n. 公路，大路；捷径
lorry,n. （英）卡车； 货车；运料车
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
dirt,n. 污垢，泥土；灰尘，尘土；下流话
farmland,n. 农田
outdoors,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）"
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
dusty,adj. 落满灰尘的
pave,vt. 铺设；安排；作铺设之用
modify,"vt. 修改，修饰；更改
vi. 修改"
occur,vi. 发生；出现；存在
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
refundable,adj. 可退还的；可偿还的
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
mailman,n. 邮差，邮递员
postage,n. 邮资，邮费
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
satellite,n. 卫星；人造卫星；随从；卫星国家
automatically,"adj. 不经思索的
adv. 自动地；机械地；无意识地"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
 路过；走过；忽略"
on one's way,"un. 无法；在路上；快要出头了
 在途中；在去……的路上；在……的路上"
screw up one's eyes,
screw up one's face,
grow on somebody,
long since,"adv. 很久以前
 早已；很久以来；早就"
occur to, 想到；被想起；被想到
stop by,"na. 顺便到(某处)访问；同“stop off”
 顺便到访问；顺便拜访；顺便访问"
fill somebody in,
fill somebody in on something,
have to do with,"na. 和…有关系
 与…有关；和……有关系；与…有关系"
Maine,n. 缅因州（美国州名）
James True Woodbury,
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
transportation,n. 运输；运输系统；运输工具；流放
mobility,n. 移动性；机动性； 迁移率
exposure,n. 暴露；曝光；揭露；陈列
agricultural,adj. 农业的；农艺的
pesticide,n. 杀虫剂
unsafe,adj. 不安全的；危险的；不安稳的
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
increasingly,adv. 越来越多地；渐增地
statistic,"n. 统计数值
adj. 统计的，统计学的"
reproduction,n. 繁殖，生殖；复制；复制品
resource,n. 资源，财力；办法；智谋
indicate,vt. 表明；指出；预示；象征
expose,vt. 揭露，揭发；使曝光；显示
infectious,adj. 传染的；传染性的；易传染的
technical,adj. 工艺的，科技的；技术上的；专门的
industrialization,n. 工业化
alteration,n. 修改，改变；变更
inventive,adj. 发明的；有发明才能的；独出心裁的
resourceful,adj. 资源丰富的；足智多谋的；机智的
adaptive,adj. 适应的，适合的
flexibility,n. 灵活性；弹性；适应性
capacity,n. 能力；容量；资格，地位；生产力
depth,n.  深度；深奥
democracy,n. 民主，民主主义；民主政治
instinctively,adv. 本能地
confront,vt. 面对；遭遇；比较
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
construction,n. 建设；建筑物；解释；造句
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
figure in,"na. 参加；算进
 包括进；算入；图里"
Chernobyl, 车诺比
Costa Rica,"n. 哥斯达黎加；哥斯达黎加共和国
 哥斯大黎加；哥斯达尼加；中美洲哥斯达黎加"
India,n. 印度（南亚国家）
addiction,n. 上瘾，沉溺；癖嗜
disastrous,adj. 灾难性的；损失惨重的；悲伤的
tobacco,n. 烟草，烟叶；烟草制品；抽烟
alcohol,n. 酒精，乙醇
risky,adj. 危险的；冒险的；（作品等）有伤风化的
appetite,n. 食欲；嗜好
sword,n. 刀，剑；武力，战争
worldwide,"adj. 全世界的
adv. 在世界各地"
traditionally,adv. 传统上；习惯上；传说上
invoice,"n. 账单，发货单，收款请求
vt. 开发票；记清单"
substance,n. 物质；实质；资产；主旨
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
volt,n. 伏特（电压单位）；环骑；闪避
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
indigenous,adj. 本土的；土著的；国产的；固有的
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
medicinal,adj. 药的；药用的；治疗的（等于medicinable）；有益的
hallucinogen,n. 迷幻剂
moisture,n. 水分；湿度；潮湿；降雨量
global,adj. 全球的；总体的；球形的
smuggling,"n. 走私
v. 走私
偷运"
diagnostic,"n. 诊断法；诊断结论
adj. 诊断的；特征的"
assistance,n. 援助，帮助；辅助设备
put to the sword,"na. 杀死
 屠杀"
the World Health Organization, 世界健康组织；联合国世界卫生组织；世卫组织
WHO,
Russia,n. 俄罗斯
